Thousand barrels of oil equivalent per day,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,jj,kk
Canada,0,0,0,0,0,0,0,0,1.990713074012296,2.322498586347679,2.4883913425153708,2.48839134251537,2.48839134251537,2.7095816840722917,2.709581684072292,3.207259952575366,3.23641875026694,12.453528942599934,14.930551179073252,14.395483530217644,16.7762089580449,27.055243413403016,35.21125958345423,34.6094193518821,35.709822097203954,33.53334627340036,32.24186456126896,38.12748156063886,39.38022952662181,41.59572858731722,36.106478188432526,-0.13196668468883122,0.1119422900176601,0.021501231679770264,,
Mexico,0,0,0,0,0,0,0,0,0,0,1.4601076116396632,1.4911692713464602,1.3978852420730457,1.3797411428567086,1.403766818990553,1.5629140612492878,1.594890134561121,1.5305979953421924,1.579612171167792,1.7104999069546425,1.7902872269805965,1.6543837149657825,1.9129433059659444,1.9155154157116858,2.9610451639497968,3.1489578929614632,3.3277534891262097,3.524783350975268,3.503474350223569,3.5275709439125476,3.541010844224262,0.003809958899595678,0.0750663542057346,0.00210865468919194,,
US,26.969521700700934,31.250397151128087,35.43419413263257,41.518639112105774,46.49390679479706,49.872362011728136,35.674496890997524,45.297054946646604,50.052647290120426,52.040330359453854,59.478143279175825,63.36210199834403,75.69322948349104,102.69211590140192,129.27602417268125,151.46779053756165,212.2718070763886,268.10954192060075,365.22685632842934,416.0604520721053,478.33397708945165,514.5181670996424,513.4173872703448,556.4183522760507,563.9870347778777,586.4330936595559,632.4622823036359,633.251516552702,626.3665042686292,626.0342156540457,558.004068467546,-0.10866841697370433,0.04170359594766526,0.33228870153885115,,
Total North America,26.969521700700934,31.250397151128087,35.43419413263257,41.518639112105774,46.49390679479706,49.872362011728136,35.674496890997524,45.297054946646604,52.043360364132724,54.36282894580153,63.42664223333086,67.34166261220587,79.57950606807944,106.78143872833091,133.3893726757441,156.23796455138634,217.10311596121664,282.09366885854286,381.7370196786704,432.16643550927756,496.9004732744772,543.2277942280111,550.541590159765,592.9432870436443,602.6579020390316,623.1153978259176,668.031900354031,674.903781464316,669.2502081454746,671.1575151852754,597.6515575002027,-0.10952117203780576,0.045002531071213436,0.3558985879078133,,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.547249439308978,14.095302339998403,17.35635753356535,19.184064570237542,22.38965346599502,24.387843005057782,25.777811822160842,29.701822953389293,28.357968232653118,28.963909321597267,15.504738487897782,-0.4646876457268667,,0.009232996157164492,,
Brazil,109.75341677966884,114.41963249251039,111.65415342991422,116.75326291322428,124.53120432689161,128.77028130075175,133.69159779777047,129.52638754778377,127.14149268421282,127.43428811475336,108.80122834460866,97.81598558285846,110.47060115558477,105.0009103884576,116.75437719768072,126.69430031104142,118.17690084650246,164.06993783943372,218.78762712069533,240.54632181869573,256.97212215909826,234.6875578456554,221.5891300574401,260.95719378014803,288.09173922145175,341.4564379149955,309.5163170589746,326.01022198422976,378.1686750630029,420.00118564314135,418.4081963410462,-0.0037928209646737043,0.05731691369524117,0.24916004045849566,,
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2753568674725727,2.319455606752919,2.763272657143551,4.147822300867668,6.564973550705121,10.055723865736432,11.512908776631937,12.01189133481503,12.194970006926596,12.62451803416538,13.359642264006277,12.914045724711396,13.619281201065412,15.433146350723547,15.56719596227904,13.876928391076587,-0.10857880733936609,0.09017882218709494,0.008263643182893113,,
Other S. & Cent. America,25.844282270204317,26.09549963541065,20.761388369273092,16.727046667603894,16.554207554979648,17.47551033082178,16.515550315488998,17.310536103477833,17.404466705284452,16.832266402594566,16.762728411480715,16.074478367954914,15.538467258806772,15.78366599892381,15.244476055439723,14.659895265461552,11.548370325872282,7.0967548786669274,7.39956539583077,8.767251913393189,10.60203335526199,11.554485484290435,13.55630082965854,14.681716316159871,15.192929236382144,15.737057944718265,16.747802969689527,17.521830481713007,17.2937462301061,17.378158754189723,15.948611475591115,-0.08226114738731782,0.07081396767268977,0.009497320356688436,,
Total S. & Cent. America,135.59769904987317,140.51513212792105,132.4155417991873,133.48030958082816,141.08541188187127,146.24579163157352,150.20714811325945,146.8369236512616,144.54595938949728,144.2665545173479,125.56395675608938,113.89046395081338,126.00906841439154,120.7845763873814,131.99885325312044,141.62955244397554,132.04472677912764,173.9299653752442,230.33501481739378,255.87854728279405,287.17712881940565,271.8502544465762,264.513679755479,307.0179446734721,338.2988399579943,394.9409811287778,364.95597757553634,386.8531566203975,439.2535358764856,481.91044968120747,463.73847469561167,-0.037708198686326244,0.06535229730469827,0.27615400015524166,,
Austria,0.11891504013999245,0.13198894141340298,0.14578662865174746,0.16804315292260177,0.11848504914167954,0.21151064046504608,0.20686961810631443,0.24566097259609335,0.2513105107378084,0.295813442719944,0.31817476746210055,0.365992523665943,0.37865400044458786,0.3929527089196618,0.3994992401179349,1.5240290399369536,5.474908670643079,6.374797137149081,7.7280858276613085,9.83373478934132,9.58465579268357,9.632581312471121,9.50465677113763,8.387015838507175,10.423070371958564,12.415134371295737,10.261558305447846,8.975674025138103,9.376170410888633,9.431539138074285,8.343705353024022,-0.11534000645332365,-0.004167242781997538,0.004968635847751648,,
