Petajoules,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,jj,kk
Canada,0,0,0,0,0,0,0,0,4.446363636363636,5.1874242424242425,5.57318181818182,5.557954545454545,5.557954545454545,6.05199494949495,6.068575757575759,7.163585858585859,7.228713585644279,27.81561991913477,33.43954584029831,32.153078880234446,37.470555873100174,60.42932658490136,78.86169203089297,77.30198072779524,79.75978884490996,74.89851421687929,72.21121946819946,85.15975997267329,87.95783925099357,92.9062743562191,80.86668857919305,-0.13196668468883133,0.1119422900176601,0.021501231679770267,,
Mexico,0,0,0,0,0,0,0,0,0,0,3.27016295819185,3.330605957399167,3.1222511115755993,3.081725299984131,3.143978030664907,3.4908517653394977,3.56227202748751,3.4186721116287635,3.5378140414329415,3.8204926091923226,3.998701836346933,3.695154106759337,4.284366638747929,4.278405663026156,6.613652019716156,7.033365104436756,7.453078189157357,7.872791273856674,7.825196486186627,7.879017511093526,7.930704836429245,0.003809958899595456,0.0750663542057346,0.0021086546891919402,,
US,60.23786257575758,69.7994258080808,79.36099242424243,92.73409090909092,103.84661616161615,111.39257575757576,79.89919191919192,101.17338383838384,111.79525252525254,116.23484848484848,133.21156565656568,141.52262821139257,169.06485795865302,229.36830819367648,289.53596451502295,338.3113743102882,474.1203824553883,598.836936030746,817.9885697334735,929.2931707600762,1068.3844043285758,1149.2037191624877,1149.8868361200405,1242.7900135197092,1259.6950688441702,1309.8295363844954,1416.5084214034264,1414.4009765290102,1399.0229350345037,1398.2807507227867,1249.7464027146286,-0.10866841697370444,0.04170359594766526,0.33228870153885115,,
Total North America,60.23786257575758,69.7994258080808,79.36099242424243,92.73409090909092,103.84661616161615,111.39257575757576,79.89919191919192,101.17338383838384,116.24161616161616,121.42227272727273,142.05491043293935,150.4111887142463,177.7450636156832,238.50202844315558,298.7485183032636,348.9658119342135,484.9113680685201,630.0712280615095,854.9659296152047,965.2667422495031,1109.8536620380228,1213.3281998541484,1233.0328947896814,1324.3703999105305,1346.0685097087962,1391.7614157058115,1496.1727190607833,1507.4335277755401,1494.8059707716839,1499.066042590099,1338.543796130251,-0.10952117203780565,0.045002531071213436,0.3558985879078133,,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.32428991822372,31.482608210234254,38.87255777788978,42.8486295771569,50.008483041372955,54.471545760473774,57.733857896546574,66.34060289134626,63.33903182576134,64.69243350821957,34.725537402436146,-0.4646876457268667,,0.009232996157164493,,
Brazil,245.14009964892,255.56234087285995,250.06874408712,260.77462866,278.14707490499995,287.61527901456,299.4254036172,289.3040825724,283.97729292281997,284.63126710536,243.67912604658002,218.47721152204838,246.74196913542193,234.52512360072586,261.4915753297502,282.9784649488213,263.9543997784555,366.45894124729824,490.01264579213625,537.2730164673983,573.9609160372406,524.187155213039,496.2870950573658,582.8617856680546,643.4682375543119,762.6611332227156,693.2152034092769,728.1611875848677,844.6598694521691,938.0950089956268,937.0973578733883,-0.0037928209646738154,0.05731691369524117,0.24916004045849566,,
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6150242234986627,5.1806275854911235,6.171916596356827,9.289763807359003,14.663217944669015,22.459994620826144,25.714694699830872,26.9027034636347,27.238114770631533,28.19753315860484,29.839472263965938,28.923233899125186,30.41938965306362,34.47075403499936,34.770160979209415,31.079775789278372,-0.1085788073393662,0.09017882218709494,0.008263643182893113,,
Other S. & Cent. America,57.724580399999994,58.28568776000001,46.498711920000005,37.36074928,36.97470392,39.032482720000004,36.98942492,38.664004,38.873803,37.595763160000004,37.54302292,35.90320324,34.70599389048803,35.253658330919514,34.1426347730351,32.74365656818159,25.793899958031933,15.850979852707773,16.57260360213485,19.582123917025225,23.68020595119681,25.8075584899299,30.361675036726826,32.792395046668965,33.93421632095951,35.14955676043878,37.50959481751557,39.13594124310023,38.62650292393143,38.8150427905947,35.719667554847746,-0.08226114738731805,0.07081396767268977,0.009497320356688436,,
Total S. & Cent. America,302.86468004892,313.84802863286,296.56745600712,298.13537794,315.1217788249999,326.64776173456,336.4148285372,327.9680865724,322.85109592282004,322.22703026536004,281.22214896658005,254.38041476204836,281.44796302591,269.7787819316453,295.6342101027853,316.33714574050157,294.9289273219786,388.48183769636285,515.8750132016303,571.5183583290927,641.4254065274873,607.1920166130341,592.4240313356173,685.7409250625119,755.6084700752492,882.1217080075942,817.3818900224643,864.0571213723777,981.0961582368615,1076.3726462736506,1038.6223386199506,-0.037708198686326244,0.06535229730469827,0.2761540001552417,,
Austria,0.2656030731889988,0.2948043277376198,0.3265143123808811,0.37533332866951136,0.2646426654015476,0.47242027630444705,0.4633202079858172,0.5486968612827057,0.5613154055036174,0.6607150734216619,0.7126072972234084,0.8174637870485775,0.8457438695306607,0.877680796172928,0.8947474874077107,3.404,12.2285,14.238448799999999,17.3083818,21.9641702,21.407839,21.5148832,21.287319000000004,18.7328464,23.2804826,27.7298636,22.9825306,20.047645799999998,20.942175799999998,21.0658448,18.6871679607817,-0.11534000645332398,-0.004167242781997427,0.004968635847751648,,
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.490636361694336,14.893249087524413,14.726502863502503,14.547977974319458,14.391369191884994,17.28532466096878,10.798643930959702,18.19112492017746,19.63345755081177,19.448901023960115,19.5118242,24.186006942641235,0.23616965329459827,0.13518728818273806,0.006430694119161254,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0.026801111793518066,0.1608066707611084,0.18760778255462648,0,0.026813421392440796,0.05358815364837647,3.0869945631027225,5.207606777191162,5.194809250640869,7.7276029174804695,7.676584344482422,8.518382388305664,18.161397216796875,18.152400915527345,6.591794583129883,14.530385501098634,13.830018420410155,16.0258,16.685183664332456,0.03830047366267819,0.11896925386255619,0.004436338446516246,,
France,0,0,0.2607870856732318,1.3028255233412067,3.936792355116528,6.2565519745539095,9.378277182348963,12.264582909695013,10.531168222975413,10.989086871256635,13.141332375602392,13.321797794708601,13.967747320353205,12.834532638731906,13.997439147690924,23.70026070700053,28.701798980788062,57.83297018674926,93.84971645071717,100.41134526781528,98.40537587533606,97.20398372832453,106.41409474943092,108.38463608173879,116.87247030045326,117.89234822905773,118.60579585800001,119.53265667440002,118.17319358880002,123.05360458120002,110.7256889612,-0.10264181100422398,0.02054264103541903,0.02944028911144885,,
Germany,0,0,0.18493618069815193,0.18494432476953784,1.0354282560706403,1.2941300750401419,2.032759019139498,3.3249443050517,3.6937775909186468,4.80934127636264,9.249348603017554,12.94935717122245,20.348220531654423,29.155955751745488,38.86336632413954,71.78341666757747,114.47551528397938,130.12707510781806,114.17504556898903,113.44531941092723,113.55200000000002,118.25399999999999,125.9732,112.72300000000001,118.1928,110.8014,111.04,112.9996,117.78444564,115.77650818400002,141.350758152,0.21755748299753086,0.00203614268955854,0.03758303267433799,,
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91365882447659,6.957946197079458,7.841460104698666,7.118343372689506,28.738142734088967,46.38530840190154,57.10894987147794,56.41945940085653,62.97738957214355,52.87359325256348,45.165613750457766,55.749015590667724,55.44538681182862,56.197601614379884,57.52377315826416,33.6937468,47.68923499599298,0.411506319615359,-0.031461506515337856,0.012679847639311919,,
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6754090187072754,13.675583544921876,11.879381112670899,15.55040416870117,9.533402464294435,16.6259,15.633099999999999,16.1264,15.977850000000002,17.845299999999998,17.52755,19.172,23.722,31.139499999999998,40.98503060413355,0.3125788675540313,0.07190672434572387,0.010897300902323452,,
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1792044982910157,0.5628181976318359,2.065254325914383,3.7665132194519044,4.022546943283081,18.255052370357514,25.936102847290037,26.7388,28.361599999999996,31.4566,30.6248,29.126800000000003,27.2464,18.253,25.261400000000002,38.114399999999996,41.1652764,38.9295008,-0.05689601919651277,0.04727957018183515,0.010350766558950822,,
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.982126,5.648753,5.778483176999999,9.42249955,13.687419879,12.863779048000001,11.69538625532306,11.536095472484588,11.591188472484589,14.660414417999997,11.76489437109375,10.677202033477784,11.815219175556864,11.809775599999998,10.451856072028571,-0.11740074991558558,0.0228396431085105,0.0027789907418828354,,
Spain,0,0,0,0,0,0,0,0,0,0,2.9710015387146678,2.9584970885112396,5.767471273589733,7.9494199501957254,7.325583530143154,10.589388745089714,7.012406286247689,6.363226217226906,8.326451442586546,12.860989836367853,59.66348757350558,71.16646310848101,87.88949545999992,38.02995238,40.11263813200001,41.07944531,46.58213635000001,54.62837300999999,70.28050003000001,70.13841546399999,50.57779314799999,-0.280856259402838,0.18486304816497823,0.013447871644474065,,
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0743885765209225,7.111832621467573,7.813836017657212,13.055225648861159,11.871926684013088,19.62140883100117,22.90520180386093,26.9164423696629,26.703890282435268,35.58251065422948,42.71365274575898,55.39579292751872,62.720484938575694,59.36210589449809,61.317349853774985,55.598565624765996,-0.09574276925302494,0.17843658543801233,0.014782819249366296,,
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0.06511791622668074,0.6837381203801479,0.6186202041534672,2.916442773689039,7.427549828596668,14.493387238942843,33.263240893878375,41.230697617190785,47.9375851302522,44.378634072507296,37.31451804506562,42.651883999999995,48.72691400000001,38.947134000000005,39.465728,38.975662,53.700902,68.65518800000001,65.83331800000002,-0.043722004716554075,0.052313804871383374,0.01750408539580285,,
Other Europe,0,0,0.07157825890919989,0.15351066778329253,0.29302234960266915,0.662993342914758,0.9183023584827775,1.3485783460267682,1.4674528428022033,1.839324716684471,2.5038162256851333,3.1115070168219368,2.746574091054104,2.6080290003788664,1.3679849408393323,0.9024601175907265,7.0062190693219035,17.287238342311138,34.80578278856277,42.952731627990886,49.77536663190588,58.062299423101905,68.63252653513015,84.2622405416531,80.71852907538724,82.67129673866778,96.08267715683121,110.66828308785662,116.21321280950502,136.19033601429328,137.63866853741922,0.007873323604391524,0.12231702315638215,0.03659604408581668,,
Total Europe ,0.2656030731889988,0.2948043277376198,0.8438158376614647,2.0166138445635484,5.529885626191385,8.686095668813255,12.792658767957056,17.486802422056186,16.25371406219988,18.298467937725405,28.578106040243156,33.15862285831281,43.767676114202324,55.44936742665719,73.73182643903719,128.39355811046227,200.25614383465162,278.6749969252481,382.52189855081514,452.72973875108335,537.5196935949386,570.2103095661151,618.4146343055583,565.5590899910658,600.7945188627781,606.2873154786392,617.9284115785797,665.0447522106004,720.9108475409944,749.5431698972684,759.3387734632954,0.010300817582963973,0.05170941743315938,0.20189671641714482,,
Total CIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0.851,1.406,1.147,1.221,0.9620000000000001,1.0258224932249322,0.8073382696804366,2.1528098859315588,3.5720238764044945,4.932905193951347,6.173496044104412,6.970943124438077,0.1260875170378224,0.21915847330989702,0.0018534685391286038,,
