Thousand barrels of oil equivalent per day,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,jj,kk
Canada,0,0,0,0,0,0,0,0,0,0.9315666395743333,2.0275273920147256,2.137123467258765,2.1919215048807845,2.1919215048807845,2.1919215048807845,2.4111136553688626,3.0924335379716315,9.02595367571294,9.658047617686567,14.069364663420147,15.075955177971116,17.792468583762776,17.40766620151991,18.499409108270907,21.660122575576008,20.69184827036923,22.32415613111055,22.242585988269056,22.43456708472175,23.849381495863746,21.427592074391026,-0.1015451667747751,0.054193328497581295,0.012781144430262665,,
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
US,26.96952473070561,31.25040169613511,35.43419866522154,41.638324296920814,46.49390679479706,48.97245062210614,35.01878235386839,46.47118175970561,50.68137326098428,52.844796601691705,58.360104667481004,64.15098082335649,77.7833369836191,101.9524500352081,124.02430986061779,145.9008854604143,190.15705052131037,262.5583224083002,372.601056027791,423.3243869522729,498.84690928210455,556.4216316486686,530.6095246298805,555.3313268174387,587.6365364056774,604.6006151552707,641.7199354685043,663.9205742311841,684.1046874381684,665.3780266467493,601.5744040726266,-0.09589078691953279,0.04625974635304564,0.3588275022834058,,
Total North America,26.96952473070561,31.25040169613511,35.43419866522154,41.638324296920814,46.49390679479706,48.97245062210614,35.01878235386839,46.47118175970561,50.68137326098428,53.77636324126604,60.38763205949573,66.28810429061525,79.97525848849988,104.14437154008888,126.21623136549857,148.31199911578315,193.24948405928203,271.5842760840132,382.2591036454775,437.3937516156931,513.9228644600757,574.2141002324313,548.0171908314005,573.8307359257096,609.2966589812534,625.29246342564,664.0440915996148,686.1631602194532,706.5392545228901,689.227408142613,623.0019961470177,-0.09608644579887637,0.04652352767992518,0.37160864671366856,,
Argentina,0,0,0,0,0,0,0,0,0,0,0.08552220029164691,0.17104440058329382,0.17104440058329382,0.17104440058329382,0.17104440058329382,0.17104440058329382,0.5684307871391119,3.2362286094606363,11.432137912300226,19.2851077867517,32.064693126368155,41.6561978994313,42.59959069270767,38.42275386578354,49.29541148601152,37.81536917626171,52.6710133559034,58.39786150085376,51.09900278737645,46.01641092308098,27.491439442010712,-0.40257314965384416,0.09086012561229895,0.016398112157646375,,
Brazil,104.77429938474145,117.51180840691595,107.37050308831873,104.4426874706369,114.70117826608589,116.89931738993361,129.79873765794227,143.05693187804852,130.62019867359808,120.51860414727929,99.3282304729547,106.93278801506652,117.35247269381992,135.25595503902161,136.0392714731133,149.19915668453663,165.69410296126028,214.2269977351649,266.8870509446703,263.523824485591,292.2830615869468,251.2795824738054,256.5605928445125,298.7858607913386,314.6132228963176,337.54776622881104,316.8747748568105,319.6684751822549,384.12953475863816,410.845801117635,394.56977297693174,-0.03961590479062249,0.04540818676541436,0.23535324168604418,,
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27648792694615226,2.5317215704970675,2.7222658509316413,2.8120783213056217,5.871236835771352,8.464158748267995,10.699921934604939,11.701398657653202,12.148469500535779,12.631373900812118,12.933255591493564,12.547194046076939,11.530232575923442,14.40441127577731,12.856417877494774,11.703506342518718,-0.08967595375024595,0.08153116409469541,0.006980915278996793,,
Other S. & Cent. America,1.300478852188649,1.2764830695169116,1.2041050858561002,0.9610218361937481,0.8858113300885216,0.7998934359029033,0.7468433971987989,0.6789603065373114,0.5589381943236912,0.6366186480214472,0.6111491556032217,0.585427194075838,2.238526040954453,2.8561933073658117,2.803353230964287,2.942182581300391,5.384017326292677,6.609113513461969,8.739137886628102,3.4911769141245554,3.6308904629584213,4.9835956591399935,4.954713526427541,6.457223193975284,7.273513807925974,7.78278419269111,9.779566388504394,9.85071547552311,11.037004882115772,12.641399408987429,12.250555183702135,-0.0309177973609015,0.13731909192434477,0.007307219337114895,,
Total S. & Cent. America,106.0747782369301,118.78829147643286,108.57460817417483,105.40370930683065,115.5869895961744,117.69921082583652,130.54558105514107,143.73589218458582,131.17913686792178,121.15522279530074,100.02490182884956,107.68925960972565,119.76204313535767,138.2831927469707,139.0136691046609,152.58887159336646,174.17827264518917,226.79460570901915,289.8704050649043,292.17134602223854,336.44280392454135,308.6192979669816,315.8162957213009,355.8143073516332,383.8135220910672,396.07917518925746,391.87254864729533,399.44728473455524,460.66995370390765,482.3600293271982,446.0152739451633,-0.07534777587755159,0.05141306460819117,0.26603948845980224,,
Austria,0.11809362556336851,0.12934063752178457,0.14394229102517445,0.1630816733970327,0.1087211155980218,0.20994422322376624,0.22806440915676987,0.24743426308515304,0.2661792830158465,0.29242231091881726,0.34208880116658763,0.34208880116658763,0.4276110014582345,0.5131332017498814,0.940744203208116,1.3683552046663505,2.0525328069995257,4.151795166228562,4.975838766964721,6.906364126691916,7.2326899178929,7.187113211603975,7.167476290260796,6.899231110346788,6.054388925164348,7.020920620644927,7.722914625322866,7.2094095236453555,7.111699741719434,7.128587631080897,7.357325470380082,0.03208739951542139,0.003172000468613101,0.004388502409926082,,
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.524541794225928,6.849261577495998,7.908748848998719,8.362486294441759,8.233543809337846,10.77988606174317,7.238951796835183,6.952954776832774,8.351731160000867,7.954955323127878,8.418988291512196,8.362519243733086,-0.006707343664563714,0.12799645315025932,0.004988081063142094,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6979507196303089,1.5939321590632811,4.340365779020124,5.64937907880718,3.8942108162267446,4.928344178891441,6.196547563053251,6.923438783643714,8.077141687600067,2.068909746442269,5.843180239806935,5.321592154530481,6.366857269456844,7.300906069685325,0.14670484364543723,0.039058210248147374,0.004354849328121787,,
France,0,0,0.042191915694002435,0.4712498010576325,1.5302684470620878,3.000140439907481,4.305444781191172,5.168339405250927,4.83158512219602,5.079131855400757,6.069242578958348,6.071418230451945,6.503172274515605,7.140334246979805,7.464435948876903,12.091100205895176,12.678456660403521,21.136640788590796,38.864680290053506,43.60790825122704,42.510537294444376,42.29971205528387,49.23082458176166,46.02179819280208,46.54984540424971,49.486477716632,45.15785594747816,43.988057255421495,50.763894589848974,46.79926663944752,43.06006380156158,-0.07989874855718626,0.007087902804352231,0.02568449561263757,,
Germany,0,0,0.08305657130192858,0.08328412355207084,0.4663386058357907,0.5829326298047037,0.9135288153010682,1.4989642637778295,1.6655137658620405,2.1651622721146735,4.1523986076037565,5.829270062987246,9.160297594711329,11.142096081863958,17.004768006072116,26.072766886940293,42.87688996396985,53.22627789798471,47.2419533834824,47.40229393061793,58.74663003251414,57.72378927497592,53.94398122883062,57.61150660559106,64.38554748765368,59.35852516334258,59.86959636814491,61.27613953818803,62.955768361365685,65.75371250171204,65.34335093236335,-0.00624088821354396,0.03326588805407504,0.03897604560159661,,
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72480288697919,3.3131072926703387,3.6941185677816133,3.3462297428878736,11.70056410472764,13.999624410138725,14.580907478189525,10.993016938355154,5.821493594158785,8.562462674061724,9.611452734403256,9.721542236456218,9.795347679479237,11.784769090187783,12.713303652454682,14.628519828813486,15.748731239753289,0.07657722203263151,0.004403922370007862,0.009393813727172934,,
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1105951707784609,0.05529758538923044,0.43016659858149975,1.5280584939203357,1.4549448220524661,4.538956053725276,7.271412343506486,12.402703664208193,23.625698765807954,27.745118804553766,33.41282779142885,35.839728769478796,28.340795575208723,36.99826397088265,35.8012454569399,37.964322658363834,37.3124831523677,-0.0171697915398612,0.23663623518269006,0.022256174868669064,,
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5529758538923045,0.1105951707784609,2.132218111284372,2.8163957136175473,1.8756515104094311,5.360276137361438,7.571614097735227,8.125030053023544,7.666932712123989,12.06445193597635,12.928839878490976,13.953746452915656,15.124868928601105,17.168581077015105,17.149405491699554,16.923812480985923,18.32893072209168,18.960975940724488,0.03448347468906143,0.09243313861491753,0.0113098555916028,,
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017104440058329378,1.3179920640535705,3.0395424718017985,2.785432881769359,4.231575779234454,5.323398210117622,6.1909739675699065,5.152143247087694,5.143727194081926,5.646299923443747,6.011115501334903,5.566697045240197,5.925881895710039,6.130914923711964,6.62687066103825,5.590399495486094,-0.15640431488212714,0.04587705946370302,0.003334565224436492,,
Spain,0,0,0,0,0,0,0,0,0,0,1.3683552046663505,1.3683552046663505,2.3887847121593127,3.3693715675098517,4.09339182198545,5.501589678794224,4.897097380745894,6.864107987453773,6.995309735894642,16.88125542243492,18.908260121784263,15.705826649582946,11.382824619296986,13.807595649722575,19.062899078271336,20.764671810586364,22.265415312422096,34.723656464136994,40.49179530645084,39.030548383138175,31.60176230200105,-0.190332608402358,0.08742669755553134,0.018849840282120663,,
Sweden,0,0,0,0,0,0,0,0,0,0,0,0.27339611568916344,0.6121561158766549,1.6951683873923977,3.184227803125209,0.6742771119269728,0.7666338251254992,0.9192745224211358,2.476424301165965,3.4274706592674993,3.8867611376093496,3.5990250816732043,4.258710271118064,4.265410540209356,4.26850346849792,4.101054205457036,3.8684210305955196,3.4787382887779454,6.831847453980383,8.060546020397474,7.26060062972,-0.09924208467431195,0.08927885096636734,0.004330807912374575,,
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0.051313320174988145,0.17104440058329382,0.17104440058329382,0.14786071721330968,4.273377173679901,7.2866766175787285,5.3416984199442235,4.029485719361649,5.268306596541315,3.259833946027307,5.598046554597238,9.4447532721596,7.300529187307512,5.648249405516539,10.134789773042236,13.925394131213178,12.850179787988603,10.99022393038548,10.36203998083122,-0.057158430395350956,0.10554313481287747,0.006180756527722163,,
Other Europe,0,0,0.05616892488007126,0.09276698503964065,0.15240290399369535,0.1954732899049571,0.3237973316615873,0.48448780948200676,0.28460205528807436,0.5304369769353998,1.136984716566562,2.2952492447790918,2.476251134549154,2.7031924375378957,2.9698250141030655,4.573539950726658,6.595716922161063,8.547543018359182,16.51457186370389,19.63947281002894,19.752143239064665,21.699609973537136,25.77533691301178,27.56283271678793,27.908271786083635,31.39496700716103,33.08256026451088,35.006654633454275,38.54459130450766,38.8573553929604,36.37539992487295,-0.0638735045910277,0.07061750843863956,0.02169722283933203,,
Total Europe ,0.11809362556336851,0.12934063752178457,0.3253597029011767,0.8103825830463767,2.257731072489596,3.9884905828409085,5.770835337310596,7.399225741595916,7.047880226361982,8.067153415369646,13.069069908961605,16.179777659740385,21.619586153445276,27.28731617750939,40.77443042649026,55.94721718556528,82.39937767711947,112.61974893726664,145.3056268661835,179.1009288337096,204.10471708099138,200.53149714016715,217.31181847524118,234.42336801119882,255.8576370848065,259.7882148496467,251.99483922173494,285.6612816831251,304.39560053761255,308.9547299303981,294.63655818348,-0.04634391501351576,0.05603837711788717,0.17574501098885473,,
Total CIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12077879845253889,0.37838134881499813,0.6191986198646163,0.491593771188414,0.5336501542424095,0.4258475314267089,0.44628055118796356,0.35222945338437034,0.3286010051885287,0.32435733962435886,0.22764990729991844,0.25988571807473193,0.2598802505709663,-0.000021038107850368526,-0.03686920474038913,0.0001550135454132576,,
Total Middle East,0,0,0,0,0,0,0,0,0,0,0,0,0.1434779961059828,0.15967861572879663,0.13090504021444418,0,0,0,0,0.21915041363191304,0.20962208669349477,0.22867874057033136,0.24773539444716797,0.26679204832400455,0.2858487022008412,0.30490480310182383,0.28584870220084113,0.2858487022008412,0.2858487022008412,0.2858487022008412,0.28584870220084113,0,0.02692657559552525,0.00017050322478364262,,
Total Africa,0.11059517077846089,0.11059517077846089,0.1105951707784609,0.11059517077846089,0.11059517077846089,0.11059517077846089,0.1105951707784609,0.16589275616769134,0.16589275616769134,0.11059517077846089,0.1105951707784609,0.11059517077846089,0.5168945588132681,0.5339557554728144,0.5873867035492921,0.6769362423237821,0.7227120926384208,0.7320119863997415,0.8476119639147472,5.069103176286923,1.7907532919887614,2.011726326179814,2.0393426604764198,2.08512250932124,2.3474596520998303,2.891692913646328,2.972877792088333,2.415032295395184,2.7288876058754226,2.739573652583784,2.739573652583784,0,-0.059681057429318285,0.0016341027218295457,,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8628238948998526,0.5172686900098444,0.5158665402163715,0.9542692855691524,1.8685855142981735,3.020846940814778,4.343954291023975,3.3876133661918857,4.098305339972516,4.3293103419263215,4.586956167482029,4.819143268030882,4.255644204847145,2.3504117201699724,1.9914111028254575,2.4233675931043703,2.800414780407187,2.6738098413702986,-0.045209352529727576,-0.0429520189218463,0.0015948758797986746,,
China,0,0,0,0,0,0,0,0,0,0,0,0.08552220029164691,2.8504014697531694,7.827184154783909,9.588564459585212,13.487426396812495,19.713934865725705,21.733676950965727,26.893133029937232,29.47371865449291,28.648773363300158,35.65187179774409,38.06768787681277,42.48788135292961,47.190627891874605,40.18564009729014,38.54283998977745,46.81716142031642,45.152767017325395,54.66921397413797,63.414199169706485,0.1599617876288737,0.06372848618306448,0.037825343869884925,,
India,0,0,0,0,0,0,0,0,0,0,1.6036299762876827,1.6589275616769135,1.7695227324553742,1.8248203178446047,0.35636408472350867,1.4759035542606656,1.3318638499644944,1.785598588984767,2.7423526734178165,2.1058650813663586,3.4148223765477166,4.973897620967667,4.745526784163733,4.518199988081512,4.9258490521777425,9.701366835661949,11.801446286669117,10.818541262244867,18.28265582204378,21.49487132012755,19.747138851807943,-0.08130927802684962,0.26150922471551796,0.011778786569819538,,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16565533042792976,0.8282766521396487,4.070552408239923,8.272100046353902,2.819181616369255,3.6097977648895587,26.732922550921145,32.6615439765808,41.35772292642191,58.54672880695179,23.88426595075835,53.733056521107365,50.34327231936513,90.90085001927524,123.78019444096833,126.3770990237193,0.020979968519838188,0.4596637093539375,0.07538149642255912,,
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0.017104440058329378,0.02719067254954,0.08671363060025529,0.21466630696834674,0.854553467634188,1.5578265809480358,2.884903701168392,4.139348824029486,5.810683567566443,4.6766483036019135,6.7279000701247105,6.918430701040255,7.267425482109907,8.273020821311885,8.278719358586718,8.023862016393107,12.80722808515049,13.11613920892239,12.474616867134234,-0.048910912850921306,0.12224427645147662,0.00744086779968088,,
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05529758538923045,1.005659825837353,1.5586356797296577,2.6851939651766763,9.700605930448635,11.988422447903877,15.63334662219831,17.22667331630725,23.535499272817482,30.1607370684857,33.72229085531745,36.38408368547592,31.44297837718745,37.040159383050195,39.60822711355519,45.40043827213946,43.78088903648813,-0.03567254628564209,0.1424305304168314,0.02611445393014656,,
Other Asia Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018745019930693416,0.0018693804029243433,0.018440035035862317,2.300384138722523,4.270369742147376,7.280655783326859,8.355297214005645,7.636199015593209,15.92857322613334,21.445443131587638,28.063096778994456,34.52302468701482,36.26986500264288,33.63703377949838,32.49321423332288,37.14997297657218,44.793587323466696,41.09338524486903,-0.0826056205741571,0.18283834279939448,0.02451140987375842,,
Total Asia Pacific,0,0,0,0,0,0,0,0,0,0,1.6036299762876827,1.7444497619685604,4.6370286422668725,10.542206490277215,10.606077830710976,16.883617989559024,27.54191793948537,37.97180375076068,60.794598105467614,63.2257881291915,68.14123607628729,109.28889215564793,131.51291145401348,158.09302498343544,190.99509004347718,158.9538865979883,179.78648603299646,187.52762173751802,246.3250686270266,306.05485932016967,309.5611380350955,0.011456373287829003,0.17082099829967734,0.18464723434564817,,
Total World,133.27299176397756,150.2786289808682,144.444761713076,147.9630113575763,164.44922263423953,170.77074720156205,171.4457939170985,197.77219244205503,189.07428311143576,183.1093346227149,175.19582894437303,192.01218649282833,226.65428897448896,280.95072132604787,317.3287004711244,374.4086421265977,478.0917644137145,649.7024464674593,879.1981244444003,977.5584495395665,1125.2311955404423,1195.3857863331668,1215.478944691122,1324.9391983610492,1443.042497106093,1443.6625672326647,1491.2852930011193,1561.8245867118724,1721.1722636068125,1789.8823347932378,1676.500268916112,-0.06334610028442089,0.062351351642514485,1,,
