Petajoules,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,jj,kk
Canada,0,0,0,0,0,0,0,0,0,2.0807036860939414,4.540997472535723,4.773379044568455,4.895773379044568,4.895773379044568,4.909186456795376,5.385350716949025,6.907114948210502,20.159948076447318,21.63086427057545,31.424675028674905,33.6729485338,39.7404258528,38.9874723938,41.3194151518,48.379036957400004,46.2163447458,49.9988,49.68,50.1088,53.268863312,47.99079008034898,-0.1015451667747751,0.054193328497581295,0.012781144430262665,,
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
US,60.23786934343434,69.79943595959595,79.36100257575758,93.00141414141416,103.84661616161615,109.38257575757575,78.43060606060605,103.7958585858586,113.19954545454546,118.03166666666667,130.70752525252527,143.28463106696384,173.7332243375052,227.71622510172446,277.77384405663423,325.8773954384725,424.7258963000586,586.4379917031151,834.5043624811613,945.5175560467984,1114.201130489305,1242.7973381730455,1188.3915944797106,1240.362084284668,1312.5174898292457,1350.4076628839564,1437.2425332032706,1482.901949674425,1527.9842411243417,1486.157247239351,1347.329687971062,-0.09589078691953246,0.04625974635304542,0.3588275022834058,,
Total North America,60.23786934343434,69.79943595959595,79.36100257575758,93.00141414141416,103.84661616161615,109.38257575757575,78.43060606060605,103.7958585858586,113.19954545454546,120.1123703527606,135.248522725061,148.0580101115323,178.62899771654975,232.61199848076902,282.6830305134296,331.2627461554215,431.6330112482691,606.5979397795625,856.1352267517367,976.9422310754733,1147.8740790231047,1282.5377640258455,1227.3790668735105,1281.6814994364681,1360.8965267866458,1396.6240076297565,1487.2413332032706,1532.581949674425,1578.0930411243417,1539.4261105513508,1395.3204780514109,-0.09608644579887626,0.04652352767992518,0.3716086467136685,,
Argentina,0,0,0,0,0,0,0,0,0,0,0.19154172560113156,0.382036775106082,0.382036775106082,0.382036775106082,0.3830834512022631,0.382036775106082,1.269620426328347,7.2282888960303024,25.604245629376972,43.074314980781764,71.6181992218944,93.04133578421184,95.40913450960511,85.81926638651042,110.10392604154369,84.46264034530465,117.96582352822561,130.43473276410114,114.13234323633691,102.78010371025974,61.57182266153711,-0.4025731496538443,0.09086012561229895,0.016398112157646375,,
Brazil,234.0189758591568,262.4688804051198,240.4747699435289,233.27830299398713,256.1911883476369,261.10084910967015,290.7066715667644,319.52527370017964,291.7471679564068,269.18471877301613,222.46271261515815,238.84007513291505,262.112995606887,302.1013766062331,304.68342393695355,333.2442598174983,370.0866005174433,478.487404886109,597.7396056720986,588.5944919960714,652.8297792036334,561.2463255793459,574.6117207824814,667.3541274356496,702.705383345824,753.9309069139558,709.6957394520132,713.9965584680791,857.9737669385198,917.6459702252679,883.7070950971536,-0.03961590479062249,0.04540818676541436,0.23535324168604416,,
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6175505050505051,5.654734916552855,6.080325711480308,6.298134663883537,13.113720057324137,18.90514919603904,23.898845304746914,26.20730153329054,27.134253413920845,28.212846101766644,28.887114930083825,28.10160625945163,25.753388327867462,32.17301947525511,28.715493805027897,26.212022057257272,-0.08967595375024584,0.08153116409469541,0.0069809152789967925,,
Other S. & Cent. America,2.9046887538529393,2.8510928957202273,2.696801124894617,2.1464934359379706,1.9785067663448626,1.7866045754128947,1.6726846662671908,1.5164939924954564,1.2484182148894964,1.4219216439305207,1.3687739962806948,1.3075828061101715,4.999867091590447,6.379459815723343,6.278593318428134,6.571521437124872,12.025489343338519,14.7618069014979,19.572807357184736,7.797729507944025,8.10978715761332,11.131126231304828,11.09693594733077,14.4225517862843,16.24578033185263,17.383262849779086,21.903026527580064,22.002097466638702,24.65173801430732,28.235238608034223,27.437232337991894,-0.03091779736090139,0.13731909192434477,0.007307219337114896,,
Total S. & Cent. America,236.92366461300975,265.31997330084005,243.17157106842353,235.4247964299251,258.1696951139818,262.8874536850831,292.37935623303156,321.0417676926751,292.99558617129634,270.6066404169467,224.02302833704,240.5296947141313,267.49489947358353,308.8628731970625,311.34510070658393,340.81536853477974,389.036445203663,506.5578263951175,649.2147933225439,652.5802565421213,751.4629147791801,689.3176328996095,707.3250927727078,794.7301990223651,857.267935820987,884.6639250391233,877.6661957672704,892.1867770266863,1028.930867664419,1077.3768063485895,998.92817215394,-0.07534777587755115,0.05141306460819117,0.26603948845980224,,
Austria,0.2637684,0.2888892,0.32238360000000005,0.3642516,0.2428344,0.4689216,0.5107896,0.5526576,0.5945256,0.6531408000000001,0.7661669024045262,0.764073550212164,0.9550919377652051,1.146110325318246,2.106958981612447,3.056294200848656,4.584441301272984,9.27325554533178,11.144249568968563,15.425731971768606,16.154598,16.0528,16.0528,15.4098,13.5228,15.6816,17.2968,16.1026,15.884360000000001,15.922080000000001,16.478,0.03208739951542161,0.003172000468613101,0.0043885024099260825,,
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.638698504000001,15.298190388,17.664611616000002,18.72923112,18.390058452,24.077449440000002,16.16858424,15.572342052,18.654036192000003,17.767816236,18.804258576000002,18.729304915623786,-0.006707343664563936,0.12799645315025932,0.004988081063142092,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5589100911881935,3.5698861254384457,9.694438048500507,12.618188945438446,8.697927185812818,11.037877243125127,13.840318886250254,15.463869127125127,18.040725986250255,4.633680396378405,13.05105415650454,11.886059398691726,14.220714682790861,16.35163901618992,0.14670484364543723,0.039058210248147374,0.004354849328121788,,
France,0,0,0.09449607600000001,1.05256152,3.417936048,6.7009734000000005,9.642786552,11.543761224,10.791602604000001,11.344511412,13.593116088,13.560835860000001,14.525181504,15.948316692,16.7178924,27.006116040000002,28.318007952000002,47.20981251600001,87.04415815200001,97.40058476400002,94.949548308,94.478658912,110.260927116,102.79213646400001,103.97155802400002,110.53068264000001,101.138811012,98.24966780400001,113.38386123600002,104.52865363200002,96.44044349793818,-0.07989874855718637,0.007087902804352231,0.025684495612637567,,
