Million tonnes of carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,260.3284936282468,271.69513455453546,285.54306489553164,308.2821736427875,320.4558016641851,344.911565541209,351.5879037528839,367.98215192557393,393.7246878275156,400.18312616415716,398.06554255068255,412.8802689133746,436.3894794105005,424.59371305846724,430.7089894781361,440.58174584176777,420.67008040106765,406.96533224392033,387.9874637077377,408.4266514974143,403.47308129281083,393.38521382807176,406.72509586172345,437.3821959532176,457.3823517133336,444.83044956203656,427.99079486014256,441.941200670212,438.44546998548896,453.15328706710625,471.48365456535555,480.5603833871806,493.9847742805567,508.3372475416538,513.2305162427105,533.1058592467979,535.8367508779401,548.6536674158207,557.7644344714033,555.3070068835219,556.5251487047287,548.9602944751176,574.7081903165376,560.9466403971188,532.9279889496937,547.0650183054192,551.3763969586166,547.5332800703541,561.2743540658159,567.5421582239634,566.2866725419229,550.3826670647467,563.0598237692126,573.3468934145392,575.6802339900951,515.1370740326987,-0.1076129327428218,0.007746454458664953,0.016106264640328927,,
Mexico,62.133328844078534,65.05567306097339,66.64749812024222,72.17091106329883,79.10671585631259,84.17217964884058,89.46165038726055,99.66788001717669,107.67402467599426,120.85930368650455,131.13171875673893,138.87263359871432,146.52959479861119,165.14394542571245,180.23013829726767,198.12399944634657,210.9644564870876,221.33768687800725,217.82706829430595,226.52933227869337,233.8951032989347,230.37299775975035,239.9327291722163,240.9573575583973,253.8719441081531,267.70740347608944,277.1171529674342,279.9878579149584,283.9692021702533,307.61711019111885,294.8561024683502,306.29824538639906,319.9274898240613,337.0906501372895,333.90329963114596,353.8471953864156,352.34912308147665,371.5738138668262,372.85309448294163,390.43884137941905,416.5884367746028,427.3394916785865,429.60109981776384,432.23491395594914,433.5446714009633,442.61352013592386,465.8449648485999,473.97299990932794,472.83736830418627,459.63659339894025,463.12194837424244,468.78963216903844,476.9468961378037,467.96542815104937,449.0827515108774,359.6847789547044,-0.2012562663557883,0.0035274401692984014,0.011245896536996201,,
US,3451.8918551264583,3639.7950043545584,3738.1613189062896,3947.343458795929,4117.396246838984,4271.528131641037,4309.068601012936,4525.83078043111,4739.462447076081,4567.579913263272,4386.80029644951,4647.562781032391,4791.3366931107685,4833.699474160531,4921.1426864542855,4742.374464136709,4596.205925640753,4371.094213955015,4332.116761017128,4558.841566243616,4576.006628578852,4598.185590403405,4749.853539878592,4969.13823797123,5058.078032275492,4970.491813778703,4922.618223180497,5004.921294075497,5117.553324474171,5195.388786708997,5227.893828667582,5407.639017456004,5483.026085509747,5524.139126507641,5574.140177578096,5740.684611644673,5650.668381203051,5672.34714145711,5737.631580081824,5838.882108418122,5873.173025715361,5795.223479910083,5884.218845092296,5700.862058170965,5289.244884864145,5485.723766338968,5336.762528239315,5089.841446082154,5249.560142701808,5254.554918389614,5141.34317621885,5042.548370660761,4983.7198360073935,5137.478248573599,4994.488074250367,4432.249418556381,-0.1149964957858356,-0.0057176489296142385,0.13857861467505586,,
Total North America,3774.3536775987836,3976.545811970067,4090.3518819220635,4327.796543502016,4516.958764359481,4700.611876831087,4750.11815515308,4993.48081237386,5240.861159579591,5088.622343113934,4915.997557756932,5199.31568354448,5374.255767319881,5423.437132644711,5532.0818142296885,5381.080209424824,5227.840462528909,4999.397233076943,4937.931293019171,5193.797550019724,5213.374813170597,5221.943801991227,5396.5113649125315,5647.4777914828455,5769.332328096978,5683.0296668168285,5627.726171008073,5726.850352660667,5839.967996629913,5956.159183967222,5994.233585701288,6194.497646229584,6296.938349614365,6369.567024186584,6421.273993451952,6627.637666277887,6538.854255162468,6592.574622739758,6668.249109036169,6784.627956681063,6846.286611194693,6771.523266063788,6888.5281352265965,6694.043612524033,6255.717545214802,6475.402304780311,6353.983890046531,6111.347726061836,6283.67186507181,6281.733670012517,6170.751797135015,6061.7206698945465,6023.72655591441,6178.790570139187,6019.25105975134,5307.071271543784,-0.12072597998073364,-0.0038458865520921703,0.165930775852381,,
Argentina,82.17511955381875,84.5268077745292,86.85252533157725,89.32424340418942,92.18356390517462,85.89549342701625,90.8046290841004,91.59077825526747,94.93613998407608,97.13421099171056,93.2338931465627,97.78817752348904,102.09409934839401,99.46544232903737,106.06428513778464,101.64301392307488,97.21586747699311,97.17400985633158,100.18643298730018,97.79747212924886,94.63607653047673,100.00370471989535,104.6175995170422,109.94354351915639,107.20245908153332,100.25377273328897,102.83215622645719,108.88215951022435,107.67447760818925,113.9810765285729,118.9243480702577,126.33340564854142,125.01102053648104,131.95225995491774,136.43007543947402,131.38909338566035,120.6907087195809,115.99943181110918,125.41285225123828,137.10844917527575,145.27246745590872,151.17958578575582,164.52971422179087,166.02396145074766,158.20631940789866,167.09394844909824,173.08975688111101,181.8978539678542,187.8259290312755,187.8105582300631,191.2608003873265,190.1644727162439,188.4835364684119,185.89785041883653,173.7871073470518,161.81792431752933,-0.07141673910835378,0.009437356530435759,0.005059395729769218,,
Brazil,51.52221130364139,56.16622972033154,58.01140180758516,68.1465499147056,74.25741433356735,83.8801547179685,92.17066158694169,103.54554592301999,123.61192935981583,133.36169947976703,139.22213035866162,149.49581957771287,156.02665334605982,168.39216689656533,176.38009615482932,175.76922515385786,167.32057457998079,167.89301842984267,162.70650593586961,169.693387128348,176.8443007215071,191.73274238887686,197.59978612582194,201.13629495350284,205.1084198609801,196.589009467209,205.9536834612458,216.31949396932492,227.2281650341583,237.22860158169877,251.65523404619518,270.7867768842079,283.8499933377842,294.4027378077894,297.3888062691333,301.7108578742268,311.02060757262626,311.10447198866177,308.2331121186807,322.8653159082414,329.98089042224797,335.42044197540645,349.81974392351594,373.03181407406163,350.5021598556477,398.3290333375665,423.7616565744254,442.8574167256036,482.87260711540995,504.5274558017254,487.64302258059774,450.7072761950173,458.0117357364391,443.13456823344285,442.2551795982813,415.20098021473194,-0.06373837908884361,0.023524453245878263,0.012981664887582841,,
Chile,16.70436529452813,17.92339065555647,18.252534745405185,18.728528732725866,19.85040706261234,20.933188283161858,22.3880568706,22.3732721536,21.6033978933,20.712262739200003,17.959126213599998,18.916770531700003,19.552914064800003,20.7866032416,21.542211931199997,22.092953377000004,22.5319362315,19.2147644407,19.4043039019,20.623244638899997,20.2452904726,20.8748165259,21.593906048999997,25.5248820531,30.775054120000004,31.6873950306033,32.71346253588798,33.39317273279582,35.61356699511901,38.7777666898191,42.28093161263976,47.64945571028124,54.937400023925726,56.357503037934045,58.340954664079426,56.352876652782875,53.7877391926375,55.28781118499764,55.288287024073604,60.237774354879875,61.53385009220462,65.43660975695641,76.46674358487694,77.40180611453731,74.37199043524069,76.07385531102346,87.00444749736995,89.37793466876299,91.12136758839785,88.41505145919933,88.91919325619848,94.06294884436294,92.39358227206068,92.9884489131728,94.59507961201732,87.65329874953463,-0.0759159015376969,0.02434420351739086,0.002740566147192513,,
Colombia,21.308531378001824,23.052586739215304,24.36844865194753,25.21409778616887,25.320420938761078,27.66261055444976,26.2029254154296,29.349780427013606,28.5913596490808,32.3046523902424,32.66994637504428,33.79688499374694,34.53684693670138,35.841788785073156,37.624094896027195,37.4073867762714,38.49827205846138,39.951172118779766,42.500596585878824,42.71783497294389,44.02678632185259,43.65232428962844,48.22764508748097,46.406976726806015,48.799640409195185,41.979376780745696,44.57579105305249,52.67758404245391,55.29207047146931,58.328211026966834,58.78166252236647,57.49973783213405,62.71066993240353,63.33051310702337,54.97452953774096,54.92062563614857,52.905749418041395,50.54170803818149,52.33944860828389,51.877272609578974,50.88352866508146,60.77582527001162,59.37957426834836,66.63895754275644,66.77544257494473,72.09492835638855,69.05462666751222,77.49967140599665,80.54587170125409,85.58898549795201,86.71032472263316,91.50118859033633,85.5994035858698,87.55215336094498,93.86547916540087,91.87833342729151,-0.023844542806351954,0.0346391615821422,0.002872665990253313,,
Ecuador,2.0685126201,2.1505593794,2.3124342583,2.7633608443,2.9319866589,3.4808998979999997,3.8028869143000006,3.8394284029000003,4.3208075135,4.8103891715,4.8339064213,5.6202178901,6.801588670199999,6.9313611588000015,7.3101045924,9.1544504425,10.032192733099999,10.9251941391,10.063309680300002,10.600992586900002,12.822463053400002,13.015417909400002,13.063830577400001,15.6093397031,15.811178269900001,16.6083314873,18.7324157998,18.793553170699994,18.8114830422,20.230637706,19.9085392409,22.4990330735,25.700879439599998,25.662498014100006,22.4424368358,20.265145769000004,20.8734800773,20.27988087040703,20.374455790279505,23.08998027524646,25.221076082757136,26.712739381129868,26.991410978632025,27.468618794281642,27.888094495783925,32.12697652375151,32.73202812596126,34.16423868246637,36.43904516858048,38.37545218296082,37.5058816349226,35.404932209150175,34.28329992189472,36.99068453127906,35.59806798687,28.5697502055486,-0.19962817113371523,0.02470949091200847,0.0008932611934070368,,
Peru,12.5291418187755,15.395373486722582,15.488571208512441,15.669609125870384,15.65376926691653,16.41350450756011,16.423961628000004,14.2262462206,16.641077396500002,19.624896218099998,20.069763798900002,20.133854507100004,20.156724927400003,19.9056969286,20.675030921099996,22.2275339157,22.7767748735,22.5002393526,19.4818586736,20.262412331100002,19.583881711500002,20.8505800461,22.4758516352,22.2360205398,19.845181556300002,19.555756598400002,18.6274144363,19.244468155400003,19.946498380000005,21.5829566245,24.282285599300003,25.5028735382,25.800466663500004,25.3903007521,25.9180056507,26.046162586100003,24.4055329076,25.093490591793824,24.298160219632027,27.431789306736725,28.564229464158224,27.21393405637295,31.014409553824212,34.37952892430653,34.501295432554194,40.18627734017682,45.0668860639492,46.08857225827235,46.955051564759835,47.89703267237855,50.25740852646491,54.93617120307864,53.94366923318078,56.65835074818791,56.48271668182919,44.2724282032944,-0.2183190207826894,0.050528931881450356,0.00138422078482932,,
Trinidad & Tobago,7.661584731684099,8.002955986064961,8.471639321250176,8.701003209322547,9.021076655879375,9.71819515030364,9.874022382005352,14.30480784170359,14.17855351202231,13.312792719033668,10.212259224191273,11.707735517229734,11.745097789183905,10.954722488434891,9.140962926883295,8.572897496274273,9.581508298606003,9.918522339415363,8.96657471795539,8.144059634377733,8.400688682144152,9.102786516232014,7.953888158870611,8.327784275343387,8.034797901868213,9.647707117483904,9.080805328263724,10.590707706214408,10.678017690168868,10.151326472646875,11.26452835202136,11.79266014608326,10.799844830185187,10.279395435145908,12.406487726009368,13.168703643866994,13.92110786376486,15.692231892255013,18.128876867159313,19.2006361348729,19.06592590325059,22.40058043431292,23.632824377756393,23.772696787045128,22.198191880763428,24.69715560790286,24.62197586680946,24.216799085498383,25.52778010398237,24.77252012841457,23.95023767556884,22.144314313295958,21.29757715520388,20.62945502588035,20.291204438264444,18.174608696383572,-0.10675823356279524,-0.008942111915779094,0.0005682469233029739,,
Venezuela,43.74159393077423,44.03436087893977,45.99482935916801,48.95232768645293,49.1021850040062,49.36144939871393,49.54257185294116,52.286282898421845,59.67673902123815,60.831640813997126,62.70732005834718,66.19018512828436,73.9136003601402,75.18777516062016,83.1524103534944,95.36750152859115,99.21972327412112,99.8414220285627,98.37363662882697,98.4707240014911,99.99177676446634,105.7546399543998,101.24808602999569,103.63203781549866,106.40825160303386,112.20272245082054,106.24002939576368,117.54415311510907,114.73610102990992,124.90475944524987,128.17358503788319,119.37184105194792,127.15459807606354,137.8834930491438,138.61234936593917,142.0648170352,151.7627227892362,156.2696886274885,144.36368688702976,152.8689706168638,153.64615237068094,160.08263548047668,171.4939348919281,165.35569133108126,166.22310104844266,167.4295352051385,167.30416076388897,177.91817399320107,183.3924161508397,173.33001241576642,172.20115624615295,149.2831349533167,146.32272536017808,119.5828790830533,91.15508586994973,69.57608882192177,-0.23881383516465937,-0.05830784501603736,0.002175364491692112,,
Central America,12.345507106821632,12.453497368721598,13.12097420401707,13.381755483557939,14.222506662874833,14.702682410889171,15.407840261711783,16.848888126488973,17.684992171015743,17.835268320087263,19.838429609344878,20.3055052390243,20.541549030003317,20.796560713583126,20.821989010099085,19.566548151892622,19.465932536053156,19.45844000037534,19.211759706376757,18.729226433663865,18.754361806719952,18.761004593393697,20.15454941261115,19.5313667550631,20.352866974775747,21.085472598630602,23.094313160455673,26.306854739038254,28.113904839608107,30.79456133743919,34.06937609847518,33.43416192402195,35.99212139363824,41.37787239661673,40.7871598772543,42.73379075857987,45.942144716418994,46.087114946462506,48.21063013752907,49.30297784968636,48.66818607288948,51.69712985770322,54.363520416735135,54.883694479925175,53.67309981583753,54.750100130266475,58.72980366055887,59.64846340233511,60.57680583900614,62.647239928399706,68.7481504815768,71.49502765774587,70.97330494688592,71.2832795868238,79.87904903888835,68.68198571485436,-0.14252446867721114,0.04056118253416119,0.0021474094832408,,
Other Caribbean,48.6770947388761,50.14459697393307,52.22692718907984,53.332490736475286,56.416930008590064,70.2379927022538,71.37429493577683,76.44594372186941,82.69888521302158,81.8888281289982,79.2935273194064,80.46471155188644,84.6936394652918,86.28008550716602,88.83061264623109,99.12611030788659,99.82115379245286,87.27005704343931,83.67489641570864,88.77900739730022,83.2360220440424,81.35398881173369,85.12641419716698,85.2341250737917,89.71380976736268,89.28270120703664,84.87464857791215,83.3046042266312,84.48119981041405,89.37508863947888,87.30674517597453,88.61171840081985,93.98226913304259,96.95195120785698,90.46189983151032,106.42351248087584,113.94704696479617,113.18032357895788,117.63566868051393,120.31139091080959,120.46939407834763,124.74976258733759,123.45837943076053,115.86846114808168,109.83815364215604,108.92447795580983,111.1143611955715,108.34358595972837,105.67898727546175,105.31436785366941,108.59042726226458,112.31276120190196,108.36401983582039,111.8258963754196,115.72390805049328,108.97916891696242,-0.0608560196790181,0.00523357750527409,0.0034073403436466494,,
Other South America,7.211859802692994,7.49520961265343,8.0569121121903,8.290168161978636,8.93001203994541,9.168393482767929,9.864719271560086,11.44886091302251,11.586221380399497,10.502061111164874,11.950407010434397,12.196816400074542,12.873657792116852,14.845499972421475,15.607118581538261,15.18977388657458,14.664238260290865,13.800460658911893,12.003982254666093,11.856024219217563,12.621209716544477,12.669154490854492,12.990037729578368,14.560285712097373,14.851284575418488,14.131422633266773,14.745131310792289,15.434187682707176,16.112221554505048,17.954258990146553,20.41565582601254,21.002612861114166,21.27592425464645,21.840490340316155,23.607069136350376,20.375999374894864,19.753465166204972,19.810723883944416,21.334023513146466,23.05403883143459,23.121211263063795,23.323376416995977,25.311669995473377,28.03843330428449,30.262610902903948,32.293408975284656,33.41295323311942,34.561550891748645,34.76145520196773,35.157858760553054,36.04539345680408,37.45318455517277,38.65223918853788,40.48188529751937,40.54122359024389,34.664121866038656,-0.14730222501531276,0.029672338418387678,0.0010838076862306984,,
Total S. & Cent. America,305.9455222797147,321.34556857606793,333.1571981890329,352.5041350857476,367.8902725372279,391.4545645330849,407.8565702033669,436.2598348839074,475.53010309396996,492.31870208380104,491.9907095357927,516.6166788603481,542.9363717302913,559.3877031819014,587.1489171515872,606.1173949596233,601.1281741150593,587.9473004080587,576.5738574883824,587.6743854734914,591.1628578252537,617.7711602464142,635.0515945201678,652.1426571272597,666.9029441203674,653.0236681047855,661.469851285931,702.4909390505989,718.687706455742,763.309245042519,797.0628915820262,824.4842770708514,867.2151876212706,905.4290151029444,901.3697743339911,915.4515851973359,929.0103053882074,929.3468774142594,935.6192020975665,987.3485959736267,1006.4269118705907,1048.9926210024594,1106.4619256436415,1132.8636639511087,1094.4404594921734,1173.9996971924072,1225.892656530277,1276.5742610414675,1335.6973167409353,1353.8365349310827,1351.8319962305104,1309.4654124396227,1298.3250937044834,1267.025451574561,1244.1741013792903,1129.4686891340912,-0.0946743644153758,0.012905435593294046,0.03531394366114747,,
