Million tonnes of carbon dioxide,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,yy,zz
Canada,2.796136199999996,2.5401518999999966,2.4416963999999965,2.6386073999999966,3.1505759999999956,2.4023141999999966,2.9733560999999957,2.9930471999999955,3.1505759999999956,4.3714241999999945,5.080303799999993,4.922774999999993,5.237832599999993,5.375670299999992,4.962157199999993,4.942466099999992,5.040921599999993,5.277214799999993,4.7258639999999925,4.686481799999993,4.942466099999992,4.745555099999994,4.450188599999993,6.222387599999992,4.844010599999993,4.863701699999994,4.233586499999994,4.509261899999994,4.272968699999994,3.9382199999999945,3.7806911999999944,4.135130999999994,3.7806911999999944,3.662544599999995,3.1702670999999962,3.0521204999999956,3.308104799999995,3.6034712999999954,3.3075948028244677,4.267273237254411,3.86845272727578,2.8677544932136523,2.852936009707987,2.8640956980432426,2.3169292519070144,2.5196493672805613,0.08452387025784835,-0.030870771499947547,0.008385067061456098,,
Mexico,10.534738499999985,10.318136399999984,8.03396879999999,14.532031799999977,7.403853599999988,8.703466199999989,13.96098989999998,12.99612599999998,8.84130389999999,6.183005399999991,6.025476599999991,3.859455599999994,4.213895399999994,2.8355183999999958,2.4416963999999965,2.146329899999997,2.106947699999997,2.1857120999999973,2.8552094999999955,2.7764450999999957,4.351733099999994,9.156361499999988,14.37450299999998,15.575660099999977,9.530492399999986,9.156361499999988,7.0691048999999895,5.415052499999993,5.178759299999992,3.111193799999996,3.701926799999994,5.513507999999991,11.125471499999986,27.13433579999996,20.301524099999973,12.208481999999982,7.12817819999999,2.7370628999999957,10.34777014498557,11.543533482359377,12.103335124822056,11.654004023757143,9.12905258152088,9.153110930046768,10.67576373470939,13.531135397784304,0.26399997394258,-0.062250090122947466,0.04502986772739724,,
US,7.46292689999999,7.364471399999991,7.620455699999988,8.545937399999987,9.313890299999988,6.970649399999991,5.4741257999999915,5.178759299999992,5.2969058999999925,6.025476599999991,5.2969058999999925,5.454434699999993,6.91157609999999,7.915822199999988,7.915822199999988,8.368717499999988,9.471419099999984,9.372963599999986,6.5177540999999914,12.720450599999982,15.831644399999975,14.669869499999981,14.27604749999998,13.055199299999982,6.123932099999991,5.080303799999993,5.415052499999993,5.513507999999991,5.4741257999999915,5.375670299999992,6.635900699999991,7.226633699999988,7.994586599999987,9.294199199999985,9.195743699999989,9.254816999999989,11.676822299999984,11.696513399999985,18.747424505606862,23.00515507018227,24.226973400911188,18.257862485074966,19.45910588453932,28.553527828919588,34.901288555626195,24.97038131624808,-0.2864975116607763,0.1426821948715078,0.08309819794999929,,
Total North America,20.79380159999997,20.222759699999973,18.096120899999974,25.71657659999996,19.868319899999975,18.07642979999998,22.40847179999997,21.16793249999997,17.288785799999978,16.579906199999975,16.402686299999978,14.23666529999998,16.363304099999976,16.127010899999977,15.319675799999978,15.457513499999976,16.619288399999974,16.835890499999977,14.098827599999979,20.18337749999997,25.12584359999996,28.57178609999996,33.100739099999956,34.85324699999995,20.49843509999997,19.100366999999974,16.717743899999974,15.437822399999977,14.925853799999977,12.425084099999983,14.118518699999978,16.875272699999975,22.900749299999966,40.091079599999944,32.66753489999996,24.515419499999965,22.11310529999997,18.037047599999976,32.4027894534169,38.815961789796056,40.198761253009025,32.77962100204576,31.441094475768185,40.5707344570096,47.8939815422426,41.02116608131294,-0.14584077006660467,0.039002177832663465,0.13651313273885263,,
Argentina,4.686481799999993,5.218141499999993,5.867947799999992,6.005785499999991,7.28570699999999,7.0691048999999895,5.907329999999991,6.399607499999991,5.966403299999991,7.16756039999999,7.12817819999999,5.533199099999992,4.7258639999999925,5.808874499999992,5.2969058999999925,5.198450399999993,4.647099599999993,4.5289529999999925,4.5289529999999925,4.430497499999994,4.332041999999994,4.135130999999994,3.8200733999999947,2.4613874999999963,1.7721989999999976,1.2208481999999983,1.2602303999999982,1.6737434999999976,2.166020999999997,1.7131256999999973,1.338994799999998,1.358685899999998,1.6737434999999976,1.6934345999999976,1.7525078999999975,1.7131256999999973,1.6737434999999976,1.850963399999997,1.6042490280688197,1.7338761376743437,1.5063541622313341,1.286311823022373,1.2018394284038179,1.5628348363820228,2.0308055703752452,2.3151379334928137,0.1368948626562565,0.014847616734764424,0.007704479472796642,,
Bolivia,0.9254816999999985,1.1617748999999982,0.728570699999999,0.7876439999999989,0.5907329999999991,0.39382199999999945,0.39382199999999945,0.31505759999999955,0.37413089999999943,0.29536649999999953,0.23629319999999965,0.19691099999999973,0.19691099999999973,0.19691099999999973,0.19691099999999973,0.19691099999999973,0.19691099999999973,0.19691099999999973,1.9888010999999972,2.7567539999999955,0.9845549999999986,0.9451727999999986,0.9451727999999986,0.9451727999999986,0.7088795999999989,0.5119685999999992,0.35443979999999947,0.5513507999999993,0.6104240999999991,0.35443979999999947,0.37413089999999943,0.29536649999999953,0.2756753999999996,0.31505759999999955,0.2756753999999996,0.2756753999999996,0.5119685999999992,0.45289529999999933,0.09034031626379249,0.10004261963408251,0.10843752013193692,0.08517833642121457,0.06972404552670705,0.07680411294569046,0.08447908359348433,0.11634534421285203,0.37344601554919676,-0.11154564999893035,0.0003871822509041708,,
Brazil,0.728570699999999,0.7876439999999989,0.7876439999999989,1.2011570999999983,0.7876439999999989,0.8664083999999987,1.2208481999999983,1.5359057999999979,2.6976806999999963,3.1899581999999955,3.1505759999999956,2.4023141999999966,1.9100366999999974,1.7918900999999976,1.6934345999999976,2.047874399999997,1.949418899999997,1.7918900999999976,2.0084921999999974,2.126638799999997,2.126638799999997,2.4023141999999966,3.1505759999999956,3.9382199999999945,4.489570799999993,4.666790699999994,5.040921599999993,4.213895399999994,3.209649299999995,2.8945916999999954,4.863701699999994,3.642853499999995,3.8200733999999947,4.292659799999994,6.73435619999999,4.765246199999993,3.4459424999999952,2.8355183999999958,2.9659091816082417,3.4331097027183133,3.03924927570016,3.373467362414375,2.624032962004235,2.3951266461152736,2.651199198689844,2.3096484157452815,-0.13120903850362708,-0.08900786484999235,0.007686211068055155,,
Colombia,1.3783769999999977,1.4374502999999978,1.457141399999998,1.1814659999999981,1.0042460999999987,1.1027015999999985,1.1223926999999982,1.0633193999999986,1.398068099999998,1.2799214999999982,1.1814659999999981,0.9845549999999986,0.7876439999999989,0.5907329999999991,0.4922774999999993,0.39382199999999945,0.39382199999999945,0.39382199999999945,0.39382199999999945,0.39382199999999945,0.8860994999999988,0.9451727999999986,0.9845549999999986,1.1223926999999982,1.1814659999999981,0.9845549999999986,0.9845549999999986,0.9845549999999986,0.9845549999999986,0.8860994999999988,0.6891884999999989,0.6891884999999989,0.6891884999999989,0.8860994999999988,1.1814659999999981,1.338994799999998,1.398068099999998,1.516214699999998,1.7348039177767378,1.6927657085236179,1.6068090238551525,1.2058086200664582,1.082536592677946,1.0453882339263678,1.057340900818797,0.8105307069181973,-0.2355198389476444,-0.011038510359988152,0.0026973413130945904,,
Peru,1.1617748999999982,1.5949790999999978,1.4768324999999978,1.1814659999999981,1.8706544999999972,1.7721989999999976,1.398068099999998,1.6737434999999976,1.6934345999999976,1.8115811999999973,1.850963399999997,0.9648638999999986,0.7679528999999989,0.5907329999999991,0.5907329999999991,0.5907329999999991,0.5907329999999991,0.5907329999999991,0.4922774999999993,0.4922774999999993,0.45289529999999933,0.4332041999999994,0.7482617999999989,0.35443979999999947,0.3347486999999995,0.3347486999999995,0.3347486999999995,0.37413089999999943,0.37413089999999943,0.4922774999999993,0.4922774999999993,0.5907329999999991,0.4922774999999993,0.4922774999999993,0.669497399999999,0.6498062999999992,0.31505759999999955,0.29536649999999953,0.3704396234830978,0.4999019546361277,0.5464365950625018,0.3792265765177155,0.27340942746907093,0.25240821541524994,0.2189222974284254,0.28408941254726855,0.2941267988436167,-0.1057599630165651,0.0009454128048893988,,
Trinidad & Tobago,3.4262513999999946,3.6231623999999947,3.7610000999999946,3.465633599999995,7.797675599999988,5.690727899999993,5.3953613999999925,5.6710367999999916,2.3432408999999965,2.717371799999996,6.65559179999999,6.5177540999999914,6.77373839999999,6.95095829999999,6.8918849999999905,5.454434699999993,5.415052499999993,5.139377099999992,4.7258639999999925,5.119685999999993,5.139377099999992,4.942466099999992,4.745555099999994,4.706172899999994,4.784937299999994,1.5752879999999978,1.9100366999999974,1.1814659999999981,0.8860994999999988,1.2405392999999982,1.9691099999999973,2.6582984999999963,2.067565499999997,1.5752879999999978,1.4768324999999978,1.398068099999998,1.398068099999998,1.2799214999999982,0.7805989774048934,0.6603889577154405,0.5793775199295912,0.4709811397767631,0.46879450721530913,0.45044902383608487,0.8448029969045818,0.3986412322049729,-0.5294144907545515,-0.05432388434714108,0.0013266264381491578,,
