a,b,c,d,e,f,g,h,i,j,k,l,m
1987,31.3,-,-,-,53.43916666666666,41.28166666666666,-,,,,,
1988,39.94,-,-,-,55.064166666666665,42.465833333333336,-,,,,,
1989,42.08,-,-,-,58.68416666666666,48.8625,-,,,,,
1990,43.48,31.591918000000003,-,-,60.53666666666666,50.814166666666665,-,,,,,
1991,42.8,29.01053181818182,-,-,60.45,50.29583333333334,-,,,,,
1992,38.53,28.534538636363642,-,-,57.81583333333334,48.45416666666667,-,,,,,
1993,33.68,29.853958333333335,-,-,55.258333333333326,45.711666666666666,-,,,,,
1994,37.18,31.716177272727272,-,-,51.765,43.66166666666666,-,,,,,
1995,44.5,27.00635,-,-,54.468333333333334,47.575,-,,,,,
1996,41.25,29.86230909090909,-,-,56.67916666666667,49.53583333333333,-,,,,,
1997,38.92,29.76,-,-,55.51,45.52833333333333,-,,,,,
1998,32,31.003106083333336,-,-,50.75666666666665,40.50666666666667,29.476785714285715,,,,,
1999,28.79,31.294297,-,-,42.830833333333324,35.740833333333335,27.81746913580247,,,,,
2000,35.99,29.90448041666667,-,27.52109363476392,39.69416666666666,34.58,31.759444444444444,,,,,
2001,39.03423076923077,50.154650000000004,37.689875,31.784010517913995,41.32916666666667,37.961666666666666,36.8945987654321,,,,,
2002,31.649615384615387,33.197984409722224,31.474741666666663,33.19486597604571,42.01333333333334,36.899166666666666,30.406666666666666,,,,,
2003,43.59788461538461,38.52270579861111,39.61259583333332,31.7443731971024,41.57,34.74,36.52919753086419,,,,,
2004,72.13433962264152,64.90173993055556,74.21583333333334,42.760458735920174,60.96,51.34,72.41666666666667,,,,,
2005,60.53923076923078,70.12235520833333,64.62308333333334,51.341535682019334,89.33,62.91,61.839999999999996,,,,,
2006,64.10807692307692,57.81671568627452,65.2175,53.526239931258694,93.4625,63.03583333333333,56.473613580246905,,,,,
2007,88.78519230769233,49.73318235294115,95.58603333333333,61.22782584378276,88.2425,69.86083333333333,84.56500000000001,,,,,
2008,147.67365384615388,117.41764441176473,157.8775,104.97216258084855,179.02666666666664,122.81,148.05833333333337,,,,,
2009,70.38884615384615,60.734610192307706,83.58666666666666,87.861704444851,167.8225,110.10666666666668,78.80666666666667,,,,,
2010,92.35245283018868,67.87412249999997,108.46531666666668,110.07920921928324,158.94583333333333,105.185,105.43083333333334,,,,,
2011,121.48000000000002,84.75498245098039,126.13083333333337,127.26840109273667,229.1233333333333,136.20833333333334,125.73666666666666,,,,,
2012,92.4996153846154,67.28136607843139,100.29833333333333,111.8897121435553,191.46416666666667,133.61333333333332,105.50416666666666,,,,,
2013,81.68903846153846,69.7172329411765,90.065,95.41863176337347,140.4466666666667,111.15749999999998,90.89666666666666,,,,,
2014,75.38076923076925,67.08414083333335,76.13,84.11642746675791,114.41333333333331,97.65416666666668,77.8875,,,,,
2015,56.79403846153845,51.566441923076916,60.09588333333335,67.53187948225752,93.84499999999998,79.47,63.516684540700005,,,,,
2016,59.869125786163515,51.447732692307724,71.65796034482759,71.34886254898642,89.39833333333333,72.96666666666667,71.12264241666666,,,,,
2017,84.51041346153846,63.82528980769234,95.5655203,94.72347100258668,150.0025,99.16249999999998,99.42222066599,,,,,
2018,91.82705769230766,72.84401163461538,112.73331235632183,99.44675211959856,158.49249999999998,117.39083333333333,111.69308642736206,,,,,
2019,60.85524999999997,57.16398379006199,85.47811526819923,85.8911013678197,148.51833333333335,108.58083333333332,88.98251221064366,,,,,
2020,50.27679166666667,42.77,69.77166666666666,83.09520833333335,108.41,80.5,71.33166666666665,,,,,
"† Source: IHS Northwest Europe prices for 1987-2000 are the average of the monthly marker, 2001-2020 the average of weekly prices. IHS Japan prices basis = 6,000 kilocalories per kilogram NAR CIF.",,,,,,,,,,,,
The Asian prices are the average of the monthly marker.,,,,,,,,,,,,
"Chinese prices are the average monthly price for 2000-2005, weekly prices 2006-2020, 5,500 kilocalories per kilogram NAR, including cost and freight (CFR).",,,,,,,,,,,,
"‡ Source: S&P Global Platts ©2020, S&P Global Inc.  Prices are for CAPP 12,500 Btu, 1.2 SO2 coal, fob. Prices for 1990-2000 are by coal price publication date, 2001-2005 by coal price assessment date. 2006-2020 weekly CAPP 12,500 BTU, 1.6 SO2 coal, fob.",,,,,,,,,,,,
Note:  CAPP = Central Appalachian; CIF = cost+insurance+freight (average prices); FOB = free on board.,,,,,,,,,,,,
