Exajoules,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
Imports,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.5756281839636042,0.5583389592954304,0.5058199332756826,0.6337034258327515,0.5275788845662227,0.607986615835206,0.6087301996137633,0.5609745925663827,0.6732830320701083,0.35746043720270854,0.36394911742298536,0.2358280159015316,0.23085294034115728,0.21906910693403983,0.25526253812525096,0.2183581573253577,0.18618592994218613,0.21724181110597657,0.23465707539062824,0.2073421320441682,0.177345650839268,-0.14700838591253773,-0.05300876844071656,0.005579736753718635,,
Mexico,0.0863191119996834,0.10860237651769251,0.16634074901870205,0.20818171600219737,0.1241133622576213,0.21251775476070042,0.2248965637818251,0.16115884765059166,0.13037490522601053,0.18044777517574376,0.21644075819821687,0.20534707530124793,0.2190167768545422,0.20290587451027212,0.22048011481405244,0.22632187577735383,0.21145963939061738,0.34143587183342283,0.3371981441299368,0.24492599183952826,0.031671592814525654,-0.8710424395111865,0.03102295430933366,0.0009964673485913901,,
US,0.4220436545059423,0.5604555265806211,0.5074590872316949,0.700526733463488,0.8507557154451904,0.8432918844941553,1.0034393905064503,0.960047481819707,0.9322716128652403,0.5690452624448936,0.5083852244796452,0.3577076182771896,0.2655242159244162,0.23636067671511976,0.28028424734825114,0.2815130939825989,0.24937101841572118,0.19264899248334696,0.14972509852189034,0.1669722473122233,0.14187162399743367,-0.1526496235934346,-0.11539427024950633,0.004463635341391487,,
S. & Cent. America,1.4000690329829057,0.5094650276039505,0.5082030135554746,0.5969518470968411,0.647426888189907,0.6229577704033294,0.6308789856853296,0.7116510975619976,0.9918061701693893,0.6674092876729616,0.849475903918808,0.9896315585984937,0.8798338709029097,1.0550349176648044,1.0599342827726268,1.003706866403492,1.060194840002263,1.2119652118584432,1.192313382156837,1.116174754153042,1.0362975819198492,-0.07410003324632031,0.05277119811414277,0.03260450807935808,,
Europe,4.507255591307548,4.743028452758453,4.681850753527307,5.464092914953737,5.697281426229257,5.953946829951276,6.26377784633167,6.7674686876571695,6.203360141844105,5.007818833400376,4.8248923489992634,5.628994893310434,6.090023810668962,5.849439699121757,6.09064361349611,6.032930787761672,5.399415246039153,5.8605834046024405,6.439963238255032,5.121136403645565,3.9029290030781274,-0.23996063454553052,0.0022400963307216415,0.12279588646561561,,
CIS,0.5577911378356876,0.6032628020368305,0.45731283050862037,0.5525332526884804,0.5012516559558858,0.49767544568592126,0.5627132078414261,0.5155506840190178,0.6843051209919071,0.5183415883033594,0.37211635610694455,0.5896425846296021,0.5281716033636693,0.5553214995658082,0.5568500004938588,0.5330919163274328,0.48439821356273693,0.56070401659972,0.6096774693875027,0.652649317111131,0.582745921224254,-0.10954672897521944,0.023308032792292543,0.018334640964393075,,
Middle East,0.34101973482690184,0.4801523738307486,0.3414441493447604,0.3446567450252012,0.42595667094520934,0.329771626746688,0.25978360447637977,0.35257541340801807,0.5349210366787618,0.40352496696964246,0.3512928563689961,0.43310938224063644,0.4870193458891355,0.43994752303167495,0.4908567035897369,0.3755125436747222,0.34114810568963555,0.361408677691247,0.37029879023292644,0.3395639337877341,0.30893121390160017,-0.09269769580633047,-0.017109551869199158,0.009719746948516636,,
Africa,0.2439692940666595,0.3225176446585336,0.3000210086646962,0.9395820016223732,0.28439989240668595,0.36797212421676434,0.343084339921579,0.40158001454490777,0.33936391695255846,0.2645162040318283,0.3193898678519506,0.3410770400497036,0.3070018862326576,0.8107118113021539,0.37066711981463657,0.444156007793857,0.49807099751252387,0.589866598633103,0.8015415081585882,0.6397317062612891,0.49407223320771043,-0.22979851670503582,0.09233175564538376,0.015544745448082315,,
China,0.05852506037266496,0.0672246823148224,0.2761005873078003,0.286368259506652,0.48900522085069625,0.6671351302504089,0.9566067731570818,1.2778014766426005,1.0447812011536326,3.279738344553736,4.447075114938562,5.1995048746086505,6.7073315267870175,7.626034418558026,6.623376232631343,4.685767241498356,5.651682427666026,5.86817573402397,6.134824174407094,6.398622081106015,6.613245438996892,0.030718235706088448,0.0691157469724919,0.2080692053214007,,
