Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,0.647949168,0.635221296,0.629359776,0.683746308,0.6601327560000001,0.708741504,0.6736561200000001,0.635681844,0.654689916,0.665198784,0.6471536760000001,0.7661844,0.979041312,0.8050379040000001,0.7622906760000001,0.928409,0.9479420000000001,1.001681,1.0480150000000001,1.1673769999999999,1.122086,1.039979,1.1177439999999998,1.200307,1.197786,1.136171,1.0997860000000002,1.1203530000000002,0.994715,1.054689,1.102441,1.125095,1.17589,1.2571770000000002,1.208485,1.2786780000000002,1.328843,1.336577,1.333287,1.2594750000000001,1.2540419999999999,1.21476,1.269971,1.206829,1.0082820000000001,1.033147,0.931414,0.890688,0.8615790707900001,0.8228356089,0.8241174212933899,0.77060191245,0.7839980362000001,0.6527893101652601,0.63469215306,0.49524653923337414,-0.22183785598838468,-0.04523143562572807,0.003270580300903197,,
Mexico,0.02888,0.030805,0.037798000000000005,0.039623,0.040165,0.045045,0.056551000000000004,0.062502,0.067005,0.07402500000000001,0.08502599999999999,0.06525,0.093852,0.097853,0.096131,0.097337,0.086036,0.103036,0.11730299999999999,0.117637,0.127518,0.140607,0.135982,0.128702,0.142464,0.141268,0.136638,0.138177,0.15585300000000002,0.188346,0.209731,0.24047900000000003,0.240711,0.246052,0.250371,0.27427300000000004,0.301224899,0.504380882,0.37194614200000004,0.38059092600000005,0.480346286,0.515513829,0.473701501,0.423163079,0.431087216,0.533227517,0.616777342,0.5373576369999999,0.5336157960000001,0.5325798610000001,0.5315416310000001,0.520679917,0.6363100429999999,0.567163673,0.5414934050000001,0.20884674463499225,-0.6153671989520693,0.0230639999201534,0.0013792121596009651,,
US,11.607278834933092,12.171046241691226,11.941188080943949,12.35907528883598,12.410055429376202,12.292773943720771,11.625122836310078,12.104730864333172,13.001364119616712,12.692041367667388,12.691949155785869,13.615351921195593,13.954166438382037,13.797277945008078,15.074223068767724,15.45832865432589,15.944161986654576,15.356867520169322,15.931047853417677,17.109936666515544,17.518681868197415,17.300156748149433,18.049925542961965,18.889716187107414,19.113680805861954,19.2167907285522,19.03540895530129,19.166511197850916,19.880829535734694,19.95531568763777,20.13499254338364,21.05028266782582,21.494801068021758,21.705618477538426,21.672342015946793,22.6315300075073,21.96473787381902,21.954435200665397,22.372334436194148,22.51793599480957,22.849044806070815,22.49885715606268,22.80185938491572,22.438996610410957,19.7365550263707,20.881949878112906,19.7030570558028,17.418257115404877,18.080177053918558,18.039081626155944,15.584679980371163,14.258668112612813,13.869333511990687,13.282051073142153,11.341655494096226,9.20277684698986,-0.19080308401787693,-0.053892445727673155,0.06077462089076779,,
Total North America,12.284108002933092,12.837072537691226,12.608345856943949,13.08244459683598,13.110353185376201,13.046560447720772,12.355329956310078,12.802914708333173,13.723059035616712,13.431265151667388,13.424128831785868,14.446786321195592,15.027059750382037,14.700168849008078,15.932644744767725,16.48407465432589,16.978139986654575,16.46158452016932,17.096365853417677,18.394950666515545,18.768285868197417,18.48074274814943,19.303651542961966,20.218725187107413,20.453930805861955,20.494229728552202,20.27183295530129,20.425041197850916,21.031397535734694,21.19835068763777,21.44716454338364,22.415856667825818,22.911402068021758,23.208847477538427,23.131198015946794,24.1844810075073,23.59480577281902,23.7953930826654,24.07756757819415,24.158001920809568,24.583433092070816,24.22913098506268,24.545531885915718,24.068988689410958,21.175924242370698,22.448324395112905,21.2512483978028,18.846302752404878,19.475371920708557,19.394497096055943,16.940339032664554,15.549949942062813,15.289641591190687,14.502004056307413,12.517841052156227,9.906870130858227,-0.2107423206193212,-0.0512130429813733,0.06542441335127196,,
Argentina,0.030438177071465594,0.02509854587589617,0.02822542915980998,0.0274285269917837,0.03283981198673134,0.04220135416802159,0.03699915130315722,0.031144661635787777,0.03418747912402024,0.04257331870448741,0.04143938504845019,0.04191330675389806,0.03963061109207022,0.0483091032944123,0.045006025783457936,0.040120522654445503,0.03801768194480252,0.038397874139419357,0.034847867611043734,0.025866805296863023,0.038158580742223905,0.04359365758903723,0.04838282201028164,0.04958045869814018,0.05364996543951057,0.04415807587351091,0.038858444918265136,0.0438053890960686,0.029051953992,0.02543438516439304,0.026690948692061522,0.027960538119148223,0.022059770459441762,0.029654673701806793,0.035587690348568915,0.027045530291854497,0.02216466820859398,0.016510667369904742,0.020137912678829153,0.03427134991186201,0.03946192181875399,0.035725754078428006,0.05169729995762689,0.06305784743756057,0.03463537700785296,0.04849948817913441,0.05262712295184964,0.049209050091015664,0.05378148980601422,0.0572101797641976,0.05693086539972248,0.04387910886468,0.04509103744661183,0.04935293160336,0.029246265054720003,0.03189681431452715,0.08764878144694088,-0.01677016278923682,0.0002106447684019061,,
Brazil,0.07264098,0.07871184,0.081349524,0.080051616,0.08934631200000001,0.10204126419643202,0.10271678528462401,0.10812928224711602,0.106266817803384,0.11272421498616,0.13401089217756001,0.14301502178734798,0.181389732885252,0.208566053147196,0.226543175093304,0.2471211431028,0.24176828417554802,0.255570492530592,0.287412516016812,0.354928714778016,0.41957295505181996,0.424773015038352,0.44479724918903996,0.45456420157524,0.45104932410883203,0.4018348456104528,0.4606687508791536,0.4470480513991297,0.4605705678400848,0.4727939376916225,0.4958273605876416,0.5116288869998208,0.5146965419788081,0.504144794866608,0.510508068598584,0.5442533615000161,0.5356368163172881,0.5184374098464001,0.5379074240507999,0.5639647928307481,0.5439045692121626,0.5363063055748295,0.5683381975512365,0.5764764797264512,0.4651457769380086,0.605511506535999,0.6468109216846545,0.6400670739248117,0.6899165803862698,0.7335589308303728,0.7379197609752026,0.6665268960073689,0.7029770964830224,0.6873784259035317,0.6481235264519214,0.5789682591013453,-0.10914145984973955,0.03372940548822778,0.003823473831833842,,
Chile,0.04877622,0.050241600000000004,0.050241600000000004,0.050241600000000004,0.050241600000000004,0.053716644,0.05187445200000001,0.042872832,0.046557216000000005,0.044128872,0.035252856,0.0355878,0.038309220000000005,0.037346256,0.041323716,0.04563612,0.045552384,0.0303543,0.036383292000000005,0.049069296,0.049111164,0.046640952000000006,0.048064464,0.0669888,0.09051861600000001,0.1090493928,0.0895891464,0.07746417359999999,0.07815499560000001,0.0921807756,0.09937788480000001,0.13770996472799998,0.17927165844,0.16867361160000002,0.1740620232,0.1345093236,0.10553248080000001,0.1063698408,0.1017015588,0.11780426538789411,0.1154523904311658,0.1441385061745436,0.17107765445782047,0.18294307444186123,0.16724727261086025,0.18802500119999999,0.24115130640000002,0.28115618039999996,0.31603641120000003,0.3188080728,0.3061974312,0.31053790858972125,0.3228827883226948,0.31162204239515345,0.313504485768,0.3004914095167834,-0.044127250675304985,0.0648500889480792,0.001984428373951974,,
Colombia,0.084322152,0.084322152,0.09252828,0.08428028400000001,0.089974332,0.093909924,0.07303064547600001,0.075878925516,0.077275181448,0.093446570844,0.09498446224254001,0.09290054848464001,0.09523667800530002,0.09625971693312,0.097099177032,0.1018336041918,0.10375204200659999,0.10802973324780003,0.11906830262340001,0.12396182399640002,0.12785301916920003,0.12624634722960004,0.1587394216746,0.12662870673959997,0.14671218762720004,0.0668951978058,0.0841278823866,0.14071317102180003,0.147535662105,0.1688707512648,0.15111687121128,0.11714764685130004,0.13874615586000003,0.13195077012,0.10537937753767747,0.11317613475931014,0.1114503132599999,0.09166107230279996,0.1016093941086899,0.08891537723639996,0.05602443118740013,0.15958815735824083,0.14051498016603375,0.18591156123229305,0.1710030027231441,0.20126642577118803,0.16295913986074445,0.19641721797517966,0.21128399072120269,0.2238008967471525,0.20800790561214982,0.2287693201590709,0.17434129647537897,0.16366533866748373,0.2035329460660708,0.2681321551244719,0.3137900215964802,0.017567196843303323,0.0017707296772761002,,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Peru,0.0015109433961795124,0.001905849057307317,0.002146226414926829,0.00212905660417561,0.0035884905659707323,0.00364,0.005105,0.005522999999999999,0.0063170000000000006,0.006736,0.007029,0.005439,0.006234,0.005314,0.005647999999999999,0.005942,0.006025,0.0068200000000000005,0.005774,0.0046029999999999995,0.005021,0.0068200000000000005,0.007699,0.007573000000000001,0.00841,0.006066,0.011757,0.011506,0.012092,0.014895,0.015648,0.016401,0.017071000000000003,0.018715,0.016973,0.026366,0.023923000000000003,0.03276,0.035156,0.038014000000000006,0.038579999999999996,0.032825,0.043340000000000004,0.038645000000000006,0.034718000000000006,0.034048,0.034241999999999995,0.036547,0.036859,0.0364,0.033927,0.041004,0.0417242,0.0468504,0.03160020954111764,0.023190115896750223,-0.2681455199130056,-0.009365322899928752,0.00015314622156669528,,
