Exajoules,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ss,tt
Canada,0.969542041248288,1.028279025341759,1.0660110797929827,1.3964001582835008,1.4871319779337164,1.382118009298877,1.3939360468404733,1.614194993654399,1.7184000192019666,1.6731010726604068,1.7479758665309126,1.5535300391728992,1.6513130586426648,1.7352689528311,1.8008101685330986,1.8322148021680582,1.8979431739076162,1.7950629959800743,1.725393772506028,1.636288029855602,1.6664449978379052,1.4344489525768913,1.3318930980662211,1.419746005896267,1.4788350612980052,1.4570471712158242,1.4945299436293793,1.4901520233319634,1.3877161030646883,1.4832321057824573,1.4848210000000266,1.4933630000000253,1.525613000000026,1.5140050000000258,1.364462000000023,1.3701730000000234,1.3303360000000228,1.2218980000000208,1.1387730000000191,0.8904901046505045,-0.22016321814999662,-0.019576633280916078,0.005579279487960428,,
Mexico,0.071145,0.085547,0.108636,0.11836100000000001,0.12143999999999999,0.13152699999999998,0.145985,0.13033699999999998,0.140023,0.141757,0.128723,0.119562,0.129415,0.175,0.172707,0.191191,0.18970900000000002,0.199411,0.203846,0.226702,0.17425729,0.14197204400000002,0.184782567,0.246049115,0.254210103,0.28339061400000004,0.30579573299999996,0.289816096,0.254668422,0.306487727,0.392282297,0.310805383,0.299877176,0.30372983,0.28768656499999995,0.254165143,0.30824001500000003,0.279578,0.23046,0.15464053112313936,-0.3308252364367741,-0.0099387886871114,0.0009688852675586536,,
US,18.419095810623237,18.68169921234035,17.286391117923543,19.764630537384043,19.36967301659538,19.554397470551354,20.187490170756686,20.785399026647223,21.409371771309715,22.539338172049515,21.68625398241944,21.74409488740528,20.38248818795937,22.253215836688792,22.18052061985155,22.84264559906551,23.363302112314376,24.100572082908265,23.348724852246804,22.78784850889038,23.601314398016534,22.784589789350118,22.144543828599442,22.904731432344597,23.238583847871986,23.844305661464748,23.546840109349375,23.906305884119813,21.67352172664839,22.088981356529143,22.272584233360984,20.724513124965135,20.047368202970226,20.332424195534156,17.987425933353293,14.700868185831,15.661363180581745,15.398824928563519,14.28859487737797,10.714763040619989,-0.25216665295176466,-0.04080699329650517,0.0671323098804675,,
Total North America,19.459782851871523,19.79552523768211,18.461038197716526,21.279391695667545,20.9782449945291,21.06804247985023,21.727411217597158,22.52993102030162,23.267794790511683,24.35419624470992,23.562952848950353,23.41718692657818,22.163216246602037,24.16348478951989,24.15403778838465,24.866051401233566,25.450954286221993,26.095046078888338,25.277964624752833,24.650838538745983,25.44201668585444,24.36101078592701,23.661219493665662,24.570526553240864,24.97162901216999,25.584743446680573,25.347165785978753,25.68627400345178,23.315906251713077,23.8787011893116,24.14968753036101,22.52868150796516,21.872858378970253,22.15015902553418,19.639574498353316,16.325206328831023,17.299939195581768,16.90030092856354,15.657827877377988,11.759893676393633,-0.25099682336537465,-0.03903422285822433,0.07368047463598658,,
Brazil,0.12147861198239995,0.13390216642440014,0.14286231198360008,0.16034107573440012,0.16363386833040014,0.15516628304400007,0.14135356510919997,0.15398374231800016,0.13897251938879995,0.07063456244471998,0.08449367698987209,0.079100251906212,0.07861606171649993,0.08767781927884795,0.08601350996638796,0.08016339891265208,0.09380121202141199,0.09178958939450392,0.09404654288464792,0.11241811422817215,0.0965117008727639,0.10725505697069995,0.09790646672264411,0.11353697577770402,0.11905629186650388,0.11895015556540796,0.12245093913257987,0.13631773645573209,0.12745005093169212,0.11442841813868412,0.114521115900348,0.12221233482409202,0.15179426559939602,0.15057681286478408,0.12168174463272015,0.11213178245121613,0.09118325479949999,0.09881481839651998,0.09051935915700002,0.09430296131538,0.03895237247553629,-0.03363732853365764,0.0005908460688929535,,
Colombia,0.115278346368,0.127735248672,0.14598149054400003,0.19173576204000004,0.25924916808,0.31018033404,0.42160489848,0.43625158092,0.54605836584,0.59129841456,0.57867395652,0.632667348,0.62726511996,0.6547673718,0.7436008008,0.8540720308799999,0.9458810186399998,0.96954104412,0.9462276856799998,1.10477007864,1.26855557946864,1.1406635471611293,1.4452575871184603,1.55675444983632,1.7239491032252399,1.9036939130268244,2.010404173263617,2.113937577647373,2.093958473263199,2.13832750335948,2.4677212623512523,2.5603608892193455,2.458887062975619,2.5475234695329303,2.460366829547377,2.6031463239718433,2.6042120863471356,2.4240247579138177,2.4257185673341644,1.455431140369035,-0.4016393442752305,0.01481583389963248,0.009118862820813502,,
Venezuela,0.0015281819999999999,0.0015281819999999999,0.0012225456000000002,0.0015281819999999999,0.0012225456000000002,0.0018338184,0.0073352736,0.032703094800000006,0.0644892804,0.065711826,0.073352736,0.0757978272,0.12103201440000001,0.13570256160000002,0.132951834,0.1277560152,0.1616816556,0.1974411144,0.2014143876,0.2408414832,0.23503439160000006,0.247565484,0.2148623892,0.24778872082655998,0.2199053898,0.21894538586759998,0.20952417440124,0.15445958972256,0.10019699495748,0.0804074353848,0.07981498978703999,0.05840103387564,0.03757215772476,0.024470472729600002,0.02450277849708,0.013173440780969999,0.01075186066104,0.002319578555976,0.007532494656192001,0.02129132178748808,1.818873394046856,-0.22801579693427787,0.00013339871414643,,
Other S. & Cent. America,0.04608165671480903,0.04266974021374839,0.042692494278735484,0.049128044853460645,0.05021707632321677,0.05458650163533333,0.062042182209240286,0.08669762768038283,0.0849770451600462,0.08597222713114956,0.08553348303798221,0.06662960302744264,0.056554749995636255,0.056746092751602056,0.05041149988491063,0.0483901557781406,0.04607754455852006,0.014116542437944569,0.02297861026879123,0.020853177278084133,0.020968745851267203,0.015597305126870402,0.012350574197222401,0.007243529088171802,0.017032926475943212,0.016226240164861447,0.011014444402170014,0.015184065480589466,0.016004021122810255,0.014771514947244206,0.01682188157423202,0.01986908587206049,0.07091841895619586,0.12362671093331308,0.09597304223237912,0.08192736068725213,0.051986085131008455,0.047006834909835635,0.03256383407555068,0.02921753728311021,-0.10521261474710497,0.07362012000783436,0.00018305964951329174,,
Total S. & Cent. America,0.284366797065209,0.30583533731014856,0.33275884240633563,0.40273306462786085,0.4743226583336169,0.5217669371193334,0.6323359193984402,0.709636045718383,0.8344972107888463,0.8136170301358695,0.8220538525478543,0.8541950301336547,0.8834679460721363,0.9348938454304501,1.0129776446512986,1.1103816007707925,1.247441430819932,1.2728882903524488,1.264667226433439,1.4788828533462564,1.621070417792671,1.5110813932586997,1.770377017238327,1.9253236755287557,2.079943711367687,2.2578156946246937,2.3533937311996076,2.419898969306254,2.337609540275182,2.3479348718302084,2.6788792496128724,2.760843343791138,2.719171905255971,2.846197466060627,2.7025243949095565,2.8103789078912818,2.7581332869386843,2.572165989776149,2.556334255222907,1.6002429607550135,-0.37571907548169836,0.008984667735604246,0.01002616725336618,,
Bulgaria,0.19799285799490327,0.2177339113853292,0.21893666966821643,0.21852729339997523,0.208637947518458,0.23753332783974787,0.2481200542993099,0.23027913976981604,0.2311769800616754,0.21314454516,0.195294918852,0.22526960169600002,0.21828924313200002,0.211198604256,0.221346653832,0.226150169472,0.209826757368,0.21212212860000002,0.17902652130000002,0.17981372343600002,0.1882950498,0.18540414813600004,0.194491597536,0.19001067483600004,0.17492190818400002,0.180341678916,0.202821696684,0.20353010324400003,0.192882987108,0.20705806839600005,0.260037416916,0.23497343179200003,0.20050283750400003,0.21472518776400001,0.245654335404,0.21428791837200004,0.23859392522400003,0.22060743242400005,0.204200828604,0.16252914306084743,-0.20624673527507498,0.005718311773270202,0.0010183106014761015,,
Czech Republic,1.7863955630999997,1.8052055994599998,1.834634826,1.86165768924,1.8388806598799998,1.8350300599200002,1.82485425186,1.7812133514,1.7054668124999999,1.5194105627029184,1.4199751195111876,1.315363414163094,1.2877085469442306,1.176631895159999,1.1399233895069614,1.153560524301137,1.170996678261932,1.0928104844399997,0.9685529593199993,1.0487347848000006,1.0612313361000005,1.015502436612,1.0209600978839999,0.9800259025137584,0.9868276714320003,0.9990358359480007,0.996626039472001,0.9539702511839989,0.8730862574759994,0.8724336609600005,0.8798538428639995,0.8492539870440007,0.744329890152,0.711537783984,0.7083186372,0.6744804171840004,0.6398431045199992,0.61563272418,0.5624803770840001,0.4271491740440609,-0.242672069723735,-0.04301523849545286,0.0026762617715764612,,
Germany,6.232198867630201,6.25937901387372,5.91433412399424,5.9861804908035605,6.22301572431072,6.008577704553241,5.817838442362561,5.772955845460681,5.508399830606684,5.235054788159034,4.444310679727134,4.087767858372734,3.67809256172871,3.3891542532833756,3.3096458402259676,3.0977062941835536,2.967088786598425,2.7217713014798006,2.649403749461297,2.541912054184921,2.4391009265947687,2.4460626009689426,2.419921407784945,2.4456408342757356,2.3685508656005374,2.2336326610422406,2.278209166553095,2.0974169812711314,1.943289859030755,1.9216620029970208,1.956537003051415,2.000143003119423,1.8891220029462776,1.8477954328818218,1.7924740027955401,1.6595000025881554,1.650400154573964,1.5818674444670806,1.1899000018562853,0.9792000015267105,-0.17932213617693815,-0.04786772250158333,0.006135082753415861,,
Greece,0.145610037648,0.1525753656,0.16649647560000003,0.18097443000000002,0.20255621169600005,0.21167916516000002,0.24991367590080002,0.2632166760564,0.29815047696240005,0.2980373580000003,0.2890315471113292,0.2928708508886726,0.29990467488867256,0.3081819662226558,0.3144328708886728,0.3009974337773434,0.3226431897773433,0.3402193679999995,0.3363800642226562,0.3442219324453117,0.351356256,0.35931534644531155,0.34231276800000143,0.3578374142226555,0.3574689839999992,0.3420741122226561,0.3512348224453112,0.3403659059999994,0.3423085771113273,0.30628116311132897,0.3142151491113274,0.33681550777734404,0.28170045622265666,0.26729369377734286,0.23761195315200057,0.16632326768399971,0.19122246035999957,0.17897757760799998,0.214678295604,0.10977399468838801,-0.4900552688237749,-0.04558548465798984,0.0006877783297960122,,
Hungary,0.30062670757789534,0.3013263935933664,0.2890537209899617,0.2823580444448211,0.27448132050152885,0.2596739408947216,0.2577876312426899,0.2375709018836868,0.22721398433720397,0.20553947316422894,0.19862025554031504,0.1806252533265402,0.1556072054599481,0.1483664173460031,0.1509399973501082,0.16121836671495382,0.16837758025477534,0.15389919716949205,0.14225969647274578,0.13882395936553027,0.12648980234293836,0.12391463030839969,0.1279625183438065,0.09744586503079514,0.07319137672799995,0.073545286932,0.07422409281599986,0.07090617941999998,0.06514849206000008,0.06670715396399984,0.06889153312800016,0.06725960222400001,0.06747949295999983,0.06648449993999996,0.06356751451199984,0.06123111263999997,0.05372330101200006,0.05322461507686609,0.041595523056000006,0.03720919625191031,-0.10789601728727272,-0.043875994523258965,0.00023313061462177092,,
