a,Cobalt,Lithium Carbonate,d,e,f
US dollars per tonne,$/tonne*,$/tonne† ,,,
2000,33.422,4.47,,,
2001,23.259,1.49,,,
2002,15.234,1.59,,,
2003,23.369,1.55,,,
2004,52.757,1.72,,,
2005,35.186,1.46,,,
2006,37.964,2.32,,,
2007,67.351,3.53,,,
2008,86.002,4.44,,,
2009,39.375,5.1646,,,
2010,45.966,4.3,,,
2011,39.661,4.2917,,,
2012,31.019,4.45,,,
2013,27.074,4.7521,,,
2014,30.786,4.6833,,,
2015,28.455,5.1125,,,
2016,25.472,8.8438,,,
2017,55.79,12.0729,,,
2018,72.794,14.656,,,
2019,33.197,11.3104,,,
2020,31.437,6.8,,,
"* 2000-2012 spot grade for cathodes, source US Geological Survey. Data from 2013 onwards: min purity 99.8%, source London Metal Exchange.",,,,,
"† 2000-2008 unit value, data series 140, source US Geological Survey. Data from 2009 onwards: FOB South America, source Benchmark Mineral Intelligence.",,,,,
