Terawatt-hours,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Other#,Total,Oil_2,Natural Gas_2,Coal_2,Nuclear energy_2,Hydro electric_2,Renew- ables_2,Other#_2,Total_2,r,s
Canada,3.2483870967741932,69.50537634408602,47.88602150537634,100.49395368421052,379.6689262626263,47.13866347687401,0.7346559139784006,648.6759842839258,3.3011803799025228,70.85772255405658,35.58940209520324,97.52826842105263,384.67193587736085,51.22168938874146,0.6849560564113943,643.8551547727287,,
Mexico,34.79453,187.74308586143235,32.681850000000004,11.437922546110235,23.608055574442,32.31900072052747,0,322.5844447025121,33.69836859987454,183.12496869605303,18.944102582867952,11.419244011254204,26.836872354823893,39.176447829061516,0,313.2000040739351,,
US,19.721229032258062,1705.1765311827958,1051.1267806451613,852.0097494736842,285.4676636363637,483.6654764912281,13.991921537959115,4411.15935199945,18.811930107526884,1738.438688172043,844.0722677419353,831.4932957894738,288.676394949495,551.7151700159491,13.37541906158367,4286.583165838007,,
Total North America,57.764146129032255,1962.424993388314,1131.6946521505376,963.941625704005,688.744645473432,563.1231406886296,14.726577451937516,5382.419780985888,55.81147908730395,1992.4213794221525,898.6057724200065,940.4408082217807,700.1852031816798,642.113307233752,14.060375117995065,5243.63832468467,,
Argentina,3.047,82.93086270718473,1.145,8.443,37.06678705821085,6.418608898868861,0.47866378841438006,139.52992245267882,7.386604710194771,79.83933950568974,2.451567098250477,10.662423955940216,30.54359219366753,11.228579742783888,0.39442618882084446,142.50653339534747,,
Brazil,9.856550988470477,60.44801602680338,24.456861530486716,16.128824302217257,397.877056628865,117.56107737359113,0,626.328386850434,7.512164268342595,56.301448501928284,22.88827665978369,15.295793815999348,396.7985,120.34037674343588,0.982755786822807,620.1193157763126,,
Other S. & Cent. America,98.46772369254258,103.17768366306915,48.79378891011713,0,265.9221139185747,57.38829522174542,-0.593674862146608,573.1559304284035,78.60119992841368,97.35372427712312,51.1019011933889,0,233.1224520516675,61.32599798949278,-1.3099218567604753,520.1953534853503,,
Total S. & Cent. America,111.37127468101303,246.55656239705726,74.39565044060384,24.57182430221726,700.8659576056506,181.36798149420545,-0.11501107373222808,1339.0142397315162,93.49996890695105,233.49451228474115,76.44174495142306,25.958217771939566,660.464544245335,192.89495447571258,0.06726011888317607,1282.8212026570106,,
Germany,4.774889912510967,89.998575,171.44949,75.071236,20.192319962,222.70262869126898,25.21670762799988,609.4058471937799,4.3,91.9,134.8,64.372,18.633,232.3805898812748,25.485141530111235,571.870731411386,,
Italy,11.822400000000002,141.687,21.291300000000003,0,46.356500000000004,69.5284,3.167599999999993,293.8532,9.717763503649637,136.16468738469914,16.69880868783703,0,46.69676059469193,70.31042505384961,3.1481790793571065,282.7366243040845,,
Netherlands,1.385,70.438236,17.414407999999998,3.909748,0.074182,22.658170000000002,5.181808000000004,121.06155199999999,1.295,72.1449162107211,8.824382222360635,4.084101627027027,0.046368000000000006,32.00654520562004,3.9752338680043096,122.37654713373313,,
Poland,1.7690150000000002,14.797395000000002,121.00464877913821,0,1.954,23.500416,0.9630262208617637,163.98850099999999,1.355,16.656,111.02964126567076,0,2.115,25.614,1.0513587343292272,157.821,,
Spain,12.294070090000002,83.16327629,14.12822737,58.277189390000004,22.486077299999998,73.83442181999999,3.3175432799999953,267.50080554,10.662795835903019,68.6792000390958,5.600035817024049,58.206705839575264,27.495640945764066,80.52070982739016,4.5947490029318345,255.75983730768417,,
Turkey,0.336,57.288199999999996,112.8941,0,88.82279999999999,43.33057453741776,1.2259254625822678,303.8976,0.14331380533536864,70.0470486498557,106.05883760059028,0,78.06342639440473,49.820212509980564,1.2965684160556634,305.4294073762223,,
Ukraine,0.6898464210441525,10.230013297801316,47.393306664079276,83.0027,6.508300000000001,5.282181257060605,1.0346523600146469,154.141,0.7447187801065184,13.913470923370497,41.17622468141932,76.20249999999999,6.272487234069594,9.715559135108638,0.9971641933979782,149.02212494747252,,
United Kingdom,1.1194,131.93130000000002,6.8911999999999995,56.18393306333566,5.934799999999999,114.58064077972074,8.119660556943558,324.7609344,0.887,114.128,5.4475,50.2783,6.4788,127.81895879902443,7.720007900975531,312.75856669999996,,
Other Europe,19.414558522828298,174.66796546461913,177.0321891753678,653.5389976315792,435.60503473264254,264.5365118742313,28.71014433951315,1753.5054012384742,17.203457189907464,175.4194766854367,145.19649542179525,584.254085955678,469.5386865355783,292.8213396570172,29.102151156491317,1713.5356925976719,,
Total Europe,53.60517994638342,774.2019610524203,689.4988699885854,929.9838040849148,627.9340139946426,839.9539449596992,76.93706784791524,3992.114841372255,46.309049114902,759.0527998931791,574.8319256966976,837.3976934222804,655.340169704509,921.0083400692652,77.37055388165422,3871.310531778255,,
Kazakhstan,0,21.263326815004344,74.12270648499563,0,9.993658799999999,1.1034689,0,106.483161,0,21.322357012952306,72.95967067793062,0,9.795950970337055,3.7128942411986343,1.3688116047243284,109.15968450714294,,
Russian Federation,12.011549353519987,519.208660994687,176.80722108255966,208.98567000000003,194.37614,1.821012,4.932976569233347,1118.14323,10.744117330590841,485.5392502046491,152.32331389552664,215.91428,212.43827,3.513542,4.9459565692335445,1085.41873,,
Other CIS,0.8189620286979385,151.84560260757524,3.9592805622633573,2.1978000000000004,44.09683709146347,0.8737537500000001,0.3999499999999898,204.19218604,0.836028956888361,151.0859997599199,4.153352448727295,2.0995504098847575,43.35245855745092,0.8865733537469146,0.09821835410999569,202.51218184072815,,
Total CIS,12.830511382217924,692.3175904172666,254.88920812981866,211.18347000000003,248.46663589146345,3.79823465,5.3329265692333365,1428.8185770399998,11.580146287479202,657.9476069775213,229.43633702218452,218.01383040988475,265.58667952778796,8.11300959494555,6.412986528067869,1397.0905963478713,,
Iran,82.46761591554656,199.2395978003572,0.6785100000000001,6.41063387978142,28.963111849793325,0.9360731295087785,0,318.6955425749873,82.0625747450578,220.41846931279449,0.6785100000000001,6.327868852459016,21.171504105443578,0.9744341342402596,0,331.6333611499952,,
Saudi Arabia,136.59532619868304,206.02767380131738,0,0,0,1.0379558671159743,0,343.660955867116,132.84087273405325,207.03283961900985,0,0,0,1.0379558671159743,0,340.911668220179,,
United Arab Emirates,0.003217767,134.25038974356224,0,0,0,4.174878664832559,0.02557168104604557,138.45405785644084,0.0030499999999999998,131.19504896636172,0,1.6237918215613383,0,5.559120875381212,0,138.3810116633043,,
Other Middle East,144.8406509649077,274.2198654154507,21.9324,0,4.215205,7.6159613517327305,-0.003431451782585526,452.82065128030854,142.56197074178453,277.42570508737816,18.983966565538374,0,4.262635000000001,11.032186658175462,0,454.2664640558131,,
Total Middle East,363.9068108461372,813.7375267606874,22.61091,6.41063387978142,33.178316849793326,13.764869013190042,0.022140229263460043,1253.631207578853,357.46846822089555,836.0720629855442,19.662476565538373,7.951660674020355,25.43413910544358,18.603697534912914,0,1265.192505089292,,
Egypt,27.41785604307332,153.46271432681914,0,0,13.213709200000002,6.468686868686868,0,200.56296643857934,25.77504444730547,150.01124859871604,0,0,13.13905104,9.684848484848484,0,198.61019257087,,
South Africa,1.29247311827957,1.8592605213835405,218.2073805590965,13.596,0.9739603636363636,12.012561801240402,4.6363636363636545,252.578,1.4279569892473116,1.8592605213835405,202.40526729575947,15.559083937823834,0.4992128888888878,12.597107255785854,5.111111111111114,239.459,,
Other Africa,47.235729677876904,182.19856326210083,37.50093172547404,0,123.02784121137474,19.51146445096819,0.7656887217462433,410.2402189541075,42.35180949688236,180.34016996592493,33.624321921611724,0,128.93673221500774,19.98380458038581,0.5550236723969225,405.79186186654545,,
Total Africa,75.94605883922978,337.5205381103035,255.70831228457058,13.596,137.2155107750111,37.99271312089546,5.402052358109898,863.3811853926869,69.55481093343518,332.21067908602447,236.02958921737127,15.559083937823834,142.57499614389664,42.265760321020146,5.666134783508037,843.8610544374153,,
Australia,4.727208425983439,55.71058498626213,149.84061117562015,0,14.113868797220913,41.2364009637273,0.27193701171873386,265.90061136053265,4.506366802486072,53.12430429398229,142.93494811153047,0,14.534644399039566,49.859977201918184,0.2719370117187623,265.23217782067536,,
China,10.750364,232.5,4849.697651,348.7,1272.538,742.0238,47.2181849999979,7503.428,11.419279308842937,246.96674822415162,4917.719804649299,366.2,1322.0091091314032,863.1242000000001,51.62085868630402,7779.060000000001,,
India,5.051231132924617,67.47110265166305,1184.5342175229641,45.16288999999999,162.015339687,139.24902432441033,0.1915049999997791,1603.675310318962,4.855094639008931,70.7901075372785,1125.2151000288786,44.61314,163.64010604630002,151.20904688103076,0.6054888639998808,1560.9280839964968,,
