Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,oo,pp
Canada,79.44500000000001,71.627,84.238,91.758,91.73700000000001,82.22,88.485,90.03,82.384,86.651,91.60397849462365,89.62107526881721,96.92591397849463,105.9936559139785,106.18645161290321,114.93311827956988,110.47505376344085,109.4132258064516,108.41505376344085,98.70086021505377,101.59408602150538,94.3658064516129,104.57655913978493,98.26129032258063,82.45483870967742,84.03118279569892,77.6247311827957,67.49139784946236,68.59247311827957,66.2247311827957,62.11827956989247,62.26129032258064,60.126881720430106,50.58064516129032,47.88602150537634,35.58940209520324,-0.2588199609007068,-0.05289253219689649,0.0037775053349175815,,
Mexico,3.864340808728029,6.3573021040782765,7.312352065113863,8.06074205558923,7.915277513204608,7.79890587929691,9.242516061996712,9.549496406615294,11.558913499004245,14.284618062169887,15.48144012468612,18.534189107282014,18.391734176119147,18.687679279591308,18.6084261840852,19.054851848644905,23.172,26.098,30.898,23.798000000000002,32.81,31.737000000000002,31.566,21.343,29.442,32.387,33.78163,34.233000000000004,31.73757,33.77846,33.76356,34.44943,30.86101,29.03443,32.681850000000004,18.944102582867952,-0.4219316611591645,0.010494449640423786,0.002010751638383234,,
US,1507.6646505376343,1490.1413462365592,1573.9583752688175,1656.6158860215053,1711.4425344086021,1725.1551709677422,1722.5358505376344,1757.5013720430109,1831.2107849462363,1832.2719516129032,1853.0069021505376,1945.7542,1998.2434086021506,2029.0407741935483,2037.8632430107525,2129.268122580645,2056.984317204301,2090.9602559139785,2139.0718,2143.60535483871,2178.8571935483874,2155.578433333333,2182.697782795699,2147.8581967741934,1899.5014623655914,1998.4979204301076,1876.340005376344,1640.7962688172042,1713.9437129032256,1713.6904688172044,1468.2955860215054,1346.1893397849462,1310.0045623655913,1250.483965591398,1051.1267806451613,844.0722677419353,-0.1991774209734557,-0.05745618721860557,0.08959092613924212,,
Total North America,1590.9739913463623,1568.1256483406376,1665.5087273339313,1756.4346280770944,1811.0948119218067,1815.174076847039,1820.263366599631,1857.0808684496262,1925.1536984452407,1933.207569675073,1960.0923207698472,2053.909464376099,2113.561056756764,2153.722109387118,2162.658120807741,2263.25609270886,2190.631370967742,2226.47148172043,2278.3848537634412,2266.1042150537633,2313.261279569893,2281.6812397849462,2318.8403419354836,2267.4624870967737,2011.3983010752688,2114.9161032258066,1987.7463665591395,1742.5206666666666,1814.273756021505,1813.6936600000001,1564.1774255913979,1442.9000601075268,1400.9924540860216,1330.099040752688,1131.6946521505376,898.6057724200065,-0.20813395761073994,-0.05588886790642067,0.09537918311254293,,
Argentina,0.607,1.0130000000000001,1.016,1.586,0.865,0.66,0.926,0.834,1.18,2.348,1.9080000000000001,1.917,1.8960000000000001,1.808,2.106,1.7810000000000001,1.362,0.811,0.937,1.678,2.18,1.994,2.341,1.937,1.7550000000000001,3.013,2.911,2.644,2.378,2.544,2.387,1.9303068493150686,2.112,2.031,1.145,2.451567098250477,1.1352566178953971,-0.04180734693013477,0.00026021251404495407,,
Brazil,4.944946311407768,6.184230601132685,5.4099815477750814,4.714659868406148,5.448712561488673,4.62054105,5.533759474999999,5.007477575336314,4.908581072526466,4.970669237780714,5.4424269999999995,6.02573889,7.310272489999999,6.9736292,10.08146071904128,11.302200000000001,11.514000000000001,9.5376,9.465200000000001,10.9054596,11.486368253554325,11.1520042,11.263344055053384,12.205351290313185,10.34817,11.672629766252005,13.152317854183483,14.754070345524697,22.310656068035094,27.290198674356272,27.40355456990344,26.128518682200003,25.766994981776016,23.660046658280045,24.456861530486716,22.88827665978369,-0.06669380466894681,0.0898173484017657,0.0024293913946100165,,
Other S. & Cent. America,5.426000000000001,4.7297327258921795,5.176,6.526,8.959999999999999,10.285672479660416,8.540253797031411,7.729882906976744,8.155334803680983,8.386659477940045,10.865215677657098,11.652954621359221,12.701402970177668,14.07846975556389,15.575727956989248,13.112370967741937,10.085761458580645,12.653543241898388,15.903281233476811,17.96305929935252,17.62123554491255,23.218218366797895,26.30217433126345,26.488441196881745,27.201113447976077,29.61749837431669,32.492568769520446,39.522967688601796,47.97202207396832,45.22289451190562,45.328774915659075,49.85554648101603,42.0891939290308,44.71176316073837,48.79378891011714,51.1019011933889,0.04444191875343151,0.060175554673633114,0.005424022125071762,,
Total S. & Cent. America,10.977946311407766,11.926963327024863,11.601981547775083,12.826659868406148,15.273712561488672,15.566213529660416,15.00001327203141,13.571360482313057,14.243915876207447,15.70532871572076,18.215642677657097,19.595693511359222,21.907675460177668,22.860098955563892,27.763188676030527,26.195570967741936,22.961761458580646,23.00214324189839,26.305481233476815,30.546518899352517,31.287603798466876,36.36422256679789,39.90651838631683,40.63079248719493,39.304283447976076,44.30312814056869,48.555886623703934,56.92103803412648,72.6606781420034,75.05709318626191,75.11932948556252,77.91437201253109,69.96818891080682,70.40280981901842,74.39565044060384,76.44174495142306,0.02469549326197229,0.06588602024373857,0.008113626033726732,,
Germany,312.88,315.312,308.479,310.385,313.104,311.70000000000005,308.1,296.4,293.7,290.7,289.7,296.975,284.823,292.802,279.068,291.442,293.17,292.54200000000003,304.628,298.76,288.14300000000003,288.932,297.11,275.20799999999997,253.446,262.895,262.46982500000007,277.127,288.206,274.41,272.199799,261.74399999999997,241.9308,228.156,171.44949,134.8,-0.21591079688209602,-0.0383321977227542,0.014307846976039009,,
Italy,30.023,31.004,33.035000000000004,33.897,31.867,35.594,32.011,24.814,18.373,22.883,27.565,25.323,24.769000000000002,27.827,28.225,30.524,36.775,40.468,44.117000000000004,50.9,49.443,50.458,49.757,48.617000000000004,43.446,44.465,50.168,54.141,48.53,46.559,45.421,38.44,35.1287,30.9901,21.291300000000003,16.69880868783703,-0.21784092434526092,-0.0688380135097425,0.0017724332298792503,,
Netherlands,14.833,15.138,16.948,22.255,22.156,27.499000000000002,25.242,25.216,24.248,27.007,30.022000000000002,28.453,27.362000000000002,25.78245,20.809658,23.428151000000003,24.910476,24.954185000000003,25.881089,24.420741000000003,23.059151999999997,23.125407,24.599968,22.53996,23.434488,21.893333,20.766667,24.222999,24.560150000000004,28.760067,39.534307,36.720172,31.275540000000003,27.470253,17.414407999999998,8.824382222360635,-0.49465569610980975,-0.02925463728226252,0.0009366313834986275,,
Poland,131.52095000000003,134.28099,139.58713,138.20957,139.66751000000002,131.04500000000002,129.23,127.199,128.257,129.371,133.00900000000001,136.764,136.25300000000001,135.993,135.108,137.921,137.107,135.005,142.848,143.2456,143.4932,148.87920000000003,145.9615,140.612,134.873,138.383,141.571,136.416,139.758,131.55100000000002,132.962,132.933,133.81300000000002,133.292251407552,121.00464877913821,111.02964126567076,-0.08494191994075484,-0.010791809098632865,0.011784830245057294,,
Spain,54.605000000000004,54.808,54.724000000000004,43.071,59.622,60.663000000000004,59.715,65.14,63.388,62.613,67.07900000000001,54.67,63.976,63.166000000000004,75.436,80.858,71.734,82.45700000000001,75.955,80.32300000000001,80.767,67.978,74.08500000000001,49.973,36.8640271406818,24.184286952068923,44.927,55.991,41.571369967933165,45.29500000000001,52.676,37.38211646,46.349000000000004,38.71629685,14.12822737,5.600035817024049,-0.604710836932458,-0.09145071731224419,0.0005943950706996861,,
Turkey,15.0278,19.4373,17.6535,12.4866,20.2695,20.1813,21.5615,24.5708,23.7599,28.234699999999997,28.046899999999997,30.4136,33.86,35.6875,37.0309,38.1863,38.417500000000004,32.1491,32.252900000000004,34.4476,43.1925,46.6495,53.430899999999994,57.7156,55.6851,55.0464,66.2179,68.01310000000001,63.786076,76.262682,76.16560654000001,92.27310000000001,97.47630000000001,113.24860000000001,112.8941,106.05883760059028,-0.06311260415043896,0.07323103833741396,0.011257222691734554,,
