Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,oo,pp
Canada,6.808,6.886,6.159,9.432,14.835,9.654,8.622,13.122,15.299,15.437000000000001,19.975483870967743,18.621505376344086,22.826344086021507,26.423763440860213,27.87462365591398,35.425161290322585,41.82709677419355,38.37451612903226,38.32397849462365,39.950537634408605,40.133978494623655,43.30193548387097,45.04505376344086,38.63333333333333,44.05483870967742,51.302150537634404,60.74946236559139,61.549462365591395,58.63010752688172,62.50645161290322,68.58494623655913,63.65268817204301,58.83440860215053,67.26559139784946,69.50537634408602,70.85772255405658,0.0166713128691951,0.046652411407399175,0.011304538193995881,,
Mexico,7.212592538903575,7.651961461296257,8.959106841637064,8.303250529208901,9.759288080755544,13.208471138873564,18.932141965718777,18.775942203288118,19.067332403378067,21.380185026035598,22.39776710409266,21.168264880515636,23.12121863535047,30.022325098295823,32.905169836489804,40.30958664504507,50.86083492479117,69.60067029696393,80.58321193899243,92.37283530449376,86.48043165021276,116.05747658217322,128.7855429975476,131.273,138.156,143.75078767242005,151.71117999999998,153.64475933168725,165.49863004146687,174.03942383364543,186.3122194143227,192.0729909490662,192.73645921333093,202.2681835669059,187.74308586143235,183.12496869605303,-0.02726310045676905,0.031144239960987807,0.02921549166810353,,
US,313.92039247311834,267.2133688172043,293.1406483870968,271.8287139784946,379.1708236559139,400.8227462365591,410.27206129032254,434.4885720430107,446.15784731182794,494.85879784946235,533.3956397849462,489.30707096774194,515.482440860215,571.2441978494624,598.275405376344,646.2775903225805,687.2356118279569,743.016929032258,698.8253107526882,763.548405376344,818.2368322580644,877.8933010752688,964.0750440860214,949.4415043010753,990.2996569892473,1062.0400365591397,1089.9880956989248,1318.1657795698925,1209.5006021505376,1211.40748172043,1433.8517311827957,1482.0504666666666,1394.0241838709676,1579.7125612903226,1705.1765311827958,1738.438688172043,0.016721039720224873,0.05584525324174994,0.27734798466558774,,
Total North America,327.9409850120219,281.7513302785006,308.25875522873383,289.56396450770353,403.76511173666944,423.68521737543267,437.8262032560413,466.3865142462989,480.524179715206,531.675982875498,575.7688907600066,529.0968412246017,561.430003581587,627.6902863886183,659.0551988687478,722.0123382579482,779.9235435269417,850.9921154582541,817.7325011863044,895.8717783152464,944.8512424029008,1037.252713141313,1137.9056408470099,1119.3478376344085,1172.5104956989246,1257.0929747691941,1302.4487380645162,1533.3600012671711,1433.6293397188863,1447.9533571669788,1688.7488968336775,1737.776145787776,1645.595051686449,1849.246336255078,1962.424993388314,1992.4213794221525,0.012511363163353106,0.052852742523753715,0.31786801452768715,,
Argentina,12.463813785714283,13.270744079192548,12.558251776691723,20.555376752648463,24.307409692105256,19.84722551626984,21.022293395687324,20.420882800444197,22.2892382497477,22.081195483618504,24.88191973058095,29.379675489754984,26.904527554040783,28.020801118204975,40.20900695007244,43.324821388885766,38.12899651418177,34.77090742916926,42.34525055681855,50.20334092183426,50.20140292505125,50.20442468543909,53.241631224220214,58.94661713032775,55.13435114109675,56.193360975354096,58.98389777196174,67.45476839853715,65.80664399489089,66.78568624566519,68.4313792903456,74.764386943302,80.62191219473154,87.01630511664311,82.93086270718473,79.83933950568974,-0.039908706666351046,0.04166816473536583,0.012737452324084094,,
Brazil,0,0,0,0.005,0.215,0.32561199999999996,0.373,0.39,0.388,0.4791674319220369,0.5596937043269541,0.9741468373161114,1.177,1.321,2.652865088757397,4.067859799065883,9.921246055684456,12.405784913481872,13.11,19.26391022054043,18.81127385793515,18.258215,15.496593949181264,28.778265471292006,13.33179,36.475562536207335,25.095283497010854,46.76016462295105,69.00273405280467,81.07311399073271,79.48956319293099,56.48488883729,65.59331591716993,54.621735532863894,60.44801602680338,56.301448501928284,-0.07114206390555167,0.16318651506977955,0.008982251362676675,,
Other S. & Cent. America,26.84989223629686,27.848845202932623,27.112709194149396,28.412853763155574,24.80868622964625,26.79313290844536,28.261439613451728,29.455357624299243,31.545881646522908,31.874870042471578,36.557080800226174,37.269899696281605,40.76106268427989,47.47509045968868,42.19278518061405,49.341926745813964,58.14880682658102,58.22824429113905,61.23482421564582,64.50109764698941,64.66009521614082,63.15524363105403,64.41422906837438,62.921580506080126,71.30692212135621,84.33665697411375,82.58663808126542,89.86862022018911,96.47262686357449,100.07706958979425,113.5852624463032,119.29365178799908,105.42549300363798,102.91964086928041,103.17768366306916,97.35372427712312,-0.05902393765701275,0.037636901730671246,0.015531671845350285,,
Total S. & Cent. America,39.31370602201114,41.119589282125176,39.670960970841115,48.97323051580404,49.331095921751505,46.9659704247152,49.656733009139046,50.266240424743444,54.22311989627061,54.43523295801212,61.99869423513408,67.6237220233527,68.84259023832067,76.81689157789367,85.05465721944387,96.73460793376559,106.19904939644726,105.40493663379017,116.69007477246438,133.96834878936411,133.6727719991272,131.61788331649313,133.15245424177584,150.6464631076999,139.77306326245292,177.00558048567515,166.66581935023805,204.0835532416773,231.28200491127,247.93586982619212,261.5062049295798,250.54292756859107,251.64072111553946,244.55768151878743,246.5565623970573,233.49451228474115,-0.05556539695168394,0.058398725721347855,0.03725137553211105,,
Germany,27.985,29.811,32.956,33.141,38.575,35.9,36.3,33,32.8,36.1,41.1,45.56,48.1,50.743,51.8,49.197,55.516000000000005,56.307,62.864000000000004,63.00800000000001,72.74,75.29,78.052,89.066,80.888,89.29200000000002,86.129,76.448,67.51800000000001,61.13,61.47237204839762,80.6168666980243,86.04129599485206,81.56329869684495,89.998575,91.9,0.018337313716635384,0.010729993381684011,0.014661592591205088,,
Italy,24.712,26.871000000000002,31.732,32.42,34.407000000000004,39.082,35.87,35.168,39.596000000000004,40.404,46.442,49.725,60.649,70.21300000000001,86.217,101.36,104.188,99.414,117.301,129.772,149.25900000000001,158.079,172.64600000000002,172.697,147.27,152.737,144.53900000000002,129.058,108.876,93.637,110.86,126.148,140.3493,128.5376,141.687,136.16468738469914,-0.041601186278814484,-0.003857265303509716,0.021723516558686196,,
