Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,oo,pp
Canada,6.777,6.166,10.061,11.842,18.174,16.468,14.135,15.594000000000001,12.008000000000001,10.068,6.303440860215054,7.422365591397849,12.024731182795698,16.85806451612903,14.819569892473119,13.354193548387094,15.90537634408602,15.331290322580644,19.139462365591395,19.023118279569893,16.516774193548386,10.396881720430107,12.129247311827958,9.778494623655913,9.770967741935483,6.896774193548386,6.031182795698924,6.208602150537634,6.475268817204301,4.644086021505376,5.0462365591397855,4.778494623655914,3.916129032258064,3.835483870967742,3.2483870967741932,3.3011803799025228,0.013475507474917325,-0.10427845665999791,0.004354955503816634,,
Mexico,55.06230701945225,60.88913174330298,66.19074772190137,69.39771978524972,71.97217129685015,64.03832052623065,67.69311301283935,66.84700069239352,65.92453189424891,79.72029009468886,70.00650791825345,71.47585419180815,82.51142890786687,92.33252289079786,89.66314170422059,96.57959400171863,92.74216507520883,79.31532970303607,70.80378806100757,73.93316469550625,72.68556834978725,53.838523417826785,51.541457002452404,52.876,48.777,43.763212327579964,48.83265,55.73320079504319,47.68046998556975,32.48865622436442,31.225818528527906,33.52271,38.86507999999999,35.70006,34.79453,33.69836859987454,-0.03415000706951088,-0.03321570053394396,0.04445527929861216,,
US,107.74437956989247,146.86544838709676,127.41136666666665,160.10705483870964,176.72959139784945,135.978711827957,128.7651322580645,107.69264838709677,121.2776129032258,113.87202473118279,80.16566129032259,87.53895161290322,99.5213688172043,138.49480967741934,126.9471376344086,119.59243548387096,134.2798075268817,101.68537096774193,128.39316451612902,130.26350215053765,131.42474946236558,68.9961440860215,70.68707311827957,49.72323870967742,41.86722043010752,39.850551612903224,32.454026881720424,24.934991397849465,29.20907956989247,32.50737849462366,30.37499892473118,26.026673118279568,22.99994086021505,27.124320430107527,19.721229032258062,18.811930107526884,-0.048713882856922686,-0.0725169430185898,0.02481691671801561,,
Total North America,169.58368658934472,213.92058013039974,203.66311438856803,241.3467746239594,266.8757626946996,216.48503235418764,210.59324527090385,190.13364907949028,199.2101447974747,203.66031482587164,156.47561006879107,166.43717139610922,194.05752890786687,247.68539708434622,231.4298492311023,229.5262230339767,242.92734894617655,196.33199099335866,218.33641494272797,223.21978512561378,220.6270920057012,133.23154922427838,134.35777743255994,112.37773333333334,100.415188172043,90.51053813403158,87.31785967741935,86.87679434343029,83.36481837266652,69.64012074049344,66.64705401239887,64.32787774193548,65.78114989247311,66.65986430107527,57.764146129032255,55.81147908730395,-0.0364440152382034,-0.053793569655829154,0.07362715152044441,,
Argentina,5.706,7.894,10.078,8.635,7.204,4.944,7.619,7.6610000000000005,6.6930000000000005,4.557,4.585,4.624,2.0420000000000003,3.81,3.831,2.883,1.004,0.759,1.0110000000000001,4.039,5.746,8.036,10.97,14.370000000000001,14.276,16.663,18.992,19.212,20.827,19.075,21.956,20.722624657534244,11.699,6.675,3.047,7.386604710194771,1.4175985330201089,-0.1431070070614775,0.009744494736797888,,
Brazil,3.9141619962503382,10.18773646186221,7.782793029989198,7.192404674420053,6.15214560874931,5.069899680026765,5.245925138056619,6.333113625043216,6.215603472274298,6.44245004874996,7.581481502024661,9.328144558238638,9.969052958432375,11.209596132461703,16.636875,15.245239999999999,15.903812673956269,13.520092845605726,10.835175,12.33908335116279,11.737517923448362,12.396898225013796,13.297880156332969,17.460723127180856,14.41922589495667,15.718150774308919,14.184790348885393,18.786203433913908,25.524509871709768,34.055765900080836,28.29293616822331,14.60078315224221,15.204186702223568,12.150932146662795,9.856550988470477,7.512164268342595,-0.23993299094974885,-0.03732808314814551,0.009910134364411571,,
Other S. & Cent. America,49.161905074684,49.71637602329333,51.29557948374023,52.908220143263456,56.942117544521345,56.902992829484326,53.2882294697124,60.260163821749856,58.75851740009577,62.11484738582805,67.43757204210021,69.22705124282339,76.00205175231874,83.79888168094907,85.41229652236453,84.6294337460629,90.83262863109508,92.89098847882813,94.30221841999608,90.86159321520913,96.76613868530305,100.80308277768209,110.67924176622324,111.84154168070008,116.94056434938699,112.59390556557304,112.0782744635109,114.50135233719234,111.33224540245098,106.03980413763972,107.0642017624118,104.67905491495159,93.58759619849788,96.97804202024852,98.46772369254255,78.60119992841369,-0.20393770047619475,-0.01704673111502142,0.10369161598038588,,
Total S. & Cent. America,58.78206707093435,67.79811248515554,69.15637251372941,68.73562481768353,70.29826315327067,66.91689250951109,66.15315460776904,74.25427744679308,71.66712087237006,73.11429743457803,79.6040535441249,83.17919580106202,88.01310471075111,98.81847781341075,105.8801715223645,102.7576737460629,107.74044130505136,107.17008132443387,106.14839341999604,107.23967656637191,114.24965660875137,121.23598100269585,134.9471219225562,143.672264807881,145.63579024434367,144.97505633988192,145.25506481239634,152.4995557711063,157.68375527416075,159.1705700377206,157.3131379306351,140.00246272472802,120.49078290072147,115.80397416691135,111.37127468101305,93.49996890695105,-0.16275983391499182,-0.026467381282124558,0.12334624508159535,,
Germany,9.595,13.643,13.811,11.794,10.437,10.8,14.8,13.2,10.1,10.1,9.1,8.162,7.4,6.7,6.3,5.866,6.101000000000001,8.713,10.333,10.7722,12.002,10.949,10.003,9.676,10.066,8.740000000000002,7.156,7.626000000000001,7.198,5.658,6.082619834667313,5.719408915117551,5.476071070998755,5.093027905057704,4.774889912510967,4.3,-0.10191618137952851,-0.07186608250877569,0.005672609948979666,,
Italy,76.174,77.483,89.941,89.702,101.785,102.71900000000001,104.287,116.02,113.919,116.312,120.8,117.08800000000001,113.312,107.305,91.379,85.878,75.008,87.764,75.987,58.891,47.124,45.875,35.409,31.459,26.02,21.714000000000002,19.885,18.89,15.482000000000001,14.163,13.384,12.131,11.526693999999999,11.674,11.822400000000002,9.717763503649637,-0.18026693080540146,-0.07585560102492084,0.012819786495961496,,
Netherlands,3.258,3.456,3.6590000000000003,3.7960000000000003,3.307,3.064,3.3040000000000003,3.1550000000000002,3.0260000000000002,3.331,2.814,2.824,2.823,3.013,2.781,2.641,2.646,2.363,2.493,2.431,2.262,2.095,2.219,2.065,1.487,1.2530000000000001,1.4060000000000001,1.059,1.203,1.9060000000000001,1.297,1.241,1.154,1.2670000000000001,1.385,1.295,-0.06753664358564637,-0.007080864489219185,0.0017083790427741086,,
Poland,1.68,1.622,1.698,1.6260000000000001,1.691,1.57,1.528,1.457,1.572,1.686,1.5230000000000001,1.772,1.901,1.9020000000000001,1.891,1.9160000000000001,2.398,2.376,2.456,2.914,2.757,2.908,2.794,2.726,2.723,2.892,2.453,2.045,1.782,1.594,2.118,2.302,2.021,1.8,1.7690150000000002,1.355,-0.23612981562753843,-0.04221421445555407,0.0017875317397366157,,
Spain,7.747,6.187,6.436,6.937,9.138,8.604000000000001,10.156,14.329,9.544,10.509,14.623000000000001,13.92,14.103,17.499,24.445,22.578,24.632,28.593,24.002,26.802,29.414,24.158,18.832,18.309,20.07482819964318,17.13645970533593,15.171000000000001,15.321,13.853901528604698,14.121,17.240999999999996,16.763163820000003,15.766005,14.498979530000002,12.294070090000002,10.662795835903019,-0.135057598004389,-0.0478521638987508,0.014066484126205214,,
Turkey,7.082,7.0006,5.4956000000000005,3.3047,4.2475000000000005,3.9417000000000004,3.2931999999999997,5.273,5.1745,5.5488,5.772,6.539599999999999,7.157299999999999,7.9233,8.0795,9.3108,10.366200000000001,10.7438,9.196200000000001,7.670299999999999,5.4825,4.3404,6.526800000000001,7.5185,4.803526,2.18,0.9036000000000001,1.6386999999999998,1.738826,2.1452890000000004,2.223939724,1.9263,1.1999000000000002,0.3291,0.336,0.14331380533536864,-0.5746361977344396,-0.23356043950611183,0.00018906123673756913,,
Ukraine,47.115622499033186,49.68800730983376,50.173792916698204,48.3131470035681,49.53364410546636,48.011,38.528,22.618000000000002,16.936,10.399000000000001,10.391,4.947,2.327,2.248,1.427,1.187,1.061,0.81,0.65,0.5700000000000001,0.586,0.6950000000000001,0.639,0.982,1.694,0.8220000000000001,0.555,0.535,0.39,0.216,0.746,1.6145,1.3135000000000001,1.221,0.6898464210441525,0.7447187801065184,0.07659329190557007,-0.08592064356071627,0.0009824416654009853,,
United Kingdom,48.307,31.235,26.268,28.393,29.442,34.676,28.116,29.809,21.143,14.837,17.297,17.185,10.669,8.182540482523825,6.5487897059158,6.523984416697386,5.253166329004667,4.7989949556177445,4.594112124345547,4.6437795449292665,5.338157313058781,6.173006517381215,5.0482968689717485,6.7087710343056175,5.994552762729593,4.805436501432261,3.1189469939379224,2.8912342340003656,2.0662533180368707,1.9200519743410287,2.037106450916657,1.8903489820115498,1.620944209679843,1.682362987136377,1.1194,0.887,-0.20977621696244375,-0.1544820118023511,0.0011701407034290614,,
Other Europe,70.67360088278653,75.74840210599419,68.23362016039836,55.716049409911996,71.04596287989148,67.70698147687573,73.85981200229007,64.37385590363095,59.07284352151335,59.44471573303167,66.04994471946954,66.77031342169525,66.97287659337834,77.31945760316994,72.6829389944127,57.06852497130638,61.1119125468283,57.79831008008168,53.02213848147507,47.626621613879024,51.10748837289202,46.71141275312228,43.191821116739995,39.8349750356507,35.647257796827546,33.0280979229715,26.822862569273898,29.384511766846074,23.41003624818814,22.331193741079446,22.585216960589797,21.722149770551802,21.07563138189544,19.308414892461666,19.414558522828294,17.203457189907464,-0.1163098976295992,-0.05895554665935154,0.022695000561003455,,
Total Europe,271.6322233818197,266.06300941582793,265.7160130770966,249.58189641348014,280.6271069853579,281.0926814768757,277.8720120022902,270.234855903631,240.48734352151337,232.1675157330316,248.3699447194695,239.20791342169525,226.66517659337836,232.09229808569384,215.53422870032847,192.96930938800378,188.57727887583303,203.9601050356994,182.73345060582062,162.3209011588083,156.07314568595078,143.90481927050337,124.66291798571172,119.27924606995634,108.51016475920035,92.57099412973973,77.47140956321181,79.39044600084641,67.12401709482975,64.05453471542047,67.71488297017376,65.3098714876809,61.15374566257401,56.873885314655766,53.605179946383416,46.309049114901995,-0.1384690489893654,-0.06809072632859525,0.06109143552022815,,
Kazakhstan,8.298834148568357,8.763649638498743,9.030537931638609,8.88513267625511,8.976556993461061,8.731,7.498982166810518,7.300349891738644,6.734976480799255,4.76835475426614,4.860275052837306,4.245919170781519,3.7667936215204065,3.634466226160357,3.0123554843494653,2.6869495319891303,2.3313942368459903,3.0703173402733963,2.5940386087652287,1.1809539516692706,2.6341910002650395,6.574171903275995,7.153355606931474,3.0808860975750334,0.884234163823419,0.6200039240190823,0.5429933407417761,0.7159897980147224,0.5350098300045097,1.0172850095150456,1.238978249406927,1.9199622355246924,0.7819847651680605,0.0630003038105912,0,0,0,-1,0,,
