Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,oo,pp
Canada,0.14240019999994047,0.1370330000001161,0.15969980000002693,0.19576459999998974,0.10199999999720433,0.15199999999714464,0.1519999999970736,0.1579999999972017,0.16499999999676618,0.16499999999676618,1.561137083349223,1.6460655265861703,1.6929262964034706,1.7939128638523698,1.7938056309688477,1.852408401460707,1.8432131817546065,1.924442090532125,1.750108231197089,1.915086021501736,1.9150860215017929,2.3790645161255384,2.8727204301035556,3.784118279569981,3.750784946236564,4.091645161290188,4.240032258064474,3.7239032258065095,3.79379569892464,0.4088494623655947,0.4572365591398295,0.5722903225805567,0.34755913978494846,0.7260537634408593,0.7346559139784432,0.6849560564114086,-0.07019792697612681,-0.15043584265808818,0.0029545957842104916,,
Mexico,0,0,0,0,-0.0007703999999932876,0.001901000000032127,0.000624000000030378,0.0010078000000248721,0.0010504000000111091,0.0036240000000589134,0.0024734000000421474,0.0017902000000304952,0.0047198000000037155,-0.0019375999999340365,0.0035215999999707037,0.0035033999999996013,0.002315000000010059,0,5.28765820455439,3.6313927185933608,9.314880296155195,5.7368578205364145,5.08922401626711,6.609704450552044,5.9850764956480305,3.9130104840105275,2.40192185782675,1.5864613581650246,0.7671825974362605,0.6554847830884114,-0.0000801052872532182,0,0,0,0,0,0,-1,0,,
US,0.3438591397846267,0.36840537634407156,0.3730865591398924,0.39691290322616624,4.926283333333231,10.672408748777798,13.009214532421083,13.797283137830163,13.932803633104868,13.696135304659492,13.723072091886479,14.361924470511894,15.752256744868191,16.581186298468765,18.29406179537318,18.03099840338882,12.22713092212507,13.97548879113765,14.545181003582456,14.750847344411795,13.35915623981873,13.524135516455317,12.70203040078195,12.281998207884499,12.524094573922412,13.464263506027692,14.8010481915926,14.502507461714686,14.305665623980985,14.071837178233636,14.751862333007011,14.353594819159298,13.658482828283013,13.565444248941276,13.991921537959115,13.37541906158367,-0.04667317033102081,0.011144216780494043,0.05769560893942559,,
Total North America,0.48625933978456715,0.5054383763441876,0.5327863591399193,0.592677503226156,5.027512933330442,10.826309748774975,13.161838532418187,13.95629093782739,14.098854033101645,13.864759304656317,15.286682575235744,16.009780197098095,17.449902841271665,18.3731615623212,20.091389026342,19.886910204849528,14.072659103879687,15.899930881669775,21.582947439333935,20.297326084506892,24.58912255747572,21.64005785311727,20.663974847152616,22.675820938006524,22.259956015807006,21.468919151328407,21.443002307483823,19.81287204568622,18.866643920341886,15.136171423687642,15.209018786859588,14.925885141739855,14.006041968067962,14.291498012382135,14.726577451937558,14.060375117995079,-0.04784673571989917,-0.040471779088206095,0.06065020472363608,,
Argentina,0.011592600000003728,0.017369999999999663,0.048870399999994873,0.7710271999999989,0.3630264000000025,0.28990519999999975,0.210376200000006,0.22929819999978918,0.29362759999975196,0.3087615999996274,0.15462059999968147,0.07394719999967947,0.16875879999960475,0.15952779999962274,0.2773951999996953,0.06832119999959474,0.021781799999473606,0.03734979999947541,0.028012799999494575,0.09579019999961247,0.25374759999958485,0.20700000000000784,0.3400000999999975,0.3229999879999923,0.42900000000000205,0.33100000000000307,0.3370000000000175,0.6129999999999995,0.5970000000000084,0.8310000000000173,0.8509999999999849,0.7110684931507052,0.5429247202712304,0.5378217673647896,0.4786637884143943,0.39442618882085867,-0.17823630874338492,0.011014369298394389,0.0017013791523763947,,
Brazil,0,0,0,0,0,0,0.00002040000000036457,0,0,0.00009999999999621423,0.0000999999999891088,0,0.0005063959391016226,0.0001800000000677926,0.00003060000000587593,0.0002759839999946223,0.00009999999997489795,0.0002000000000066393,0,0,0.00009907548698606661,-0.06583720930245818,-0.00011147417197321374,0,0,0.0004420000000280311,0,0.0016614900662688115,0.002547110160051602,0,0,0,0,0,0,0.9827557868228638,0,0,0.004239171370887575,,
Other S. & Cent. America,0.012000000000000843,0.017999999999999794,0.010999999999993612,0.08399999999999767,0.0689999999999984,0.02405263157895255,0.03750105263157612,0.03527473684210625,0.03597503455608654,0.05073556087187936,0.058069245082407836,0.1347626315789464,0.2013505263157944,0.20364215705292563,0.08634037982258515,0.0005294736842134107,-0.0005000000000023874,0.00018999999999969042,0.02486999999999817,0.024679999999999147,0.022180000000000977,0.022571000000001673,0.032879999999995135,0.0026106000000041263,0.0879540099999998,0.3235530356901519,0.024192786413405276,0.37177425000000475,0.053746630000002626,8.523086652300004,1.4026131069585503,-0.517044265134672,-0.7155675900327115,-0.7400274375914029,-0.5936748621466099,-1.3099218567604813,1.2004348147240855,0,-0.005650420285217635,,
Total S. & Cent. America,0.02359260000000457,0.03536999999999946,0.059870399999988486,0.8550271999999965,0.4320264000000009,0.3139578315789523,0.24789765263158248,0.2645729368418954,0.3296026345558385,0.35959716087150295,0.21278984508207843,0.20870983157862588,0.3706157222545008,0.3633499570526162,0.3637661798222863,0.06912665768380277,0.021381799999446116,0.03773979999948174,0.05288279999949275,0.12047019999961162,0.2760266754865719,0.16373379069755134,0.3727686258280194,0.3256105879999964,0.5169540100000019,0.654995035690183,0.3611927864134228,0.9864357400662731,0.6532937401600627,9.35408665230002,2.2536131069585355,0.1940242280160331,-0.17264286976148113,-0.20220567022661334,-0.11501107373221563,0.06726011888324135,-1.5832164320350293,0,0.0002901302380463358,,
Germany,14.388320662000012,14.133448644000055,13.680180705999987,15.626727396000035,16.067004307000104,20.15799999999996,16.200000000000102,16.293700000000115,15.820000000000107,17.383199999999988,17.747999999999877,17.398999999999887,17.463999999999942,18.59000000000009,19.300000000000182,21.274250000000052,21.279499999999985,18.626249999999857,20.30600000000004,21.22679999999997,24.146799999999985,25.400600000000054,26.5585999999999,24.712399999999832,21.125200000000007,26.429300000000012,25.30619999999999,26.109599999999944,26.180000000000177,26.913000000000068,27.29398331600015,27.282209354999907,26.829214794999928,27.282548902999906,25.216707627999995,25.485141530111207,0.007883755913289603,0.017861658518339762,0.1099315657114907,,
Italy,3.5030000000000427,3.6170000000000186,3.29200000000003,3.0790000000000077,5.432979797979812,4.593080808080799,4.334121212121204,4.474080808080799,5.677161616161612,3.9642828282828475,5.215363636363634,6.133333333333297,6.526000000000039,7.938999999999993,8.520999999999958,7.987000000000052,8.676999999999992,8.439000000000021,9.593999999999994,9.887,9.40700000000001,9.04329999999996,8.37299999999999,8.19399999999996,6.6492999999999824,6.181600000000003,5.0160999999999945,4.964500000000044,4.906299999999959,4.7911,5.856900000000053,6.852200000000039,6.753565999999978,4.0537000000000205,3.1676000000000215,3.148179079357135,-0.008846603998902025,-0.07147106755621957,0.01357984435460104,,
Netherlands,2.327999999999996,2.300999999999995,2.288000000000011,2.6470000000000127,2.709000000000003,0.48699999999998056,0.45000000000000284,0.5779999999999887,0.5189999999999912,0.5539899999999989,0.7749999999999915,0.8870000000000147,1.3730000000000189,4.929515000000009,5.088059999999999,4.707217,4.821888999999999,4.740534000000011,5.606941000000006,5.652255999999994,5.776399000000012,5.001079000000004,5.650808999999995,5.385643000000016,5.002518999999992,6.230887999999993,6.365346999999986,6.707785999999999,5.981247999999994,5.9612929999999835,5.6013169999999946,5.9468590000000034,6.111207999999991,5.6004819999999995,5.181808000000004,3.9752338680043238,-0.2349441404847501,0.003527451319662367,0.0171473908694104,,
Poland,2.18304999999998,2.4110100000000045,2.5288699999999835,2.520429999999976,2.278489999999948,2.0989999999999895,2.341000000000008,2.3760000000000048,2.3919999999999675,2.359000000000009,2.2609999999999673,2.25,2.288999999999959,2.0480000000000302,2.1570000000000107,2.0870000000000175,1.9699999999999989,1.7800000000000011,1.6519999999999868,1.6999999999999886,1.6740000000000066,1.0839999999999748,0.6800000000000352,0.6813999999999965,0.6586999999999819,0.696500000000043,0.5649999999999977,0.5386000000000024,0.6804000000000201,0.7399999999999807,1.4050000000000296,0.7600000000000193,0.47399999999998954,0.6957485924480409,0.9630262208617637,1.0513587343292272,0.08874104024197349,0.038711751043034814,0.004535093974373498,,
Spain,1.7539467999999943,0.9336308000000173,0.7924516000000068,1.0010473999999974,0.8244559999999979,0.9000000000000057,1.140999999999977,2.1499999999999773,1.5289999999999964,1.180000000000021,1.7700000000000102,1.5050000000000097,1.8490000000000038,2.435999999999993,3.312000000000026,2.84399999999998,3.170000000000016,3.632999999999953,3.1730000000000587,3.0540000000000305,5.603999999999985,4.542000000000002,4.0260000000000105,3.393999999999977,3.298066176470627,3.6894191176471054,3.1891601018242,4.507009999999923,5.058355045194887,4.4870409447260045,4.212167334402466,4.429220006491846,3.5199950000000086,3.3191752250000093,3.3175432799999527,4.594749002931792,0.3812012857621119,0.0005889977445330263,0.019819703624043346,,
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013599999999996726,0.07169999999999277,0.054200000000008686,0.04590000000000316,0.04369999999998697,0.0368999999999744,0.027999999999991587,0.08840000000000714,0.09614999999996598,0.11878740900002072,0.07960500000001502,0.08844899999999711,0.12459599999999682,0.12635899999997946,0.12876799999997957,0.2925830000000076,0.35005899999998746,0.5171370000000479,0.7368700000000104,0.8482000000000482,0.9733850000000359,1.2259254625823246,1.2965684160556634,0.054734499662081326,0.3006999208929666,0.005592819481134136,,
Ukraine,0,0,0,0,0,0.20899999999997476,0.21599999999997976,0.2069999999999652,0.1980000000000075,0.20899999999998897,0.19700000000000273,0.2009999999999934,0.17599999999998772,0.17600000000000193,0.17600000000000193,0.17599999999998772,0.16900000000003956,0.16200000000004877,0.15200000000000102,0.13499999999996248,0.1419999999999959,0.14799999999998192,0.11599999999998545,0,0,0.000999999999990564,0.0016699999999900683,0.5141700000000071,0.6678899999999857,0.8398300000000063,2.042679999999976,1.7079999999999984,1.630589719999989,1.6162000000000063,1.0346523600146327,0.997164193397964,-0.03886586500202682,0,0.004301322828525629,,
