Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,oo,pp
Canada,459.0164002,468.5840330000001,496.3976998,506.0157646,498.09258654970483,480.5932424242396,506.9948584795292,518.6268124406096,530.2321611381105,553.0548439663934,557.8686930865186,571.6216013110633,572.3414404863013,561.9913125520447,577.7736449502214,603.8161068624004,587.7546027679467,599.7919546433794,588.2696299697212,598.509646967121,624.240403699813,612.0224413990464,637.0839557148012,635.1000946877949,613.8765740416045,607.0112929008247,638.281612897738,636.5493235180327,655.6810245233318,647.5523457117869,659.3493600836892,663.7456375610091,660.0565368784621,655.8159301106139,648.6759842839258,643.8551547727287,-0.010143733944464883,0.005529174750964039,0.02400362351236977,,
Mexico,96.20753203374971,99.58989530867692,106.1654010730962,112.23082348115835,120.04716093525404,117.59154298884492,128.57117140482066,132.2756645276993,134.64251942191686,146.1275620273452,150.35629869436306,156.59093131168345,166.7484449661148,181.0591201448529,189.9785806379923,203.6280610037465,210.21214204530455,215.7222714883992,224.90308351325578,235.39655602165058,247.97075103170997,256.22496048275775,263.249536043933,269.29974799321764,267.75358299198064,275.56740244267615,292.14324190038127,296.3959538482279,297.1178488488054,303.3158327426527,310.349642470502,319.44083358888605,325.12205414898654,335.05472249026604,322.5844447025121,313.2000040739351,-0.03174417896705939,0.01880440261855343,0.011676438289163243,,
US,2657.1500711257113,2676.11315475525,2772.20526585762,2914.4458146794173,3155.4496791380698,3232.779648759239,3270.7244021134193,3284.3899346073094,3404.677872924596,3458.526080733886,3567.331196667886,3663.3862391670423,3716.377329438841,3855.8083949515126,3936.0977119651766,4052.2531064302543,3984.4678897010317,4111.775538198574,4137.978841606171,4231.682747347144,4322.786632227311,4330.9516407387755,4431.837021165222,4390.106116983962,4206.493360590433,4394.250984818358,4363.377155204782,4310.569202193057,4330.2928875411,4363.326407252491,4348.669439982507,4347.910814144501,4302.538327553977,4461.586452719727,4411.15935199945,4286.583165838007,-0.030896222772503923,0.004762120714830065,0.159808503053078,,
Total North America,3212.3740033594613,3244.287083063927,3374.768366730716,3532.6924027605755,3773.5894266230284,3830.9644341723238,3906.2904319977692,3935.2924115756186,4069.552553484624,4157.708486727624,4275.556188448768,4391.598771789789,4455.467214891257,4598.85882764841,4703.849937553391,4859.697274296401,4782.434634514283,4927.289764330353,4951.151555089148,5065.588950335915,5194.997786958835,5199.199042620579,5332.170512923956,5294.505959664974,5088.123517624019,5276.829680161859,5293.802010002902,5243.514479559318,5283.0917609132375,5314.19458570693,5318.368442536698,5331.097285294396,5287.7169185814255,5452.457105320607,5382.419780985888,5243.63832468467,-0.02844600443663481,0.005638732589231754,0.195488564854611,,
Argentina,45.303728,49.022193,52.11527899999999,52.49951999999999,50.862812999999996,51.004894,53.85426999999999,56.10709699999999,61.86877899999998,65.622035,67.16925399999998,69.75981999999998,72.46246999999998,74.169556,80.74473499999999,88.977961,90.13777079069767,84.59000837209301,92.0594430232558,100.26082099999996,105.750115,113.423565,113.52504191999999,121.90524828000001,122.32601491554225,125.99205328189998,129.48330815,136.03362497514996,139.441423,138.55114649772347,145.4215558511899,147.19282085720954,145.618454,146.773875484766,139.52992245267882,142.50653339534747,0.01854260924171336,0.013245893999903835,0.005312799238024766,,
Brazil,193.68223389625032,202.12889948686222,203.33147189248922,214.95284833692006,221.7390205087493,222.82011523002677,234.37631757555664,241.76195193832473,252.00312157802523,260.0406103672302,275.6014426953099,291.2787399137768,307.9807828425842,321.74863834462184,334.7262336887574,348.9209387830659,328.51946572964073,345.6788247238453,364.339838,387.45241571201416,403.03077232763223,419.3834991999999,445.1488142063911,462.93857719062004,466.1581230211982,515.7986875907544,531.7584972911962,552.499326209194,570.8346534990893,590.542117779729,581.2279551684527,578.8983088667026,589.3273274006099,601.3964876564366,626.328386850434,620.1193157763126,-0.012618598023780292,0.029975475416867958,0.023118725505734555,,
Chile,14.040000000000001,14.82,15.637,16.915,17.811,18.398,19.963,22.35,24.013,25.276,28.027,30.791,33.292,35.495,38.384,41.268,43.924,45.491,48.787,49.743068636000004,51.89866535384131,54.80155065701374,58.3059717331907,59.71478161000001,59.70077909,61.332643,65.22276124000001,69.74142329000001,72.96767833000001,71.61637700000001,74.53855406,77.74804821803589,78.60557877760033,82.29984532493667,83.6185178354616,84.27047981881276,0.0050433179354036906,0.034265996535414844,0.0031416955440724138,,
Colombia,29.374664236296862,31.652930080685092,33.680269194149396,35.473253763155576,37.02080622964625,38.24570622244135,40.12350790892981,36.613098717322494,41.69108606370082,45.024283810342446,47.483470608604755,48.3711213733397,49.906342280514785,50.283142879771205,47.77472075020728,46.7801803974841,48.20800287295764,50.28266393982947,52.11305277213689,53.83857431898831,55.89710848302268,59.06591451969429,60.520302011991134,61.37364043252378,63.183012130050784,64.66284077533707,66.15454613690152,67.71409307427427,69.82108651902985,72.74761912122442,75.02279787547572,74.44603435493727,75.08696804531199,78.2771743829824,79.97862053361996,75.00148216796248,-0.06479307111711519,0.023852413308794285,0.0027961371862666347,,
Ecuador,4.558,5.0120000000000005,5.384,5.641,5.769,6.3488547,6.974455799999999,7.1960273,7.4113050000000005,8.1439969,8.428596800000001,9.6792006,10.3617494,10.8903525,10.308119274180001,10.612439117316,11.049801148575,11.887558245805,11.546131783838998,12.584844248350999,13.404022567387997,15.115849674445,17.336655151753998,18.608525816211,18.264615252905998,19.509853832412002,20.544142533206,22.84795784014,23.260330036922998,24.307213342674,25.950192130099996,27.313862000571,28.03291,29.671555556911045,32.85947892445801,32.04521481289082,-0.027444724408735466,0.06048618278345863,0.0011946806141719293,,
Peru,12.111,12.948,14.006,13.552,13.727,13.808,14.482000000000001,13.122,14.808,15.866,16.8801,17.279799999999998,17.953400000000002,18.5825,19.049599999999998,19.922700000000003,20.785700000000002,21.9823,22.9234,24.267,25.509700000000002,27.3698,29.943,32.4631,32.9447,35.908,38.8065,41.036,43.3302,45.549800000000005,48.27,51.662,52.70005332027285,54.893,56.969,52.713,-0.07723541909045151,0.05629519421900775,0.0019651982232776885,,
