Billion cubic metres,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
US,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline imports,96.90686525130187,101.9012291403356,103.20728721288563,93.68159408829375,98.29621450644187,101.10977212095372,98.19267288253499,104.57104405295625,99.00102798215437,89.92512359652937,90.20704898681439,85.02876857287312,80.76031350488063,75.94585966044,71.84693049418499,71.58743594266687,79.531959346455,80.54429062752189,76.64195154635249,73.27326474107062,68.19773555696062,-0.07181148285824934,-0.020269902453033284,0.0725409843539642,,
LNG imports,6.531408000000001,6.897753,6.782615999999999,14.147540522861311,18.2091461374557,17.569419891806167,16.21151973940472,21.548301834504795,9.73963226568421,12.553752241481348,12.107318319304749,9.856067509250853,4.889293908517367,2.684404285956733,1.6570528215982934,2.5411142021207196,2.438835335897902,2.1599279137676763,2.1167427752308945,1.4646997535252986,1.287802697419529,-0.12317585380656304,-0.1933270287420764,0.0013698178474925644,,
Total imports,103.43827325130187,108.7989821403356,109.98990321288564,107.82913461115506,116.50536064389757,118.67919201275988,114.40419262193971,126.11934588746105,108.74066024783858,102.47887583801072,102.31436730611914,94.88483608212397,85.649607413398,78.63026394639672,73.50398331578329,74.1285501447876,81.9707946823529,82.70421854128956,78.75869432158338,74.73796449459591,69.48553825438015,-0.07281811157735807,-0.031073818305684675,0.07391080220145675,,
Pipeline exports,4.842880776195,8.3689105124625,12.329902285036876,16.730380418626876,21.576967870486875,18.07642152941625,18.070588966237498,21.094500424738126,25.184844276033747,28.317966391811247,29.217216810127496,39.128594988656246,45.274820246953354,42.52102025102277,40.41851023880186,47.23632272252354,58.66195872286268,65.71437001524107,67.7573340122833,75.43876418101871,76.10888803842553,0.006126506457238001,0.10294346122209053,0.08095596739838579,,
LNG exports*,1.6988425954861108,1.75067709375,1.77939,1.6976577673611106,1.702520412847222,1.925928,1.6170907020486114,1.2371892412569445,1.0113734170763888,0.8179159974439705,1.4501659889615581,1.7506114789032579,0.7757271725589632,0.1528749596923011,0.4252196156446259,0.694857614087504,4.021034925703612,17.125711821807077,28.575008636312234,47.40245659700993,61.394385995906454,0.2916343617460535,0.5007529809524351,0.06530435589361339,,
Total exports,6.541723371681111,10.1195876062125,14.109292285036876,18.428038185987987,23.279488283334096,20.00234952941625,19.68767966828611,22.33168966599507,26.196217693110135,29.13588238925522,30.667382799089054,40.879206467559506,46.05054741951232,42.67389521071507,40.84372985444649,47.93118033661104,62.68299364856629,82.84008183704813,96.33234264859553,122.84122077802864,137.50327403433198,0.11629940796957894,0.15475963571589402,0.14626032329199914,,
Other North America,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline imports,4.842880776195,8.3689105124625,12.329902285036876,16.730380418626876,21.576967870486875,18.07642152941625,18.070588966237498,21.094500424738126,25.184844276033747,28.317966391811247,29.217216810127496,39.128594988656246,45.274820246953354,42.52102025102277,40.41851023880186,47.23632272252354,58.66195872286268,65.71437001524107,67.7573340122833,75.43876418101871,76.10888803842553,0.006126506457238001,0.10294346122209053,0.08095596739838579,,
LNG imports,0,0,0,0,0,0,0.9838980000000002,2.271339,3.778587,4.741551,8.091934832939879,6.985727396692977,6.474331136765801,8.761461597056911,9.81344070813045,7.433562719493902,5.861282793629443,6.999142913343417,7.497221125399215,7.113864484272572,3.35378556527902,-0.5298445417207001,0.04140226081355047,0.0035673751368805553,,
Total imports,4.842880776195,8.3689105124625,12.329902285036876,16.730380418626876,21.576967870486875,18.07642152941625,19.054486966237498,23.365839424738127,28.963431276033745,33.05951739181125,37.30915164306738,46.114322385349226,51.74915138371915,51.282481848079684,50.23195094693231,54.66988544201744,64.52324151649212,72.71351292858449,75.25455513768252,82.55262866529128,79.46267360370456,-0.040060095542928775,0.09583064092614357,0.08452334253526635,,
Pipeline exports,96.90686525130187,101.9012291403356,103.20728721288563,93.68159408829375,98.29621450644187,101.10977212095372,98.19267288253499,104.57104405295625,99.00102798215437,89.92512359652937,90.20704898681439,85.02876857287312,80.76031350488063,75.94585966044,71.84693049418499,71.58743594266687,79.531959346455,80.54429062752189,76.64195154635249,73.27326474107062,68.19773555696062,-0.07181148285824934,-0.020269902453033284,0.0725409843539642,,
LNG exports*,0,0,0,0,0,0,0,0,0,0,0,0.079853517,0,0,0.0037378242,0.012374463449999998,0.0261647694,0.04442913765,0.05460589577,0.012452493459999998,0.00574003255,-0.5403049662829307,,0.000006105592920354618,,
Total exports,96.90686525130187,101.9012291403356,103.20728721288563,93.68159408829375,98.29621450644187,101.10977212095372,98.19267288253499,104.57104405295625,99.00102798215437,89.92512359652937,90.20704898681439,85.10862208987312,80.76031350488063,75.94585966044,71.85066831838499,71.59981040611687,79.558124115855,80.58871976517189,76.69655744212248,73.28571723453062,68.20347558951062,-0.07189108789260745,-0.020253253611513422,0.07254708994688454,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline imports,2.092108764491156,4.356343847307851,4.986898494230204,5.628172762725579,7.652768969784247,8.515382646733924,9.264181323274544,9.78021140609639,10.706913102608167,7.673881484705792,9.294199231669907,9.270622419965097,9.5415041248738,11.023571085732764,11.403018251312716,11.221096777782689,9.813053224431695,8.410087949585261,7.6387448522984505,6.43065753558671,6.199938544739447,-0.03851219137025663,-0.01751929630344673,0.006594788540945622,,
LNG imports,0,0,0,0,0,0,0,0,0,0.4200582180652373,2.7988887175055392,0.6678914826836014,3.488146696020072,5.235870803829544,7.080942876541549,6.765139123180656,2.6311614132041523,1.7112458898929273,2.8721177886425386,3.221873232894708,3.341483862672885,0.034290887462759434,0.22597015063261172,0.003554289986633398,,
Total imports,2.092108764491156,4.356343847307851,4.986898494230204,5.628172762725579,7.652768969784247,8.515382646733924,9.264181323274544,9.78021140609639,10.706913102608167,8.09393970277103,12.093087949175446,9.938513902648697,13.029650820893872,16.259441889562307,18.483961127854265,17.986235900963344,12.444214637635847,10.121333839478188,10.510862640940989,9.652530768481418,9.541422407412332,-0.014211591186692352,0.017766432312390945,0.010149078527579021,,
LNG exports*,0,0,0,0,0,0,0,0,0,0,0,0,0.541440117994102,0.07351386430678489,0.17790824809163014,0.0018388613569321588,0.56907174744,0.21387138643067888,0.06919040800000001,0,0,,,0,,
Total exports,0,0,0,0,0,0,0,0,0,0,0,0,0.541440117994102,0.07351386430678489,0.17790824809163014,0.0018388613569321588,0.56907174744,0.21387138643067888,0.06919040800000001,0,0,,,0,,
Other S&C America,,,,,,,,,,,,,,,,,,,,,,,,,,
