Billion cubic metres,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
US,1.6988425954861108,1.75067709375,1.77939,1.6976577673611106,1.702520412847222,1.925928,1.6170907020486114,1.2371892412569445,1.0113734170763888,0.8179159974439705,1.4501659889615581,1.7506114789032579,0.7757271725589632,0.1528749596923011,0.42521961564462596,0.694857614087504,4.021034925703613,17.12571182180707,28.57500863631223,47.40245659700993,61.39438599590646,0.2916343617460535,0.5007529809524351,0.12583082282599975,,
Peru,0,0,0,0,0,0,0,0,0,0,1.8911285244987783,5.1876558835104305,5.09625076952471,5.696457858504228,5.6955928601972,5.01358496169199,5.52512976217468,5.518811025395598,4.786248535742603,5.284524693874681,5.0394789659017345,-0.04897598387340041,,0.010328660749795826,,
Trinidad & Tobago,4.0176306608952705,3.820455,5.531697589054054,11.665314230351054,13.708129960859912,13.635036932366964,16.284116305694205,18.058316401096874,18.241412522495576,19.469738567066685,19.55294375437904,18.208149377679277,18.300464565361754,18.39162916057619,17.557116648102504,16.351086208874143,14.337227340598549,13.52359935683829,16.58636297927642,17.087574452311113,14.34388932840295,-0.16285963148976745,-0.012966188469625606,0.029398508795875314,,
Other Americas*,0,0,0,0,0,0,0,0,0,0,0,0.079853517,0.541440117994102,0.07351386430678489,0.18164607229163013,0.014213324806932156,0.59523651684,0.29504594302867887,0.12379630377,0.1058041569,0.522348886114,3.9234521461893017,,0.0010705798107721366,,
Total Americas,5.716473256381382,5.571132093750001,7.311087589054054,13.362971997712163,15.410650373707135,15.560964932366964,17.901207007742816,19.29550564235382,19.252785939571964,20.28765456451066,22.894238267839377,25.22627025709297,24.713882625439528,24.3144758430795,23.859575196235962,22.07374210946057,24.47862854531685,36.463168147069645,50.07141645510126,69.88035990009571,81.30010317632517,0.16023975638927146,0.13165052475270622,0.1666285721824431,,
Russia,0,0,0,0,0,0,0,0,0,6.83562616772152,13.479919268196971,14.31216719827283,14.251987748830203,14.545953926736654,13.610351630491383,14.619893721969936,14.61596810806962,15.444818807927215,24.936936064439493,39.08409547534082,40.408900803546906,0.031071423827006672,0.19048019875905808,0.08282003566162445,,
Norway,0,0,0,0,0,0,0,0.160242876,2.1377056186939782,3.1205923819946024,4.619262529500815,4.378486199617225,4.555707729007381,3.8257660526379045,4.631505659976488,5.60441692896412,6.099123788015799,5.438619453513041,6.758543104653403,6.875611757193761,4.2901972471607035,-0.37773167714390277,0.0821997522163167,0.008792970903431866,,
Other Europe*,0,0,0,0,0.01688976,0.072274392,0,0,0.40747729842,0.24603776730000002,0.5240370650337466,1.70722241497695,3.5615366337763614,5.173166340289431,8.369994332343339,5.401505249477632,4.540329967412737,2.5009072157935357,4.983546548547426,1.900947313642,1.3484401269910224,-0.29258646218207374,0.2268651502925958,0.002763694561945603,,
Total Europe & CIS,0,0,0,0,0.01688976,0.072274392,0,0.160242876,2.545182917113978,10.202256317016122,18.623218862731537,20.397875812867003,22.369232111613943,23.54488631966399,26.611851622811212,25.625815900411688,25.25542186349816,23.38434547723379,36.67902571764032,47.86065454617658,46.04753817769863,-0.04051196818564107,0.16715420849223683,0.09437670112700192,,
Oman,2.585005277469136,7.747405282098765,8.755575294358025,9.233027120940283,9.433614807512575,9.262220749035768,11.597682980132099,12.573599256820987,11.289296915623332,11.844032375141976,11.734360738105384,10.972629455793914,11.145697424157456,11.538677999356791,10.611383882706267,10.239494231294827,10.981940492667261,11.401086836434523,13.566836987263594,14.05785973075218,13.207544058714113,-0.06305382718051988,0.017283409898448232,0.027069513107101543,,
