Billion cubic metres,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
Canada,0,0,0,0,0,0,0,0,0,1.015299,2.031894053911864,3.232261718338269,1.6177805228288986,1.0025097246358652,0.521691785132325,0.591407877302698,0.3086849301152943,0.40179171551013404,0.6229402717768615,0.5410974505458943,0.8471749572045648,0.5613828353410137,-0.060994463509473795,0.0017363268678953683,,
Mexico,0,0,0,0,0,0,0.9838979999999999,2.271339,3.7785870000000004,3.726252,6.060040779028015,3.7534656783547082,4.856550613936903,7.758951872421048,9.291748922998124,6.842154842191204,5.552597863514149,6.597351197833284,6.874280853622354,6.572767033726677,2.5066106080744546,-0.6196789065573303,0.05839456669750587,0.005137422098160872,,
US,6.531408,6.897753,6.782616,14.147540522861313,18.2091461374557,17.569419891806167,16.211519739404718,21.548301834504795,9.73963226568421,12.55375224148135,12.107318319304749,9.856067509250853,4.889293908517366,2.6844042859567336,1.6570528215982934,2.541114202120719,2.438835335897902,2.1599279137676763,2.116742775230894,1.4646997535252986,1.287802697419529,-0.12317585380656304,-0.1933270287420764,0.0026394151586538526,,
Total North America,6.531408000000001,6.897753,6.782616,14.147540522861313,18.2091461374557,17.569419891806167,17.195417739404718,23.819640834504792,13.51821926568421,17.295303241481346,20.199253152244633,16.84179490594383,11.363625045283168,11.445865883013646,11.470493529728742,9.974676921614622,8.300118129527345,9.159070827111096,9.613963900630111,8.578564237797872,4.641588262698549,-0.4604101339989721,-0.06771511597262325,0.009513164124710094,,
Argentina,0,0,0,0,0,0,0,0,0.42914700000000006,1.004832,1.9026000000104573,3.7237843390621785,4.675746430130114,6.316796753222874,6.229506646911108,5.61293791227773,5.096689300318551,4.6037457964365425,3.5933542443907913,1.753862636043912,1.7718507463781328,0.007496019246987284,0.057280474521846925,0.003631495514206917,,
Brazil,0,0,0,0,0,0,0,0,0,0.4200582180652373,2.7988887175055392,0.6678914826836014,3.488146696020072,5.235870803829544,7.080942876541548,6.765139123180658,2.6311614132041523,1.7112458898929273,2.8721177886425386,3.221873232894708,3.3414838626728853,0.034290887462759656,0.22597015063261172,0.00684853601969346,,
Chile,0,0,0,0,0,0,0,0,0,0.680355,3.098929139367611,3.667118820739443,3.974339879323802,3.801047729451772,3.533079247913155,3.716506222654552,4.502336445891136,4.350093449273208,4.299433591728265,3.3438965833377594,3.676045158695251,0.0963261656269796,0.17260495675986554,0.0075342359005756325,,
Other S. & Cent. America,0.3437136608952702,0.659421,0.659421,1.088568,0.900162,0.962964,1.015299,1.15137,1.339776,1.381644,1.365318397004428,1.859211773264917,2.436569940826833,2.7855353357584702,2.765972557932308,2.810304093876866,2.958564599622515,2.789614390061826,3.706680989480544,4.801984003204507,5.0797066840965694,0.0549447271596073,0.1326675417904768,0.010411109442762738,,
Total S. & Cent. America,0.3437136608952702,0.659421,0.659421,1.088568,0.900162,0.962964,1.015299,1.15137,1.768923,3.4868892180652367,9.165736253888033,9.918006415750138,14.574802946300826,18.13925062226266,19.60950132929812,18.904887351989807,15.188751759036355,13.454699525664502,14.47158661424214,13.121616455480886,13.869086451842838,0.05407689821899875,0.14170767078484103,0.028425376877238746,,
Belgium,4.39614,2.51208,3.45411,3.297105,2.983095,3.119166,4.479876,2.7928946079999992,3.024963,6.834951,6.537294098825424,6.320361178027509,4.069813646185165,3.12399466160277,2.8593067482723074,3.5861688118427546,2.4121057341801455,1.2892740783051935,3.2981750107305836,7.187793678460638,5.057464457397563,-0.2983039755840997,0.005046185697854311,0.010365522901882517,,
France,11.73788159863004,12.035692587690244,14.212113197079512,12.385235998625571,10.593386792430378,13.316061,14.688384605,13.168004,12.805183,13.295513,14.708072217002336,14.411326100385171,9.790154568769369,8.322564091998302,6.916794818920609,6.426653468806221,9.130652904582082,10.884742607732163,12.720997490102414,23.02745700774271,19.596195227245808,-0.15133252865653002,0.056462505084946324,0.04016336884397996,,
Italy,3.6720698524159663,3.5637940414915965,3.3987638130252105,3.330052342436975,1.7637989101890754,2.61675,3.24477,2.543481,1.632852,3.03543,9.261586051817252,9.065722677510596,7.058435455129001,5.778319221336167,4.49796521010284,5.89428839224,5.927379781934878,8.172670541863473,8.206000669673386,13.476122966935678,12.064356065113298,-0.1072066221758643,0.16073872642550846,0.02472649291810274,,
Spain,8.865549,10.299527999999999,13.918518574328786,16.414139836806193,18.301879124854498,23.02673327488925,25.45545794246375,25.216871514501747,29.84170227826825,27.5155978491,28.1614311126,23.8887444627,21.3955662456,15.654807569699999,16.208383299300003,13.6730873034,13.789170405,16.555342172399996,15.030096293700002,21.94968907708993,20.895508886737193,-0.050628131486745165,-0.02234653930104391,0.04282637628726253,,
Turkey,3.8727899999999997,5.055561,5.236359,4.892421,4.469409,5.107896,5.153274827205882,5.623638751575631,5.557977,5.96619,7.7534625869331695,5.920577923152852,7.558636858298712,5.905057360983587,7.070430109264355,7.537896412682406,7.579615790323628,10.854813270107895,11.44217168340427,12.864695012561617,14.827141541263806,0.14939609614833604,0.07986693001700806,0.030388958046085605,,
United Kingdom,0,0,0,0,0,0.49089291753200004,3.38182973930475,1.34128382936,0.8140925416815,10.101378507337,18.791323314974168,24.73148113953775,13.947178327940147,9.235830400095999,11.151887356121499,13.716582200276001,10.70141493291237,6.646099771491248,7.159786625908748,17.1130266,18.5615036787129,0.0816782805554368,0.05413107951823193,0.03804271747152899,,
Other EU,0.31401,0.795492,0.52335,0.8108753933449367,1.946862,2.135268,2.574882,3.6709881075949364,3.736719,3.7262520000000006,3.929656252729639,4.878528044706313,4.38919511454999,3.7311110924395194,3.3436333067039685,5.196069859047187,6.869207684705129,10.192725542373706,13.404393488941588,23.433116548671283,23.744168168921288,0.010505510153584252,0.20186526276434136,0.04866484401706516,,
Rest of Europe,0,0,0,0,0,0,0,0,0,0,0.0044365959,0,0.0022038399,0,0.0125812242,0,0,0.09279,0,0,0.055906329113924055,,,0.00011458277950780808,,
Total Europe,32.85844045104601,34.26214762918184,40.7432145844335,41.129829571213676,40.058430827473956,49.812767192421255,58.97847511397436,54.35716181103233,57.41348881994975,70.47531235643702,89.147262230782,89.21674152602016,68.21118405637237,51.75168439815634,52.06098207288557,56.03074644829457,56.409547233638214,64.68845798427368,71.26162126246099,119.05190089146181,114.80224435450579,-0.03833054186525153,0.05382848279629382,0.23529286326541535,,
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9082118284529996,10.712891751401152,8.308827564838317,3.1654419877602185,0,0,,,0,,
Kuwait,0,0,0,0,0,0,0,0,0,0.9315630000000001,2.829187951858725,3.001575483280624,2.792591213708979,2.274751636086759,3.5938059096714903,4.259156966985858,4.723463402188836,4.780875865771775,4.3013450999441405,5.118846912526643,5.6747328136318655,0.10556697160044926,0.1857578024873705,0.011630644849263724,,
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0.1735483114701596,1.433098419901933,1.389528596564104,1.5604555798913151,1.5858319039402404,2.851896027692323,4.245364002484018,2.9948859353654,1.0429059660770115,1.616889455701951,1.5521321717239636,-0.042673345427583165,,0.003181171456226544,,
Other Middle East & Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48110563829505937,0.14040981410257808,2.7045799380957996,4.773315595359548,5.267730259282844,4.022081741293121,2.6849975188306905,1.9312463435011227,-0.2826921810393145,,0.003958184653864811,,
Total Middle East & Africa,0,0,0,0,0,0,0,0,0,0.9315630000000001,3.002736263328885,4.434673903182557,4.182119810273083,4.316312854273134,5.32004762771431,13.723844761226976,24.45503475143356,21.352319625258332,12.53177479507449,9.420733887059285,9.158111328856952,-0.030533154184320566,0.26033863794321066,0.01877000095935508,,
China,0,0,0,0,0,0,1.0467,4.050729,4.647348,7.9967880000000005,13.019975943896686,16.87966220938099,20.06899387207653,25.068463746550943,27.265690251737738,27.001924125656576,36.76057821822889,52.93334788065843,73.45250131445923,84.74720274124512,94.01895641682306,0.10637367357741767,0.2662544335096586,0.1926964893493595,,
India,0,0,0,0,2.752821,6.322068,8.363133,10.446066,11.293892999999999,12.958146000000001,11.532434377875042,17.352482731370845,18.43126903053349,17.95617372102668,19.146348543927516,20.02977569854869,24.28580434473348,26.144168435380678,30.596983810416354,32.43623831026867,35.84027734840525,0.10192657827525098,0.09609642525286755,0.07345641650952532,,
Japan,73.96912401397046,76.00189444987927,75.35131126630937,81.4308549358183,78.50380561000863,79.55076305617021,85.63328876702482,91.97983561167416,95.35253994211,88.9024343767429,96.40206152028304,108.59253254622534,119.80540919876704,120.41888759439246,121.81414636719823,115.87157287835363,113.550518375,113.94838745,112.9749694479883,105.4961405245775,102.0294429140625,-0.0355033517017902,0.017260759010119253,0.20911437660132107,,
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98920623407633,2.186589669172246,2.1643184245447498,1.5378765888987938,2.0190608353523207,1.7950758733556051,3.32367756297081,3.6428903874710494,0.09304740493510111,,0.007466283561349906,,
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48661421809774,3.9719835784339135,6.088086050635401,9.387506794234673,11.77557834742716,10.621900438545127,-0.10043663758036181,,0.021770108951771224,,
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2729155318849639,2.5607219764435354,2.967958374588605,3.200695733440035,4.143486607149577,4.498428408719019,4.952901223886162,5.727236908549167,0.15318042135170962,,0.011738254581945454,,
South Korea,20.599056000000004,22.849461,25.026597,26.328020263297844,30.688422348278593,31.111916325972288,34.46097143661908,35.996013,38.256885000000004,35.34134477543098,44.954084722232814,47.69939367461681,49.66435277275115,55.31526601802214,51.755434452773905,45.77689202037029,46.32122479952143,51.40333948710169,60.21207914907173,55.617170602745574,55.27106140764262,-0.008938301224209355,0.04638759411135185,0.11328076700455561,,
Taiwan,6.17553,6.59421,7.3269,7.829316,9.556371,9.814246183723407,10.801469694684876,11.429964,12.601286953741505,12.35106,14.966410580136117,16.26819024812583,17.142730322681675,17.191322661655757,18.583224408211034,19.564105876401577,20.408479407909052,22.71983218842891,22.904956646874236,22.78410869792756,24.675260029745672,0.08004406109304263,0.06314568595475167,0.05057316271874475,,
Thailand,0,0,0,0,0,0,0,0,0,0,0,1.0606575322017284,1.3542526530139085,1.9750423710502043,1.8597789699945988,3.5987495200430257,3.8652866921547044,5.2381635503729695,6.019790456254459,6.713302886606393,7.499098333124238,0.11399844752077315,,0.015369771981643774,,
Other Asia Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0.08514650994777019,0,0,0,0,0,0.8472310202518815,5.732196520486665,6.114985043511269,0.06386398517701597,,0.012532963513064682,,
Total Asia Pacific,100.74371001397043,105.44556544987928,107.70480826630937,115.58819119911618,121.50141995828723,126.79899356586594,140.30556289832876,153.9026076116742,162.15195289585145,157.54977315217388,180.87496714442378,207.8529189419215,226.55215435977158,241.18727787865942,245.17193463945887,238.46191113660493,253.90244773832032,284.63787248507975,322.6895229216254,333.5785174181415,345.4411092278799,0.03273221467305243,0.07789890116475995,0.7079985947732812,,
Total World,140.47727212591178,147.26488707906117,155.89005985074292,171.9541292931912,180.66915892321686,195.14414465009335,217.49475475170783,233.2307802572113,234.85258398148542,249.73884096815735,302.38995504466726,328.26413569281834,324.8838862180012,326.84039163636515,333.6329591990853,337.0960666197311,358.25589961195556,393.2924204473875,430.5684694940334,483.7513328899413,487.9121396257838,0.005845386391565288,0.06835013267597723,1,,
