Trillion cubic metres,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Canada,2.4297,2.4989250000000003,2.5262249999999997,2.5476750000000004,2.7387750000000004,2.7144,2.67735,2.625675,2.604225,2.6637,2.6568750000000003,2.6432249999999997,2.6052,2.1761999999999997,1.85055,1.880775,1.89345,1.763775,1.7043,1.676025,1.640925,1.65165,1.6224,1.562925,1.5600000000000003,1.5550134,1.56182568,1.55621736,1.670907885,1.645396125,1.883071002509375,1.829293395,1.9044800886525892,1.9313871075,1.8928543021823394,2.0681445660600897,1.99562818425,1.9840517850000003,1.9125066525000003,1.9940677701749998,2.35395769365,0.1804802870082074,0.019405434239469166,0.012516109956264858,,
Mexico,1.781325,2.08065,2.08065,2.126475,2.1176999999999997,2.112825,2.0923499999999997,2.0660250000000002,2.02605,2.0085,1.974375,1.9587750000000002,1.933425,1.923675,1.8885750000000001,1.8680999999999999,1.76475,1.752075,0.829725,0.839475,0.8141250000000001,0.7770750000000001,0.4134,0.41047500000000003,0.40852499999999997,0.40392,0.384082776,0.363675,0.350025,0.3354538361971501,0.3502584233973,0.35696688338025007,0.35639499627765003,0.34404615957690005,0.3209127656031,0.2413643909787,0.1957928383323,0.18483447223395,0.17851007368755,0.17806994488800001,0.17806994488800001,0,-0.061367070685780956,0.0009468067400431429,,
US,5.396132772186374,5.469582929103749,5.4636722114189995,5.429373780817126,5.353890120109125,5.242887926524874,5.19454476307575,5.075923708622625,4.555699212213001,4.5310802596545,4.5915431056957505,4.52961613692525,4.474115040133125,4.403620242058125,4.4421754739283745,4.47766689342075,4.51367346720675,4.5339813917291245,4.447706604238874,4.53894314097825,4.810646360789625,4.9742214057075,5.0687386618957495,5.125622541265501,5.219678869927875,5.5415689632918745,5.723228635254374,6.44555629506825,6.6334520453220005,7.388641126392375,8.259414562921874,9.057686810969624,8.351898315319499,9.171481683092999,9.996813088248,8.34360161985375,8.73685413957675,11.8881342938325,12.874004044911375,12.618704422344374,12.618704422344374,0,0.054981926305827544,0.06709427806698331,,
Total North America,9.607157772186374,10.04915792910375,10.070547211418999,10.103523780817127,10.210365120109124,10.070112926524875,9.964244763075751,9.767623708622626,9.185974212213,9.2032802596545,9.22279310569575,9.131616136925249,9.012740040133124,8.503495242058126,8.181300473928374,8.22654189342075,8.17187346720675,8.049831391729125,6.981731604238874,7.05444314097825,7.265696360789625,7.4029464057075,7.10453866189575,7.099022541265501,7.188203869927875,7.500502363291875,7.669137091254374,8.36544865506825,8.654384930322001,9.369491087589525,10.492743988828549,11.243947089349874,10.612773400249738,11.4469149501699,12.21058015603344,10.65311057689254,10.92827516215905,14.05702055106645,14.965020771098926,14.790842137407374,15.150732060882374,0.024331942706954157,0.046713173236319294,0.08055719476329132,,
Argentina,0.6249750000000001,0.6317999999999999,0.6747000000000001,0.6620250000000001,0.6513000000000001,0.663975,0.6542250000000001,0.675675,0.753675,0.6542250000000001,0.6435,0.6269250000000001,0.5274750000000001,0.5040749999999999,0.521625,0.603525,0.62595,0.6669,0.669825,0.710775,0.75855,0.7449,0.6474,0.5967,0.5284500000000001,0.428025,0.43485,0.4298197150000001,0.3875694525,0.3682653275,0.3488473276699787,0.32336619138625067,0.30683125169677994,0.3192325553131925,0.3230814531862362,0.34084580670000003,0.3274102426750001,0.345684431825,0.3604880796750001,0.38556774602500005,0.38556774602500005,0,0.0046018798779403625,0.0020500828531694218,,
Bolivia,0.1201425,0.1557509941101071,0.1339420029449465,0.128345,0.12931,0.13124,0.136065,0.11222950294494646,0.11377350147247325,0.1133875,0.10943100147247324,0.11406299705505353,0.1066325,0.10412350147247325,0.10576399852752677,0.10576399999999998,0.10383788895000001,0.11476819305,0.14482652932499998,0.14482652932499998,0.1883536283024592,0.21684409308770505,0.22713231648237722,0.21842689668688542,0.21130428049057395,0.20750847277741974,0.20346995868879802,0.19927468058799072,0.271648272,0.271648272,0.271648272,0.271648272,0.3060485148,0.286920482625,0.270525026475,0.270525026475,0.29241816,0.24702487265999998,0.22994627250375,0.21286767234749998,0.21286767234749998,0,-0.024088857836122024,0.0011318279850239356,,
Brazil,0.051675,0.05849999999999998,0.0702,0.07995,0.0819,0.09067499999999999,0.09359999999999999,0.102375,0.10627500000000001,0.11309999999999999,0.112125,0.12090000000000001,0.12967499999999998,0.133575,0.14235,0.15014999999999998,0.15405000000000002,0.22229999999999994,0.22035,0.22522499999999998,0.215475,0.22665493007999998,0.2521278347265,0.25294541733,0.33619244095799994,0.31589309180249997,0.3586878190485,0.376304507505,0.37552683489214495,0.37847447277264,0.43611588149849995,0.47364457156735046,0.4734220066122869,0.47236553627861955,0.485698223140284,0.4432861606919454,0.38910567030859566,0.3808840876380648,0.38034679260862797,0.37527866300249996,0.34852831763392195,-0.07128128509773501,-0.0008476181804670802,0.0018531423730110466,,
Colombia,0.11895,0.11895,0.11700000000000003,0.110175,0.10627500000000001,0.104325,0.110175,0.09457500000000002,0.123825,0.10627500000000001,0.098475,0.096525,0.18037500000000004,0.205725,0.20865,0.21157499999999999,0.21157499999999999,0.19110000000000002,0.19110000000000002,0.18330000000000002,0.125775,0.12480000000000002,0.11700000000000003,0.11115,0.116025,0.110175,0.119925,0.12027085629306403,0.11948578026,0.12910678400812498,0.147313102715625,0.14889389086687502,0.156089202451875,0.1501203644325,0.12970639330687497,0.118858915993125,0.10966510849598406,0.10618535581499998,0.10307828944875,0.08620746417937498,0.08620746417937498,0,-0.03958357061050555,0.0004583693681625914,,
Peru,0.031200000000000006,0.031200000000000006,0.026324999999999998,0.02535,0.024375,0.026324999999999998,0.053625,0.3315,0.3315,0.3315,0.330525,0.3344250000000001,0.31785,0.3237,0.3315,0.195975,0.195975,0.19305,0.24082500000000004,0.24082500000000004,0.24082500000000004,0.24082500000000004,0.24082500000000004,0.24082500000000004,0.3168750000000001,0.321475,0.31914580236,0.3221537232375,0.32711412743625,0.32711412743625,0.33965141277375,0.3461380951875,0.41907238988999995,0.41010550537687507,0.39863116379624997,0.3837499512,0.43853243713125006,0.350907714609375,0.2890116819975,0.275597188055362,0.26144213080364553,-0.05136139940902806,-0.016990877631924528,0.0013901007928756525,,
Trinidad & Tobago,0.28957499999999997,0.3315,0.32565000000000005,0.30907500000000004,0.303225,0.30907500000000004,0.301275,0.295425,0.28664999999999996,0.27885000000000004,0.2457,0.23205,0.22717500000000002,0.22425,0.27885000000000004,0.340275,0.4446,0.5040749999999999,0.546,0.589875,0.5430750000000001,0.5616,0.574275,0.5187,0.5187,0.51675,0.468,0.46806570821512505,0.42326115992625,0.39698977758600007,0.37066331897250004,0.365073077237625,0.3609148186072501,0.3370667922900001,0.3167711855973751,0.3167711855973751,0.29190424822500005,0.3095286556650001,0.2731783153200001,0.289563506611875,0.28986642611475005,0.0010461245839279432,-0.031060969577102027,0.0015412341826144846,,
