Billion cubic metres,b,c,Trinidad & ,Other ,f,Other _2,Russian ,i,j,United ,l,m,n,o,p,Other,r,s,t,u,Papua ,Other_2,x,y,z
To ,US,Peru, Tobago, Americas*,Norway, Europe*,Federation,Oman,Qatar,Arab Emirates,Yemen,Algeria,Angola,Egypt,Nigeria,Africa,Australia,Brunei,Indonesia,Malaysia,New Guinea,Asia Pacific*,Total imports,,
Canada,0,0,0.8471749572045648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8471749572045648,,
Mexico,0.9436462074256967,0.10336906785325,0.6172207414210347,0,0,0.08159999999999999,0,0,0,0,0,0,0,0,0.21151503054394197,0.09234654182309449,0.10897685225718134,0,0.34793616675025546,0,0,0,2.5066106080744546,,
US,0,0,0.9985135135135136,0.00121762455,0.08687007162372014,0,0,0,0,0,0,0,0,0,0.2012014877322952,0,0,0,0,0,0,0,1.287802697419529,,
North America,0.9436462074256967,0.10336906785325,2.462909212139113,0.00121762455,0.08687007162372014,0.08159999999999999,0,0,0,0,0,0,0,0,0.4127165182762372,0.09234654182309449,0.10897685225718134,0,0.34793616675025546,0,0,0,4.641588262698548,,
Argentina,0.4593143674406996,0,0.31827490114543916,0,0,0,0.11246237938670883,0,0.8817990984052851,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7718507463781328,,
Brazil,2.7996873590350333,0,0.35378266034831074,0.078834946464,0,0,0,0,0,0,0,0,0.0864453536107624,0,0.02273354321477848,0,0,0,0,0,0,0,3.341483862672885,,
Chile,2.1206676709833334,0,0.7316622151638513,0,0,0,0,0,0,0,0,0,0,0,0,0.7298880362006579,0.09382723634740855,0,0,0,0,0,3.676045158695251,,
Other S. & Cent. America,1.756764400320679,0,2.8166800508988867,0.28559999999999997,0.09855971186860067,0.040799999999999996,0,0,0,0,0,0.08130252100840336,0,0,0,0,0,0,0,0,0,0,5.0797066840965694,,
S. & Cent. America,7.136433797779746,0,4.220399827556488,0.364434946464,0.09855971186860067,0.040799999999999996,0.11246237938670883,0,0.8817990984052851,0,0,0.08130252100840336,0.0864453536107624,0,0.02273354321477848,0.7298880362006579,0.09382723634740855,0,0,0,0,0,13.86908645184284,,
Belgium,1.283364107963889,0,0,0,0.03142294364509615,0,0.8769620253164557,0,2.774684123650064,0,0,0,0.09103125682205791,0,0,0,0,0,0,0,0,0,5.057464457397563,,
France,2.6031408858282323,0.10330019615175,0.4524559791859796,0,0.7866045194628845,0,5.025790628642089,0,1.9482809557376581,0,0,4.2670486636764675,0.181332471213592,0,4.228240927347153,0,0,0,0,0,0,0,19.596195227245808,,
Italy,2.1325815505542707,0,0.08044718292804323,0,0,0.0030175812,0,0,6.832674645435096,0,0,2.76415,0,0,0.172425,0.07906010499588817,0,0,0,0,0,0,12.064356065113298,,
Spain,5.354183363670104,0.1687945104,2.1672803349,0.1521739071,0.4968167922,0.068,3.4272490959,0,3.0923259493670883,0,0,0.5016598893,0.3650667012,0.0870861429,3.9775933539,1.0372788459,0,0,0,0,0,0,20.89550888673719,,
Turkey,2.815862763083049,0,0.6167229332574895,0,0.08667106086461888,0,0.2275462257291139,0,3.1060696202531646,0,0,5.679889078498289,0.0899272601281364,0.09037166642965486,1.8365227627510436,0.27755817026924545,0,0,0,0,0,0,14.827141541263805,,
United Kingdom,4.6747917116989,0,1.0070919,0,0.4104807692307692,0,2.935115509175633,0,8.974617088607594,0,0,0.0438777,0,0.1836396,0.3318894,0,0,0,0,0,0,0,18.561503678712896,,
Other EU,6.709328386910686,0.10566670967363481,0.9231843309682704,0,2.2927713782650136,0.22983183444400002,4.698362741375316,0,3.486685224811432,0,0,0.6532236307326743,0.36831950303253097,0.07202170072865002,4.0240062174299025,0.1807665105491777,0,0,0,0,0,0,23.744168168921284,,
Rest of Europe,0,0,0,0,0,0,0.055906329113924055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055906329113924055,,
Europe,25.57325276970913,0.37776141622538484,5.247182661239783,0.1521739071,4.104767463668383,0.30084941564400003,17.24693255525253,0,30.2153376078621,0,0,13.90984896220743,1.0956771923963173,0.43311911005830483,14.5706776614281,1.5746636317143112,0,0,0,0,0,0,114.80224435450576,,
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Kuwait,0.46319823630464296,0,0,0,0,0.1768,0,0.18304609962315135,3.1198132911392404,0,0,0.0943693657209897,0.3632073571688836,0.0851257517845207,1.0019774529942818,0.18719525889615476,0,0,0,0,0,0,5.6747328136318655,,
United Arab Emirates,0.2707994083756399,0,0.18559820963665535,0,0,0,0.29469149845822784,0.32103726488046286,0,0,0,0,0.18290041051126862,0,0.2971053798617089,0,0,0,0,0,0,0,1.5521321717239636,,
