Billion cubic feet per day,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,2.0964740461502838,2.2952100908345816,2.437361887229448,2.7066930286742665,3.0331553158795685,3.3509118111596328,3.576603707024156,4.011927295532163,4.278193091759402,4.3246400968699445,4.465916404081179,4.493233580248035,4.725798456485409,4.770955267009548,4.8437591043852,4.800196152512884,4.670504402782381,4.946053103735801,4.7165827808682375,5.221120877355101,5.491676394326041,5.285143888069617,5.349146755230871,5.871063576396952,6.364198130408579,6.168982473810041,6.211614189215076,6.566535993492697,6.9863207442969575,7.2325267340853046,7.47431444840053,7.57993770523857,7.750421895040974,7.6199632429643005,8.145728421580161,8.608742592086587,8.131292948592423,8.462604952873471,8.686903854620429,8.473567519990013,8.551005293235875,8.473963696363821,9.032922238888982,8.993006644782694,8.758653089746977,8.90276835718705,9.783982870000953,9.630026227733687,10.250429090917205,10.676933461054888,10.686683694234105,10.270531445060989,10.672342554933786,11.264046981056133,11.401723369626675,10.867953142337697,-0.046814872628018755,0.026723062741158987,0.02946420860489918,,
Mexico,0.7802787831461125,0.8234935999125204,0.7081945147378149,0.7583204993655837,0.9430517756636729,0.9643807066164631,1.002302767651394,1.0688925397420677,1.1875976560250445,1.2495298044870018,1.271234397135502,1.2432973384591477,1.3158204151684534,1.6550351580530733,2.009110693761539,2.1518510818052787,2.339393913658135,2.5151435877824584,2.5948831994233736,2.591516260808042,2.66338838865826,2.3696781601680352,2.411490614641093,2.4469025489415954,2.399115979769309,2.5946618990299113,2.731914713616537,2.7247756633362745,2.7406605140056133,2.912540572215018,2.969356870625223,3.0179846489452085,3.041646586716868,3.239177200067399,3.2693515392828068,3.465208191671885,3.5015236918359913,3.973511430998021,4.30639617404093,4.633546204032199,5.100050244193938,5.639537152605641,5.518896100323822,5.788958784586086,6.305244424146437,6.389974353609253,6.850898503532208,7.106715953455098,7.526867151890968,7.628784404152502,7.815949095329855,8.011414540252561,8.323959233937625,8.474146642867803,8.511636359040502,8.326291840069285,-0.021775427327126784,0.030459941311622662,0.022573487064952626,,
US,40.241358800237556,43.37178614661335,45.794781036481865,48.888759953897306,52.769848802664896,55.61970611295484,57.34062260514445,57.767112659276776,57.45124338113735,55.46092432732945,50.90664398634072,51.77930556766769,50.86231605409635,51.040666439862754,52.73879883423559,51.49943849113856,50.394785244023424,46.84475331483723,43.947268359211826,46.811922641503045,45.17897239985772,42.340866967977995,45.01645961613555,46.95133827030318,50.023173240014835,50.026934861899015,51.12375387901142,52.71639339201939,54.17578177769122,55.4496420136592,57.8563450486372,58.75064945480831,59.263959779987594,58.26233225398903,58.46394140627677,60.632251441679664,58.115164539730614,59.997310168554385,58.2633938786185,58.3394115249927,57.586409122721896,56.752865357767874,60.38694171945861,60.68054554485804,59.75706400451189,62.71433680104813,63.68354139214947,66.39569302727575,68.40622704395031,69.8805046564802,71.94317495997494,72.27916999316321,71.59610026561111,79.50298097849453,82.16586730686828,80.28001609518111,-0.022951759331450883,0.032357742439570014,0.2176478965315345,,
Total North America,43.118111629533956,46.49048983736045,48.94033743844913,52.353773481937154,56.74605589420814,59.93499863073093,61.91952907982,62.847932494551,62.9170341289218,61.0350942286864,56.6437947875574,57.51583648637488,56.90393492575021,57.466656864925376,59.59166863238233,58.45148572545672,57.40468356046394,54.30595000635549,51.258734339503434,54.624559779666185,53.334037182842025,49.99568901621565,52.777096986007514,55.269304395641726,58.78648735019272,58.79057923473896,60.06728278184303,62.007705048848365,63.902763035993786,65.59470931995952,68.30001636766296,69.34857180899209,70.05602826174544,69.12147269702074,69.87902136713974,72.70620222543813,69.74798118015903,72.43342655242589,71.25669390727985,71.44652524901491,71.23746466015172,70.86636620673734,74.93876005867142,75.46251097422683,74.8209615184053,78.00707951184444,80.31842276568264,83.13243520846453,86.18352328675849,88.18622252168758,90.4458077495389,90.56111597847675,90.59240205448253,99.24117460241848,102.07922703553545,99.4742610775881,-0.025519060376902436,0.03155267305692999,0.26968559220138627,,
Argentina,0.39894925816109056,0.43206957393295464,0.45182885322866906,0.5017342731443856,0.501227051467955,0.5664326731438125,0.6115026482992754,0.6843366474737241,0.7808678994053986,0.8265024253978819,0.8468262555306165,0.9505457615396717,0.9954913092793248,0.968204685490005,0.9954913092793248,1.0819143761650953,1.1338062643493259,1.2881168264682379,1.3850313868234083,1.4703901365574192,1.5064098167827968,1.6277882467421854,1.6287291648038862,1.8973381340900455,1.9985099630522556,1.9091227471906898,1.9439367154736154,2.0962677505228298,2.2196257075519163,2.281726299624161,2.5395378485301494,2.9060614249638337,2.6853801480937554,2.8707410062487906,3.0448108476634173,3.116251208364511,2.92531425382743,2.848158972767974,3.253694657360968,3.5516443311230574,3.8013089692707673,3.933037497908864,4.132512126989409,4.167200125367899,4.047694848243529,4.07206276711275,4.241609151547177,4.406055026379287,4.453293972852356,4.4656096080571,4.513752607259805,4.651694734383099,4.673148508561843,4.712256945724714,4.504745391768893,4.238710829587006,-0.059056514640757896,0.01075581500911027,0.011491608259909457,,
Brazil,0.004967481661190439,0.0058090453427584905,0.006566746909205251,0.006920996209131615,0.007314149619409043,0.007846747613688126,0.012358627491558798,0.01692222944215631,0.019420700343878113,0.0373701355101897,0.04060691890083604,0.04665840140987606,0.05836018537680542,0.07680004226897252,0.08415636815680515,0.0981098042224438,0.0882759106539914,0.1261364678900366,0.17056867625254563,0.19798030283771312,0.24903615238942686,0.29013349301611846,0.3238745077549774,0.3251415645417779,0.3342714483431141,0.30433630236558434,0.3163865526759251,0.35743064556273935,0.41985386479436193,0.45852656040842393,0.5060634325486337,0.5560369730734572,0.6059117265832924,0.6350013855054473,0.7535128744862277,0.9363697477546197,1.1887199740295067,1.4044836664820173,1.5719661168520676,1.8643906847236806,1.9473487594228822,2.04822930260256,2.109362825337002,2.4759713355053314,1.999740054958712,2.668122332721383,2.659090071252732,3.143249389954891,3.713629219672022,3.9335187687778994,4.154217667228534,3.5785411212748497,3.640992819822788,3.472524398931743,3.457290828483657,3.0990227527173273,-0.10362682618848806,0.056273141458806686,0.008401789339860126,,
Chile,0.059771759399223565,0.062419875321973975,0.05532670767174966,0.04715858273828552,0.06223072418463467,0.062136148615964996,0.06336563100867056,0.057533470940708334,0.04530169739276597,0.04719320876615911,0.053529771867026184,0.05828800826452091,0.0601500616739022,0.05617788778977658,0.06648662477476926,0.06790835914313115,0.06705407818678719,0.06941846740352864,0.07490385038636878,0.07639690403602255,0.07651163505375295,0.06998592081554658,0.0679052583048141,0.09516601996586022,0.14886194508604098,0.15983271105172123,0.18823999002183917,0.20997804980689577,0.2180224377562719,0.21028327655736323,0.20150647027981922,0.20423260509221366,0.2786410946805429,0.38479544137586424,0.5256406774989654,0.676772989731396,0.769197051700813,0.7757346471460093,0.8392202125535777,0.9084376753757395,0.8811983281544095,0.8154639189622582,0.4806764238001629,0.26680408893804797,0.27041565187428046,0.5553355387379895,0.5646974654340366,0.5114680168954949,0.5140057830233493,0.4256075905664441,0.46676169763237596,0.5708529110233053,0.5432262902049931,0.5453618236351346,0.6301547741288026,0.5907008264364157,-0.06260993221376843,0.08828223675895575,0.0016014544915000603,,
Colombia,0.08660558148892808,0.0903305527357637,0.11174913740506848,0.11357981828764926,0.12436747750372418,0.12087531695981577,0.12582178851811374,0.15327383661245014,0.15925461486471235,0.1656959125467404,0.15618030417982398,0.1660030356462063,0.1862945197792418,0.23076196874146648,0.2488619426635904,0.27375135143923635,0.29639644587320957,0.3195856012910103,0.35372472088700896,0.35030746092082043,0.35249112651305686,0.358668773632809,0.364140127503161,0.3645153408353217,0.34887983945362466,0.3620430170674425,0.37329533280788363,0.36632449362579306,0.3813669101135267,0.3773008863044809,0.40125680528413016,0.4351880854422931,0.5489736845336439,0.6374659397709692,0.5506088017822549,0.5534374337091119,0.5746124311727648,0.5803874304810337,0.5563249333632463,0.5919374290975719,0.6236999252930513,0.6544999216038192,0.6929060155654958,0.7019623261473271,0.8107201293300754,0.8461139413829929,0.8238447752123688,0.9133469439178357,1.0137006592692797,1.1014364431160375,1.0847628461257444,1.1671748929171806,1.1964416980714292,1.2781119008651651,1.3009770387385724,1.343688111736551,0.03282999755275551,0.04843103346627875,0.00364288530743636,,
Ecuador,0,0,0,0,0,0.006751389444264659,0.006751389444264659,0.009762767386276149,0.005626157870220548,0.011252315740441096,0.01406539467555137,0.012792591747534263,0.008214190490522003,0.008439236805330824,0.006076250499838192,0.004713060117512623,0.007651574703499947,0.009902037851588167,0.012265024157080797,0.017617867582130523,0.018003705184705756,0.017891182027301347,0.016653427295852823,0.019413319055468663,0.015415672564404306,0.02531771041599247,0.03105639144361743,0.03108375363216659,0.0358948872120071,0.03240666933247036,0.031281437758426255,0.033103636539672,0.03026872934178655,0.030831345128808613,0.029030974610338035,0.031532616500501126,0.032181623017661545,0.012812034780868236,0.02235810391480304,0.05189999999811186,0.053433493148741004,0.05838452054582115,0.05290725314895559,0.04812746724939157,0.05687778855528921,0.05988033929466724,0.05425457859795224,0.0722665952459123,0.08235396192973998,0.08442159198608998,0.07943701575271439,0.08551832368582406,0.07965023927436451,0.06842664779126247,0.061152505997935196,0.05266478021207326,-0.1387960419177019,0.007272913782693902,0.00014277997429476558,,
Peru,0.03538722684493836,0.036970339624843494,0.03454910831440034,0.03835524525985212,0.03920532237294487,0.03846032812357775,0.04591027061724897,0.04402030569774795,0.043209666463293155,0.04451340639968562,0.054943325890825345,0.059436699676284156,0.05918048068410085,0.061834522697471236,0.05717830863892672,0.06129409654116803,0.07058820512753493,0.07408036567144331,0.04879712333354657,0.06575184901688935,0.051404603206331514,0.05452426662555634,0.05419833164145822,0.05098554394106251,0.043349352885049486,0.04148686726163168,0.038925949529432194,0.035011930903061136,0.036970339624843494,0.03855345240474864,0.03734283674952706,0.037798026200386955,0.02244295176218459,0.03808783099889418,0.03827407956123596,0.03208653084086903,0.03445598403322945,0.04116093227753356,0.048703999052375685,0.07986806519000683,0.14125575900171036,0.16531559828165698,0.2491569719642232,0.3154574023894797,0.3235080420635731,0.5247678906453113,0.6088523399275885,0.6620846931595459,0.648499854620313,0.7190294741335027,0.7394920939641605,0.8195033308137689,0.7248635274266415,0.7764617464281057,0.7944606533673881,0.6802667358851427,-0.14373766277565148,0.09400354979579517,0.0018442774596636087,,
