Billion cubic metres,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,21.6684225,23.722488750000004,25.19172,28.052077500000003,31.349632500000006,34.6338525,36.966525000000004,41.5794825,44.2179075,44.6979675,46.15815,46.567725,48.8442,49.310925000000005,50.0634,49.749075000000005,48.2727,51.120675000000006,48.74895,54.11152500000001,56.7600465,54.62539875,55.28691,60.84750975000001,65.778126,63.76044525,64.20107175,68.05536300000001,72.20816775,74.75286675,77.2519,78.55822500000002,80.10565,78.757275,84.19140000000002,89.220725,84.04220000000001,87.466525,89.7848,87.819775,88.3802,87.583925,93.361125,93.203225,90.526375,92.0159,101.123825,99.80527500000001,105.94485,110.35305000000001,110.45382500000001,106.44345000000001,110.3056,116.42125000000001,117.84422500000001,112.63510881562722,-0.046814872628018755,0.026723062741158987,0.02946420860489919,,
Mexico,8.06468860038721,8.511341832118887,7.3196508135648175,7.859208706966402,9.747053321255787,9.967501691798246,10.359450851428704,11.077967115725254,12.274594010841222,12.914703036598373,13.139034115040156,12.885492711776951,13.599859603485697,17.105864545712357,20.765465445009582,22.301713816740666,24.17915728942883,25.995644452795396,26.81980518981671,26.85838926710669,27.52785086608432,24.492164669451327,24.924323574994624,25.35961751505943,24.796423676983757,26.81751790634961,28.236114993796683,28.239485330725188,28.326508527777776,30.103000694444454,30.69023408333333,31.27829361111111,31.437395305555555,33.47900263888889,33.790874055555555,35.91330369444445,36.190524222222216,41.06882441666666,44.50940469444445,48.02192041666666,52.712335583333335,58.28828358333334,57.041379861111125,59.99657838888889,65.16880111111111,66.04454002777778,70.80849083333334,73.65377033333333,77.79506636298889,78.84844743684344,80.78291622407221,83.03003672265984,86.03353134036715,87.58581587107969,87.97329646542656,86.29341469861592,-0.021775427327126895,0.030459941311622662,0.022573487064952633,,
US,415.9206101591464,448.2756123454993,473.31884008562855,506.68149974042245,545.4107009895679,574.8658294122021,592.652620385578,598.6964550845189,593.7959580366658,573.2247164098479,526.1532676632252,536.6390193836779,525.695109659225,527.5384768685261,545.0897793755973,533.7384862100513,520.8628747250362,484.17098632730006,454.2235952202297,485.1572261619329,466.9540573963206,437.6203922787193,465.27438210255315,486.60212515209594,517.0220230227621,517.0609018309312,528.3972395797662,546.3509667654229,559.9419324949106,573.1081063617371,597.9829471877882,608.889798075418,612.5315607383029,602.1790889484323,604.2628506337531,628.3906591633568,600.6580149257101,620.1112138655066,602.1900615292997,604.6277417003818,595.1929838675163,586.5777670445699,624.1383093021643,628.8911776598396,617.6281135399689,648.1934508599188,658.210810534601,688.1227781414196,707.0228376740836,722.2604554491519,743.5794942879105,749.0989398517032,739.9922516362099,821.7150052560166,849.2376670025957,832.0194456281968,-0.022951759331450883,0.032357742439570236,0.21764789653153455,,
Total North America,445.65372125953365,480.50944292761824,505.83021089919333,542.5927859473888,586.5073868108236,619.4671836040003,639.9785962370067,651.3539047002442,650.288459547507,630.8373869464463,585.4504517782653,596.0922370954548,588.1391692627107,593.9552664142385,615.9186448206069,605.789275026792,593.3147320144651,561.2873057800955,529.7923504100464,566.1271404290396,551.2419547624049,516.7379556981706,545.4856156775478,572.8092524171553,607.5965726997459,607.6388649872808,620.8344263235629,642.6458150961481,660.4766087726885,677.9639738061815,705.9250812711215,718.7263166865291,724.0746060438585,714.4153665873213,722.2451246893088,753.5246878578013,720.8907391479322,748.6465632821732,736.4842662237442,740.4694371170484,736.2855194508497,732.4499756279032,774.5408141632755,782.0909810487285,773.32328965108,806.2538908876966,830.1431263679343,861.581823474753,890.7627540370725,911.4619528859954,934.8162355119828,938.572426574363,936.3313829765771,1025.7220711270963,1055.0551884680222,1030.94796914244,-0.025519060376902436,0.03155267305692999,0.2696855922013864,,
Argentina,4.123400000000001,4.465720000000001,4.669945000000001,5.199957500000002,5.180507500000001,5.854450000000002,6.320277500000001,7.0924425000000015,8.070777500000002,8.542440000000003,8.752500000000001,9.851425000000003,10.289050000000001,10.007025000000002,10.289050000000001,11.212925000000002,11.718625000000003,13.313525000000002,14.3152,15.239075000000003,15.569725000000002,16.824250000000003,16.833975000000002,19.663950000000003,20.655900000000006,19.732025,20.09185,21.72565,22.941275000000005,23.583125000000003,26.247775000000008,30.118325000000006,27.755150000000004,29.670975000000006,31.470100000000002,32.296725,30.235025,29.437575000000002,33.62905,36.80912500000001,39.289,40.65050000000001,42.71220000000001,43.18872500000001,41.83555827169394,42.08741655845574,43.83978868918578,45.66420933584584,46.027688965509455,46.15497906359691,46.6525682653602,48.210011188143575,48.300028552561514,48.704239680915755,46.55947283631635,43.92985958585163,-0.059056514640757674,0.01075581500911027,0.011491608259909462,,
Brazil,0.051342153075221234,0.06004026095132742,0.06787159933628317,0.07172897701327431,0.07559649234513272,0.08110123893805307,0.1277344513274336,0.17538142920353977,0.20072556637168137,0.3862446504424778,0.4196989115044246,0.48356613716814145,0.6031904646017697,0.7937783761061945,0.8698107876106193,1.0168067831858405,0.9123889380530971,1.303702415929203,1.7629381814159288,2.051861345132743,2.5739505707964594,2.9987183097345125,3.347453637168141,3.3697564778761055,3.4549127787610607,3.1455135797433624,3.2700607523805294,3.7043994512787597,4.339462702783185,4.7391701588893795,5.230494643327432,5.762748895526547,6.26249168856637,6.563152229088493,7.788045529845131,9.704505259517232,12.28619389720504,14.516251959123888,16.247291989224685,19.32248371872566,20.127115692898535,21.16978170427164,21.80163641382824,25.660885462653873,20.66861379972096,27.576779256225603,27.483424960715677,32.57653326577271,38.38277277410682,40.65547424737805,42.936540872407065,37.08788244823893,37.632028349818675,35.8907976732557,35.73334881703981,32.11816985248229,-0.10362682618848806,0.056273141458806686,0.00840178933986013,,
Chile,0.61778,0.64515,0.5718375,0.48875,0.6431950000000001,0.6422175,0.6549250000000001,0.596275,0.4682225000000001,0.4877725,0.5532650000000001,0.604095,0.6216900000000001,0.580635,0.6871825000000001,0.7038,0.6930474999999999,0.717485,0.7741800000000001,0.7917750000000001,0.7907975,0.72335,0.7018449999999999,0.9862975000000003,1.538585,1.6519749999999997,1.9455827000000006,2.1762056000000003,2.253403663383201,2.1734144000000004,2.0827004000000007,2.11666,2.8799369,3.9771111000000006,5.4328382,7.014053,7.950151700000001,8.017722000000001,8.6738866,9.415018180337167,9.107757721020048,8.42834985819487,4.968103400000001,2.7651488000000004,2.7949216000000003,5.739753900000001,5.836515500000002,5.300837700000001,5.312584,4.398931200000001,4.824285657000001,5.916300789000001,5.614596942368071,5.636669069,6.513059349000001,6.122003931352544,-0.06260993221376843,0.08828223675895575,0.0016014544915000607,,
Colombia,0.895125,0.9336249999999999,1.1549999999999998,1.1771375000000002,1.2854187500000003,1.249325,1.30045,1.5885250000000002,1.6460000000000001,1.712575,1.614225,1.72045,1.925475,2.385075,2.5721499999999997,2.8371500000000003,3.06345,3.303125,3.655975,3.6305750000000003,3.643225,3.7070750000000006,3.763625,3.777825,3.6058999999999997,3.74195,3.8582500000000004,3.796575,3.941675,3.8996500000000003,4.1472500000000005,4.510275,5.674,6.588625,5.690900000000001,5.735807355078338,5.938993118119958,5.998681491166389,5.749979936806257,6.1348200406490045,6.446344289014627,6.764682278595596,7.161634233266564,7.27511445389504,8.37931970769527,8.745137770101767,8.514971457194692,9.465897677994368,10.477255472782863,11.384061849065542,11.211729382158149,12.096562190579762,12.36600293623227,13.210117588185609,13.446443656171772,13.92593938320537,0.03282999755275573,0.04843103346627875,0.0036428853074363613,,
Ecuador,0,0,0,0,0,0.06978000000000001,0.06978000000000001,0.10118100000000001,0.05815,0.1163,0.145375,0.132582,0.08489900000000002,0.08722500000000001,0.062802,0.048846,0.07908400000000002,0.10234400000000002,0.12676700000000002,0.18259100000000003,0.18608000000000002,0.18491700000000003,0.17212400000000003,0.201199,0.15933100000000003,0.26167500000000005,0.32098800000000005,0.322151,0.370997,0.3349440000000001,0.32331400000000005,0.34308500000000003,0.312847,0.31866200000000006,0.30005400000000004,0.326803,0.3326180000000001,0.132420710490707,0.231085542324967,0.5378898924900001,0.55226989684125,0.6034419843975,0.5468308642557101,0.49879148719716804,0.587868929522309,0.6189022438235282,0.5607563488699703,0.7489686155848992,0.851181747238574,0.8725520483481727,0.8210332117536661,0.8863090931592756,0.8232370154985951,0.7072338993761533,0.6320509139286797,0.5458160494665154,-0.1387960419177019,0.007272913782693902,0.00014277997429476563,,
Peru,0.36575,0.3821125,0.3570875,0.39751250000000005,0.40521250000000003,0.39751250000000005,0.4745125,0.45622500000000005,0.4466,0.46007500000000007,0.567875,0.616,0.61166875,0.6391,0.590975,0.63525,0.729575,0.7656687499999999,0.50435,0.68145,0.5313000000000001,0.56354375,0.560175,0.5284125000000001,0.44804374999999996,0.42879375,0.402325,0.3628625,0.3821125,0.398475,0.38596250000000004,0.3917375,0.2319625,0.3936625,0.39558750000000004,0.33254375,0.35612499999999997,0.425425,0.5033875,0.82775,1.4599701208930818,1.7086442047708688,2.5751993196649536,3.269390139934971,3.343665975953024,5.423817380337505,6.292884839614602,6.861823977568765,6.702667684775248,7.4316371643556725,7.643131646131759,8.493305559203307,7.491935898735609,8.025237043877048,8.211267450890539,7.050262070194499,-0.1437376627756517,0.09400354979579517,0.001844277459663609,,
Trinidad & Tobago,1.1427749999999999,1.342375,1.4816,1.5545500000000003,1.5624,1.9119720000000004,1.8635000000000002,1.9260750000000002,1.8498,1.689975,1.535975,1.728825,2.03215,2.426025,2.50765,2.8332500000000005,3.12095,3.7931250000000007,3.9297250000000004,4.1176,4.2152,4.3134500000000005,4.56935,5.259425,5.269475,5.463375,5.535165461625001,5.348801122015312,6.003313784250001,6.875721952530002,7.381322140965001,8.334404657394769,9.04433644268044,9.04433644268044,9.27773867345929,9.813040463234856,10.89441061488563,11.730721045010325,13.520101692092073,14.870535156515716,16.37530837000579,19.276154899534546,19.645027672562634,19.158103289780303,19.088471881842693,20.740086687495467,20.48132063454461,20.235985560577493,20.35563059626382,20.510088824783132,19.604770328972734,16.94447111534058,18.34932823094331,17.374750175251897,17.473316044151876,15.12137483317193,-0.13696635697066584,-0.008802000239548358,0.00395559916585827,,
