Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,0.78006321,0.8540095950000001,0.90690192,1.00987479,1.1285867700000003,1.2468186900000002,1.3307949000000001,1.49686137,1.5918446700000002,1.60912683,1.6616934,1.6764381000000002,1.7583912,1.7751933000000002,1.8022824,1.7909667000000002,1.7378172000000003,1.8403443000000002,1.7549622000000002,1.9480149000000004,2.043361674,1.966514355,1.9903287600000001,2.1905103510000004,2.368012536,2.295376029,2.3112385829999997,2.449993068000001,2.599494039,2.691103203,2.7810684,2.8280961000000007,2.8838033999999997,2.8352619000000003,3.0308904,3.2119461,3.0255192000000006,3.1487949000000004,3.2322528000000004,3.1615119000000003,3.1816872000000003,3.1530213,3.3610005000000003,3.3553161,3.2589495000000004,3.3125724,3.6404577,3.5929899000000005,3.8140146,3.9727098000000005,3.9763377000000006,3.8319642000000003,3.9710016,4.191165000000001,4.2423921,4.05486391736258,-0.046814872628018755,0.026723062741158987,0.02946420860489917,,
Mexico,0.29032878961393954,0.30640830595627994,0.26350742928833343,0.2829315134507905,0.3508939195652083,0.35883006090473685,0.37294023065143334,0.3988068161661092,0.441885384390284,0.4649293093175415,0.47300522814144563,0.4638777376239702,0.4895949457254851,0.6158111236456448,0.747556756020345,0.8028616974026639,0.8704496624194379,0.9358432003006343,0.9655129868334016,0.9669020136158409,0.9910026311790355,0.8817179281002478,0.8972756486998065,0.9129462305421394,0.8926712523714153,0.9654306446285861,1.0165001397766806,1.0166214719061069,1.019754307,1.0837080250000004,1.1048484269999999,1.12601857,1.1317462310000002,1.2052440950000003,1.216471466,1.2928789330000001,1.3028588719999998,1.4784776789999998,1.6023385690000003,1.7287891349999998,1.8976440810000001,2.0983782090000003,2.0534896750000007,2.159876822,2.3460768400000003,2.377603441,2.5491056700000003,2.6515357319999997,2.8006223890676,2.838544107726364,2.9081849840665996,2.989081322015754,3.097207128253217,3.1530893713588686,3.1670386727553566,3.1065629291501726,-0.021775427327127228,0.030459941311622662,0.022573487064952616,,
US,14.973141965729273,16.137922044437975,17.039478243082627,18.24053399065521,19.634785235624445,20.695169858839275,21.335494333880806,21.553072383042682,21.376654489319968,20.636089790754525,18.941517635876107,19.319004697812403,18.925023947732097,18.99138516726694,19.623232057521502,19.21458550356185,18.751063490101306,17.4301555077828,16.35204942792827,17.465660141829584,16.81034606626754,15.754334122033896,16.749877755691912,17.517676505475453,18.612792828819437,18.614192465913522,19.022300624871583,19.668634803555225,20.157909569816784,20.63189182902254,21.527386098760378,21.920032730715047,22.051136186578905,21.678447202143566,21.753462622815114,22.622063729880843,21.623688537325563,22.32400369915824,21.67884221505479,21.766598701213745,21.42694741923059,21.116799613604517,22.46897913487792,22.640082395754227,22.234612087438883,23.334964230957077,23.695589179245637,24.772420013091107,25.45282215626701,26.00137639616947,26.76886179436478,26.967561834661314,26.639721058903557,29.5817401892166,30.572556012093447,29.952700042615085,-0.022951759331450883,0.032357742439570236,0.21764789653153443,,
Total North America,16.04353396534321,17.298339945394254,18.209887592370958,19.533340294106,21.114265925189656,22.300818609744013,23.03922946453224,23.44874056920879,23.41038454371025,22.710145930072066,21.076216264017553,21.459320535436373,21.17301009345758,21.382389590912588,22.173071213541846,21.808413900964517,21.359330352520743,20.206343008083437,19.072524614761676,20.380577055445425,19.844710371446578,18.602566405134144,19.63748216439172,20.621133087017594,21.873476617190853,21.87499913954211,22.350039347648263,23.135249343461332,23.777157915816783,24.40670305702254,25.413302925760377,25.874147400715046,26.066685817578907,25.718953197143566,26.000824488815116,27.126888762880842,25.952066609325566,26.95127627815824,26.51343358405479,26.656899736213745,26.506278700230588,26.368199122604516,27.88346930987792,28.155275317754228,27.839638427438885,29.02514007195708,29.885152549245635,31.016945645091106,32.06745914533461,32.81263030389583,33.653384478431384,33.78860735667707,33.70792978715677,36.92599456057547,37.9819867848488,37.11412688912784,-0.025519060376902436,0.03155267305692999,0.2696855922013862,,
Argentina,0.14844240000000006,0.16076592000000006,0.16811802000000006,0.18719847000000003,0.18649827000000005,0.21076020000000006,0.22752999000000004,0.2553279300000001,0.29054799000000003,0.3075278400000001,0.31509000000000004,0.35465130000000006,0.37040580000000006,0.3602529000000001,0.37040580000000006,0.40366530000000006,0.4218705000000001,0.47928690000000007,0.5153472,0.5486067000000001,0.5605101000000001,0.6056730000000001,0.6060231,0.7079022000000001,0.7436124000000002,0.7103529000000001,0.7233066000000001,0.7821234,0.8258859000000002,0.8489925000000001,0.9449199000000004,1.0842597000000003,0.9991854000000002,1.0681551000000002,1.1329236,1.1626821000000003,1.0884609,1.0597527000000002,1.2106458,1.3251285000000002,1.4144040000000002,1.463418,1.5376392000000003,1.5547941000000005,1.5060800977809818,1.5151469961044066,1.5782323928106883,1.6439115360904504,1.6569968027583404,1.661579246289489,1.6794924575529668,1.735560402773169,1.7388010278922144,1.753352628512967,1.6761410221073887,1.5814749450906587,-0.059056514640757674,0.01075581500911027,0.011491608259909454,,
Brazil,0.0018483175107079643,0.002161449394247787,0.002443377576106194,0.002582243172477875,0.002721473724424778,0.0029196446017699103,0.0045984402477876095,0.0063137314513274315,0.0072261203893805295,0.0139048074159292,0.015109160814159287,0.01740838093805309,0.02171485672566371,0.028576021539823,0.031313188353982294,0.03660504419469026,0.032846001769911495,0.04693328697345131,0.06346577453097343,0.07386700842477875,0.09266222054867254,0.10795385915044245,0.12050833093805308,0.1213112332035398,0.12437686003539819,0.11323848887076104,0.11772218708569906,0.13335838024603536,0.15622065730019466,0.17061012572001766,0.18829780715978756,0.2074589602389557,0.22544970078838933,0.23627348024718575,0.2803696390744247,0.34936218934262037,0.4423029802993814,0.52258507052846,0.5849025116120887,0.6956094138741238,0.7245761649443472,0.762112141353779,0.7848589108978166,0.9237918766555394,0.7440700967899545,0.9927640532241218,0.9894032985857645,1.1727551975678174,1.3817798198678457,1.46359707290561,1.545715471406654,1.3351637681366015,1.3547530205934724,1.292068716237205,1.2864005574134332,1.1562541146893626,-0.10362682618848784,0.056273141458806686,0.008401789339860124,,
Chile,0.022240080000000002,0.0232254,0.02058615,0.017595000000000003,0.023155020000000005,0.02311983,0.023577300000000006,0.021465900000000003,0.016856010000000005,0.01755981,0.019917540000000004,0.021747420000000003,0.022380840000000003,0.02090286,0.024738570000000005,0.0253368,0.02494971,0.025829460000000002,0.02787048,0.028503900000000002,0.02846871,0.0260406,0.02526642,0.03550671000000001,0.05538906000000001,0.05947109999999999,0.07004097720000003,0.0783434016,0.08112253188179525,0.07824291840000003,0.07497721440000002,0.07619975999999999,0.1036777284,0.14317599960000002,0.19558217519999999,0.252505908,0.28620546120000007,0.28863799200000007,0.3122599176,0.338940654492138,0.3278792779567217,0.3034205948950154,0.17885172240000005,0.09954535680000003,0.10061717760000002,0.20663114040000005,0.21011455800000006,0.1908301572,0.19125302400000002,0.15836152320000002,0.17367428365200005,0.21298682840400004,0.2021254899252506,0.202920086484,0.23447013656400004,0.22039214152869158,-0.06260993221376854,0.08828223675895575,0.0016014544915000596,,
Colombia,0.032224499999999996,0.0336105,0.04158,0.042376950000000004,0.046275075000000006,0.0449757,0.0468162,0.0571869,0.05925600000000001,0.061652700000000005,0.05811210000000001,0.0619362,0.0693171,0.0858627,0.0925974,0.1021374,0.1102842,0.1189125,0.1316151,0.1307007,0.1311561,0.13345470000000004,0.1354905,0.1360017,0.1298124,0.1347102,0.13889700000000002,0.1366767,0.1419003,0.14038740000000002,0.14930100000000002,0.1623699,0.204264,0.23719050000000003,0.20487240000000004,0.20648906478282014,0.21380375225231849,0.21595253368199,0.20699927772502524,0.22085352146336415,0.23206839440452656,0.24352856202944148,0.2578188323975963,0.2619041203402214,0.3016555094770297,0.3148249597236636,0.3065389724590089,0.3407723164077973,0.3771811970201831,0.40982622656635953,0.4036222577576934,0.4354762388608715,0.4451761057043617,0.47556423317468194,0.4840719716221838,0.5013338177953933,0.03282999755275573,0.04843103346627875,0.003642885307436359,,
Ecuador,0,0,0,0,0,0.0025120800000000007,0.0025120800000000007,0.0036425160000000006,0.0020934,0.0041868,0.0052335,0.0047729520000000004,0.0030563640000000006,0.0031401000000000003,0.002260872,0.001758456,0.002847024,0.0036843840000000006,0.004563612,0.006573276000000002,0.006698880000000001,0.006657012000000001,0.006196464000000001,0.007243164,0.0057359160000000015,0.009420300000000003,0.011555568000000002,0.011597436000000003,0.013355892000000001,0.012057984000000002,0.011639304000000003,0.012351060000000002,0.011262492,0.011471832000000003,0.010801944000000003,0.011764908000000001,0.011974248000000003,0.004767145577665452,0.008319079523698812,0.01936403612964,0.019881716286285003,0.02172391143831,0.019685911113205567,0.01795649353909805,0.02116328146280312,0.022280480777647018,0.020187228559318933,0.026962870161056373,0.030642542900588664,0.03141187374053422,0.029557195623131978,0.031907127353733925,0.029636532557949423,0.025460420377541516,0.022753832901432472,0.019649377780794557,-0.1387960419177019,0.007272913782693902,0.00014277997429476558,,
Peru,0.013167000000000002,0.013756050000000002,0.01285515,0.01431045,0.014587650000000002,0.01431045,0.017082450000000002,0.016424100000000004,0.0160776,0.016562700000000003,0.0204435,0.022176,0.022020075000000004,0.0230076,0.021275099999999998,0.022869,0.026264700000000002,0.027564075,0.018156600000000002,0.0245322,0.019126800000000003,0.020287575,0.020166299999999998,0.01902285,0.016129575,0.015436575,0.0144837,0.01306305,0.013756050000000002,0.014345100000000003,0.013894650000000001,0.01410255,0.00835065,0.014171850000000001,0.014241150000000001,0.011971575000000002,0.012820499999999999,0.0153153,0.01812195,0.029799,0.05255892435215095,0.061511191371751275,0.09270717550793833,0.11769804503765897,0.12037197513430885,0.19525742569215015,0.22654385422612563,0.24702566319247554,0.24129603665190894,0.26753893791680416,0.27515273926074335,0.30575900013131907,0.26970969235448194,0.28890853357957375,0.2956056282320594,0.253809434527002,-0.1437376627756516,0.09400354979579517,0.001844277459663608,,
