Billion cubic feet per day,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ddd,eee
Canada,5.226209642497807,5.713718882646166,6.433347322915984,6.911756712878425,6.768360800275241,6.91359984800186,6.95536750568974,7.326462115651132,7.07026633349377,7.455481574291529,6.872653040109389,6.6592472009679335,6.990089955624382,6.574462985289958,7.186048959697155,7.789900011087437,7.306279786049527,7.919822605938317,9.12072192862915,9.716556802640108,10.008831954838692,10.534272915827328,11.575172599268058,12.777525027532299,13.830489692199048,14.778097778070922,14.85127012747854,15.454363889121431,16.022610671638706,16.500190686483,17.011311719967345,17.359258552065718,17.485360922833593,17.032987353030382,17.052852280240288,17.33344740390014,17.357146928755007,16.90064202720531,16.064466278935118,15.0015549330686,14.473310471642343,14.616528359645676,14.502670506791928,14.698673650888399,15.382834765932198,15.553513432224705,16.594352658041842,16.825450821894187,17.103546532407943,16.349803438235753,15.939347146153478,-0.025104662183422888,0.008643341542893701,0.04286697529330062,,
Mexico,1.0672098010429982,1.0563605394110271,1.0949497003775672,1.193015796020442,1.2506424582360567,1.271234397135502,1.2432973384591477,1.3221496412047433,1.6550351580530733,2.009110693761539,2.423323168751157,2.617920172796526,2.791533229214331,2.8151268276390535,2.761429210662752,2.6862139159305363,2.3860723337652194,2.4253047215738026,2.450145622832663,2.3584853049427137,2.5529249776198113,2.5890095028172406,2.502664463602447,2.6876112607418596,2.8273992457474146,2.823842768979185,2.972320032418578,3.009628953811429,3.186457778763434,3.3123477992945465,3.220646000818558,3.2064459879118004,3.2632422478042464,3.3708965802191133,3.5726710204743517,4.287286243773274,4.687871500705754,4.533684206646876,4.5571910766843935,5.0875416483058835,4.951581813025619,5.040707606319974,4.906440411042028,5.078349007846402,4.963384209729204,4.638987036740474,4.211845098021367,3.702567598088953,3.404819912177031,3.02785873465004,2.9015696297393347,-0.041709047871185345,-0.05057040930615675,0.007803425854856517,,
US,55.290405975187554,56.85763188640509,56.518416398001726,56.62172154026032,54.12791424602124,50.121807355227574,49.577599901650764,49.93035254044129,49.72593365566069,51.23448183826019,50.66503417126293,50.271894537216994,46.74982722988075,42.34603473209975,45.83036331847202,43.33362890752768,42.21183108783565,43.73030648151351,44.78859924708581,45.54592958818332,46.76802286355388,46.51941130158988,46.76480687779408,47.42613315849022,49.37578637462894,48.697551147413996,49.23134879332857,49.49276413848717,50.052781338454636,49.35713138414497,50.03878110090001,51.462169697491255,49.4626609554846,50.10384395194213,48.54416055684003,47.35462151097428,48.54305669202296,50.494054802824465,52.689039628267224,53.94750185857067,55.64792082906847,59.73098274558631,62.63285298991349,63.43991129960063,68.18404891446687,71.62618558473771,70.18124473078284,72.19388169939276,81.36267681918049,89.97861815326732,88.25008285045371,-0.01921051176702082,0.05248714004488564,0.23733808458366237,,
Total North America,61.58382541872836,63.627711308462274,64.04671342129528,64.72649404915919,62.14691750453254,58.306641600364934,57.77626474579966,58.57896429729717,58.451235147207534,60.69907410631326,59.96101038012348,59.54906191098145,56.531450414719465,51.73562454502876,55.777841488831925,53.80974283454566,51.9041832076504,54.075433809025625,56.35946679854763,57.62097169576614,59.32977979601238,59.64269372023445,60.84264394066459,62.891269446764376,66.0336753125754,66.29949169446411,67.05493895322569,67.95675698142003,69.26184978885678,69.16966986992252,70.27073882168591,72.02787423746878,70.21126412612244,70.50772788519163,69.16968385755466,68.9753551586477,70.58807512148373,71.92838103667665,73.31069698388673,74.03659843994515,75.07281311373643,79.38821871155196,82.04196390774744,83.21693395833543,88.53026789012827,91.81868605370289,90.98744248684605,92.72190011937589,101.87104326376547,109.35628032615311,107.09099962634653,-0.020714683171834558,0.03977585244302917,0.28800848573181953,,
Argentina,0.5664326731438125,0.6121142450393807,0.5802739377454422,0.6336142227492413,0.6819774111206566,0.723754173060167,0.6881838711877544,0.7122749727074187,0.7348570061882351,0.6802837586095954,0.7877894314912451,0.8219389727986335,0.9211587824049707,1.2363663330747003,1.2648920893933635,1.3069351877022517,1.4593639136977625,1.425490863476538,1.685271656194719,1.7868033991696013,1.678597822074022,1.8752496969694654,1.8851396198748274,2.0248556687798747,2.095424523407426,2.353236072313414,2.7146385865096447,2.5762336529364758,2.7841765445723277,3.252753739299268,3.5103570522407814,3.4945696811563445,3.3976551208011734,3.861527725219611,4.211302445992149,4.293409115540227,4.337632264440159,4.2181356706041715,4.134357971711544,3.89924099795839,3.773056828998863,3.649295805382718,3.540266284282217,3.3433652194057983,3.336595058022142,3.4338569309931692,3.597305554303012,3.594344562791145,3.814505027996729,4.026434289307143,3.6946828476720017,-0.08239335794356839,0.0032150847614693667,0.00993640937081654,,
Bolivia,0.004050833666558795,0.004050833666558795,0.10772708840028855,0.16653427295852827,0.1742983708194326,0.17182286135653554,0.17662753868963976,0.18690096444872661,0.18420040867102078,0.20141645175389558,0.24631349899857635,0.2634167114837261,0.27320622617790985,0.262291479909682,0.2515876377015072,0.2500264557526012,0.25463990520618207,0.2663423135762407,0.280763724143252,0.2969486123902405,0.30347495551969633,0.30167458500122585,0.27316985340536254,0.2732952176612903,0.29469074820845714,0.29445335820846574,0.29653814575423915,0.2506320208127997,0.26176391711376457,0.21076623163616784,0.3012748456174548,0.43994283902509057,0.5636651453219594,0.6477955902504056,0.9089068174532724,1.1244170481782712,1.2041131991342762,1.2897294532407502,1.3307663756346464,1.1495729854376302,1.3269123837873429,1.454577204193657,1.6537859933824575,1.8939750958215071,1.9618334728053402,1.892536531985943,1.8115211353324787,1.764356801786524,1.6482788744772872,1.446483129752692,1.3903607265463256,-0.03879921034126532,0.023240408329502582,0.0037392095402112996,,
Brazil,0.007846747613688126,0.012456711836729898,0.01692222944215631,0.019420700343878113,0.0373701355101897,0.04070500324600715,0.04675621776503303,0.05836018537680542,0.07680004226897252,0.08415636815680515,0.0981098042224438,0.0882759106539914,0.1261364678900366,0.17056867625254563,0.19798030283771312,0.24903615238942686,0.29003540867094735,0.3239725921001485,0.3251415645417779,0.3342714483431141,0.30433630236558434,0.3163865526759251,0.35743064556273935,0.41985386479436193,0.45852656040842393,0.5060634325486337,0.5515025981138005,0.6019614776658714,0.6305674826819876,0.7404007630550645,0.7438959461048763,0.7618096450418509,0.9203654835900875,0.9998511041647266,1.096662858099653,1.0876374913076683,1.1105708223046726,1.1182397626299896,1.3871203548249746,1.1878248716347684,1.4532760868994594,1.6667519511752849,1.9136349416915424,2.123678133703174,2.25894602794614,2.303144403229761,2.3276393567442986,2.629870517151899,2.4345209188371477,2.4910408560689237,2.308785841185923,-0.07316420139756952,0.07686892202619111,0.006209204473943783,,
Colombia,0.12087531695981577,0.12582178851811374,0.1532762488161708,0.15925461486471235,0.1656934937342425,0.1443136100649048,0.14616024784031695,0.16616999979633768,0.220675520625035,0.2520983137858411,0.2686688381998723,0.295278954499159,0.3147939337325809,0.3458466485812014,0.35064516944170837,0.35863732907033574,0.3495329188280699,0.3683295107496022,0.3542152309482385,0.3589759628200479,0.3797148611774302,0.3759947275555905,0.3841096716579864,0.37708077436716786,0.38898858829455213,0.4078021119035699,0.43871713948557245,0.5489736845336439,0.6278801858416125,0.5508023067820904,0.5534374337091119,0.5746124311727648,0.5803874304810337,0.5563249333632463,0.5919374290975719,0.6236999252930513,0.6544999216038192,0.7022184436825848,0.8412670910136182,0.9783438354376781,1.0491248743355337,1.0203370084829475,1.112088408460411,1.279404353081366,1.1932325387512162,1.1233270812656646,1.1598070779131038,1.188889519477296,1.2439002743276546,1.2765417838576685,1.2792681908687606,0.002135775769793513,0.026961948465197505,0.0034404393999731835,,
Peru,0.03846032812357775,0.04591027061724897,0.04402030569774795,0.043209666463293155,0.04451340639968562,0.054943325890825345,0.059436699676284156,0.05918048068410085,0.061834522697471236,0.05717830863892672,0.06129409654116803,0.07058820512753493,0.07408036567144331,0.04879712333354657,0.06575184901688935,0.051404603206331514,0.05452426662555634,0.05419833164145822,0.05098554394106251,0.043349352885049486,0.04148686726163168,0.038925949529432194,0.035011930903061136,0.036970339624843494,0.03855345240474864,0.03734283674952706,0.037798026200386955,0.02244295176218459,0.03808783099889418,0.03827407956123596,0.03208653084086903,0.03445598403322945,0.04116093227753356,0.048703999052375685,0.07986806519000683,0.14125575900171036,0.16531560362682823,0.24915697197477116,0.33751009220083594,0.34693510272710437,0.7077393030564441,1.1107710153705488,1.1538124958596632,1.1996463931070414,1.2700923218716014,1.2245689725581894,1.3526128735846712,1.2588222907076283,1.2395432574891516,1.3057516283771538,1.1665167323482148,-0.10663199110996802,0.14172427037745527,0.003137207784376541,,
Trinidad & Tobago,0.17190572987271516,0.18029828359683564,0.18584341124837503,0.1789727743479617,0.16350930604859795,0.1486094210612555,0.16681112389261682,0.19661559270797402,0.23472398361310068,0.24262140641889177,0.27337504765881837,0.3019597146184836,0.3669943262507364,0.380210717739509,0.3972996016023826,0.4078311376535453,0.41733707077046994,0.44209603549943705,0.5074721821346442,0.5098348795043924,0.5285951892384555,0.5355410958709278,0.5160959186970712,0.5808356164172251,0.6652432876470312,0.7141613698370324,0.8041712769516183,0.8750621609270691,0.8750621609270691,1.1037074352338194,1.3344958537765872,1.4237000341947808,1.670182157473485,2.4367519519661447,2.75750249306908,2.903575931401216,3.440545136861133,3.6478927943878365,3.6086100476829257,3.730603253288937,3.8984514245157076,3.7428913902747913,3.7179206419412436,3.7488942464389567,3.683097294386556,3.4788190067227545,3.018313176119701,3.083785423817147,3.2858225976921767,3.3438525549184144,2.843048793594001,-0.1497684940048537,-0.0108849602737775,0.007646041037637658,,
