Billion cubic metres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ddd,eee
Canada,54.01627500000001,59.05500000000001,66.675,71.4375,69.95541,71.45655000000001,72.08520000000001,75.72375000000001,73.0758,77.05725000000001,71.22794999999999,68.82765,72.24712500000001,67.95135,74.475975,80.513682,75.51515250000001,81.8565165,94.526862,100.42693275000002,103.4477865,108.8785605,119.964708,132.06402975,142.94710425,152.74124999999998,153.918075,159.7309,165.6041,170.5402,176.304675,179.419225,180.722575,176.04699999999997,176.73520000000002,179.15245,179.39739999999998,174.679125,166.4916,155.05082500000003,149.591075,151.07132499999997,150.30520000000004,151.92035,158.9916,160.755675,171.983325,173.901975,176.776275,168.98585,165.1948694242234,-0.025104662183422777,0.008643341542893701,0.042866975293300594,,
Mexico,11.030307247353802,10.918173073650927,11.34802267128081,12.330594010841223,12.926203036598375,13.139034115040156,12.885492711776951,13.665276270152365,17.105864545712357,20.765465445009582,25.115241594518444,27.057907289428833,28.852311119462065,29.09616630092782,28.619361489328913,27.763767532750983,24.66160911389577,25.067101352772404,25.39322862617054,24.376479232539314,26.386139684127386,26.7590967160189,25.937532164058524,27.77821,29.223009722222223,29.186251222222218,30.805027027777776,31.106472250000003,32.93411313888889,34.235268361111125,33.37866919444444,33.14070427777777,33.72773055555555,34.84040808333334,37.02704491666667,44.31189113888889,48.452200250000004,46.858574305555564,47.230578388888894,52.58305111111112,51.17781780555556,52.09899083333333,50.85018700000001,52.488039194444454,51.29980325000001,47.94694752777777,43.65142402777778,38.268443722222216,35.19102777777778,31.29488888888889,30.071772182071676,-0.041709047871185234,-0.05057040930615675,0.007803425854856513,,
US,571.4622983608388,587.6605972425101,585.7550081143004,585.2223104143126,559.4471904292209,518.0414707403563,513.8206142963647,516.0626607359748,513.9498586383105,529.5416850394994,525.0907472904478,519.5927193604634,483.18986351355244,437.67380448125823,474.9843776309709,447.88123246778986,436.2867225518186,451.98115313467497,464.18756906876945,470.74679855171524,483.3779272192819,480.8083650666223,484.66891993694406,490.17992505391567,510.3308588054462,503.32085670946833,510.2320792012445,511.539900059756,517.3280419728146,510.13804734837987,518.6002810726965,531.8949871187684,511.22876408881837,517.8558072866915,503.11008292651115,489.44080567636274,501.72405605292414,521.8888901653129,546.0674732578238,557.5825110916965,575.1574468498662,617.3585467696246,649.1248277902155,655.6927351075494,704.7264822344599,740.3032029723732,727.3561114533433,746.1707114619452,840.9361710374257,929.9875272443053,914.6209552676507,-0.01921051176702082,0.05248714004488564,0.23733808458366223,,
Total North America,636.5088806081925,657.633770316161,663.7780307855811,668.9904044251538,642.3288034658193,602.6370548553965,598.7913070081416,605.4516870061271,604.1315231840229,627.3644004845089,621.4339388849662,615.4782766498922,584.2892996330146,534.721320782186,578.0797141202997,556.1586820005408,536.4634841657144,558.9047709874474,584.10765969494,595.5502105342546,613.2118534034093,616.4460222826413,630.5711601010026,650.0221648039158,682.5009727776684,685.2483579316905,694.9551812290223,702.377272309756,715.8662551117035,714.913515709491,728.2836252671409,744.4549163965462,725.679069644374,728.7432153700249,716.8723278431778,712.9051468152517,729.5736563029242,743.4265894708684,759.7896516467129,765.2163872028076,775.9263396554218,820.5288626029579,850.2802147902155,860.1011243019939,915.0178854844598,949.005825500151,942.9908604811211,958.3411301841674,1052.9034738152036,1130.2682661331942,1109.887596873946,-0.020714683171834447,0.03977585244302917,0.28800848573181936,,
Argentina,5.854450000000002,6.326598750000001,6.013940000000001,6.548815,7.048680000000002,7.480470000000001,7.132315000000001,7.361825000000001,7.595225000000002,7.031175000000002,8.16462375,8.49527375,9.520775000000002,12.778650000000003,13.109300000000001,13.508025000000004,15.083475000000002,14.733375000000004,17.466100000000004,18.467775000000007,17.349400000000003,19.381925000000003,19.537525000000002,20.928200000000004,21.657575,24.322225000000007,28.134425000000004,26.627050000000004,28.776275000000005,33.619325,36.38122500000001,36.11865000000001,35.116975000000004,39.9114,43.64580000000001,44.375175000000006,44.83225000000001,43.59717500000001,42.84835000000001,40.30119119682506,38.99699575932503,37.71784510460003,36.69120329687498,34.55585356705,34.48587954684993,35.49114424857497,37.28235641480003,37.14988828034997,39.425389847674964,41.61581657039994,38.2915714796,-0.08239335794356839,0.0032150847614693667,0.009936409370816532,,
Bolivia,0.041868,0.041868,1.1164800000000001,1.7212400000000003,1.8014870000000003,1.775901,1.830562,1.9317430000000002,1.9038310000000003,2.0817699999999997,2.5527849999999996,2.722583,2.823764,2.7109530000000004,2.6074460000000004,2.5841860000000003,2.6318690000000005,2.752821,2.9098260000000002,3.069157,3.136611,3.1180030000000003,2.8311233735079977,2.8246837848474824,3.0458205055042353,3.0433669254913878,3.0733115866037477,2.5904449086660604,2.7055002954562872,2.1784060547811674,3.122402588150475,4.547095314320813,5.825845800375143,6.695388654564082,9.41988035339412,11.62158134553081,12.445292888113247,13.330192546305081,13.792018935365476,11.881584314763947,13.714502311718686,15.034001244715418,17.13978362648016,19.5754641733335,20.27682462439656,19.56059568066627,18.774545448223485,18.235774820137514,17.03603396168067,14.950343722193093,14.409652827582445,-0.03879921034126532,0.023240408329502582,0.0037392095402112974,,
Brazil,0.08110123893805307,0.12874821681415924,0.17538142920353977,0.20072556637168137,0.3862446504424778,0.42071267699115034,0.4845799026548671,0.6031904646017697,0.7937783761061945,0.8698107876106193,1.0168067831858405,0.9123889380530971,1.303702415929203,1.7629381814159288,2.051861345132743,2.5739505707964594,2.9977045442477865,3.3484674026548666,3.3697564778761055,3.4549127787610607,3.1455135797433624,3.2700607523805294,3.7043994512787597,4.339462702783185,4.7391701588893795,5.230494643327432,5.715754782623892,6.22166329735398,6.5173249602610595,7.652523332048671,7.7097131115347945,7.87379804851567,9.51257574090533,10.334111315098891,11.365777781550264,11.241440709352444,11.478471597613588,11.557735082607069,14.376069721669372,12.276942431914751,15.020553351427873,17.226965221479546,19.83284957782309,21.949594434327278,23.347676079327428,23.8044950278938,24.1235777148407,27.181421869057523,25.162356744324814,25.746527047725653,23.92818049986725,-0.0731642013975694,0.07686892202619111,0.0062092044739437795,,
Colombia,1.249325,1.30045,1.5885500000000001,1.6460000000000001,1.7125500000000002,1.491575,1.5148,1.7174749999999999,2.2808250000000005,2.6056,2.7844750000000005,3.0519000000000003,3.253600000000001,3.57455,3.634075,3.706750000000001,3.61265,3.806925000000001,3.6710750000000005,3.71025,3.9246000000000003,3.8861500000000007,3.9809000000000005,3.8973750000000003,4.020450000000001,4.2149,4.54685,5.674,6.489550000000001,5.6929,5.735807355078338,5.938993118119958,5.998681491166389,5.749979936806257,6.1348200406490045,6.446344289014627,6.764682278595596,7.257884233266563,8.71886445389504,10.11181970769527,10.843387770101765,10.545846457194692,11.52564767799437,13.223475922257583,12.332834187900817,11.610315828737626,12.020202398275845,12.287946259654934,12.856518181797417,13.193889407943956,13.258293442722698,0.002135775769793513,0.026961948465197505,0.003440439399973181,,
Peru,0.39751250000000005,0.4745125,0.45622500000000005,0.4466,0.46007500000000007,0.567875,0.616,0.61166875,0.6391,0.590975,0.63525,0.729575,0.7656687499999999,0.50435,0.68145,0.5313000000000001,0.56354375,0.560175,0.5284125000000001,0.44804374999999996,0.42879375,0.402325,0.3628625,0.3821125,0.398475,0.38596250000000004,0.3917375,0.2319625,0.3936625,0.39558750000000004,0.33254375,0.35612499999999997,0.425425,0.5033875,0.82775,1.4599701208930818,1.7086442600166893,2.5751993197739735,3.497943491614687,3.585799881365625,7.314945904836283,11.480540723125033,11.958074747093475,12.399125543279476,13.127230024552873,12.65671660782375,14.018435321377988,13.010746924131208,12.811485579619651,13.495792144765218,12.089741036096234,-0.10663199110996802,0.14172427037745527,0.003137207784376539,,
Trinidad & Tobago,1.7767575,1.8635000000000002,1.9260750000000002,1.8498,1.689975,1.535975,1.728825,2.03215,2.426025,2.50765,2.8332500000000005,3.12095,3.7931250000000007,3.9297250000000004,4.1176,4.2152,4.3134500000000005,4.56935,5.259425,5.269475,5.463375,5.535165461625001,5.348801122015312,6.003313784250001,6.875721952530002,7.381322140965001,8.334404657394769,9.04433644268044,9.04433644268044,11.407534029316295,13.830671124130125,14.714865614885628,17.262418634064378,25.185415922443127,28.57866511737563,30.01034530237275,35.56027120522875,37.70334407365951,37.39951581227588,38.55821044890938,40.29303044187451,38.68521633502388,38.532407214891755,38.74725975684001,38.06720547288563,35.95585653784688,31.28169845593913,31.8729275877816,33.96111315452831,34.56089049646299,29.46526416157488,-0.1497684940048537,-0.0108849602737775,0.0076460410376376535,,
