Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,0,0,0,0,0,0,0,0,0,0,0,0.00707,0.01069,0.011320000000000002,0.01345,0.013,0.01898,0.021390000000000003,0.02085,0.023370000000000005,0.01677,0.01865,0.023119999999999998,0.02485,0.03477,0.039540000000000006,0.03984,0.044649999999999995,0.04817000000000001,0.057330000000000006,0.07137865802612811,0.07528514800285308,0.08168219520359386,0.0898725372275196,0.08943148171784668,0.08917042301724355,0.09609343037373132,0.09916476909593135,0.09236192238747998,0.09554729466979549,0.08864564150566287,0.08600356385302878,0.08597315605263153,0.07582495939849619,0.08445275906432742,0.0966580587665482,0.0952871331835686,0.10120086660287074,0.10171375967025988,0.08974086977623692,0.09095466541353373,0.10284065344129545,0.05905853999999999,0.09431962603878112,0.09147954858880093,0.09498807947319086,0.03551614172485107,0.008024335874835975,0.015276915270875716,,
Mexico,0,0,0,0,0,0,0,0,0.0016100000000000003,0.0046300000000000004,0.00518,0.005789999999999999,0.00592,0.005979999999999998,0.010190000000000001,0.00915,0.009640000000000001,0.012960000000000003,0.01353,0.014240000000000001,0.01641,0.03394,0.044180000000000004,0.046329999999999996,0.04675,0.051239999999999994,0.058325124753775444,0.06365522980958635,0.06499760669730795,0.06218525400006912,0.06414443480664893,0.06184555154300723,0.05883246224556797,0.061385860317240915,0.06060001313197636,0.06358645108338805,0.06206928882673465,0.05992724105581805,0.06816064220649944,0.07076819448406768,0.07880002711518987,0.07204843949999996,0.07888979154206244,0.07503802414211176,0.07127787637277774,0.06989236790852757,0.0687280147979268,0.06269230834799995,0.06748830717072284,0.06538353570161672,0.06950711669464278,0.0688888512356804,0.07311435581699999,0.08619926714865994,0.07332919556344816,0.06746576793245644,-0.08247411257945547,0.0028413130991742364,0.010850506991033477,,
US,0.13332232095652646,0.14062006895272863,0.1407357074264804,0.15546045096175942,0.1622706037653718,0.1623590253395494,0.16584413973581333,0.18672978440292398,0.19989691771854276,0.20404264805821332,0.19754301961701326,0.22564753541853655,0.23536121862459236,0.24678786657309668,0.2575603724229939,0.2665611631812324,0.2737760327329065,0.2640504894535597,0.29804599164174317,0.3559532613515335,0.3639289442388841,0.3870167220067231,0.42665433175792883,0.4239406125965065,0.48854267894736847,0.574593152631579,0.6055176315789474,0.6481541210526316,0.6692472368421053,0.6635485736842106,0.6326507947368423,0.6482596,0.6582008368421054,0.6561712578947367,0.6647772052631579,0.6658282210526316,0.6639647192071085,0.7086304256027163,0.6996036807692306,0.701123695072075,0.7030065303797467,0.7032444899702082,0.7063775769078944,0.698967420725727,0.6909542432748534,0.7045682506942199,0.7069267877406926,0.7143347649760758,0.7434835139505384,0.7702242580523156,0.762598130075187,0.7489084406104007,0.7452028894736844,0.7327286880886422,0.6848074637918022,0.6823354954242752,-0.006332105342169769,-0.0008931888144088074,0.10973989165503328,,
Total North America,0.13332232095652646,0.14062006895272863,0.1407357074264804,0.15546045096175942,0.1622706037653718,0.1623590253395494,0.16584413973581333,0.18672978440292398,0.20150691771854276,0.2086726480582133,0.20272301961701325,0.23850753541853656,0.2519712186245924,0.2640878665730967,0.2812003724229939,0.2887111631812324,0.3023960327329065,0.2984004894535597,0.3324259916417432,0.3935632613515335,0.3971089442388841,0.4396067220067231,0.4939543317579288,0.4951206125965065,0.5700626789473685,0.6653731526315789,0.7036827563327229,0.7564593508622179,0.7824148435394133,0.7830638276842797,0.7681738875696194,0.7853902995458604,0.7987154942912672,0.8074296554394973,0.8148087001129809,0.8185850951532632,0.8221274384075745,0.8677224357544657,0.86012624536321,0.8674391842259381,0.8704521990005994,0.8612964933232369,0.8712405245025884,0.8498304042663349,0.8466848787119586,0.8711186773692957,0.870941935722188,0.8782279399269466,0.9126855807915211,0.9253486635301693,0.9230599121833635,0.9206379452873765,0.8773757852906844,0.9132475812760833,0.8496162079440513,0.8447893428299225,-0.008397947980247511,0.0003456743365903847,0.13586731391694248,,
Argentina,0,0,0,0,0,0.00047540991253644326,0.0004986461370262391,0.0006435315192743763,0.0004904243440233237,0.0005006767142857143,0.0005492264150943396,0.0005020279154518952,0.0005385510781671159,0.000541366620879121,0.0008439376339285715,0.0008625156794425088,0.0007472249999999999,0.0009591246543778802,0.0013731478405315618,0.0009739279181184668,0.0010332161428571432,0.001070789208074534,0.0010815682330827068,0.001211160473515249,0.0011937690789473685,0.0010676328373015872,0.0009960040431266847,0.001018654945054945,0.001074384027777778,0.0011929003759398498,0.0011559245729813668,0.0035139749206349207,0.0044563204999999995,0.004638812030075188,0.006504551428571428,0.0067501431010452955,0.0060536918888852275,0.00839277687707641,0.009945783226193066,0.008773576357576937,0.010400832520969103,0.015082627555208594,0.015067714403394173,0.016093855074649357,0.01632714152854076,0.01889742245293994,0.020433017785966526,0.02275361856990356,0.022649069738957264,0.021090410991911123,0.02165914080179639,0.017775238006615186,0.021452890569370477,0.004232198506138393,0.005553164140215686,0.003676473599650653,-0.3397586498004834,-0.10223424507306011,0.0005912865697355882,,
Brazil,0,0,0,0,0,0.005146915000000002,0.006333952500000002,0.007165701875,0.007508003750000001,0.007851518,0.008671775750000001,0.00864337725,0.011168454625,0.013319440750000003,0.017760194000000003,0.018055082625,0.018736228750000004,0.021784744749999994,0.02984454949999999,0.028516788875000008,0.03067125588592233,0.031939324238673135,0.03565697314724919,0.03339783794093851,0.034031623385113265,0.03859062500000001,0.039996125625,0.049293607379452056,0.04983937033224442,0.05388223648777488,0.05593740488958306,0.06752709628222037,0.07378950998212704,0.07505233012160117,0.0837600228095872,0.07855363,0.08932027733766233,0.10094196681341477,0.11665723326923076,0.12157219890675248,0.13160846263318118,0.14285445437711597,0.172731684049547,0.1880308923714656,0.21604990341450328,0.29982720516234235,0.30440507500844166,0.33164531161241956,0.3776320754365416,0.43132424951230147,0.45426720756721223,0.46474609660450295,0.47620894802159347,0.48657788648087497,0.4895855284941627,0.4917588851557692,0.0016948073461322544,0.08524414027846028,0.07908949063808905,,
Chile,0,0,0,0,0,0,0.0006600000000000001,0.0005700000000000001,0.00051,0.00046,0.00051,0.0007300000000000001,0.0008,0.0009099999999999999,0.00094,0.0010500000000000002,0.0011,0.0013700000000000003,0.0020800000000000007,0.00201,0.00195,0.0028000000000000004,0.00271,0.0032700000000000003,0.0032100000000000006,0.009630000000000001,0.01033,0.01743,0.0175,0.01786,0.018789999999999998,0.01738,0.01743,0.01161,0.0145,0.01375,0.016720714285714287,0.017580193548387094,0.016624038461538457,0.019792547770700632,0.017333544303797462,0.013769999999999996,0.02578049999999999,0.03409924604645964,0.03203255048066666,0.03203122815607362,0.04025043863451222,0.05548033622723845,0.06355957523530119,0.04571560297994022,0.050691537570551656,0.06085793203381615,0.067043791014483,0.08193330709048588,0.08510156413180944,0.091821728464846,0.07601840647129787,0.1026421813522862,0.014767671623245292,,
Colombia,0,0,0,0,0,0,0,0,0,0,0.00189,0.00202,0.00192,0.00206,0.00216,0.00227,0.00212,0.00231,0.0023400000000000005,0.0025499999999999997,0.00267,0.00266,0.0026800000000000005,0.0027400000000000007,0.0027400000000000007,0.0027400000000000007,0.0026900000000000006,0.0034,0.0038900000000000007,0.00444,0.00477,0.00496,0.00483,0.00532,0.00457,0.00496,0.004927792207792207,0.004846645161290322,0.004854807692307691,0.0045510191082802545,0.004870822784810125,0.00500113780589292,0.004849491834057197,0.004840400414305003,0.009475491201082353,0.010418852446271977,0.01285934896219821,0.013687088626579405,0.012409901159809437,0.015839833618929263,0.01660141189450565,0.018050417946698184,0.017921333554733555,0.01895973574374749,0.021749376803135465,0.02162377432736437,-0.008491453712167196,0.08663704952062923,0.0034777476296793475,,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00003158007707006369,0.0009960133733544299,0.0014006305973286789,0.002091823181437499,0.001979729359378881,0.0020449091938888877,0.002211102258402698,0.0025954058908443274,0.002748002789426725,0.0027262381499723477,0.0036598258083050273,0.0037134470442857117,0.004434252255780706,0.0038776499999999994,0.0038291842500394737,0.004053577318457681,0.004305759172101334,0.0593099540068589,0.07081992440822749,0.0006924944520807291,,
Peru,0,0,0,0,0,0,0.00227,0.00227,0.0023,0.00266,0.00266,0.0024500000000000004,0.00242,0.00215,0.0016300000000000004,0.00085,0.0007599999999999999,0.0015100000000000003,0.00145,0.0014200000000000003,0.00169,0.0015400000000000001,0.00136,0.00136,0.00145,0.00136,0.00133,0.00133,0.00109,0.00119,0.0014200000000000003,0.0013700000000000003,0.0015400000000000001,0.00126,0.0013900000000000002,0.00158,0.0016194155844155846,0.001836,0.0019223076923076921,0.0014910191082802544,0.003369873417721518,0.003348679245283018,0.003987562499999999,0.0043714285714285695,0.004344444444444442,0.006317116564417174,0.006297256097560972,0.006194181818181814,0.00884819277108433,0.011827724550898193,0.008260178571428564,0.005033609467455616,0.004242905999999999,0.003748016842105263,0.004724442769356822,0.006165892237984189,0.3015387926304647,0.008420427225376281,0.0009916593093728168,,
