Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,0,0,0,0,0,0,0,0,0,0,0,0.707,1.069,1.1320000000000001,1.345,1.3,1.8980000000000001,2.1390000000000002,2.085,2.337,1.677,1.865,2.312,2.485,3.477,3.954,3.984,4.465,4.817,5.7330000000000005,7.13786580261281,7.528514800285307,8.168219520359386,8.987253722751959,8.943148171784667,8.917042301724354,9.672149201016094,10.046104058738145,9.417294047350902,9.804526315789474,9.154255789473684,8.937625263157896,8.990656842105263,7.9789663157894735,8.942056842105263,10.297557894736842,10.213784210526315,10.913818947368421,11.035610526315788,9.795245263157895,9.98717894736842,11.359523157894738,6.56206,10.541605263157892,10.262021052631578,10.694889462744376,0.03933410373858437,0.013863638114095966,0.015276915270875711,,
Mexico,0,0,0,0,0,0,0,0,0.161,0.463,0.518,0.579,0.592,0.598,1.0190000000000001,0.915,0.964,1.296,1.353,1.424,1.641,3.394,4.418,4.633,4.675,5.124,5.832512475377544,6.365522980958635,6.499760669730794,6.218525400006912,6.414443480664893,6.184555154300722,5.883246224556796,6.138586031724091,6.0600013131976365,6.358645108338805,6.247497045305319,6.071060368399868,6.949712538701905,7.261834335946816,8.13751914,7.487386849999998,8.249912840999997,7.896158096,7.547069263,7.446049653,7.366924462000001,6.760935214,7.322260778,7.136634289000001,7.63215399,7.609291411,8.123817313,9.634035740144347,8.225945145697471,7.596099790189259,-0.07909118222845801,0.008650591027092647,0.010850506991033473,,
US,13.332232095652646,14.06200689527286,14.07357074264804,15.546045096175943,16.22706037653718,16.23590253395494,16.58441397358133,18.672978440292397,19.98969177185428,20.40426480582133,19.754301961701323,22.564753541853655,23.536121862459233,24.67878665730967,25.756037242299385,26.65611631812324,27.37760327329065,26.405048945355972,29.804599164174316,35.59532613515335,36.39289442388841,38.70167220067231,42.66543317579288,42.39406125965065,48.85426789473684,57.45931526315789,60.55176315789474,64.81541210526315,66.92472368421052,66.35485736842105,63.26507947368422,64.82596,65.82008368421053,65.61712578947368,66.47772052631579,66.58282210526316,66.83043578947368,71.78935684210526,71.33214,71.94537263157895,72.59806,73.08227052631577,73.86955052631578,73.55147368421052,73.15986105263158,75.06184631578948,75.77515894736842,77.03610210526314,80.66553157894737,84.07022947368421,83.73626526315786,82.72256631578944,82.8003210526316,81.89320631578943,76.82054315789473,76.82545789473687,-0.0026684383811208523,0.004894455820928734,0.10973989165503326,,
Total North America,13.332232095652646,14.06200689527286,14.07357074264804,15.546045096175943,16.22706037653718,16.23590253395494,16.58441397358133,18.672978440292397,20.15069177185428,20.867264805821332,20.272301961701324,23.850753541853656,25.197121862459234,26.40878665730967,28.120037242299386,28.87111631812324,30.239603273290648,29.840048945355974,33.242599164174315,39.35632613515335,39.710894423888405,43.96067220067231,49.395433175792874,49.51206125965065,57.006267894736844,66.5373152631579,70.36827563327228,75.64593508622178,78.24148435394132,78.30638276842797,76.81738875696192,78.53902995458603,79.87154942912672,80.74296554394972,81.4808700112981,81.85850951532632,82.75008203579509,87.90652126924329,87.6991465860528,89.01173328331524,89.8898349294737,89.50728263947366,91.11012020942104,89.42659809599999,89.64898715773685,92.80545386352632,93.35586761989474,94.71085626663157,99.02340288326315,101.0021090258421,101.35559820052629,101.69138088468418,97.4861983656316,102.06884731909167,95.30850935622378,95.1164471476705,-0.004741897808933526,0.006140495481576025,0.13586731391694243,,
Argentina,0,0,0,0,0,0.04754099125364432,0.049864613702623906,0.06435315192743764,0.049042434402332365,0.05006767142857142,0.05492264150943397,0.05020279154518951,0.05385510781671158,0.05413666208791209,0.08439376339285716,0.08625156794425087,0.0747225,0.09591246543778802,0.13731478405315617,0.09739279181184668,0.10332161428571429,0.10707892080745342,0.10815682330827067,0.12111604735152487,0.11937690789473686,0.10676328373015874,0.09960040431266848,0.1018654945054945,0.10743840277777778,0.11929003759398496,0.11559245729813666,0.3513974920634921,0.44563204999999995,0.4638812030075187,0.6504551428571428,0.6750143101045295,0.6093258502538071,0.8502486378737542,1.0140798583569404,0.9002950902873069,1.0740729008582475,1.5674103145608935,1.5757086957797835,1.6935363836722535,1.7287561618454934,2.0132548103458903,2.1902058280382435,2.453821610479798,2.457350050109091,2.302025252058275,2.3782585978443116,1.963408642560764,2.383654507707831,0.473010421274291,0.6229445618688644,0.41394119113713695,-0.3373243310164623,-0.09703365080513904,0.0005912865697355881,,
Brazil,0,0,0,0,0,0.5146915000000002,0.6333952500000001,0.7165701875000001,0.7508003750000001,0.7851518,0.8671775749999999,0.864337725,1.1168454625,1.3319440750000002,1.7760194000000002,1.8055082625,1.8736228750000001,2.1784744749999994,2.9844549499999995,2.8516788875000003,3.067125588592233,3.1939324238673135,3.565697314724919,3.339783794093851,3.403162338511326,3.8590625000000003,3.9996125625,4.929360737945206,4.983937033224442,5.388223648777489,5.593740488958306,6.752709628222037,7.378950998212702,7.505233012160118,8.376002280958721,7.8553630000000005,8.990407,10.226146964757708,11.894463,12.475055704810552,13.590939278459237,14.845658984288528,18.063444083612765,19.786257301833977,22.875872126241536,31.942375451935842,32.62904071985913,35.76567086016292,40.971846093115005,47.07918278990484,49.880320830909625,51.3346995595824,52.912105335732605,54.38223437139191,54.920876610949044,55.3680730069685,0.00538806964277927,0.09153076284593231,0.07908949063808904,,
Chile,0,0,0,0,0,0,0.066,0.057,0.051000000000000004,0.046,0.051000000000000004,0.073,0.08,0.091,0.094,0.105,0.11,0.137,0.20800000000000002,0.201,0.195,0.28,0.271,0.327,0.321,0.963,1.033,1.743,1.75,1.786,1.879,1.738,1.743,1.161,1.45,1.375,1.683,1.7810000000000001,1.695,2.031,1.79,1.431,2.696,3.588221316000003,3.391681815600001,3.4124772480000027,4.314426102000005,5.98317351470219,6.896006202000004,4.989873005000016,5.566129615589991,6.722216022035908,7.449310112720335,9.157251968936658,9.546549542543515,10.338383949396723,0.07998570088270363,0.10902958761771608,0.014767671623245287,,
Colombia,0,0,0,0,0,0,0,0,0,0,0.189,0.202,0.192,0.20600000000000002,0.216,0.227,0.212,0.231,0.234,0.255,0.267,0.266,0.268,0.274,0.274,0.274,0.269,0.34,0.389,0.444,0.47700000000000004,0.496,0.483,0.532,0.457,0.496,0.496,0.491,0.495,0.467,0.503,0.5197260857104409,0.507136400947158,0.5093493246425529,1.0032873036440142,1.1099823194394334,1.3783877318957567,1.4760585773762114,1.3464337206067767,1.7289230159223459,1.8229001295927787,1.9938043352888868,1.991259283859284,2.1190292890070728,2.439808307741437,2.4346620910865213,-0.004835748297750908,0.09293174095882928,0.003477747629679346,,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324057,0.10285628299999999,0.145555728742,0.218752751,0.20832446200000002,0.21651979699999999,0.235561874588,0.278200369999,0.296353241997,0.29578792999700004,0.39947118299800005,0.40775104800000006,0.48979649099800004,0.43085,0.42796765147500004,0.45472344827000005,0.4847936567853065,0.06321564412814595,0.07702299010803948,0.0006924944520807289,,
Peru,0,0,0,0,0,0,0.227,0.227,0.23,0.266,0.266,0.245,0.242,0.215,0.163,0.085,0.076,0.151,0.145,0.14200000000000002,0.169,0.154,0.136,0.136,0.145,0.136,0.133,0.133,0.109,0.11900000000000001,0.14200000000000002,0.137,0.154,0.126,0.139,0.158,0.163,0.186,0.196,0.153,0.34800000000000003,0.34800000000000003,0.417,0.46,0.46,0.673,0.675,0.668,0.96,1.291,0.907,0.556,0.47143399999999996,0.41889600000000005,0.52998,0.6942295948098006,0.30633758375446085,0.014262023950024849,0.0009916593093728166,,
