Thousand tonnes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ee,At end of 2020,Share,R/P ratio,ii,jj
Brazil1,33.59,40.465999999999994,41.443999999999996,61.369,53.50299999999999,71.208,60.666,60.922,70.73899999999999,76.332,75.515,76.194,77.163,80.5,59.425,92.364,105.18799999999999,88.11,91.90799999999999,87.026,75.1,84.99999999999999,84.99999999999999,95,96,95,-0.013120446265938002,0.04913217016576921,0.10477936625394321,,70000,0.2002845184645159,736.8421052631579,,
Canada,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,34.99999999999999,24.999999999999996,24.999999999999996,27.999999999999996,27.999999999999996,27.999999999999996,27.999999999999996,27,15,20,24.999999999999996,24,20,30,30,30,40,40,11,10,-0.09339294585196223,-0.03053944672823916,0.011029406974099286,,,,,,
China,204,185,310,223.99999999999997,300,430,449.99999999999994,629,710,700,720,720,799.9999999999999,650,449.99999999999994,700,799.9999999999999,820,750,779.9999999999999,779.9999999999999,779.9999999999999,625,630,700,650,-0.07396565183450432,0.045173891819142664,0.7169114533164536,,73000,0.20886814068442372,112.3076923076923,,
India2,136.263,117.761,111.51799999999999,135.66799999999998,108.826,124.78999999999999,105.814,106.06,87.207,108.14999999999999,125.65099999999998,162.293,170.813,117.767,124.625,115.69699999999999,153.339,134.73499999999999,146.39,116.712,134.56799999999998,122.43699999999998,34.99999999999999,34.99999999999999,34.99999999999999,33.99999999999999,-0.031225604996096834,-0.1192629072248641,0.037499983711937565,,8000,0.02288965925308753,235.29411764705887,,
Madagascar,16.118999999999996,12.133999999999999,14.107,20.628999999999998,16.136999999999997,40.327999999999996,2.013,2,15,7.77,6.3999999999999995,4.857,5.351,4.922000000000001,3.437,3.783,3.573,2.885,4.3,5.316,8.1,9.23,13.342,48.056,53.57391231732776,29.037060475991648,-0.45948087431693985,0.3160651320570007,0.0320261557321245,,26000,0.07439139257253446,895.4074404844546,,
Mexico,34.386,40.412,47.980999999999995,43.461,27.779999999999998,30.33,21.442,13.885,8.73,14.768999999999998,12.357,11.772999999999998,9.899999999999999,7.228999999999999,5.105,6.627999999999999,7.348,7.52,7.024,9.16,6.523999999999999,3.839,1.746,4.13,1.591,1.591,-4,-0.11004623783230039,0.0017547786495791962,,3099.9999999999995,0.008869742960571416,1948.4600879949714,,
Mozambique,3.019,3.283,5.124999999999999,5.889,4.007000000000001,,,,,,,,,,,,,,,,,,0.3,104.00000000000001,153,12,-0.9217829208186007,,0.013235288368919143,,25000,0.07153018516589853,2083.3333333333335,,
Norway,2.558,7.065,7.712999999999999,8.270999999999999,7.339,8.392,9.07,8.6,1,6,9,9,3,4.1,4.562,6.27,7.789,6.992,6.207,8.265999999999998,9.184999999999999,9.6,9.6,12,16,15,-0.06506147540983609,0.1336956236955602,0.01654411046114893,,600,0.0017167244439815648,40,,
Russian Federation,13.7,13.927999999999999,14.275,6,15.67,20.125,16.563,14.241,12.78,13.549999999999999,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,7.699999999999999,20.7,14.3,20.2,17.599999999999998,15.9,19.400000000000002,19.5,11.9,17.5,17.5,-4,0.022565182563572872,0.01930146220467375,,25702.8,0.07354104173128227,1468.7314285714285,,
Sri Lanka,4.824999999999999,5.645,5.3999999999999995,5.909999999999999,4.592,5.902,6.585,3.6189999999999998,3.387,5.374,4.37,5.756,9.593,6.614999999999999,3.171,3.437,3.3569999999999998,4.173,3.143,4,4.212,4,3.4999999999999996,4,4,3.4999999999999996,-0.12739071038251382,0.023496530788313708,0.0038602924409347496,,1500,0.004291811109953912,428.5714285714286,,
Turkey,5,5,5,5,5,0,0,0,0,0.028,0,0,0,3.2359999999999998,2.4,0,5.249999999999999,31.5,28.74,3.8499999999999996,0,0,0,16.752,9.989999999999998,9.989999999999998,-4,0.15328176333524812,0.011018377567125185,,90000,0.2575086665972347,9009.00900900901,,
Ukraine,8.757,5.366999999999999,4.289,5.104,7.460999999999999,7.430999999999999,6.3999999999999995,9.4,11,10.959999999999999,10.4,10.7,10.6,11.299999999999999,4.3,2.8,0.6,4.6,6.8999999999999995,13.799999999999999,14.499999999999998,14.629999999999999,14.855,15,15,15,-4,0.1330844522023722,0.01654411046114893,,,,,,
Rest of World3,100.15,103.67400000000002,106.09599999999999,93.164,75.007,72.785,59.650999999999996,56.378999999999984,45.583,50.02899999999999,43.335,42.516,39.330000000000005,38.516999999999996,53.961,22.403999999999996,19.193,17.24,20.657,31.946,20.587,18.012,14.871999999999998,17.652,15.549,14.049,-0.0989378896328793,-0.11699686108451923,0.015495213857912086,,26600,0.07610811701651604,1893.3731938216245,,
Total World,587.3670000000001,564.7350000000001,697.948,639.465,650.3219999999999,836.2910000000002,773.2039999999998,929.106,990.4259999999999,1020.9619999999999,1049.0279999999998,1085.089,1167.7499999999998,965.1860000000001,739.986,981.0830000000001,1151.3369999999998,1156.0549999999998,1105.4689999999998,1107.676,1098.676,1096.148,862.715,1033.49,1128.2039123173276,906.6670604759915,-0.19855815229968843,0.043077097421401866,1,,349502.8,1,385.48086197872277,,
