Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,1.18088,1.31,1.33924,1.362,1.5063800000000005,1.5813700000000002,1.6246100000000003,1.81639,1.9465400000000004,2.10667,2.0247000000000006,2.12689,2.20147,2.35254,2.4412100000000003,2.5114799999999997,2.66015,2.57795,2.65952,2.8612300000000004,3.03645,3.10635,3.1620600000000003,3.0743500000000004,2.9044974444444445,2.9568332323232327,3.072759919191919,3.1517465454545457,3.22213897979798,3.2785558080808084,3.340597343434343,3.5459207474747476,3.4867962121212126,3.308699252525252,3.4500078282828284,3.5676007777777787,3.293682953364817,3.4476786985337244,3.2967514609557105,3.2977674632310356,3.505014536248561,3.395707845054316,3.5153802073863623,3.5873057600225846,3.482047714365879,3.298274531511431,3.50522742738359,3.5261134462809895,3.611066106790797,3.5043539493739773,3.480688586580083,3.48941781441635,3.551286463636364,3.452735446039341,3.384512837146558,3.416514826404642,0.0066973447541538444,-0.002837024669765098,0.08952517054228883,,
Mexico,0.08863,0.10118000000000002,0.11017,0.12642,0.13406,0.15005000000000002,0.14572000000000002,0.15531,0.16371,0.16708000000000003,0.15182,0.17255,0.19193000000000005,0.16216999999999998,0.18008000000000002,0.1691,0.24618000000000004,0.22924,0.20733000000000004,0.23603000000000002,0.28427291666665877,0.21297499999999403,0.19285194444443904,0.21836111111110498,0.25354194444443734,0.24480944444443756,0.22625263888888258,0.268136944444437,0.2665493055555481,0.20271319444443875,0.27598666666665894,0.31336277777776894,0.26362097222221487,0.24592944444443757,0.3271231999999908,0.3307487999999908,0.2825068499999921,0.24540795290321893,0.19470431826922532,0.24534956831209498,0.2683256436708784,0.29297551147797907,0.26143563421874255,0.37274895046582784,0.252374496913573,0.34878359233127837,0.33837647149389266,0.2958991074242339,0.2582688106927637,0.3563229724550795,0.2813336729166585,0.27791094778105696,0.2866289024999919,0.29066023391812046,0.21045116317077342,0.23835524181263995,0.1294971926083519,-0.018002038107454488,0.006245778156151277,,
US,1.989740858585859,1.999369070707071,2.2722081313131315,2.28154705050505,2.5602852222222223,2.534923656565657,2.7225399898989897,2.7871598787878793,2.7821270101010103,3.0728465151515154,3.0621482121212127,2.8982246262626266,2.258572595959596,2.8632850909090912,2.8593532929292937,2.820021111111112,2.6650976161616162,3.155293060606061,3.3867763131313127,3.2758723737373745,2.8718236161616164,2.9697496868686866,2.5541019494949495,2.2838464949494957,2.747241777777777,2.9228091414141426,2.8732601414141414,2.5142567777777787,2.7925094545454545,2.593413212121213,3.112198151515152,3.4754947979797985,3.5597312121212124,3.2208927373737373,3.1660518181818182,2.7276135050505053,2.088748051948052,2.5483638422287394,2.6477921829836824,2.558653541401274,2.5799648670886066,2.747687683247569,2.3241088488636357,2.3857913557312247,2.564479086980919,2.414909609035135,2.948938246119732,2.5410057074380146,2.4567546276013124,2.343104114316819,2.2444838468614696,2.3879195492200087,2.671258018181818,2.5903937533227013,2.5447670465904437,2.563917695551433,0.004772699871263386,-0.0007713284675108234,0.0671840107868593,,
Total North America,3.259250858585859,3.410549070707071,3.7216181313131314,3.76996705050505,4.200725222222223,4.266343656565658,4.49286998989899,4.758859878787879,4.8923770101010104,5.346596515151516,5.238668212121213,5.197664626262626,4.651972595959596,5.37799509090909,5.480643292929294,5.500601111111112,5.571427616161616,5.96248306060606,6.253626313131313,6.373132373737375,6.192546532828275,6.28907468686868,5.909013893939389,5.576557606060601,5.90528116666666,6.1244518181818135,6.172272699494943,5.934140267676761,6.281197739898983,6.07468221464646,6.728782161616154,7.334778323232316,7.3101483964646405,6.775521434343427,6.943182846464638,6.6259630828282745,5.664937855312861,6.241450493665682,6.139247962208618,6.101770572944405,6.353305047008046,6.436371039779865,6.100924690468741,6.345846066219637,6.298901298260371,6.061967732877845,6.792542144997215,6.363018261143238,6.326089545084873,6.203781036145876,6.006506106358211,6.155248311417416,6.509173384318174,6.333789433280162,6.139731046907775,6.218787763768715,0.010108829358889126,-0.002556155788106751,0.16295495948529942,,
Argentina,0.01225,0.012410000000000003,0.012710000000000003,0.014980000000000002,0.01344,0.015550000000000001,0.01544,0.01504,0.029940000000000005,0.050280000000000005,0.05201000000000001,0.05013,0.057659999999999996,0.07751999999999999,0.1066,0.15144,0.14684999999999998,0.17593000000000003,0.18419000000000002,0.1988,0.20646000000000003,0.21008999999999997,0.21841,0.15033000000000005,0.12965,0.17876,0.16221000000000002,0.19779050505050508,0.2355547474747475,0.27972787878787886,0.2845812121212122,0.2594518181818182,0.3302995959595959,0.3242178787878788,0.26530070707070713,0.34034010101010104,0.4163116351829989,0.4093199178885631,0.3832854079254079,0.345008946149392,0.3810483486766397,0.41977811320754704,0.36089831249999993,0.35350602484472027,0.3851727777777776,0.3805569938650304,0.36982152439024374,0.34194109090909064,0.3751265060240961,0.37438275449101766,0.38041355357142814,0.3463267556518372,0.37388680719560485,0.3726387937111706,0.33042740122354275,0.2712769657690634,-0.1812550325071407,-0.015213589580527764,0.007108447601917029,,
Brazil,0.25515,0.27906,0.29189,0.3055,0.32692,0.39801000000000003,0.43199,0.5068100000000001,0.5789,0.65679,0.7228700000000001,0.82913,0.9348,1.02746,1.1658,1.28907,1.3076500000000004,1.41132,1.51475,1.66593,1.78375,1.8241900000000002,1.856,1.9909300000000003,2.0469,2.0670800000000003,2.1778200000000005,2.23343,2.35065,2.4270500000000004,2.53905,2.65769,2.78972,2.9146900000000002,2.93,3.0440300000000007,2.6613654545454546,2.824004903225806,2.9973876923076914,3.126237372345958,3.267776652698003,3.356429898113207,3.576519600299999,3.5119334906832287,3.6926650583333314,3.7854810692695495,3.996032728067216,3.8513547178700573,3.603721574579431,3.4213279193151536,3.2762291460555986,3.448483679535999,3.338158107384831,3.480267521008213,3.546827018535068,3.524218514285714,-0.009089114415504529,-0.004021395364421365,0.09234740065558043,,
Chile,0.039540000000000006,0.04168000000000001,0.04255,0.03565,0.040240000000000005,0.04307,0.04809000000000001,0.0573,0.05595,0.06363999999999999,0.06388,0.06599,0.06969,0.07251000000000002,0.07448000000000002,0.07871,0.0815,0.08914,0.09612999999999998,0.09975,0.1107,0.1183,0.12823,0.12558000000000002,0.10543000000000002,0.08941428000000001,0.13135654,0.16740150000000006,0.17217321000000002,0.16985472000000001,0.18413739000000004,0.16873468000000003,0.18943147999999999,0.15937255000000006,0.13577,0.19080999999999998,0.21539220779220777,0.22887812903225804,0.2216832692307692,0.20435087681656047,0.2476614873417721,0.2715033121218421,0.2135770902199157,0.23060374950745333,0.23780459944999988,0.20424537076196309,0.19134334016890234,0.18695694851999986,0.18348212142650586,0.21113154926946093,0.2151244380214284,0.17826516129887557,0.19193157796464003,0.20907109263211054,0.1911272098671118,0.18347080281709077,-0.042682009548445365,-0.021614005994291974,0.004807605336522353,,
Colombia,0.035439494658615886,0.03937219368323266,0.043892537389688846,0.048910118903855083,0.054379734788667,0.06052740222944721,0.06423408406874127,0.0711502099396191,0.07743348769159314,0.0879206850905713,0.09732299999999998,0.10226420000000001,0.10451812,0.12071440000000001,0.132593,0.1444702,0.14265340000000004,0.15238536000000003,0.15365776,0.17140220000000006,0.18440772000000005,0.21332952000000002,0.23247560000000006,0.245194,0.26782120000000004,0.27495852,0.2772608000000001,0.22280584,0.27856392,0.32058391999999997,0.31989400000000007,0.3528762418028699,0.31475759999999997,0.30781684000000004,0.33700658000000006,0.30815718,0.31427251129870126,0.3352974073548387,0.3548066076923077,0.37353496012738857,0.3797972065822785,0.4095193358594882,0.423063949315169,0.43867174346697585,0.3856862347438325,0.38069274735247344,0.45179293625534717,0.4412122178133984,0.40888595670088945,0.40991140118887437,0.406924467985905,0.42358300346738686,0.5160771,0.5068417048363945,0.4826651047834585,0.3907331030820835,-0.1926793082078625,0.02268332853802324,0.010238634827395964,,
Ecuador,0.00249,0.00285,0.0031400000000000004,0.00328,0.0036399999999999996,0.00405,0.0044,0.00445,0.00435,0.005,0.006280000000000001,0.00605,0.005580000000000001,0.00791,0.007090000000000001,0.00872,0.007790000000000001,0.00895,0.01721,0.032330000000000005,0.03279,0.040119999999999996,0.045700000000000005,0.048260000000000004,0.049539999999999994,0.04986687700000002,0.050759210000000006,0.049735809000000006,0.058101371000000006,0.06565277500000001,0.051605513,0.06343415100000001,0.06534177099999999,0.065060954,0.07176725936940002,0.07611231425515001,0.07024739300029635,0.07427168855541753,0.0704233196979871,0.07222866040198832,0.06664834329430554,0.06860455713355866,0.0864225786192457,0.10732173602049273,0.08712884605161939,0.08106560373916208,0.10386356724125499,0.11347707165372482,0.10174338311052569,0.1049735348446289,0.11926960189222222,0.14334780048981433,0.18079749,0.18501370092112415,0.21986660168900377,0.21998023255249707,-0.002216835206065526,0.09698257773610508,0.005764285781226751,,
Peru,0.02625,0.028270000000000003,0.03168,0.034,0.03701,0.03536,0.04286000000000001,0.04435000000000001,0.04769,0.05216000000000001,0.05467000000000001,0.05793,0.06025,0.06192000000000001,0.06703,0.0701,0.07996,0.08396,0.08106999999999999,0.08703,0.09381999999999999,0.1006,0.10878000000000002,0.10423000000000002,0.10507,0.10469,0.11492000000000002,0.09689000000000002,0.11799000000000001,0.12747,0.129376,0.13323600000000002,0.13214500000000004,0.138083,0.14540600000000004,0.16176100000000002,0.1750041818181818,0.17807324516129028,0.1817728269230769,0.17078795541401268,0.17408107594936706,0.1885489245283018,0.1869353999999999,0.1811253913043477,0.18798033333333325,0.18821909815950905,0.2011138353658535,0.20429579999999983,0.20571679518072272,0.2034872514970058,0.21572146503577405,0.2157042525443785,0.2616706214785419,0.2750152631578947,0.2804642031954117,0.27095196734693877,-0.03655561620119663,0.040822093232260714,0.007099931455889557,,
