Thousand tonnes of Lithium content,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ee,At end of 2020,Share,R/P ratio,ii,jj
Argentina,0.008,0.008,0.008,1.13,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.9460000000000001,0.96,1.97,1.98,2.9,3,3.1699999999999995,2.2199999999999998,2.9499999999999997,2.9499999999999997,2.6999999999999997,2.5,3.1999999999999997,3.6,5.8,5.699999999999999,6.3999999999999995,6.3,6.2,-0.01856188741434639,0.1099380952803446,0.07187328590337246,,1900,0.10023740437879188,306.4516129032258,,
Australia,2.2334814453125,3.8821357421875,1.5766063232421874,1.1799951171875,1.5057012939453125,1.8256938476562499,2.2257890624999996,2.204216552734375,3.5,3.3014052734375,4.83946533203125,6.19028466796875,6.8362900390625,6.67600146484375,5.504116699218749,8.465378906249999,11.700000000000001,12.7,10.117349609375,12.374939453124998,11.92899609375,14,21.3,57,45,40,-0.11353976927747422,0.23382193824606134,0.4636986187314352,,4700,0.24795568451595884,117.5,,
Brazil,0.032,0.032,0.032,0.032,0.032,0.03,0.21999999999999997,0.224,0.24,0.242,0.242,0.242,0.18,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.31999999999999995,0.15,0.39999999999999997,0.15999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.3,2.4,1.9,-0.2104963570127505,0.31101942303974983,0.022025684389743172,,95,0.005011870218939594,50,,
Chile,2,2.663667724609375,4.55453369140625,5.46264892578125,5.7051552734375,6.737876953124999,5.88336181640625,6.620096679687499,7.8270126953125,8.3406884765625,8.352042968749998,9.9765078125,11.5256416015625,10.992454101562501,5.98307421875,10.357922851562499,13.57149609375,13.9038671875,11.72121875,12.0494697265625,10.9362197265625,15.211735351562501,15.763586340527016,18.848738276137844,22.11986594646843,20.629926789452423,-0.06990571646988863,0.1396875657452643,0.23915171391999301,,9200,0.4853600633078343,445.95407894049026,,
China,0.31999999999999995,2.8,2.9,3,2.3,2.4,2.4,2.4,2.5,2.63,2.82,2.82,3.01,3.29,3.76,3.9499999999999997,4.14,4.5,4.7,2.3,2,2.3,6.8,7.1,10.799999999999999,13.999999999999998,0.2927545031370167,0.1112802373314723,0.1622945165560023,,1500,0.07913479293062517,107.14285714285715,,
Portugal,0.15999999999999998,0.15999999999999998,0.18,0.15999999999999998,0.13999999999999999,0.13999999999999999,0.19999999999999998,0.18999999999999997,0.18999999999999997,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.57,0.7,0,0.7999999999999999,0.82,0.5599999999999999,0.57,0.3,0.19999999999999998,0.39999999999999997,0.7999999999999999,0.7999999999999999,0.9,0.9,-*,,0.010433218921457292,,60,0.0031653917172250064,66.66666666666667,,
US,3.4999999999999996,4,4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,0.87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,-*,-0.04979978349432357,0.010433218921457292,,750,0.039567396465312585,833.3333333333333,,
Zimbabwe,0.5199999999999999,0.5,0.7,1,0.7,0.74,0.7,0.6399999999999999,0.48,0.24,0.25999999999999995,0.6,0.3,0.5,0.39999999999999997,0.47,0.47,1.06,1,0.9,0.9,1,0.7999999999999999,1.5999999999999999,1.2,1.2,-*,0.11612317403390437,0.013910958561943056,,220,0.01160643629649169,183.33333333333334,,
Rest of World,0.712,0.738,1.64,0.728,0.71,0.71,0.7,0.707,0.71,0.707,0.707,0.707,0.707,0.69,0.31,,,0,0,0,0,0.16199999999999998,1.06,2.297,0.5329999999999999,0.5329999999999999,-*,0.05569034952635432,0.006178784094596373,,530,0.02796096016882089,994.3714821763604,,
Total World,9.485481445312503,14.783803466796876,15.591140014648436,14.192644042968752,12.792856567382813,14.283570800781247,14.029150878906247,15.431313232421873,17.9070126953125,19.25109375,21.02050830078125,25.255792480468752,27.628931640625,27.67845556640625,19.83719091796875,28.153301757812503,34.97149609375,36.5738671875,31.878568359375,32.1844091796875,30.665215820312504,39.973735351562496,53.32358634052701,95.24573827613784,90.15286594646841,86.26292678945241,-0.0457626074390971,0.16345592714879076,1,,18955,1,219.73518295135887,,
