Billion cubic metres,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,yy,zz
Canada,1.3844999999999998,1.2577500000000001,1.209,1.3065000000000002,1.56,1.1895,1.47225,1.482,1.56,2.1645000000000003,2.5155000000000003,2.4375,2.5935,2.66175,2.457,2.4472499999999995,2.496,2.6130000000000004,2.34,2.3205,2.4472499999999995,2.3497500000000002,2.2034999999999996,3.0810000000000004,2.3985,2.4082500000000002,2.09625,2.2327500000000002,2.11575,1.95,1.8719999999999999,2.0475000000000003,1.8719999999999999,1.8135000000000001,1.5697500000000002,1.51125,1.638,1.7842500000000001,1.6377474761460054,2.1129299055527913,1.9154549055633716,1.4199616227043257,1.4126242868429348,1.4181499792252161,1.147221851805812,1.2475982210737597,0.08452387025784858,-0.030870771499947547,0.0083850670614561,,
Mexico,5.21625,5.109,3.978,7.1955,3.6659999999999995,4.3095,6.91275,6.435,4.377750000000001,3.0615,2.9835000000000003,1.911,2.0865,1.404,1.209,1.06275,1.04325,1.0822500000000002,1.4137499999999998,1.37475,2.15475,4.53375,7.1175,7.71225,4.718999999999999,4.53375,3.50025,2.68125,2.56425,1.5405000000000002,1.8329999999999997,2.7299999999999995,5.508750000000001,13.4355,10.05225,6.045,3.5295,1.3552499999999998,5.123673076344615,5.715752367973557,5.992936781947947,5.770451586332521,4.520228055813474,4.532140488238652,5.28607830001456,6.69990859466445,0.26399997394258023,-0.062250090122947466,0.04502986772739724,,
US,3.69525,3.6465000000000005,3.77325,4.2315,4.611750000000001,3.4515000000000002,2.7104999999999997,2.56425,2.62275,2.9835000000000003,2.62275,2.70075,3.4222499999999996,3.9194999999999993,3.9194999999999993,4.14375,4.689749999999999,4.641,3.22725,6.2985,7.838999999999999,7.26375,7.06875,6.46425,3.03225,2.5155000000000003,2.68125,2.7299999999999995,2.7104999999999997,2.66175,3.28575,3.5782499999999997,3.9584999999999995,4.601999999999999,4.55325,4.5825000000000005,5.78175,5.791500000000001,9.282741387208798,11.390946261726233,11.995926619583692,9.040335950225288,9.635128681193972,14.138209461734814,17.2812876587573,12.364023230465497,-0.2864975116607762,0.1426821948715078,0.0830981979499993,,
Total North America,10.296,10.01325,8.96025,12.7335,9.83775,8.9505,11.0955,10.48125,8.560500000000001,8.209500000000002,8.12175,7.04925,8.10225,7.985249999999999,7.5855,7.65375,8.229,8.33625,6.981,9.993749999999999,12.440999999999999,14.14725,16.38975,17.2575,10.14975,9.4575,8.27775,7.643999999999999,7.390499999999999,6.15225,6.99075,8.35575,11.33925,19.851,16.175250000000002,12.138750000000002,10.94925,8.931000000000001,16.044161939699418,19.219628535252582,19.90431830709501,16.230749159262132,15.56798102385038,20.088499929198683,23.714587810577672,20.311530046203707,-0.14584077006660456,0.039002177832663465,0.13651313273885265,,
Argentina,2.3205,2.5837499999999998,2.9055,2.97375,3.6075000000000004,3.50025,2.925,3.16875,2.9542499999999996,3.5490000000000004,3.5295,2.73975,2.34,2.87625,2.62275,2.5740000000000003,2.3009999999999997,2.2424999999999997,2.2424999999999997,2.19375,2.1450000000000005,2.0475000000000003,1.8915,1.21875,0.8775000000000001,0.6045,0.624,0.82875,1.0725000000000002,0.84825,0.663,0.67275,0.82875,0.8385,0.86775,0.84825,0.82875,0.9164999999999999,0.7943399822087651,0.8585245284582819,0.7458675788430067,0.636914152813614,0.5950878532401562,0.773833846495358,1.0055484107621548,1.146334884874637,0.13689486265625672,0.014847616734764424,0.007704479472796642,,
Bolivia,0.45824999999999994,0.5752499999999999,0.36075,0.39,0.2925,0.195,0.195,0.156,0.18525,0.14625,0.11699999999999999,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.98475,1.3649999999999998,0.4875,0.46799999999999997,0.46799999999999997,0.46799999999999997,0.351,0.2535,0.1755,0.273,0.30225,0.1755,0.18525,0.14625,0.1365,0.156,0.1365,0.1365,0.2535,0.22425,0.044731786622991,0.049535858404675503,0.05369257285201875,0.042175844930290494,0.034523690595517506,0.038029368659977504,0.0418296116030325,0.057608112602917504,0.37344601554919676,-0.11154564999893035,0.0003871822509041708,,
Brazil,0.36075,0.39,0.39,0.59475,0.39,0.429,0.6045,0.7605000000000001,1.3357500000000002,1.5795000000000001,1.56,1.1895,0.94575,0.8872500000000001,0.8385,1.014,0.9652499999999999,0.8872500000000001,0.9945,1.0530000000000002,1.0530000000000002,1.1895,1.56,1.95,2.223,2.31075,2.496,2.0865,1.5892499999999998,1.43325,2.4082500000000002,1.8037500000000002,1.8915,2.1255,3.3345,2.3594999999999997,1.70625,1.404,1.4685626765737005,1.6998958718153685,1.504876844771323,1.6703641129007625,1.2992835026758958,1.185941100274944,1.3127347983213744,1.1436167635894656,-0.13120903850362697,-0.08900786484999235,0.007686211068055156,,
Colombia,0.6824999999999999,0.71175,0.7215,0.585,0.49725,0.546,0.55575,0.5265000000000001,0.6922499999999999,0.63375,0.585,0.4875,0.39,0.2925,0.24375,0.195,0.195,0.195,0.195,0.195,0.43875000000000003,0.46799999999999997,0.4875,0.55575,0.585,0.4875,0.4875,0.4875,0.4875,0.43875000000000003,0.34124999999999994,0.34124999999999994,0.34124999999999994,0.43875000000000003,0.585,0.663,0.6922499999999999,0.75075,0.8589839165066054,0.8381688000215984,0.795607557860544,0.597053188783155,0.5360153459486767,0.5176214269787925,0.52353976075401,0.401332296948999,-0.2355198389476444,-0.011038510359988152,0.00269734131309459,,
Peru,0.5752499999999999,0.7897500000000001,0.73125,0.585,0.9262499999999999,0.8775000000000001,0.6922499999999999,0.82875,0.8385,0.897,0.9164999999999999,0.47775,0.38025000000000003,0.2925,0.2925,0.2925,0.2925,0.2925,0.24375,0.24375,0.22425,0.2145,0.3705,0.1755,0.16575,0.16575,0.16575,0.18525,0.18525,0.24375,0.24375,0.2925,0.24375,0.24375,0.3315,0.32175000000000004,0.156,0.14625,0.18342227346162523,0.24752523006344246,0.2705667434454855,0.187773111763575,0.135378009243945,0.1249793104650675,0.10839884008141498,0.14066617773186224,0.2941267988436169,-0.1057599630165651,0.0009454128048893989,,
Trinidad & Tobago,1.6965,1.794,1.86225,1.716,3.8609999999999998,2.81775,2.6715000000000004,2.808,1.16025,1.3455,3.2954999999999997,3.22725,3.354,3.44175,3.4125,2.70075,2.68125,2.5447499999999996,2.34,2.535,2.5447499999999996,2.4472499999999995,2.3497500000000002,2.3302500000000004,2.36925,0.78,0.94575,0.585,0.43875000000000003,0.61425,0.975,1.3162500000000001,1.0237500000000002,0.78,0.73125,0.6922499999999999,0.6922499999999999,0.63375,0.3865116742943625,0.32698997708231403,0.28687736181897006,0.2332051593269775,0.23212245356274003,0.2230387323411,0.418302137504745,0.19738623103831127,-0.5294144907545515,-0.05432388434714108,0.0013266264381491578,,
Venezuela,4.18275,2.97375,2.75925,2.2327500000000002,2.27175,2.184,1.95,1.74525,1.6965,1.70625,1.5795000000000001,2.70075,3.61725,4.02675,3.7049999999999996,3.3637500000000005,3.5295,3.40275,3.2369999999999997,3.0225,3.4807499999999996,3.75375,6.3375,4.290000000000001,3.6075000000000004,2.691,3.2369999999999997,4.2315,4.290000000000001,5.313750000000001,6.9030000000000005,5.07,7.0200000000000005,8.969999999999999,8.580000000000002,6.532500000000001,9.0675,11.017500000000002,9.761430967036263,10.465255694319259,9.895250741892058,10.163732648788192,7.959589401822095,9.264491936687238,10.47525977375434,9.355878825386428,-0.10929976759988635,0.020158732350843644,0.06288055725360342,,
Other S. & Cent. America,0.26325000000000004,0.2535,0.30225,0.30225,0.34124999999999994,0.34124999999999994,0.32175000000000004,0.312,0.32175000000000004,0.39,0.94575,0.9164999999999999,0.624,0.82875,0.71175,0.75075,0.624,0.6045,0.59475,0.63375,0.9164999999999999,0.9555,0.9262500000000001,0.975,0.975,0.9652499999999999,0.9652499999999999,0.975,1.00425,0.9555,0.9262500000000001,0.897,0.9360000000000002,1.04325,0.78975,0.55575,0.5850000000000001,0.5557500000000001,1.0254702981951673,1.2778892368999868,1.3332681647923954,1.416653293166368,1.2656022584078546,1.1167470572928344,1.1151942970511848,1.5126812964623102,0.35272238339499307,0.03510901393850219,0.010166681788412821,,
Total S. & Cent. America,10.53975,10.07175,10.03275,9.3795,12.187500000000002,10.890750000000002,9.91575,10.30575,9.1845,10.247250000000003,12.528749999999999,11.836500000000001,11.748750000000001,12.74325,11.92425,10.98825,10.686,10.26675,10.83225,11.24175,11.290499999999998,11.544,14.391,11.96325,11.154,8.25825,9.096749999999998,9.652499999999998,9.369750000000002,10.023000000000001,12.64575,10.53975,12.421500000000002,14.595749999999999,15.356250000000001,12.1095,13.9815,15.648750000000001,14.52345357489948,15.763785197064927,14.8860075662758,14.947871512472934,12.05760251549688,13.244682779195312,15.000807629832256,13.95550458863493,-0.07222496694116054,-0.002339111569504615,0.09379449238990535,,
Denmark,,,,,,,,0.0975,0.11699999999999999,0.08775,0.08775,0.30225,0.312,0.36075,0.351,0.06825,0.0975,0.23399999999999999,0.20475,0.20475,0.156,0.1755,0.24375,0.18525,0.39974999999999994,0.2535,0.28274999999999995,0.22425,0.23399999999999999,0.273,0.195,0.18525,0.1755,0.1365,0.08775,0.08775,0.078,0.06825,0.102221577144375,0.1201250400379575,0.103214176697307,0.13411863834525,0.10923090075553499,0.1057542651821175,0.06820757894193749,0.057144725230905004,-0.16448299461895532,-0.024878906806433565,0.000384067839450127,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029125121025,0.038970328799999995,0.028310085375,0.027115107110617504,0.014921693264399998,0.02692160659811025,0.020720746330634997,0.016225568001162004,-0.21908045251102293,,0.00010905151474395697,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047379142289271,0.054034740141047255,0.04304465210552325,0.05323705781228251,0.03624620312883374,0.03035396092182675,0.03871982485931626,0.0293611356976275,-0.2437746265180134,,0.00019733523795283114,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028527303584325,0.02023132478133,0.04126824352687725,0.0257386143439425,0.0176428973287125,0.0187871060813475,0.0197853257338425,0.0181927396206465,-0.08300561103429849,,0.00012227281120955644,,
Norway,2.75925,2.7104999999999997,0.273,0.14625,0.2925,0.47775,0.23399999999999999,0.28274999999999995,0.34124999999999994,0.273,0.2925,0.156,0.32175000000000004,0.1755,1.39425,0.47775,0.351,0.2925,0.3315,0.36075,0.39974999999999994,0.41925,0.39974999999999994,0.4485,0.6435000000000001,0.67275,0.5362500000000001,0.5752499999999999,0.6045,0.585,0.585,0.585,0.585,0.4875,0.4875,0.585,0.63375,0.663,0.44236232891817523,0.3627348898785593,0.3743985453553332,0.39705234386368204,0.232380902522769,0.198689184518097,0.15180098176599524,0.14797867631810444,-0.02784315833793327,-0.11012297129800297,0.0009945598700236145,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0283575663119775,0.0330091845215925,0.0361999796853825,0.096239434043805,0.046035160589661756,0.057240023649354,0.048575065293007494,0.057789100265617496,0.18643600788614756,,0.0003883986630979374,,
Romania,0.0975,0.0975,0.06825,0.06825,0.058499999999999996,0.06825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03598827152349,0.05944138568192174,0.049416193537659,0.03193231160927925,0.018415225799490002,0.0186974891415195,0.01604651957376,0.015575214134600248,-0.03202318525669556,,0.0001046805075617696,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22550119432059373,0.23725235494119903,0.2303913036882405,0.23507183930109748,0.15612260870038464,0.15944843772830702,0.1180221893567925,0.1040581108536645,-0.12072636814372628,,0.00069937117820307,,
United Kingdom,2.9932499999999997,3.09075,3.1784999999999997,4.212000000000001,6.444750000000001,4.212000000000001,4.10475,3.9487499999999995,3.7049999999999996,3.3247500000000003,2.5447499999999996,2.0865,2.067,2.184,2.3205,2.5447499999999996,2.34,2.4277500000000005,2.36925,3.1102499999999997,2.2327500000000002,2.36925,1.9792499999999997,1.95,2.0475000000000003,1.6965,1.6575,1.5989999999999998,1.45275,1.5502500000000001,1.5892499999999998,1.5015,0.6824999999999999,0.6824999999999999,0.6824999999999999,0.71175,0.61425,1.17,1.3677971226765495,1.3586223588748199,1.3518058481974802,1.3931194093271713,1.3662910807824915,1.2321835359556612,1.17376068552405,1.1043216921678825,-0.061730015865023136,0.05571742627067344,0.007422110171236706,,
Other Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44343227063728125,0.49374394297472407,0.45932920388424225,0.4255517054576091,0.3140855020426403,0.36735963738977095,0.4349939336172299,0.40061803274416946,-0.08154248351700222,,0.002692540766607806,,
Total Europe,5.85,5.89875,3.5197499999999997,4.426500000000001,6.795750000000001,4.758000000000001,4.33875,4.329,4.16325,3.6855,2.925,2.54475,2.70075,2.72025,4.0657499999999995,3.09075,2.7885,2.9542500000000005,2.9055,3.67575,2.7885,2.964,2.62275,2.58375,3.0907500000000003,2.62275,2.4765,2.3984999999999994,2.29125,2.4082500000000002,2.36925,2.27175,1.4429999999999998,1.3064999999999998,1.25775,1.3845,1.326,1.90125,2.7506918984310382,2.778165550633151,2.7173782320530453,2.8191764612147368,2.3113721749149185,2.215435247166112,2.0906328509965664,1.9512649950343797,-0.06921310024199423,0.052127432913175564,0.013114388560087377,,
Azerbaijan,,,,,,,,,,,,,,,,12.5775,11.7,10.725,8.482499999999998,7.5367500000000005,7.1175,7.049250000000001,6.981,6.97125,6.922499999999999,6.727500000000001,6.727500000000001,6.63,3.2175,3.2175,3.7049999999999996,2.1450000000000005,2.4375,2.4375,1.4625,1.2675,1.0725000000000002,0.63375,0.448195832157918,0.32826078831316874,0.2132962970983845,0.22589368345908004,0.18132427146395252,0.2421125968321125,0.27122033835429,0.15730960543525502,-0.4215780471256464,-0.1550662889738691,0.001057272741099739,,
Kazakhstan,,,,,,,,,,,,,,,,0.975,0.975,0.39,0.2925,0.43875000000000003,0.6824999999999999,0.63375,0.4875,0.975,1.0725000000000002,1.1797499999999999,1.0725000000000002,0.6824999999999999,0.39,1.56,2.4375,3.0225,3.0225,2.4375,2.4375,1.8524999999999998,2.4375,2.496,3.658965276534243,3.8403382162713364,3.592618270459911,2.6237868436993494,2.3871588314227488,2.0175867989079954,1.5472579159158901,1.45470781375607,-0.0623843721721582,-0.0444315353156417,0.009777043896929126,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.875,5.3625,13.65,14.576249999999998,15.209999999999999,16.4775,19.5,19.0125,17.0625,17.452499999999997,17.823,20.94456923143192,19.518527801778625,21.06466114233224,23.890219790648835,20.9642315296986,21.22152125256608,23.79075012985004,25.068073794123457,0.050810993885171074,0.022673237236505273,0.16848170854583822,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0975,0.0975,1.0725000000000002,0.4875,0.39,0.4875,0.73125,2.236293939560314,1.9758241864211468,1.8158254935389497,1.8041258850092983,1.6358226519804682,1.4790132470955368,1.3601842685997148,1.6576875580595263,0.2153929399456429,0.10805753854678457,0.011141264155785256,,
USSR,15.3075,16.964999999999996,18.525,16.575,14.625,12.675,12.91875,13.65,14.625,15.6,17.744999999999997,20.475,19.889999999999997,19.5,19.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1.4668378848654473,1.2681182506908242,1.0830229629245034,1.0176715813308232,0.8302678020317362,0.7727736299826368,0.6091049179860449,0.5379604853824793,-0.11921471630111624,,0.0036156149232589164,,
Other CIS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809712957267825,0.069484276013178,0.06750260071638525,0.061845580011851996,0.05775302661882,0.07445336759367001,0.08804885516290499,0.055587858137643,-0.37039523522187157,,0.00037360418635871696,,
Total CIS,15.3075,16.964999999999996,18.525,16.575,14.625,12.675,12.91875,13.65,14.625,15.6,17.744999999999997,20.475,19.889999999999997,19.5,19.0125,13.5525,12.674999999999999,11.115,8.774999999999999,7.9755,7.8,7.683000000000001,7.4685,7.94625,7.994999999999999,7.907250000000001,7.800000000000001,12.1875,8.969999999999999,18.427500000000002,20.71875,20.474999999999998,22.035,25.4475,23.4,20.5725,21.45,22.464000000000002,28.835833460276625,27.00055351948828,27.836926767070374,29.62354336415924,26.056558113216326,25.807460892978032,27.666566425868883,28.93132711489443,0.0428572642130578,0.01688991600664047,0.19444650844926997,,
Bahrain,0.45824999999999994,0.7215,0.86775,0.9262499999999999,0.94575,0.8775000000000001,0.585,0.45824999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.080585957859615,0.04115918913015,0.0394223012633775,0.108911821352295,0.12833510935423426,0.0784318192775325,0.17348844576462752,0.25166393339458804,0.4466457746684387,,0.0016914251101185906,,
Iran,22.98075,27.202499999999997,25.720499999999998,25.086750000000002,15.395249999999999,9.233250000000002,7.994999999999999,13.89375,9.4575,6.3375,5.265000000000001,5.1674999999999995,4.68,3.9,9.75,11.06625,11.309999999999999,11.017500000000002,10.725,11.017500000000002,11.309999999999999,11.309999999999999,10.725,9.75,11.602500000000001,11.2125,12.967500000000001,10.530000000000001,14.430000000000001,12.74325,11.7,15.43425,15.297749999999999,16.38975,15.473249999999998,16.165499999999998,16.233749999999997,17.111250000000002,12.022513176992565,13.061711145413776,12.721337084762963,17.026941207658982,18.50040044818885,18.0849102025528,14.643859987730902,14.154839155868874,-0.036035256839882845,-0.005494011652721786,0.09513421353224909,,
Iraq,8.570249999999998,10.881,8.6775,9.0675,11.875499999999999,9.36975,3.22725,3.432,3.276,3.9877499999999997,5.265000000000001,6.2204999999999995,4.96275,4.494750000000001,4.758,4.046250000000001,0.04875,0.058499999999999996,0.04875,0.04875,0.04875,0.04875,0.78,2.925,4.095000000000001,4.33875,3.978,4.1925,6.961499999999999,7.8,7.702500000000001,6.435,6.4545,5.85,6.8055,7.380750000000001,9.36975,11.6805,13.288307263916002,13.794951961758438,15.825192181975705,17.466448882843157,17.52390208238894,17.556141641826937,17.719191248089395,17.161060900179006,-0.034144814172127336,0.10041977370933175,0.11533893208815803,,
Kuwait,4.51425,4.202249999999999,3.315,4.18275,3.4807499999999996,1.3844999999999998,0.73125,0.46799999999999997,0.585,0.63375,0.741,0.6824999999999999,0.6824999999999999,0.8775000000000001,1.0725000000000002,1.6965,15.1125,0.4875,0.4875,0.4875,0.4875,0.4875,0.49725,0.4875,0.4875,0.4875,0.4875,0.8775000000000001,1.0725000000000002,0.975,0.975,0.8775000000000001,0.9262499999999999,0.4875,0.195,0.2145,0.2145,0.22425,1.4928801574315298,1.5564338134008202,0.9847434349941679,1.2781802365995194,0.8935704433741799,0.9726881730975337,0.8228458241339698,0.887243174902695,0.07531567551416929,0.154857464568388,0.005963132517915383,,
Oman,3.315,3.69525,3.6854999999999998,3.1590000000000003,2.4277500000000005,0.8092499999999999,0.82875,0.0975,1.3357500000000002,0.858,0.51675,0.55575,0.2925,0.7215,0.663,0.6922499999999999,0.624,0.5654999999999999,0.59475,0.4485,0.22425,0.2145,0.94575,0.7897500000000001,1.3162500000000001,1.248,1.1115,1.5502500000000001,1.6184999999999998,1.92075,1.404,1.39425,1.3649999999999998,1.3649999999999998,1.404,1.2577500000000001,0.897,1.2675,2.29025096433471,2.5153860705281588,2.3538373795815155,2.760775914400696,2.5843664381079967,2.5712975700177774,2.586646966555383,2.504758992103436,-0.034303706459668515,0.06300915568754295,0.016834403710111412,,
Qatar,3.14925,3.16875,2.6130000000000004,3.09075,2.2619999999999996,1.16025,1.62825,0.4875,0.08775,0.04875,,,,,,,0.4875,,,,,,,,,,,0.2925,3.9,3.8024999999999998,3.6075000000000004,3.0225,3.12,3.5100000000000002,3.87075,0.9945,0.546,0.6824999999999999,1.7378137787200516,1.5794517557367118,1.3861187019618217,1.36758076827567,1.2860795271922065,1.3018245592229476,1.6419251776685357,1.2987224074741215,-0.21118574511728405,-0.08218357805336063,0.008728671055264673,,
Saudi Arabia,28.44075,36.47474999999999,36.464999999999996,32.097,37.04025,37.41074999999999,24.940499999999997,11.98275,6.366750000000001,4.1145,3.0225,2.34,1.95,3.2175,3.9974999999999996,7.36125,12.772499999999999,12.1875,11.895,2.925,0.975,0.9067500000000001,0.9652499999999999,1.39425,0.30225,0.55575,0.22425,0.058499999999999996,0.11699999999999999,0.2145,0.195,0.06825,0.195,,,,,,2.6736473507085616,2.5020500708188735,2.7313071805730296,3.111150559364348,2.8662604700832377,2.8911220922446788,2.591753850272729,2.8469226218327894,0.09545285113599622,,0.019134074335485154,,
Syria,1.39425,1.5697500000000002,1.7257500000000001,1.21875,1.0725000000000002,1.0725000000000002,1.17,1.3649999999999998,0.43875000000000003,0.3315,0.34124999999999994,0.34124999999999994,0.45824999999999994,0.5752499999999999,0.4875,0.4875,0.507,0.4875,0.39,0.39,0.43875000000000003,0.43875000000000003,0.429,0.4095,0.39974999999999994,0.39974999999999994,0.2925,0.2925,0.273,0.273,0.273,0.24375,0.14625,0.14625,0.14625,0.14625,0.23399999999999999,0.0975,0.446215285206174,0.41469854399195627,0.5385304958805701,0.5715255494522827,1.1948478228568535,0.7169265528088561,0.951230905429672,0.9966556563652456,0.044890938473073794,0.2059214155816651,0.0066984902468116385,,
