Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,0.00128,0.0017200000000000002,0.0015300000000000001,0.009179999999999999,0.00529,0.010369999999999999,0.04267,0.07211000000000001,0.15253999999999998,0.14696,0.1257,0.17416,0.2634200000000001,0.31202,0.35271,0.38032000000000005,0.4006700000000001,0.38337000000000004,0.48610000000000003,0.5221,0.60521,0.7126699999999999,0.77261,0.82867,0.7931684210526316,0.7246,0.8433894736842106,0.800221052631579,0.932842105263158,1.0708421052631578,0.9716421052631578,0.921221052631579,0.8195473684210526,0.7099263157894737,0.7298,0.7229368421052632,0.7566754613807243,0.7403225806451612,0.7294135627530363,0.8747106939322825,0.8850759493670881,0.9361209533267124,0.8878026315789469,0.906146276234063,0.8449475105263152,0.8450479795931541,0.8670446757381252,0.873514227559808,0.9467608080532649,0.9760349493224069,0.920739744924811,0.9118753494861406,0.90535284,0.8950155855955678,0.8958412257961577,0.866210253404941,-0.03571801135208286,0.005866006649735578,0.036120209668877315,,
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037200000000000006,0.029370000000000004,0.04242,0.039189999999999996,0.04931,0.04239,0.08443,0.07878,0.10456,0.09265000000000001,0.10002000000000001,0.08220999999999999,0.08669337662337662,0.09620858266838708,0.10299555697499997,0.08959694964764328,0.10462978633670886,0.1045619425641509,0.09964818300374999,0.0931682217913043,0.09917685627777774,0.05518551029245396,0.09412480724542678,0.08131809811199993,0.10875783438487942,0.08865945106113766,0.10543464841339277,0.09566731718723069,0.09794575578960002,0.08646599479909428,0.10196198058310477,0.10142153048362917,-0.008018264274447962,0.0027733707968553567,0.004229189081527238,,
US,0.038491568421052634,0.0581043052631579,0.08058119999999999,0.13187809473684212,0.14660883157894739,0.22952050526315787,0.4011004736842105,0.5693803684210526,0.8787311894736842,1.1997446315789475,1.8158428947368421,2.0116161157894736,2.6408766631578953,2.909506,2.685838136842105,2.643321842105263,2.8702474000000002,2.976560505263158,3.091338094736842,3.4487742,4.038849757894737,4.3582954,4.792319810526315,5.547084705263159,5.572154915789474,6.072228189473686,6.4480535473684215,6.513434347368421,6.424118042105265,6.741471915789474,7.088443399999999,7.10240574736842,6.617307063157895,7.091601094736842,7.665832884210525,7.935715157894736,8.040357151332877,8.1052499362309,7.884689766194329,8.088826229366406,7.970946958361089,7.973813393445877,8.117301790065786,8.06471987937234,7.941829257309938,7.97327413968356,7.760030048202818,7.509261951961715,7.655010803360806,7.687765221935069,7.642118745676683,7.678055063469316,7.62583864736842,7.601349644875345,7.595138119028009,7.385018006685286,-0.030321733925123828,-0.004453584486486473,0.30794878929377656,,
Total North America,0.03977156842105264,0.0598243052631579,0.0821112,0.1410580947368421,0.15189883157894737,0.23989050526315786,0.44377047368421046,0.6414903684210526,1.0312711894736841,1.3467046315789475,1.941542894736842,2.1857761157894737,2.9042966631578953,3.221526,3.0385481368421052,3.0236418421052633,3.2709174,3.3599305052631583,3.577438094736842,3.9708742,4.644059757894738,5.0709654,5.564929810526316,6.375754705263159,6.369043336842106,6.826198189473685,7.333863021052632,7.3528454,7.406270147368423,7.854704021052632,8.144515505263156,8.102406799999999,7.541414431578948,7.894177410526316,8.495652884210525,8.740861999999998,8.883725989336977,8.941781099544448,8.717098885922365,9.053133872946331,8.960652694064885,9.01449628933674,9.104752604648482,9.064034377397707,8.88595362411403,8.873507629569167,8.72119953118637,8.464094277633523,8.71052944579895,8.752459622318614,8.668293139014887,8.685597730142685,8.629137243158022,8.582831225270008,8.592941325407272,8.352649790573855,-0.03061966472070332,-0.0033474542795910445,0.34829818804418106,,
Argentina,0,0,0,0,0,0,0,0,0,0.01036,0.025169999999999994,0.025720000000000003,0.016370000000000003,0.028960000000000003,0.026920000000000006,0.023399999999999997,0.028159999999999998,0.018699999999999998,0.03405,0.04641,0.057659999999999996,0.05711000000000001,0.06465,0.05798,0.05038999999999999,0.07281000000000001,0.07756000000000002,0.07081000000000001,0.0775,0.08234999999999999,0.07066,0.07459,0.07961000000000001,0.07453,0.07106,0.06177000000000001,0.07013162337662338,0.057458903225806435,0.07420499999999998,0.07668515923566877,0.06655499999999996,0.0742964150943396,0.06936637499999998,0.07026596273291924,0.07728388888888885,0.06767668711656438,0.059707317073170695,0.05936399999999995,0.05720909638554212,0.05051748502994008,0.06410517857142851,0.0750062130177514,0.054791999999999993,0.06148631578947368,0.0752641048750512,0.09469973276786085,0.25479457286298013,-0.0026447150063483305,0.003948895998074403,,
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01643,0.03381,0.00144,0.00973,0.0060799999999999995,0.0183,0.022370000000000004,0.01442,0.017590000000000005,0.00442,0.00055,0.02519,0.024270000000000003,0.03169,0.03265,0.03977,0.06046000000000001,0.14186279220779222,0.13657470967741933,0.13101115384615383,0.11315178343949044,0.09543132911392402,0.1323507735849056,0.11809457999999994,0.13274489068322975,0.12237166666666661,0.13632164646625758,0.14609051999999992,0.14871970909090898,0.14239774518072276,0.14089250056526936,0.13418603297142842,0.1436239397078596,0.14165276794148696,0.14024004177598987,0.1437784583434033,0.13585162181067176,-0.057713901810499846,0.016251722603005225,0.005664893764960484,,
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
