Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,0.128,0.17200000000000001,0.153,0.918,0.529,1.037,4.267,7.211,15.254,14.696,12.57,17.416,26.342000000000002,31.202,35.271,38.032000000000004,40.067,38.337,48.61,52.21,60.521,71.267,77.261,82.867,79.31684210526315,72.46,84.33894736842105,80.0221052631579,93.28421052631579,107.08421052631579,97.16421052631578,92.12210526315789,81.95473684210526,70.99263157894737,72.98,72.29368421052631,76.16210526315788,75,74.37157894736842,89.75789473684209,91.39999999999999,97.28315789473683,92.84210526315789,95.35264736842105,89.46503052631577,90.02798736842105,92.93812210526316,94.2025147368421,102.72045368421051,106.53453368421053,101.1008347368421,100.72348631578947,100.59476,100.03115368421054,100.49395368421052,97.52826842105263,-0.03216269062376209,0.011692806079064422,0.036120209668877315,,
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,2.9370000000000003,4.242,3.919,4.931,4.239,8.443,7.878,10.456,9.265,10.002,8.221,8.726,9.74662112,10.50150777,9.193935355999999,10.804906040000004,10.866241089999999,10.420725020000003,9.803976279999999,10.501078900000001,5.879240639,10.089195025000002,8.769598816,11.799869612999998,9.677208057000001,11.577137865000001,10.567174251400003,10.8828617544,9.663846477545832,11.437922546110235,11.419244011254204,-0.004360814204177443,0.00858225514733335,0.004229189081527238,,
US,3.849156842105263,5.810430526315789,8.058119999999999,13.18780947368421,14.660883157894737,22.952050526315787,40.11004736842105,56.93803684210526,87.87311894736843,119.97446315789473,181.5842894736842,201.16161157894737,264.0876663157895,290.9506,268.5838136842105,264.3321842105263,287.02474,297.6560505263158,309.1338094736842,344.87742,403.8849757894737,435.82954,479.2319810526315,554.7084705263159,557.2154915789473,607.2228189473684,644.8053547368421,651.3434347368421,642.4118042105264,674.1471915789474,708.84434,710.240574736842,661.7307063157895,709.1601094736842,766.5832884210525,793.5715157894736,809.2908505263157,821.1200915789474,803.9291526315789,830.0298810526315,823.1435421052631,828.6511957894737,848.8681610526315,848.6404578947369,840.8995684210527,849.4403168421052,831.7940705263156,809.8223673684209,830.5436557894736,839.1220863157894,839.1346073684209,848.0988926315789,847.3154052631579,849.562607368421,852.0097494736842,831.4932957894738,-0.026746517048977014,0.001313435422164888,0.30794878929377656,,
Total North America,3.977156842105263,5.982430526315789,8.21112,14.105809473684209,15.189883157894737,23.989050526315786,44.37704736842105,64.14903684210526,103.12711894736843,134.67046315789474,194.1542894736842,218.57761157894737,290.42966631578946,322.1526,303.8548136842105,302.3641842105263,327.09174,335.9930505263158,357.7438094736842,397.08741999999995,464.4059757894737,507.09654,556.4929810526315,637.5754705263158,636.9043336842104,682.6198189473685,733.3863021052631,735.28454,740.6270147368422,785.4704021052632,814.4515505263157,810.2406799999999,754.1414431578947,789.4177410526315,849.5652884210525,874.0861999999998,894.1789557894735,905.8667126989474,888.8022393489473,928.9817111454736,925.3484481452631,936.8005947742106,952.1309913357894,953.7970815431579,940.8656778473685,945.3475448495262,934.8213876565787,912.794480921263,945.0639790866842,955.3338280569999,951.8125799702631,959.3895531987685,958.7930270175578,959.2576075301773,963.941625704005,940.4408082217807,-0.02704554631942746,0.0024259732408251633,0.34829818804418117,,
Argentina,0,0,0,0,0,0,0,0,0,1.036,2.517,2.572,1.637,2.896,2.692,2.34,2.816,1.87,3.4050000000000002,4.641,5.766,5.711,6.465,5.798,5.039,7.281000000000001,7.756,7.081,7.75,8.235,7.066,7.4590000000000005,7.961,7.453,7.106,6.1770000000000005,7.059,5.821,7.566,7.869,6.873,7.721,7.2540000000000004,7.394,8.183,7.21,6.4,6.402,6.207,5.514,7.039000000000001,8.285,6.088,6.872,8.443,10.662423955940216,0.25942101741675594,0.0031327833552825535,0.0039488959980744035,,
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.643,3.3810000000000002,0.14400000000000002,0.973,0.608,1.83,2.237,1.442,1.7590000000000001,0.442,0.055,2.519,2.427,3.169,3.265,3.977,6.046,14.279,13.836,13.358,11.611,9.855,13.754100000000001,12.34976,13.96858,12.957,14.523155800000001,15.659375999999998,16.0384,15.44969,15.37846248,14.734152640000001,15.86434366707732,15.739196437942999,15.673887022022395,16.128824302217257,15.295793815999348,-0.0542396802276629,0.022138684602089675,0.0056648937649604846,,
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
