US dollars per barrel,b,c,d,e
Year,$ money of the day,2020,,
1861,0.49,14.057327229329996,,
1862,1.05,27.110559656564995,,
1863,3.15,65.94460457002295,,
1864,8.06,132.83350202547953,,
1865,6.59,110.96806716569147,,
1866,3.74,65.83993059451498,,
1867,2.41,44.44656379069498,,
1868,3.63,70.29380825237921,,
1869,3.64,70.48745510706895,,
1870,3.86,78.68177464236153,,
1871,4.34,93.38081659483495,,
1872,3.64,78.31939456340996,,
1873,1.83,39.37486045358248,,
1874,1.17,26.654919998471453,,
1875,1.35,31.687667131049984,,
1876,2.56,61.966993500719965,,
1877,2.42,58.578173543649335,,
1878,1.19,31.784794080110668,,
1879,0.86,23.790899290454984,,
1880,0.95,25.374415442105157,,
1881,0.86,22.970523452853087,,
1882,0.78,20.83373057351792,,
1883,1,27.663836384249986,,
1884,0.84,24.098275250279986,,
1885,0.88,25.245812166959986,,
1886,0.71,20.368780271069987,,
1887,0.67,19.22124335438999,,
1888,0.88,25.245812166959986,,
1889,0.94,26.967117541979988,,
1890,0.87,24.958927937789987,,
1891,0.67,19.22124335438999,,
1892,0.56,16.065516833519993,,
1893,0.64,18.360590666879993,,
1894,0.84,25.025131990675373,,
1895,1.36,42.13755558048958,,
1896,1.18,36.56052616542478,,
1897,0.79,24.47696243278439,,
1898,0.91,28.194982042827586,,
1899,1.29,39.96871080796438,,
1900,1.19,36.87036113292838,,
1901,0.96,29.744156880345585,,
1902,0.8,23.83345903873845,,
1903,0.94,26.967117541979988,,
1904,0.86,24.672043708619988,,
1905,0.62,17.78682220853999,,
1906,0.73,20.94254872940999,,
1907,0.72,19.91796219665999,,
1908,0.72,20.65566450023999,,
1909,0.7,20.081896041899988,,
1910,0.61,16.874940194392494,,
1911,0.61,16.874940194392497,,
1912,0.74,19.765334133850338,,
1913,0.95,24.776365246499996,,
1914,0.81,20.842101592200002,,
1915,0.64,16.3038507072,,
1916,1.1,26.055020992,,
1917,1.56,31.4638603188,,
1918,1.98,34.00077750299999,,
1919,2.01,30.062942256899994,,
1920,3.07,39.64008802529999,,
1921,1.73,25.006448225499998,,
1922,1.61,24.842802030199994,,
1923,1.34,20.3124707618,,
1924,1.43,21.632329218499997,,
1925,1.68,24.788089384799996,,
1926,1.88,27.4763074796,,
1927,1.3,19.362944964999997,,
1928,1.17,17.6628413871,,
1929,1.27,19.172485950099997,,
1930,1.19,18.4359874874,,
1931,0.65,11.0407478545,,
1932,0.87,16.475364756899996,,
1933,0.67,13.372867894399997,,
1934,1,19.317653039999996,,
1935,0.97,18.278708042699996,,
1936,1.09,20.3481607987,,
1937,1.18,21.2586837778,,
1938,1.13,20.7439345799,,
1939,1.02,18.993880478999998,,
1940,1.02,18.811729297200003,,
1941,1.14,20.027623375199997,,
1942,1.19,18.885645718799992,,
1943,1.2,17.948025228,,
1944,1.21,17.787562407999996,,
1945,1.05,15.087646055999999,,
1946,1.12,14.826764567999998,,
1947,1.9,22.000487866,,
1948,1.99,21.379056773899993,,
1949,1.78,19.316462509399997,,
