Crude (million tonnes),Canada,Mexico,US,S. & Cent. America,Europe,Russia,Other CIS,Middle East,Africa,Australasia,China,India,Japan,Singapore,Other Asia Pacific,Total
From,,,,,,,,,,,,,,,,
Canada,0,0,179.66016371077762,0.4679004366039983,4.664726358999864,0,0,0.000059255,0.0000033439999824622647,5.500366557718758E-7,3.222185931,0.96504,0,0.042939518,0.27168480800000006,189.29470391241813
Mexico,0,0,32.75961800818554,0.0997393822798924,8.443,0,0,0.0808640594482422,0,0,0.354012812,7.95105,0.075015919,0,7.040264359,56.80356453991367
US,21.329191007612785,0,0,8.542381901590625,57.9387506488172,1.15E-9,0.08185579081310199,1.8938675493723738,0.17111909399991082,3.30851846574072,19.755699699,10.69083,1.980615011,2.7359775612,26.865276567639473,155.29408329793623
S. & Cent. America,0.39581360037059116,4.000000189989805E-9,30.337323870581173,0,12.337423768905875,0.000001,0,1.246068180396125,0.6387157946367474,0,71.95419017100001,16.010360000000002,2.221201607,5.330396302857395,5.242298411252479,145.7137927110004
Europe,0.9010501987625334,0,2.1342682776534785,0.6951359464325643,0,0.00012300499999999998,0.0800503365506765,0.4783056718967494,0.36803568124640224,0.0017699990802607498,18.841476851000003,1.6330302290000003,0,0.1329844831,2.911104374541477,28.177335054264145
Russia,0,0,3.6665757162346524,0.3551992656249999,138.2007092613047,0,14.847230436999896,0.117312297,0.1410067139471054,0.6887415392791045,83.44508474400001,2.6254,5.087909129,0.24522586799999999,10.556910775133375,259.9773057465239
Other CIS,3.999999989900971E-9,0,0.8680763983628922,0.14055668,66.03413343377987,0.0026786550000019354,0,7.085618402000023,0.868702,0.22244087828781767,6.261143624000001,3.5903709994500006,0.937674999,0.27372311099999386,6.893275093880266,93.17839427876086
Iraq,0,0,8.85306957708049,0.27444824722208977,44.948756059749996,0.000028528999537229537,0.00004398,1.0251230220000074,1.3942999999999999,0,60.114327099,47.27929,0.495064224,0.959070605,13.552008793717775,178.89553013676988
Kuwait,0,0,1.029467939972715,0,2.538673003,0,0,7.500000114254653E-7,3.6243684000000003,0,27.497625071999998,9.8901,11.260843915,3.1667403469999997,37.53293990707524,96.54075933404798
