Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Canada,39.527523103571596,40.17533587132368,40.31209522632723,40.4912604853658,40.531766866556175,40.93903840203121,41.102001108593626,41.20126061194231,41.46775989315925,41.295702120261225,40.29383590573782,40.09836116744045,39.63399073003274,39.4957218204507,48.149205702975074,48.36655640303955,48.942627589447284,48.803094427905705,49.823087876992886,181.56045041887904,181.5036974565373,180.94094808928506,180.40000549588171,179.90294691203823,179.5760465782481,180.04410913456243,179.36196028995963,178.83402502517464,176.34992088018777,175.01521675053203,174.848021001339,174.17687303572728,173.71610037006505,173.03753671758628,172.1559945825927,171.51230793068865,170.52832364810996,171.7916824544982,170.73218899393962,169.12490962588842,168.08761081922776,-0.006133329554795952,-0.003417683466392596,0.09702776076411941,,
Mexico,47.224000000000004,52.9,54.999,54.999,29.7733,29.371100000000002,29.0138,28.488300000000002,27.8906,27.316200000000002,26.903999999999996,26.7409,26.852400000000003,26.6011,26.035600000000002,25.434399999999997,24.9483,39.016,41.064,24.70013,24.63128,23.66038,22.41904,15.12356,14.119620000000001,12.88218,11.81385,11.04757,10.501240000000001,10.404200000000001,10.4196,10.161,10.025,10.07319,9.812089999999998,9.710970000000001,7.640710000000001,7.03701,6.46417,6.065879999999999,6.065879999999999,0,-0.05252335784636719,0.0035014999058843818,,
US,36.533,36.494,35.079,35.635999999999996,36.089,36.36000000000001,35.054,35.403000000000006,35.063,34.27,33.84,32.146,31.196,30.179000000000002,29.627,29.75,29.84,30.519,28.558,29.671,30.39,30.439,30.671000000000003,29.349999999999998,29.298999999999992,29.922000000000004,29.443999999999996,30.46,28.396,30.871999999999993,34.99,39.775,44.18,48.463,54.962,47.986999999999995,49.96600000000001,61.23300000000001,68.89399999999999,68.757,68.757,0,0.08336603408912358,0.03968964585993994,,
Total North America,123.2845231035716,129.5693358713237,130.39009522632722,131.12626048536578,106.39406686655619,106.67013840203123,105.16980110859363,105.09256061194232,104.42135989315925,102.88190212026123,101.03783590573782,98.98526116744046,97.68239073003275,96.2758218204507,103.81180570297508,103.55095640303955,103.73092758944728,118.3380944279057,119.44508787699289,235.93158041887904,236.52497745653733,235.04032808928505,233.4900454958817,224.37650691203822,222.9946665782481,222.84828913456244,220.61981028995962,220.34159502517463,215.24716088018778,216.29141675053202,220.257621001339,224.1128730357273,227.92110037006506,231.57372671758628,236.9300845825927,229.21027793068865,228.13503364810998,240.0616924544982,246.09035899393962,243.94778962588842,242.91049081922776,-0.004252134476198544,0.012105442411024736,0.14021890652994373,,
Argentina,2.457,2.1716519999999995,1.9496,2.4497690000000003,2.349,2.24,2.233,2.246,2.2799,2.1677,1.569987080150911,1.6832665716476494,2.0174379266576556,2.216787188373238,2.2526328198024395,2.3863667758381775,2.6004341946943685,2.621177990527585,2.753414971606288,3.071188790007078,2.9737030132881475,2.878682842380805,2.8205083828109365,2.67450929582469,2.4780093183760723,2.1802628863647757,2.586760146137239,2.616020345717629,2.5203082956284635,2.51149627077633,2.524151719649196,2.525,2.354209480126276,2.3295841414789447,2.379708948267705,2.394723984475424,2.16220905389238,2.016765042704279,2.3868580729553797,2.4827074925111905,2.4827074925111905,0,-0.0011522360481135419,0.0014331308979680416,,
Brazil,1.3179669432663292,1.4758411929369644,1.7184391933272585,1.849833339766285,2.0160101396188024,2.168060024540632,2.3584148568925083,2.5507572694394414,2.8161369643439613,2.759836868375759,4.513039845684276,4.818340969380011,4.965742684162137,4.982159090203586,5.374442006676023,6.223044402804032,6.680678452905071,7.105945136918257,7.357254525188784,8.15331184236267,8.464487649293162,8.485199996072662,9.804286525651396,10.601589225352566,11.243036704631876,11.772261380619415,12.182000000000002,12.62383,12.80142,12.87567,14.24633,15.04989,15.314221000000002,15.544435216999998,16.184112294000002,12.9997812901084,12.633719559850002,12.793924804610002,13.435306572850001,12.714599999999999,11.925011329482262,-0.0621009446241122,-0.001258062430946394,0.00688365514119177,,
Colombia,0.55,0.53,0.61,0.64,1.1,1.24,1.7,1.9100000000000001,2.05,1.98,1.99,1.8846,3.2319,3.1564,3.139,2.9518999999999997,2.798,2.5772000000000004,2.4778,2.2891999999999997,1.9719000000000002,1.8422,1.6317000000000002,1.5423999999999998,1.4775999999999998,1.4531999999999998,1.5093999999999999,1.51,1.362,1.3600000000000003,1.9,1.9875999999999998,2.2,2.377,2.4450000000000003,2.308,2.002,1.66549,1.782208,1.96,2.036,0.038775510204081653,0.037221991639429186,0.0011752711574216112,,
Ecuador,0.5691039945842767,0.528315968275639,0.5341010894856032,0.5152264010934972,0.6644708411970235,0.6708403180847622,0.7217376976188934,0.9316382570753802,0.8852404162601099,0.8424071450792622,0.7919188145195729,0.8907917951989647,1.893312395988353,2.1386249095179553,2.040102542245228,1.978219275968942,2.0177801553542536,2.146922760142349,2.3970269902296995,2.587526941184082,2.6681680247169197,3.4229218181300554,3.7313389013024914,3.725910237055969,3.6560855771187306,2.6395345965059853,2.4455285114849565,2.51039199171789,2.499289233840181,2.662908823616952,2.0674503879650596,2.009014820187641,1.9423982729213847,2.0569319857651243,1.7729351263668711,1.8062433999999998,1.7037502999999996,1.6323077000000001,1.3025471,1.3025471,1.3025471,0,-0.06901279145680084,0.0007518890166076439,,
Peru,0.628445,0.8820370000000002,0.775145,0.696324,0.670446,0.5889999999999999,0.5358,0.48040000000000005,0.853,0.847,0.8232,0.8218,0.8026,0.799467,0.830892,0.80811,0.7735210000000001,0.7584099999999999,0.9373830000000001,0.8906,0.90562,0.9793760000000001,0.9528910000000002,0.9295530000000001,1.097303,1.078258,1.097288,1.12148,1.12148,1.12148,1.24,1.2062,1.4227,1.6169520000000002,1.409846,1.187285,1.2246009999999998,0.9850749999999999,0.85889,0.8031766867132752,0.7463460290587376,-0.07075735463276156,-0.032831917142696176,0.0004308246372342269,,
Trinidad & Tobago,0.571,0.571,0.633,0.54,0.57,0.612,0.5640000000000002,0.6195,0.613,0.6185999999999999,0.6022000000000001,0.5726,0.541,0.5601000000000002,0.56,0.6566000000000002,0.7227,0.7061999999999999,0.7400699999999999,0.82097,0.8510699999999998,0.96007,1.1250700000000002,0.8910699999999999,0.8089999999999999,0.8029999999999999,0.7938,0.871,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.7283000000000001,0.24298200000000003,0.24298200000000003,0.24298200000000003,0.24298200000000003,0.24298200000000003,0,-0.11559823422990123,0.00014026018485884968,,
