Thousand barrels daily*,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Canada,1892.9814414690961,1759.197166947407,1489.5471558214845,1418.7514069217827,1416.6696780672685,1376.7523071668281,1349.837690023148,1402.911164776829,1479.2074790247418,1511.2219815036572,1548.4475974100592,1452.3551430135767,1405.2240097820882,1492.2880313229973,1533.3494323063721,1518.242857811883,1590.2049378201802,1647.0439823827726,1656.7434564499677,1665.4095404604861,1722.8164204172708,1771.8110808279291,1806.7424494927056,1835.2775803693742,1913.4919987465335,1845.9038795901245,1788.435343574014,1849.4963437692802,1781.1080491938376,1731.1497462725797,1769.8379068843299,1680.9263829390566,1752.7941396101671,1718.61411899537,1615.2531765356534,1639.521989098023,1594.3172538921149,1757.3038994487913,1652.9889564066355,1822.0170394796678,1584.625772578734,-0.1302903659829262,0.0051289452259086765,0.02098513628311189,,
Mexico,1017.1877049180329,1136.4512328767123,1124.301506849315,1086.6875616438356,1181.5118638544134,1206.1163181670724,1175.189801046293,1215.775890410959,1201.839583871143,1246.843077254622,1321.313994520548,1290.4009863387978,1319.765904109589,1357.0073726027397,1281.879015380822,1282.8016177459017,1242.512144260274,1282.9872296383562,1228.0200964849314,1227.3824264316945,1251.89495390137,1245.3993780958904,1285.8596325068493,1303.3711731502735,1284.3997599013696,1284.1973554712329,1269.791659241096,1261.048522079235,1294.926424071233,1184.1229623589038,1184.1229623589038,1166.430705,1199.260271,1223.4903646712328,1154.9336726986303,1064.4201073643835,933.0616686366119,766.9827895013699,611.856324430137,592.0086016849314,590.6310087923498,-0.00232698121051067,-0.06697534210718381,0.00782170303362492,,
US,13481,12470,11774,11685,12044,12002,12716,12854,13246,13401,13409.000000000002,13301,13410.999999999998,13613,13866,13973,14195,14661.999999999998,14889,14803.999999999998,15067,15127.999999999998,14947,15304,15475,15220.088,15242,15156.000000000002,14648.000000000002,14335.999999999998,14724,14806.000000000002,14999,15312,15847.999999999998,16188,16187,16590,16968.999999999996,16563,14212.000000000002,-0.14194288474310202,0.014544500283674378,0.1882089525593449,,
Total North America,16391.16914638713,15365.64839982412,14387.8486626708,14190.438968565619,14642.181541921682,14584.8686253339,15241.02749106944,15472.687055187787,15927.047062895885,16159.065058758279,16278.761591930608,16043.756129352374,16135.989913891675,16462.29540392574,16681.228447687194,16774.044475557785,17027.717082080453,17592.031212021127,17773.7635529349,17696.79196689218,18041.711374318642,18145.21045892382,18039.602081999554,18442.648753519647,18672.891758647904,18350.189235061356,18300.22700281511,18266.54486584852,17724.034473265074,17251.27270863148,17677.960869243234,17653.357087939057,17951.054410610166,18254.104483666604,18618.186849234284,18891.942096462408,18714.378922528726,19114.28668895016,19233.84528083677,18977.0256411646,16387.256781371085,-0.1364686389091364,0.0095799113534345,0.21701579187608167,,
Argentina,481.17644808743165,483.41852054794515,466.12775342465756,447.75254794520544,433.49139344262295,420.36043835616437,397.30608219178083,389.7752602739726,398.243306010929,413.15093150684936,424.2162191780822,424.35679452054796,454.09950819672133,455.4239452054795,479.34183561643835,457.01043835616446,479.8946994535519,515.6303561643836,544.6290410958904,552.5615068493152,521.7317759562841,523.4021643835616,502.1953698630137,524.5669315068493,539.4759836065574,538.0822465753425,567.5829863013699,600.3972876712328,577.7281693989071,531.6559452054794,530.959850323436,515.8869760244633,529.6775179136583,527.1112387078742,526.4924768860167,535.6717385935497,510.5470290882906,499.5631073007113,470.19871159963094,476.0680260582197,417.08525990265036,-0.12389566811268304,-0.01098282399545969,0.005523443561372076,,
Brazil,1085.4563557460483,1049.088734999573,1037.870469809857,1011.7806794915314,1075.2998580695037,1084.8114135530004,1154.4129083322064,1181.8295902321115,1187.6400024207262,1192.1173080789017,1173.4891288621845,1139.0416448157291,1177.58661639572,1192.8238347651973,1258.582513665284,1226.082286095692,1312.8862884895211,1409.4345773684697,1518.1362929087597,1581.0688650636644,1588.5552888777663,1645.4144905911603,1612.352488144172,1602.8505658314082,1698.73008854668,1703.0228443083975,1707.8800658387815,1741.4654510356684,1760.3100853730123,1781.4984233149503,1787.206937457355,1813.1038974061287,1889.3484944734294,2035.4276814676932,2085.246901541888,1971.8643850130481,1812.4763089192613,1741.1391203018138,1732.7359331480297,1750.888326954781,1768.6318830631815,0.010134030728996324,-0.0017316536033903374,0.02342192190925859,,
Chile,96.33142076502733,93.24161643835615,67.25526027397261,73.46065753424658,73.96090163934427,74.18361643835617,81.33287671232877,85.34931506849315,96.05103825136612,114.66931506849316,122.30054794520547,125.11205479452055,129.676912568306,138.0851506849315,149.6123287671233,158.83005479452052,167.78890710382515,175.77942465753426,193.33126027397262,195.1587397260274,194.5053551912568,197.60876712328766,193.93372602739726,207.30526917401505,206.85915826153675,209.2352932926759,217.12771334934246,200.84313484814186,203.93766146794522,191.65828792630052,158.98573677468522,172.7543909783459,163.75848791843347,174.3742326493648,174.04681784352056,165.12045629471424,163.39759713804867,172.30634966508535,171.92723778463414,186.1094685851507,177.22665687799147,-0.047728961748633836,-0.0029335880600810382,0.002347005590810666,,
Colombia,153.25699999999998,165.89300000000003,163.297,185.448,188.01500000000001,186.068,201.985,225.46500000000006,220.17499999999995,242.72100000000003,231.91507,244.63918,226.77732000000003,241.44932,242.13698999999997,256.05753,280.01831,277.90032,280.45113000000003,284.0856099999999,290.84836,302.85885,289.20441999999997,302.63403999999997,308.06878,299.2132399999999,314.87144,313.11973,312.75050000000005,301.81702,299.65247000000005,305.99249000000003,304.63185999999996,283.7258100000001,246.64685,243.98273999999998,339.06719,355.4635583333333,382.8635583333334,383.66355830000003,329.66400000000004,-0.14074716540520593,0.024284692357802173,0.004365727282333511,,
Curacao,,,,,,,166.68219178082194,194.7972602739726,200.27322404371586,200.82191780821918,210.86301369863014,206.30435616438356,240.32786885245906,250.92698630136985,251.26838356164384,252.03150684931506,252.24412568306013,236.52805479452056,249.82246575342464,219.15695890410956,222.163087431694,243.1551780821918,196.8456438356164,186.22216438356165,203.8781420765027,215,205,209,197,183,64,163.99999999999997,164.99999999999997,170,188.99999999999997,178,156,84,28.520000000000003,4.250313620071684,0,-1,-0.3135688416464697,0,,
Ecuador,93.343,89.408,93.404,75.49799999999999,88.974,86.23600000000002,95.92300000000002,85.888,116.891,106.373,120.703,124.92300000000002,124.82499999999999,124.25500000000001,132.565,130.92,155.247,131.361,143.328,132.461,160.782,157.538,152.858,142.341,156.831,150.706,151.621,150.3404684931507,155.47685245901638,155.69719452054798,136.5576109589041,156.05479452054792,152.05737704918033,140.68493150684932,125.24383561643836,120.66575342465754,150.172131147541,156.04109589041096,159.25479452054793,142.27805479452056,116.47502459016394,-0.18135636055484183,-0.00897248334823808,0.0015424741329467134,,
Netherlands Antilles,564.2898360655737,522.1369863013699,471.93150684931504,479.96438356164373,400.5464480874317,172.7068493150685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,145.33827868852458,153.3074520547945,155.89805479452056,152.1828493150685,173.35650273224044,174.25317808219177,171.9638082191781,171.9638082191781,163.8034699453552,149.69265753424656,146.5799178082192,149.79306849315068,152.26773224043714,153.80950684931508,151.70087671232878,146.84098630136987,147.18079234972677,163.30838356164384,169.27279452054793,142.86471232876713,141.9336338797814,160.6282191780822,148.706301369863,142.75753424657537,149.49426229508197,177.4923287671233,169.63972602739727,176.4849315068493,173.9169398907104,198.60383561643837,200.7695890410959,192.87671232876713,190.42377049180328,186.04136986301373,187.67773430332497,187.965839279982,194.0095040830078,213.19341753316598,208.89331672288193,192.3,105.35163383162099,-0.4521495900591733,-0.0032203447410888986,0.0013951675101227853,,
Trinidad & Tobago,231.2354644808743,173.73104109589042,162.96698630136987,81.0115616438356,79.40833333333333,83.86323287671233,84.78701369863015,88.80345205479452,88.28043715846997,80.04761643835617,95.26991780821916,110.8737808219178,118.90221311475412,109.84958904109588,108.68482191780824,105.02986301369863,113.615,102.53967123287673,143.9491506849315,154.43205479452055,161.09008743169397,153.3632,150.49006575342466,148.18130684931506,130.7042349726776,164.62414794520546,152.33350958904109,153.7858109589041,149.93813387978142,151.82471232876713,126.48367671232877,137.25366301369863,106.72250000000001,131.99324109589043,104.6894493150685,125.38508493150687,148.24185519125686,130.7397589041096,98.72163835616439,0,0,,-1,0,,
Venezuela,925.294,860.681,872.664,898.0319999999999,900.3559999999999,942.357,931.086,924.514,1050.713,1017.808,1069.8170000000002,1126.61,1101.3,949.9,937.7000000000002,1005,1018.8999999999997,1054.04,1056.1,1048.64,1079.41,1060.03,931.0700000000002,856.1200000000001,1012.3500000000003,1013.31,1022.0700000000002,1004.0000000000001,1010,961,969,991,935.9999999999999,952,920,863,654,544,306.24594701463025,135.49398925823735,123.36806804057409,-0.08949416342412453,-0.17790943445686314,0.0016337584340829184,,
Other S. & Cent. America,1301.5473718558985,1111.4778194745797,1024.9406973175521,939.0123847949391,943.7723843447169,761.3349497569719,698.2287692089226,811.814607784006,714.7767295351148,817.959847944148,857.5340486704627,855.4712281851498,827.8935965199297,827.9570295621193,888.5814560770173,854.0938029662874,935.9496757533631,900.9937726883287,884.6681239923826,925.3120238496165,1019.1393418014394,904.7233609430685,817.5610768350857,928.0177225651867,1020.0527917832428,998.2355888989958,949.9190643881103,962.6155422281699,957.366050192884,796.2440749686515,700.4547943880873,704.4119298465699,325.92000148633053,286.0560859589897,277.2654266789126,275.31993783854097,230.99502271990445,200.70545142818204,249.01341800917228,241.44679022901187,249.72507901831426,0.034286182812579336,-0.11248127984154255,0.0033070993209848407,,
Total S. & Cent. America,5077.269175689378,4702.384170912509,4516.355728771246,4344.14306428647,4357.180821649194,3986.1746783784656,3983.7076501438696,4160.200293906529,4236.847207365677,4335.361594379215,4452.687863971004,4507.1251077954,4553.6567678883275,4444.480362409508,4600.174206317644,4591.896468377048,4863.724798833046,4967.5155604677575,5183.688259229912,5235.741471516019,5380.158930569916,5348.722230301352,4995.217091828576,5040.996534556911,5426.444441542281,5468.921689787741,5458.045505494042,5512.052356742119,5498.4243926622585,5252.999493881136,4974.070665655893,5153.334854118521,4763.540009332835,4887.414591249675,4836.30949218517,4666.975935375999,4358.906638287311,4097.151859356812,3808.3745554890247,3512.4985277999926,3287.5276053244966,-0.06404868804782204,-0.0394480031122898,0.0435365977419121,,
Austria,194.9964051092896,177.75812301369865,151.53178465753425,134.22003164383563,141.81685456284157,148.23242112328768,146.504067369863,146.71113484931507,136.39886303278686,142.30721060273973,160.51971016438353,166.95595221917807,175.6881436885246,171.95033306849317,179.62835745205473,173.9538329315069,176.37474038251366,189.16763953424655,189.08351523287675,174.83969857534245,167.16095040983612,177.79529515068492,180.72948410958904,178.95891758904105,170.8759386065574,177.14240301369864,171.90014767123287,174.30924756164384,176.04032415300549,169.0085731232877,157.70302210958906,167.9675524657534,169.6693525136612,174.01247293150684,172.89827276712333,178.83750065753426,164.490602109589,161.94919768032963,180.13718182791095,183.23857323287677,161.07150972124597,-0.12097378363374844,0.008116717431069675,0.0021330636174914184,,
Belgium,671,588,500,464,463.99999999999994,409,533,553,590.9999999999999,607,506.8745205479452,575.4953698630137,578.369043715847,557.762794520548,566.337890410959,529.6477260273972,633.5443169398907,657.2098082191781,695.9684383561644,645.6023013698631,679.7473497267761,643.7346575342466,673.4964657534247,727.7384657534247,688.9799453551913,644.0358904109589,631.4845205479452,661.9692876712329,675.4214480874317,629.0545753424658,668.395589041096,597.9874246575342,633.9048087431694,554.9512876712329,645.1002465753423,643.6543287671234,640.4337158469945,684.5918767123288,663.2365053510275,693.3236136986302,544.4898020410182,-0.214667160784612,0.009775354375861411,0.0072106568619043805,,
Bulgaria,238.32513661000002,244.19945204999996,249.42082191999995,254.64219177999993,259.15355191,256.04794520547944,256.04794520547944,246.81013622022598,263.2391267526353,263.96032983962886,166.561698630137,90.45019178082194,50.44882513661203,114.36808219178084,139.75197260273976,160.49687671232877,139.27,119.77019178082193,111.55657534246576,113.48446575342466,106.42519125683059,107.45980821917809,104.84912328767123,101.154,105.80434426229507,124.18827397260274,142.78438356164384,142.50323287671233,143.11524590163935,125.45345205479451,109.95000000000002,102.07778082191781,118.04103825136613,112.90208219178082,103.50361643835616,121.23619178082191,125.3309836065574,136.2456395681721,118.07855149026112,137.45647767123288,98.36517722211568,-0.28439038386110405,0.009179127267004095,0.0013026461422240866,,
Czech Republic,193.99999999999997,200,186,185,183,185,188,190,188,186,160,136.99999999999997,143,132,140,146,157,151,144,127,123,127,127,132,134.26316939890708,155.11484931506848,157.94643835616438,148.5078082191781,165.20538251366122,148.12624657534246,158.66939726027397,142.54339726027396,145.13800546448087,133.82772602739726,150.5361095890411,145.0536712328767,108.58814207650273,158.18742465753425,151.0783287671233,157.5849589041096,121.5257923497268,-0.2288236568080384,0.006209178209890087,0.0016093612501468144,,
Denmark,129,109.00000000000001,120,140,149,141,159.00000000000003,157,163,168,146.19835616438357,156.96241095890412,167.08795081967213,167.80679452054792,171.9838904109589,195.31939726027403,211.0879781420765,173.10849315068498,155.91813698630136,158.4083287671233,161.28002732240438,159.8140821917808,155.05460273972602,164.49323287671234,161.3200819672131,155.1349315068493,159.27186301369863,156.60093150684932,155.85262295081966,156.7415068493151,145.51556164383564,136.77980821917808,152.76841530054645,144.04956164383563,138.76794520547946,147.32295890410958,140.07109289617486,150.808690041738,152.11116922624143,153.51674865753424,142.30198145907883,-0.07305240175111671,-0.0020766729662858863,0.0018844994988412988,,
