Thousand barrels daily*,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,1089.1436284050658,1140.4684840748819,1238.5266335715035,1280.0393844809134,1344.3212502830606,1396.463781349577,1651.5847949308768,1683.9773202617046,1846.0657431307188,2034.3197786941494,2089.355622702837,2150.014557516526,2152.9707685661356,2216.5293061327397,2231.54308437831,2154.901740464498,2160.373875811647,2092.6829325863337,1873.3572319482837,1891.9058838318977,1879.955243418583,1781.268112847576,1882.5969639309994,1847.8457595712284,1885.2261048219289,1919.505573375911,1903.0577182807438,1911.2093130047729,1824.0954342024509,1831.6872357702775,1791.8727337617072,1806.9368304932277,1810.8365131544147,1844.455551580293,1861.1864481589341,1860.5889161382688,1917.291559994076,1922.637899126349,1958.6156165811706,1915.247371502325,1895.9376525187056,1914.2158425403331,1906.6743594584573,1951.4200730902064,1976.0887108275858,1913.1843135783417,2004.5356048797892,2014.8528144419336,1929.441554408964,1929.441554408964,1930.7894938503782,1933.7079660355246,1969.5598872754697,1939.1989708149056,2054.145120263034,2065.1334196325397,0.005349329636505251,0.0038815406481913506,0.020256987914208182,,
Mexico,417,417,457,525,525,562,562,594,722.0000000000001,722.0000000000001,745.9999999999999,822.0000000000001,822.0000000000001,991,1091,1226,1220.9999999999998,1215,1218.0000000000002,1269,1263,1280,1462,1462,1627,1627,1447.8,1447.7999999999997,1444.0000000000002,1444.0000000000002,1444.0000000000002,1444,1448.75,1448.75,1448.75,1481.0499999999997,1481.05,1463,1463,1463,1463,1463,1463,1463,1463,1463,1605.5,1605.5,1605.5,1521.9,1521.9,1521.9,1545.65,1558.0000000000002,1558.0000000000002,1558.0000000000002,0,0.006311214857277481,0.015282493068148625,,
US,10390,10660,11350,11700,12020,12860,13290,13640.000000000002,14360,14960.000000000002,15239.999999999998,16400,17050,17440,17990,18620,17889.999999999996,16860,16139.999999999998,15658.999999999998,15459,15565.999999999998,15914.999999999998,15655.000000000002,15572,15676.000000000002,15695.999999999998,15120.999999999998,15058,15434,15333,15452,15711,16260.999999999998,16512,16568,16755,16756.999999999996,16947,17125,17339,17440,17593.999999999996,17672,17597,17735.999999999996,17367.000000000004,17823.000000000004,17925,17967,18317,18617,18597.999999999996,18808,18973.999999999996,18143,-0.043796774533572114,0.007562571684070152,0.17796551459269605,,
Total North America,11896.143628405065,12217.468484074881,13045.526633571504,13505.039384480913,13889.321250283061,14818.463781349577,15503.584794930877,15917.977320261707,16928.06574313072,17716.319778694153,18075.355622702835,19372.014557516526,20024.970768566134,20647.52930613274,21312.54308437831,22000.9017404645,21271.373875811645,20167.682932586333,19231.35723194828,18819.905883831896,18601.955243418583,18627.268112847574,19259.596963931,18964.84575957123,19084.22610482193,19222.505573375915,19046.857718280742,18480.00931300477,18326.095434202452,18709.687235770278,18568.872733761706,18702.93683049323,18970.586513154416,19554.205551580293,19821.936448158933,19909.63891613827,20153.341559994074,20142.637899126345,20368.61561658117,20503.247371502326,20697.937652518707,20817.215842540332,20963.674359458455,21086.420073090205,21036.088710827586,21112.18431357834,20977.03560487979,21443.352814441936,21459.941554408964,21418.341554408966,21769.68949385038,22072.607966035524,22113.20988727547,22305.198970814905,22586.14512026303,21766.13341963254,-0.03630596085627824,0.007135053831134774,0.21350499557505287,,
Argentina,402.325,414.2,412.3,423.6999999999999,434.15,437.69,603.9203500000001,602,624,720.9999999999999,683.9999999999999,703.0000000000001,655,683.9999999999999,683.9999999999999,684,683.9999999999999,683.9999999999999,677,677,677,677,679.0000000000001,682,681.0000000000001,681.0000000000001,684.9999999999999,679,679.0000000000001,654.0000000000001,638.9999999999999,639.9999999999999,644,642,618,625,613,613,615,620,615,616.9999999999999,628,628,624.9999999999999,624.9999999999999,624.9999999999999,657.0000000000001,656.9999999999999,656.9999999999999,656.9999999999999,657.0000000000001,656.9999999999999,580,580,579.9999999999999,0,-0.007444505985940375,0.00568924645669204,,
Brazil,346.655,351.87999999999994,360.90499999999986,439.27999999999986,476.51999999999987,525,597,756,820,980.9999999999999,995.9999999999999,990,1110,1202,1202,1393,1394,1423,1435,1435,1435,1435,1435,1404.0000000000002,1440,1440,1445.0000000000002,1444,1428.9999999999998,1473,1480.9999999999998,1481,1749.8127693175823,1768.0376645148158,1795.5838906675065,1849.361772527424,1849.3617725274241,1853.544496672084,1915.3890608109891,1925.718,1941.8509999999999,1942.007,1964.1049999999998,1976.5040000000001,1991.7409999999995,1991.7409999999995,2013.7949999999998,2004.2349999999997,2096.852,2238.3779999999997,2281.4,2288.869,2285.0756636192173,2285.0756636192173,2290.1641205109922,2290.164120510992,0,0.014059351260820696,0.02246432432389725,,
Chile,79.42,86.45,86.45,85.5,86.45,105.45,129.19999999999996,124,124.00000000000001,124.00000000000001,149,140,129.99999999999997,138.00000000000003,138.00000000000003,137.99999999999997,147.99999999999997,147.99999999999997,147.99999999999997,148,147.99999999999997,147.99999999999997,147.99999999999997,148,147.99999999999997,147.99999999999997,147.99999999999997,148,150,162,163,181.00000000000003,201,201,201,200.99999999999997,201,218.00000000000003,238,238,238,234,242,242,242,242,250,254,254,258,258,258,258,258,258,258,0,0.00642272367403085,0.0025307337686664598,,
Colombia,95,122.55,122.55,132.05,130.53,131.1,164.6825,172,166,172,172,164.99999999999997,164.99999999999997,166,175.99999999999997,191,191,201,212.00000000000003,212,212.00000000000003,217,227,227.00000000000003,227,244.99999999999997,253,253,253,253,275,289,306,306,313,323,323,324,318.00000000000006,325,325,337.99999999999994,337.99999999999994,340.00000000000006,349.99999999999994,349.99999999999994,336,335.99999999999994,336,336,421,421,421,421,421,421,0,0.018641592784285343,0.004129608203909224,,
Curacao,,,,,,,,,,,,,,,,,,,,,,320,320,319.99999999999994,320,320,320,319.99999999999994,320,320,320,319.99999999999994,320,320,320,319.99999999999994,320,320,320,319.99999999999994,320,320,320,319.99999999999994,320,320,320,319.99999999999994,320,320,320,319.99999999999994,320,320,320,319.99999999999994,0,0,0.0031388945967956087,,
Ecuador,18.05,11.4,19,35.14999999999999,31.35,33.535,34.2,34.49999999999999,34.50000000000001,34.50000000000001,39.375,44.400000000000006,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,146.50000000000003,146.5,146.50000000000003,146.50000000000003,146.50000000000003,147.00000000000003,147,147,157,157,157,177.00000000000003,177.00000000000003,177,177.00000000000003,177.00000000000003,177.00000000000003,177,177.00000000000003,177.00000000000003,174.99999999999997,175,174.99999999999997,174.99999999999997,174.99999999999997,175,174.99999999999997,174.99999999999997,174.99999999999997,175,174.99999999999997,174.99999999999997,174.99999999999997,175,0,0,0.0017165829826225989,,
Netherlands Antilles,703.0000000000001,755.25,755.25,755.2500000000001,798,797,797,945,979.9999999999999,849,810.0000000000001,802,842,842,792.0000000000001,782,782.0000000000001,782.0000000000001,761,620,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,60.04,60.419999999999995,85.49999999999999,98.42,87.4,87.4,100.32,101,106.99999999999999,129.99999999999997,129.99999999999997,115.99999999999999,170.99999999999997,170,170,171,175.99999999999997,186,186,187,187.00000000000003,187.00000000000003,187.00000000000003,187,187.00000000000003,187.00000000000003,187.00000000000003,187,188.99999999999997,188.99999999999997,188.99999999999997,189,188.99999999999997,188.99999999999997,192.00000000000003,198,198.00000000000003,198.00000000000003,198.00000000000003,223,223.00000000000003,223.00000000000003,223.00000000000003,230,251.99999999999997,251.99999999999997,251.99999999999997,252,253,253,253,253,253,253,253,253,0,0.0003961185558527536,0.0024816885405915287,,
Trinidad & Tobago,341.00000000000006,390,405.00000000000006,430,433,436.00000000000006,436.00000000000006,450.00000000000006,450,456,456,456.00000000000006,456,436.00000000000006,436.00000000000006,436,436.00000000000006,410,355.00000000000006,310,300,300,300,300,300,273.00000000000006,240,239.99999999999997,240,240,240,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,0,0,0.0016184925264727357,,
Venezuela,1120,1135,1217.0000000000002,1222,1258,1289,1295,1473.9999999999998,1474.0000000000002,1474.0000000000002,1445.0000000000002,1445,1445.0000000000002,1371,1371,1283.0000000000002,1263,1253,1243,1243.0000000000002,1243,1243,1243,1243.0000000000002,1243,1243,1195.9999999999998,1201.9999999999998,1202,1205,1217.0000000000002,1217,1217.0000000000002,1219.9999999999998,1231,1274,1274,1274,1269,1284,1291.0000000000002,1294,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,0,0,0.012781186436327118,,
Other S. & Cent. America,396.3399999999999,471.865,505.4000000000001,550.5250000000001,687.325,965.3500000000001,1164.1000000000001,1346.51,1856.85,1854.85,2004.85,1998.85,2033.85,2018,2020,2023,1988,1675,1667,1597,1372,1547,1548,1535,1307,1377,1445,1474.0000000000002,1453,1387,1203,1282,1207,1188,1215,1187,1211,1240,1301,1249,1225,1231,1268,1201,933,934,1046,419.99999999999994,380,395,403,403,403,403,403,403,0,-0.08051988760656947,0.003953045382839471,,
Total S. & Cent. America,3561.83,3799.0149999999994,3969.3549999999996,4171.875,4422.725,4807.525,5321.42285,6005.01,6636.35,6796.35,6886.224999999999,6860.25,7109.95,7129.1,7091.1,7203.1,7164.1,6864.1,6786.1,6531.1,5996.1,6176.1,6233.5,6192.5,5999.5,6060.5,6065.5,6094,6062,6030,5884,5921,6155.812769317582,6176.037664514815,6227.583890667506,6319.361772527423,6331.361772527424,6382.544496672084,6516.389060810989,6526.718,6520.851,6541.007,6626.105,6580.504,6356.740999999999,6357.740999999999,6485.795,5886.235,5939.852,6100.378,6236.4,6243.869000000001,6240.075663619217,6163.075663619217,6168.164120510992,6168.164120510992,0,-0.0030069281430761263,0.06050380321881404,,
Austria,80,80,80,79.99999999999999,80,151,151,151.00000000000003,220.99999999999997,220.99999999999997,220.99999999999997,291,290.99999999999994,290.99999999999994,290.99999999999994,291,290.99999999999994,201,201,200.99999999999997,201,201,201,200.99999999999997,201,201,201,200.99999999999997,201,201,201,200.99999999999997,201,201,201,200.99999999999997,201,201,201,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,0,-0.004073878602149361,0.0018910764981790533,,
Belgium,334.99999999999994,351.99999999999994,502.00000000000006,611,692,720.9999999999999,837.0000000000001,847,865,936,978,1113,1082,1076,1076,1060,1060,725.9999999999999,725.9999999999999,606.9999999999999,569,609.0000000000001,675.9999999999999,686,693.0000000000001,683.9999999999999,661.9999999999999,661.9999999999999,661.9999999999999,665.0000000000001,669,686,689,707,709.0000000000001,739,758,780,776,751,755.9999999999999,766,781,786,786,787,788,752.9999999999999,776,776,776,775.9999999999999,776,776,776,775.9999999999999,0,-0.0012796078274235345,0.0076118193972293515,,
Bulgaria,54,62.99999999999999,62.99999999999999,74,100,131.00000000000003,161,170.00000000000003,201,231,231,239.99999999999997,241,276.99999999999994,276.99999999999994,277,276.99999999999994,276.99999999999994,276.99999999999994,277,276.99999999999994,276.99999999999994,276.99999999999994,277,276.99999999999994,276.99999999999994,267,257,237.00000000000003,237.00000000000003,209.99999999999997,210,209.99999999999997,120,120,119.99999999999999,120,120,120,180.00000000000003,205,205,174.99999999999997,175,180,195,195,195,195,195,195,195,195,195,195,195,0,0.00803639058398864,0.0019127638949223244,,
Czech Republic,24.000000000000004,24.000000000000004,58,57.99999999999999,58,58,58,57.99999999999999,58,120,120,119.99999999999999,120,120,120,119.99999999999999,120,177.00000000000003,177.00000000000003,177,177.00000000000003,177.00000000000003,177.00000000000003,177,177.00000000000003,177.00000000000003,177.00000000000003,177,177.00000000000003,177.00000000000003,177.00000000000003,177,177.00000000000003,200,200,200,200,200,193.00000000000003,192.99999999999997,193.39150684931508,193.39150684931508,193.39150684931508,193.39150684931508,193.39150684931508,193.39150684931508,193.39150684931508,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,0,-0.010104621791303225,0.0017137880764747668,,
Denmark,53.08125,113,127,162,178.99999999999997,188.99999999999997,216,222,227,220,226,226,220.99999999999997,220,220,220.00000000000003,220,185,185,174,174.99999999999997,174.99999999999997,174.99999999999997,174,193.00000000000003,193.00000000000003,193.00000000000003,180.00000000000003,185,185,220.99999999999997,233.99999999999997,178,178,184,184.00000000000003,184,188.99999999999997,188.99999999999997,188,188.77260273972604,188.77260273972604,188.77260273972604,188.77260273972604,188.77260273972604,188.77260273972604,180.73972602739727,180.73972602739727,180.73972602739727,180,180,180,180.5479452054794,180.5479452054794,180.5479452054794,180.5479452054794,0,-0.0044447690126515615,0.0017710030302125906,,
Finland,60,84,110,130,185,185,193.00000000000003,195.99999999999997,201,201,201,300,301.00000000000006,301.00000000000006,301.00000000000006,300,301.00000000000006,248.99999999999997,241,239.99999999999997,241,241,241,239.99999999999997,201,201,201,200,201,241,241,250,251.00000000000003,261,261,261,261,261,261,260,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,0,0,0.002560832757950802,,
France,1411,1590,1683,1949,2113,2339,2430.9999999999995,2902,3090.0000000000005,3402,3404,3438,3439,3395,3351.0000000000005,3325.9999999999995,3179,2831,2378,2194,2184.0000000000005,1919,1927,1815,1699,1699,1699,1711,1687,1697.0000000000002,1728,1749.0000000000002,1872,1918,1933,1984,1960.9999999999998,1987.0000000000002,1966.9999999999998,1982.2930684931507,1978.2163835616439,1959.2788767123288,1961.969890410959,1970.605232876712,1847,1702.2067397260275,1610.1700547945206,1512.7714246575345,1374.9272602739727,1374.9272602739727,1374.9272602739727,1245.0958904109589,1245.0958904109589,1245.0958904109589,1245.0958904109589,1245.0958904109589,0,-0.03866757622233641,0.012213202384073052,,
Germany,1747,1911,2324.0000000000005,2435.9999999999995,2502,2643,2773,2918,3192,3268.0000000000005,3461,3452,3505,3602.9999999999995,3492,3422,3333,2976,2734.9999999999995,2553,2198,2158,2061,2077,2017.9999999999998,2024,2209,2219,2248,2272,2104,2097.9999999999995,2170,2206,2240,2262,2274,2286,2304,2320.095616438356,2322.1038356164386,2390.383287671233,2390.383287671233,2366.2846575342464,2362.2682191780823,2091.158630136986,2077.4826575342463,2096.5205753424657,2061.1357534246577,2076.6191232876713,2049.488082191781,2051.496301369863,2068.8673972602737,2084.531506849315,2084.531506849315,2084.531506849315,0,-0.012429915840116768,0.020447264636561015,,
Greece,36.99999999999999,89,90.99999999999999,90.00000000000001,97,97,104.99999999999999,125,314,411.00000000000006,419.99999999999994,407,407,412.99999999999994,418,443,443,443,403,403.00000000000006,403,403,403,403.00000000000006,403,403,403,367.00000000000006,403,384.99999999999994,403,403.00000000000006,403,403,403,412,412.00000000000006,412.00000000000006,412.00000000000006,412,418,425,425,425,425,489.99999999999994,495,498,497.99999999999994,497.99999999999994,528,528.0000000000001,528,528,528,528.0000000000001,0,0.0219378844177196,0.0051791760847127565,,
Hungary,90,99.00000000000001,104.99999999999999,115,125,134.00000000000003,136.99999999999997,150,164.99999999999997,177.00000000000003,201,203.99999999999997,220.99999999999997,251.00000000000003,290.99999999999994,289.99999999999994,290.99999999999994,290.99999999999994,284.99999999999994,221,220.99999999999997,220.99999999999997,220.99999999999997,221,220.99999999999997,220.99999999999997,220.99999999999997,221,220.99999999999997,220.99999999999997,220.99999999999997,221,220.99999999999997,220.99999999999997,220.99999999999997,221,220.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,164.99999999999997,0,0,0.0016184925264727357,,
Ireland,45.6,45.6,49.4,51.29999999999999,52.25,52.25,52.25,57.99999999999999,58,55.99999999999999,55.99999999999999,56,55.99999999999999,55.99999999999999,55.99999999999999,56,55.99999999999999,55.99999999999999,55.99999999999999,56,55.99999999999999,55.99999999999999,55.99999999999999,56,55.99999999999999,55.99999999999999,55.99999999999999,56,55.99999999999999,55.99999999999999,55.99999999999999,56,58,64.99999999999999,66,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0.0007356784211239709,,
Italy,1560,2198,2564,2625,2737.9999999999995,2939,3539,3628,3792.0000000000005,3889.0000000000005,4343,4343,4270,3803,3200.9999999999995,3101.0000000000005,3035.9999999999995,2795,2777,2738.0000000000005,2585,2586,2591,2475,2474,2527.9999999999995,2535,2455.0000000000005,2359,2359,2359,2344,2345.0000000000005,2385,2485.0000000000005,2484.9999999999995,2485.0000000000005,2485.0000000000005,2485.0000000000005,2497,2515,2526,2377,2396,2396,2396,2276,2097.9999999999995,1861,1900,1900,1900,1900,1900,1900,1900,0,-0.022927750590646,0.01863718666847393,,
