Thousand barrels daily,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light distillates,5189.2242465753425,5418.78587671233,5585.206219178082,5918.296557377049,6199.144123287671,6477.456589041098,6734.438712328767,7131.654579234974,7508.17995052029,7392.339516815533,7545.326724888082,7880.04590842371,8109.313901526954,8613.882447601425,8332.816436750072,7913.796195323039,7796.740018999773,7646.842997233205,7692.1597390104935,7805.107773029463,7866.019190413984,8094.112843912943,8370.632152182505,8560.265933765386,8691.389041519833,8546.204160867079,8431.255987437065,8606.746655510617,8770.933476496546,8952.19747695893,9124.8369201224,9318.837613300577,9466.148334504493,9736.739593673863,9892.922199687877,9983.369289897768,10081.956052352169,10373.848647209976,10474.045753554654,10742.681257924894,10746.13717779576,10765.715510078917,10727.442812858968,10194.337215817155,10091.380516933403,10074.917576364707,9797.511392199109,9687.288698019898,9871.027702067318,9915.758525015102,10138.193305838187,10295.850851953244,10230.907058705985,10240.743137073983,10162.214307207387,8684.255711395468,-0.14543666873505123,0.0006997163583397636,0.41806672751746676,,
of which: gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7586.014941752144,7484.330110247095,7407.990876410234,7458.54752512186,7567.353654993794,7639.199026837138,7813.181748192246,8079.257709711627,8274.8812494226,8382.83103050033,8262.448629859304,8177.967152811122,8312.676876798492,8491.61841888052,8639.013925552299,8813.25353822643,8946.996557141589,9082.272622898548,9329.88516886447,9526.930280174722,9567.534483209949,9729.074129880193,9967.935229044302,10049.073949580554,10234.350263323178,10289.489935209316,10334.07442028502,10323.44659314588,9861.818878779854,9788.374060606568,9695.791914173704,9431.928256957885,9355.639590150144,9492.055364291471,9566.084509097138,9800.709272791439,9966.889678858579,9945.432792015084,9949.458114389417,9899.200696673743,8456.356408890966,-0.14575361506384965,0.0011264995321005333,0.4070954803815092,,
of which: naphtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.78125357089397,312.40990875267937,238.8521208229723,233.61221388863314,237.75411803566794,226.8201635768463,280.9310957206968,291.3744424708778,285.3846843427851,308.5580110195035,283.7555310077748,253.28883462594297,294.0697787121253,279.3150576160279,313.1835514066328,311.5833818959695,371.8410561589872,383.8757116059457,406.854424809392,365.9919195131555,415.83480668781925,352.8819224719763,405.91341816567626,424.9718039740981,508.33099460171604,456.6472425864439,431.64108979389687,403.99621971308835,332.5183370373015,303.0064563268331,379.12566219100347,365.5831352412235,331.6491078697538,378.9723377758486,349.67401591796346,337.48403304674736,328.96117309466445,285.4742666909001,291.2850226845669,263.01361053364354,227.89930250450197,-0.13350757003752056,-0.014055124494350757,0.01097124713595753,,
Middle distillates,3456.1952602739725,3619.5220684931505,3858.335109589041,4174.581240437159,4307.280109589041,4384.89694520548,4546.689424657535,4870.259344262296,5078.281587447669,4879.29958782292,4789.209025187119,5100.0113321296185,5360.853933621139,5495.553368693434,5447.479824317708,4971.60083294508,4813.3737095254155,4604.61919702231,4583.116077144188,4868.133189962536,4929.5738295776055,5306.392319145538,5427.7754423500855,5669.486917225025,5743.650656535158,5692.147049545132,5556.454815454701,5603.353615543896,5721.882059302371,5951.760848636091,5965.113273599645,6209.509229372938,6398.2921134702065,6459.577297190583,6620.667307265137,6814.208915169207,6811.526582351309,6659.104095592465,6864.130307565009,7130.390791980039,7244.155823613792,7279.088493269779,7297.726674480545,6914.833238586727,6266.01456788997,6557.821690072352,6613.313569535725,6372.684471098692,6445.186654893719,6707.779275339275,6752.479397085396,6636.546196217804,6799.461404087141,7107.718395798136,7034.718628041995,5752.4737592623005,-0.18227379609304817,0.011638928955900907,0.27692849676330467,,
of which: diesel/gasoil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3574.4328698370587,3513.4459266299064,3306.7185566095513,3271.29707603952,3437.1182510446847,3457.7047881938756,3763.723664877623,3804.203696029123,3978.0513012083416,4020.1362499252327,3984.1149354261192,3905.4852146907897,3968.1148813616296,4067.0437481297913,4233.224712020787,4254.945470939574,4417.8567079445975,4577.585534073027,4596.610567794521,4699.3578140791205,4848.059093106258,4924.345302090359,4837.226358224925,5066.201165418799,5258.91269378263,5311.645043277504,5409.69498226574,5451.423085874081,5181.573729572295,4693.909355363046,4939.527619684098,5009.679465920307,4790.22486669751,4814.41995575432,5031.563922572528,4985.6798520569755,4794.396217862661,4879.504865764405,5143.927920383979,5034.857758321481,4553.545005452672,-0.09559609744154307,0.007036590143498778,0.21921114742569017,,
of which: jet/kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397.167963108021,1299.9277828955092,1297.9006404127595,1311.8190011046677,1431.0149389178512,1471.8690413837296,1542.6686542679145,1623.571746320962,1691.4356160166835,1723.5144066099256,1708.032114119013,1650.9696007639118,1635.2387341822653,1654.838311172579,1718.536136615305,1710.1678026600716,1791.6525214283402,1820.7065793971801,1862.9667293960624,1921.3094931860167,1966.1498220629485,1887.1812802609509,1821.877737367541,1797.92914214621,1871.4780981974081,1932.5107803362882,1869.3935110040395,1846.3035886064633,1733.259509014433,1572.1052125269234,1618.2940703882539,1603.634103615418,1582.4596044011814,1630.7666991393987,1676.2153527667472,1766.7995450284207,1842.1499783551446,1919.9565383227366,1963.7904754141573,1999.8608697205136,1198.9287538096287,-0.40049391837084025,0.024358127349496606,0.057717349337614486,,
Fuel oil,1873.4784246575343,1995.7511095890413,2095.737260273973,2158.619699453552,2331.9037808219177,2580.890424657534,2683.662246575343,2932.55199453552,3282.8301544570945,3120.866299688446,2930.827321171474,3306.378633550702,3579.6581650796384,3545.5687194060997,3347.840405495775,3033.951366054525,2581.0201951698587,2182.12566292303,1864.216277821076,1819.4904183879205,1653.089584928699,1890.995675165009,1775.4415201588488,1916.0563656698132,1956.5316036241536,1814.4789910127195,1697.1617465340864,1614.105250293203,1567.8446497738992,1562.3811754645421,1322.1452426955602,1335.4986217657686,1349.5418183269087,1499.3414528039432,1411.4338852464816,1509.8782537004981,1417.7281870779655,1220.750268739952,1275.1486483167437,1356.3706062221827,1394.4592094592297,1064.9644916181464,1102.824764304563,951.4079536239532,824.1222445866324,803.3385427654149,726.8462140624798,657.3140424320541,579.9904586589839,450.6386702035562,423.1763112936185,472.3742825539595,517.0196314925164,471.9563887326265,395.52838662160457,304.2598796488098,-0.23075083877635783,-0.07077988580657679,0.014647303859641454,,
Others,2417.5254575906447,2550.8312234078862,2623.9294365603514,2849.6706148162625,3088.67922070675,3166.2577817569245,3227.1157145252973,3544.7804830826044,3757.450757218889,3676.9235332855087,3521.8517826474267,3742.825639965299,3997.501126830466,3985.4524464488004,4332.090030544676,4151.688338251913,3937.8552748076545,3848.5201402758603,3968.0870192054317,4192.57747377523,4333.593152125417,4139.022262266015,4350.72273177856,4478.923672303314,4448.227349635933,4252.459961879382,4336.280983708735,4573.858237194274,4567.897686007307,4785.135095596417,4843.594323370675,5061.89291554894,5110.904358203867,5045.580529228781,5466.787421181778,5300.659967735004,5286.805066762983,5450.905661965133,5437.393782711988,5644.833961746603,5506.491657946077,5584.638133209386,5602.726455603,5206.802432978926,5154.856180218361,5311.070275225794,5324.03679198831,5375.306693593225,5568.691650894783,5435.357204560401,5591.849105064505,5619.749221712962,5636.375666998318,5963.094621043094,6117.8770144327555,6031.426007795897,-0.01413088338208024,0.01727511074823629,0.29035747185958727,,
of which: ethane and LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862.0498363344304,1950.869351494609,2055.876070968719,2039.778086805908,2239.513044407605,2338.2657159957726,2193.5137672039336,2307.517178673532,2373.6023423415018,2399.8629502088693,2114.9549162076546,2298.241316640171,2401.7195997109097,2406.1227707609505,2540.5771545898215,2637.4105044535336,2734.9381842883386,2760.9299084056183,2701.5439795675275,2994.483898757895,3007.7511141914774,2859.4873238723926,3006.603051463401,2901.2137006554185,2994.574440051003,2861.786735069036,2905.893586208203,2965.4449625636216,2802.66970889582,2886.871683345376,3022.4705835922077,3098.3716497697683,3116.0347288766097,3292.932613344111,3229.664452651473,3314.4705697205945,3379.963776066659,3409.8450567097016,3744.2633094175108,3808.7273472925826,3873.747671045464,0.017071404126394185,0.02809971879027362,0.18648518259743313,,
