US dollars per barrel,b,c,d,e,f
1Q00,2.7,2.07,2.42,,
2Q00,5.22,4.26,0.63,,
3Q00,3.87,3.44,3.19,,
4Q00,3.78,3.63,2.19,,
1Q01,6.69,2.35,0.7,,
2Q01,7.71,3.35,0.96,,
3Q01,3.24,1.74,0.75,,
4Q01,1.79,1.53,1.2,,
1Q02,2.04,0.09,0.2,,
2Q02,2.62,0.59,0.18,,
3Q02,1.82,1.28,0.47,,
4Q02,2.98,2.19,1.41,,
1Q03,6.14,3.7,2.98,,
2Q03,3.59,2.14,0.66,,
3Q03,5.61,2.47,1.27,,
4Q03,3.52,2.21,2.2,,
1Q04,6.92,2.73,3.42,,
2Q04,9.18,5.29,2.8,,
3Q04,6.99,4.37,5.48,,
4Q04,5.52,4.72,8.02,,
1Q05,7.3,2.84,4.98,,
2Q05,9.37,5.68,6.3,,
3Q05,17.12,7.78,6.52,,
4Q05,11.64,5.51,4.42,,
1Q06,10.86,2.88,3.54,,
2Q06,17.74,5.78,6.83,,
3Q06,11.47,4.54,3.58,,
4Q06,7.92,2.49,2.95,,
1Q07,10.14,4.16,4.84,,
2Q07,24.46,7.12,6.01,,
3Q07,12.58,3.82,4.52,,
4Q07,6.82,4.84,5.8,,
1Q08,6.21,4.79,4.76,,
2Q08,8.59,7.46,9.41,,
3Q08,9.87,7.13,5.9,,
4Q08,2.49,7.48,5.16,,
1Q09,6.69,4.67,2.51,,
2Q09,6,3.1,-0.11,,
3Q09,4.16,2.6,-0.02,,
4Q09,1.75,2.69,-1.47,,
1Q10,3.5,4.29,0.97,,
2Q10,6.59,3.84,0.85,,
3Q10,4.72,2.59,2.34,,
4Q10,5.03,4.5,2.32,,
1Q11,2.59,3.19,4.23,,
2Q11,8.59,1.92,4.18,,
3Q11,4.73,2.98,4.41,,
4Q11,-1.14,4.67,3.32,,
1Q12,4.44,4.84,2.35,,
2Q12,11.07,7.08,2.23,,
3Q12,13.72,9.26,5.22,,
4Q12,3.5,6.76,2.93,,
1Q13,5.88,5.82,4.76,,
2Q13,10.61,4.54,2.74,,
3Q13,8.34,3.12,1.8,,
4Q13,7.59,2.89,1.3,,
1Q14,7.13,2.6,2.63,,
2Q14,13.67,2.86,1.33,,
3Q14,10.72,4.72,1.11,,
4Q14,3.41,5.52,3.96,,
1Q15,10.629245632781252,7.376976615204805,6.438431455777516,,
2Q15,14.702319661230774,7.941707802546386,4.067028423272629,,
3Q15,16.562098584090915,8.827004880168804,2.363702876027312,,
4Q15,8.592639350303033,4.737419160925184,5.026595621200999,,
1Q16,7.068993500000004,4.096282032116932,4.5492010416053725,,
2Q16,8.991851785076928,4.55706747640146,2.5122097647837434,,
3Q16,9.540202560303035,3.3485566870047703,3.2958227825305,,
4Q16,8.327315535846155,5.595218329374694,4.093016087778105,,
1Q17,9.052573952769233,5.28856136462475,3.5737573043478874,,
2Q17,9.46717555907693,5.588338099174604,3.681814939040369,,
3Q17,12.997018211230777,6.944528312132968,5.5185272509753345,,
4Q17,7.827022220000004,5.658859839897552,4.4328957897215195,,
1Q18,8.014936752307698,4.411856914828078,5.08049300056676,,
2Q18,9.055726814030765,4.341323472735876,4.173801315207115,,
3Q18,8.841238862769226,5.214435360215417,4.0093540053782695,,
4Q18,3.405475071242427,4.278570335467321,3.9818728815953595,,
1Q19,2.69,3.69,2.98,,
2Q19,7.47,4.24,2.27,,
3Q19,8.72,6.43,5.49,,
4Q19,7.63,4.32,0.48,,
1Q20,5.404162967846158,3.1995113745694796,-0.18954668096172358,,
2Q20,-0.12913452193845834,0.21778769683638588,-2.405784402837394,,
3Q20,0.976243874090913,-0.7377086529096101,-2.512868245157252,,
4Q20,1.5585626000303079,0.8185392217195999,-1.3542146024601986,,
"Notes: The refining margins presented are benchmark margins for three major global refining centres.  US Gulf Coast (USGC), North West Europe (NWE - Rotterdam) and Singapore ",,,,,
"In each case they are based on a single crude oil appropriate for that region and have optimized product yields based on a generic refinery configuration (cracking, hydrocracking or coking), again appropriate for that region. ",,,,,
"The margins are on a semi-variable basis, i.e. the margin after all variable costs and fixed energy costs.",,,,,
