a,b,c,Forcados,Intermdiate,f,g
US dollars per barrel,$/bbl *,$/bbl †,$/bbl,$/bbl  ‡,,
1972,1.9,-,-,-,,
1973,2.83333333333333,-,-,-,,
1974,10.4125,-,-,-,,
1975,10.7025,-,-,-,,
1976,11.625,12.8,12.87,12.23,,
1977,12.375,13.92,14.21,14.22,,
1978,13.0258333333333,14.02,13.65,14.55,,
1979,29.7541666666667,31.61,29.25,25.08,,
1980,35.6916666666667,36.83,36.98,37.96,,
1981,34.3208333333333,35.93,36.18,36.08,,
1982,31.8,32.97,33.29,33.65,,
1983,28.7791666666667,29.55,29.54,30.3,,
1984,28.06,28.78,28.1400763358779,29.3906730769231,,
1985,27.53,27.56,27.7536398467433,27.9847,,
1986,13.1,14.43,14.4571153846154,15.0514,,
1987,16.9502739726027,18.4350393700787,18.3938697318008,19.1864541832669,,
1988,13.1792225201072,14.9238416988417,14.9971042471043,15.9816733067729,,
1989,15.5869863013699,18.22611328125,18.300546875,19.6742168674699,,
1990,20.2084677419355,23.7258203125,23.85322265625,24.4637751004016,,
1991,16.6957534246575,20.0009143968872,20.1127431906615,21.53146,,
1992,17.1756130790191,19.3208365758755,19.6141634241245,20.5691666666667,,
1993,14.9871232876712,16.9716342412451,17.4127821011673,18.4499203187251,,
1994,14.6879120879121,15.817626459144,16.2509143968872,17.2056150793651,,
1995,16.0847945205479,17.0166796875,17.25966796875,18.42254,,
1996,19.2569491525424,20.668488372093,21.161472868217,22.1608893280632,,
1997,18.3075498575499,19.0925875486381,19.3297276264591,20.6131422924901,,
1998,12.3002782415136,12.7156614785992,12.6262840466926,14.3858446215139,,
1999,16.897044198895,17.9700778210117,17.9838565891473,19.31406,,
2000,26.2672537149147,28.49544921875,28.41765625,30.3665863453816,,
2001,22.7833058305831,24.4438910505837,24.2266926070039,25.9317943548387,,
2002,23.6031620111732,25.0232558139535,25.038992248062,26.1623,,
2003,26.7515019326339,28.830703125,28.683844621514,31.06224,,
2004,33.5128375411636,38.265,38.1301544401544,41.4876907630522,,
2005,46.7836886503068,54.5210894941634,55.6888715953308,56.5908964143426,,
2006,61.4760752688172,65.1440625,67.0655859375,66.0367469879518,,
2007,67.9210410958904,72.3890784313725,74.4831960784314,72.203313253012,,
2008,94.2783651226158,97.255972762646,101.430856031128,100.062410358566,,
2009,61.1442739726027,61.6712648221344,63.3479446640317,61.9226693227092,,
2010,77.7780323450135,79.495533596838,81.0543478260869,79.4494422310757,,
2011,105.926438356164,111.255597609562,113.649541832669,95.0359362549801,,
2012,109.057021857924,111.669702380952,114.212083333333,94.1266135458168,,
2013,105.466175342466,108.658517786561,111.945296442688,97.9922709163346,,
2014,97.0160170940171,98.9460079051383,101.349031620553,93.2826400000001,,
2015,51.2182465753425,52.3867588932806,54.4079841897233,48.7074103585657,,
2016,41.0243360655738,43.7341699604743,44.5397233201581,43.3427091633466,,
2017,53.015301369863,54.1924404761905,54.3112301587301,50.7926506024096,,
2018,70.152386167147,71.3100597609562,72.4665737051793,65.2046706827309,,
2019,63.7072614942529,64.2105731225296,64.9471541501976,57.03028,,
2020,42.4143005464481,41.8383464566929,42.3097440944882,39.2451190476191,,
"* 1972 - 1985 Arabian Light, 1986 - 2020 Dubai dated.",,,,,,
"† 1976 - 1983 Forties, 1984 - 2020 Brent dated.",,,,,,
"‡ 1976 -1983 Posted WTI prices, 1984 - 2020 Spot WTI (Cushing) prices.",,,,,,
