a,Crude,Product,Crude_2,Product_2,Crude_3,Product_3,Crude_4,Product_4,j,k
Million tonnes,Imports,Imports,Exports,Exports,Imports,Imports,Exports,Exports,,
Canada,34.810053249133844,32.835264266705416,197.71516446573813,34.37670905573996,27.8834524775454,28.70407314860647,189.29470391241807,30.503074617579642,,
Mexico,4.000000189989805e-09,60.33408449648923,58.198476314815444,4.961577673143916,4.000000189989805e-09,54.415898611271245,56.80356453991368,5.477424562224114,,
US,338.7055176051124,111.93825366849738,142.5197423007262,250.32166273324512,293.7355872648981,95.00171262120162,155.29408329793608,240.15797533723284,,
S. & Cent. America,21.098432489562523,109.38318144121288,146.83661606606583,24.58774764402694,17.818832343357446,94.45535941870466,145.71379271100042,25.737111069483372,,
Europe ,556.0454393498287,176.95158490103498,28.103661271602792,123.58572405538708,475.94547709712083,147.71418418577565,28.177335054264173,104.44564345720882,,
Russia,0.012969580999539165,0.5983980833701171,288.9549986409902,123.27484336268822,0.014787798149539165,0.7466470915801864,259.9773057465238,106.78373148387332,,
Other CIS,18.530048654034943,1.722086140061553,93.85924683284938,11.969901135913954,15.187536551098043,2.4075202617557254,93.1783942787609,9.928812724918668,,
Iraq,0.0001798650018107891,7.177957007163282,204.41452784336977,13.41045900367813,0.004714550089091063,3.2499884056437542,178.89553013676985,13.677976708673402,,
Kuwait,4.999999873689376e-09,0.7435936212460632,99.86085280436427,24.059209819247908,4.999999873689376e-09,0.7652418949617373,96.54075933404795,22.961766233900494,,
Saudi Arabia,0.06000860445471191,9.967591943161409,366.0497897084778,53.72766058303252,0.09996913745370498,13.59513448427689,349.0863785108622,49.668137731741254,,
United Arab Emirates,8.818079338007104,33.27702075135069,135.38230213766025,77.39078649328273,11.649631500189122,30.187224785279913,142.66711748347498,67.38999240876626,,
Other Middle East,25.996527885333084,18.794241739759904,120.54033947495692,60.73534858429863,22.288864150377307,16.438014563883762,107.65294448082003,58.38485452082762,,
North Africa,5.776895151753724,32.010071350424035,97.76326176803444,28.097850972141988,8.65668039076978,32.12817486106618,50.97754921858493,25.385153900805946,,
West Africa,0.43960387259182987,36.07642535527947,226.82313666395748,8.36301374166361,0.5319084625464141,38.13739933884549,203.67479308597632,7.926340281910611,,
East & S. Africa,19.555352152342156,41.603064714190836,5.4906834028999185,2.5562088254738367,16.30410394256652,38.607581913613494,3.843306809604835,2.6689836734807835,,
Australasia,22.853679107394765,32.168702528952146,11.660531969901385,5.592241701024454,18.683935872665803,32.28102943797424,9.3522937454632,5.857308903483333,,
China,507.2619650455389,78.40743515199695,0.4384490741290953,72.53714242867397,557.1520241876194,81.86094225813191,1.0840201598406514,65.22606450832387,,
India,221.82945867435433,44.94562846583487,0.05265598761326166,66.19023364862468,203.92358410433607,45.39199126863695,0.06978353375922199,55.87934297625123,,
Japan,146.8741257858703,39.708756692140426,0.003101585218560023,18.696198910537138,123.54157313075375,40.09326162503685,0.002946951973149461,14.167139528060755,,
Singapore,49.629607475769745,112.40139954799909,1.941886815757578,76.91541974102708,46.13362295065426,97.11720021456547,1.6614119184926937,71.46019079939137,,
Other Asia Pacific,287.2653778638528,210.43776646223824,38.953896630808714,110.13256821625612,269.0047171456856,201.92853924124591,34.61298815638891,111.54009420392052,,
Total World,2265.563321759937,1191.4825083291091,2265.563321759937,1191.4825083291078,2108.5610030668754,1095.227119632058,2108.5610030668763,1095.2271196320582,,
