Thousand barrels daily,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,1108.1163013698629,1167.4687945205478,1245.5570684931506,1322.1573497267757,1380.1903287671232,1471.5797534246574,1512.1282465753427,1588.9092349726777,1754.8856441852647,1787.261868347505,1775.0070095657493,1814.3684548540143,1835.7518269943766,1904.8865397270467,1985.7642254330733,1943.4865027644212,1875.5920074787928,1731.7502049968148,1648.7565084230341,1666.3767675991294,1698.9857071191693,1756.0664482388026,1811.1994773638971,1906.4218829780648,1977.1051821926521,1754.7788360421089,1677.2980867581223,1720.9437090863664,1751.9790702473654,1793.0578934101623,1898.8680150310117,1936.4832161366842,2002.6137043523117,2033.5749219629024,2092.1387773789575,2062.6669232966105,2138.4936639759417,2231.63800653117,2301.75798600256,2400.705141558933,2342.384522798532,2373.4705224643403,2433.703602864792,2338.6593562695866,2284.5819857952956,2385.614916427022,2399.914317779348,2423.735390957656,2419.498224688721,2418.7692936657795,2442.0036845009627,2452.037349363246,2422.998805933943,2500.8063496890973,2536.7667313915676,2282.4788483786406,-0.10024094051148136,0.010525735935041913,0.025797321617239067,,
Mexico,315.8710877276303,333.0484836818593,357.3059571082979,386.1447623572456,410.02190563825525,440.73598723637923,467.28485151159856,523.3531661427158,564.177805458674,629.4570692649045,690.2488443283515,753.8270592153171,780.156300063818,888.9484424227132,961.9224716751509,1071.6892298101345,1195.702533489663,1254.638025334303,1227.6879883198028,1293.3178525833437,1356.8727348580417,1393.8297207438518,1448.3223554074712,1434.9980005209907,1537.5411403553037,1610.7858039745322,1686.5303258285223,1708.3388500020724,1714.927472565636,1824.3367854375992,1722.4216625654876,1744.8585409007217,1783.8836461805606,1881.0340605233084,1874.442378468069,1951.9305305282726,1925.034865664376,1847.9614916338915,1900.6789992965168,1975.2469899759872,2017.3777514957785,2008.0863632461346,2088.8738989028325,2080.436643207118,2021.321153970058,2039.7388008779558,2065.1436774035346,2082.9994868638087,2034.163493880877,1959.6948855621417,1939.2885936848525,1950.1785773916667,1883.2274211034442,1835.9579463834004,1698.1964569669674,1312.288886773018,-0.2272455395903914,-0.01726763108508511,0.01483191771562748,,
US,11512.436,12084.373,12560.344999999998,13392.866000000002,14136.795000000002,14697.186000000002,15212.493,16366.984000000002,17307.679000000007,16652.71,16321.958999999999,17461.066,18431.418999999998,18846.622,18512.540000000008,17055.861,16057.69465753425,15295.719767123286,15231.134616438352,15725.614234972678,15726.417315068498,16280.62693150685,16665.05001369863,17283.31300546448,17325.152328767123,16939.72552328767,16657.32512054794,16968.781199453548,17161.65132876712,17634.07991780822,17634.40008219178,18244.396622950815,18538.389273972607,18826.629890410964,19425.229657534248,19593.51897267759,19534.48735890411,19625.009175342464,19848.281506849315,20498.324486338795,20531.481594520552,20312.84974246575,20208.143205479453,18848.284841530058,18030.470369863015,18321.794367123286,17996.64997260274,17585.859027322407,18011.234747945207,18131.069495890417,18524.40584109589,18622.304625683057,18877.537534246578,19446.748246575342,19475.375147945208,17177.64762295082,-0.11798116891405896,0.007738562043819508,0.1941473852744121,,
Total North America,12936.423389097494,13584.890278202407,14163.208025601445,15101.168112084022,15927.00723440538,16609.50174066104,17191.90609808694,18479.246401115397,19626.742449643945,19069.428937612407,18787.2148538941,20029.26151406933,21047.327127058194,21640.45698214976,21460.22669710823,20071.036732574557,19128.989198502706,18282.107997454405,18107.57911318119,18685.308855155152,18782.27575704571,19430.523100489503,19924.571846469997,20624.732888963536,20839.79865131508,20305.29016330431,20021.153533134584,20398.063758541986,20628.55787158012,21251.474596655982,21255.689759788278,21925.738379988223,22324.88662450548,22741.238872897175,23391.810813381275,23608.11642650247,23598.015888544425,23704.608673507526,24050.718492148393,24874.276617873715,24891.24386881486,24694.406628176228,24730.720707247077,23267.38084100676,22336.373509628367,22747.148084428263,22461.707967785624,22092.593905143873,22464.896466514805,22509.53367511834,22905.698119281704,23024.52055243797,23183.763761283964,23783.51254264784,23710.338336303743,20772.415358102477,-0.1239089437076023,0.005987324904107361,0.23477662460727866,,
Argentina,455.9048223893996,471.14526542501,484.0930006481138,493.4912204852825,516.6782543890824,473.1009116944417,505.33380821917814,501.6072404371585,507.4431780821917,505.92575342465756,481.83260273972604,494.38183060109293,520.3655890410959,509.29550684931496,546.847780821918,503.70248633879777,475.94093150684927,454.5605205479452,463.00068493150684,441.8931967213114,412.37723287671224,439.3469863013699,466.99871232876706,469.1702185792349,434.1435616438356,406.84504109589045,425.5481643835615,446.83142076502736,440.7791780821918,461.3934246575343,458.9797808219177,460.4434153005464,486.971095890411,499.5030136986301,504.4642191780822,467.26338797814213,445.53224657534247,422.879698630137,432.236109589041,461.32931693989076,481.56995205479467,507.1849361740653,566.6876127875221,571.3216192519127,551.290288458224,584.7108372443221,611.9411245946004,647.3419053953794,688.1642072304893,678.431714242543,693.614133340417,675.2490996202104,669.5940272258773,640.478927943192,562.6713706868564,502.64801383873424,-0.10667569024322554,0.002045512907942193,0.005681092064653897,,
Brazil,305.6738082191781,334.6025753424657,344.5401643835616,412.4323770491804,456.564904109589,512.7246849315068,564.487698630137,648.8938251366121,797.4612328767123,859.6521643835617,888.3122191780822,957.88587431694,981.5516164383563,1068.0344383561642,1123.2803835616437,1079.8273497267762,1040.8707945205479,1066.5786575342465,1017.6120547945204,1031.307568306011,1052.2603287671232,1167.6501369863015,1207.3270410958908,1223.938306010929,1236.1513424657535,1228.9827945205482,1242.1496986301368,1328.6077595628417,1388.838410958904,1484.4694794520547,1552.5802465753427,1635.4474316939888,1763.5059726027396,1838.310904109589,1889.4526575342466,1843.159918032787,1885.8902343638117,1844.8742260878544,1794.202927842787,1853.6139177613056,1894.2363978516626,1939.181878467763,2015.4502317951024,2096.1878724085977,2077.6697603671155,2271.4135804187217,2431.729878159335,2509.38629762695,2655.4650911003205,2724.5463382151293,2557.888032520882,2433.376212338583,2480.5336990763008,2391.879103971741,2438.4073657447434,2322.5318756713436,-0.0475209727879119,0.016138658661595473,0.026250014016797506,,
Chile,70.51694045444383,77.45314443239388,81.56863081759099,86.06351001755526,92.45494402367194,97.83772129096221,108.04353424657535,114.29131147540984,109.5587397260274,105.07109589041096,92.02065753424657,97.10530054644809,100.02356164383562,108.82997260273973,109.88660273972602,111.30177595628417,115.53317808219177,103.84602739726029,100.3599178082192,100.21095628415299,97.67638356164385,104.4215890410959,109.38887671232875,120.1387704918033,132.93095890410962,140.18158904109586,156.3612092354611,169.05438556462855,184.81426704230216,198.1737080407966,217.7386986247512,231.1498468499595,249.52508718076297,255.77163942416894,259.4806883381658,253.1262686378599,242.31397618785093,251.97382034780426,243.93935134479915,257.40655025555054,266.1302081396913,293.4898000473497,377.10265617624833,389.93318237733615,383.4917384695367,342.6394997484001,371.00992071820224,375.6049307143411,362.476154777326,353.0863675204032,355.4731351970329,377.0229636486737,363.7414539105296,378.9551449873796,379.2262524908213,346.6420151563324,-0.08592294737104889,-0.0011178825918356505,0.003917861301272529,,
Colombia,81.43229129021513,92.39368029818084,93.3693149631617,103.89654224386314,100.4919487934126,116.0658927595882,119.9529589041096,134.95265027322407,131.22712328767122,144.79786301369862,144.8206301369863,152.0926229508197,153.11501369863015,156.63687671232876,165.69027397260277,157.05881967213114,161.4944794520548,165.90605479452057,171.87026027397263,171.38659016393444,178.59495890410957,177.6107397260274,187.03650684931506,196.38637158469945,202.67205479452053,205.8056164383562,211.1153424657534,230.95505464480874,245.5923287671233,253.68547945205478,266.22158904109585,274.49842076502733,281.4819960273973,275.18405561643834,245.53862,238.96280327868854,225.42008219178075,221.28661643835613,229.42995013698626,228.21385546448087,236.87656800755377,230.37700291585665,227.11845690010773,243.18487909274123,240.75717884363237,252.21183735360827,259.3999094040846,279.4379471982261,277.4728881638208,292.31454627170945,311.83761317322046,319.5182204638013,313.25732407260966,322.1473721041649,336.9248186506891,274.50652339182204,-0.18525882275113714,0.034178192748272274,0.0031025624070949707,,
Ecuador,13.394794520547945,13.969342465753424,15.110301369863015,18.008934426229505,18.951095890410958,21.513561643835615,23.87684931506849,24.656830601092892,27.438712328767124,31.346931506849316,30.726054794520547,34.70180327868853,43.55808219178083,44.83956164383562,47.77531506849315,61.925327868852456,69.01030136986301,75.16183561643837,68.86498630136985,69.1429781420765,85.16257534246576,86.52123287671235,87.6417808219178,103.01959016393442,108.27660273972602,111.39386301369865,124.30350684931507,123.4964480874317,124.7830684931507,135.32671232876712,134.197397260274,149.43035519125684,170.01838356164382,171.58931506849314,150.9077808219178,138.7756830601093,144.07386301369866,143.2959178082192,147.5127123287671,154.56460545144546,169.1541444226735,179.6538827788362,182.7494543378703,188.0743924667927,190.6666160469362,220.33253565600506,226.05107967913648,232.88547106421814,247.32879670581636,260.2135304982407,253.94199712130234,239.37497983069605,236.46946773637706,254.68936510072385,248.6009838035743,201.98948363558696,-0.18749523616051422,0.02688738430289339,0.0022829511328653794,,
Peru,74.43827028213532,94.6759218523454,95.44850549048971,95.2709889353352,93.61003886324795,98.03667264009869,97.99632876712327,84.19579234972677,99.88830136986303,118.08816438356163,120.06720547945204,120.61759562841527,120.0768493150685,118.24052054794521,123.1176712328767,132.44702185792346,135.8541095890411,133.106301369863,118.01936986301371,121.26937158469946,118.67841095890411,126.79449315068493,136.98476712328764,134.83483606557377,119.47449315068492,119.33109589041098,111.01838356164384,116.20286885245902,121.13465753424657,131.6004383561644,148.88561643835618,153.98994535519125,159.25150684931506,154.63065753424658,159.23531506849312,154.98909836065573,147.28901369863013,146.48202266027394,139.31529087123286,152.668207647541,154.12735967279846,146.72540010010957,155.500422053129,172.88671082127462,178.43802322739725,190.75545349589046,211.3343797090178,211.54977901296883,222.1008755998255,220.70446031171485,235.3467232420303,250.64346692240989,258.98461535087466,267.85721137657373,274.9605196547691,209.50849965799205,-0.23804151984785427,0.044187028026431374,0.00236793350837039,,
