Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,2.31414467,2.438144002,2.6031822740000004,2.771255143,2.8855631239999995,3.0772809170000004,3.1602614140000007,3.327598328,3.634678168463381,3.6972069535059977,3.6475985154415067,3.7363987471927502,3.765650338058441,3.8868915732167713,4.037705427918115,3.96577146616596,3.7561423801586957,3.4101698360474186,3.2065045557926197,3.2367832436025004,3.2508845771815436,3.3230342495589973,3.429466010519774,3.6100737984297213,3.7507349389064917,3.46610905909137,3.2856218430103286,3.3713882342387063,3.414886341089755,3.487888875932542,3.6599294800239432,3.7503763052781154,3.86526421733488,3.9399185412432964,4.015986359106712,3.99305342603155,4.105667344243267,4.258987585264238,4.417874636891492,4.611315106260785,4.483997846440234,4.523655792318683,4.648722495231602,4.485861535897796,4.370225651492213,4.567449516133926,4.576405516569763,4.635962076509312,4.613207831588886,4.611882150441902,4.624487254724353,4.611656254771628,4.571622884836156,4.73415839114729,4.780727721187058,4.260597251365923,-0.11123232213394574,0.009018234798196634,0.02452376939654899,,
Mexico,0.6424139230000001,0.6731782780000001,0.7209948389999998,0.7840220400000002,0.828570415,0.8909090099999999,0.9447723799999999,1.063847141,1.138484147,1.2861078900000003,1.419159931,1.563250798,1.6135313149999997,1.8166299867740463,1.949552318469551,2.1732098126909505,2.3790979718059195,2.463383975117245,2.400183857792259,2.540631377242459,2.645929386487194,2.678717626180421,2.809155724431987,2.8022497397871375,2.99879587758395,3.132003446166762,3.261253529749573,3.297676369306204,3.2915402199385313,3.547729350749573,3.306927521694366,3.384526873368242,3.4948639961900967,3.6788669623005124,3.6451545548833235,3.8174845255304493,3.754114303817436,3.5900142297658446,3.6842493790724506,3.833957793406308,3.9268252950364944,3.8867139204829373,4.037532145267243,4.02765540534372,3.8912210639841565,3.9081115483649977,3.9732577922759424,4.037397559011348,3.9254926460534763,3.7478031293850744,3.70473842886779,3.731627938440588,3.593102109377667,3.505452126114605,3.236313016635587,2.4647990960185213,-0.2404737552814753,-0.018260055750719983,0.014187251475178023,,
US,23.0921174927765,24.232482560100937,25.15965868801218,26.84865991972064,28.19461637979313,29.43428931695854,30.462061648515146,32.83168572318419,34.75892010939623,33.37742536515363,32.579418506239705,35.026542872636874,36.97752064838616,37.8050900222656,36.928201133635866,34.03249785301117,31.725917689193736,30.06191315646221,29.92131239212194,30.863943474393235,30.745577348375118,32.24011965543317,32.911750578345945,34.27518153742882,34.26311278669076,33.50488620963028,32.79063566594203,33.4705937193197,33.753761703589966,34.63108888763284,34.55109781551522,35.80970129491445,36.287165583779576,36.90400431673957,37.93353440769681,38.35488051250158,38.29265432675691,38.312687366111405,38.893256845247194,40.31232097344121,40.3706816465644,39.85527250445926,39.606319881578685,36.98530258600791,35.054080638014746,35.608420413338344,34.90895355064305,34.111583601235914,34.70001983406089,34.93815704396399,35.66006903157701,35.92469220754432,36.27665084362821,37.1430436432804,37.1319943785907,32.54030692546001,-0.1260528951886486,0.005775308169375881,0.18730026239327585,,
Total North America,26.0486760857765,27.343804840100937,28.48383580101218,30.40393710272064,31.908749918793127,33.40247924395854,34.567095442515146,37.223131192184184,39.53208242485961,38.36074020865962,37.64617695268121,40.326192417829624,42.3567023014446,43.50861158225642,42.915458880023536,40.17147913186808,37.86115804115835,35.93546696762687,35.52800080570682,36.641358095238196,36.642391312043856,38.241871531172585,39.15037231329771,40.68750507564568,41.0126436031812,40.10299871488841,39.337511038701926,40.13965832286461,40.46018826461825,41.66670711431496,41.51795481723353,42.9446044735608,43.647293797304556,44.52278982028338,45.59467532168685,46.16541846406358,46.152435974817614,46.16168918114149,46.99538086121114,48.757593873108306,48.781504788041126,48.265642217260876,48.29257452207753,45.498819527249424,43.31552735349111,44.08398147783727,43.45861685948876,42.784943236756575,43.23872031170325,43.29784232379097,43.98929471516915,44.26797640075654,44.44137583784203,45.382654160542295,45.149035116413344,39.265703272844455,-0.13268534245301322,0.004154379498538363,0.22601128326500286,,
Argentina,0.9908650137914875,1.0219906012446562,1.046618286221576,1.0683761820025408,1.1087245242376,1.0022610224359725,1.067355843,1.0626222170000001,1.070059677,1.0695500159999998,1.012569949,1.044702995,1.1002715010000004,1.0701689290000003,1.1514590949999999,1.0691207050000002,1.0028372609999998,0.954066056,0.967511569,0.92016211,0.855072851,0.8989882670000002,0.959591076,0.966001469,0.8867546770000002,0.8278549060000002,0.864924162,0.909694734,0.891911919,0.941335446,0.9343090170000002,0.9352718069999999,0.9910309170000001,1.019779595,1.033055138,0.953632222,0.8830620499999999,0.8381346279999999,0.8547194060000003,0.916871206,0.9603292038750001,1.0128663269395946,1.129483953841361,1.1413859520533598,1.0910077390338513,1.1813687404418018,1.224020771191781,1.3005230340357408,1.3816206673411249,1.3676962235211976,1.3943111479028527,1.3510592401333386,1.3352298845073203,1.271558535756794,1.147720199139552,1.0347996882315504,-0.10085021815188333,0.005080435756441126,0.005956251536724235,,
Brazil,0.6398300740000001,0.697671357,0.719970241,0.864706162,0.9488437630000002,1.0735856120000002,1.18294191,1.360720473,1.6751936989999998,1.8066225729999996,1.86496283,2.0172419820000003,2.063231488,2.244438508,2.3585001660000002,2.277540388,2.172989371,2.202736441,2.091214647,2.1167881280000005,2.148164638,2.37232696,2.4409720560000006,2.483760043,2.502684441,2.471653373,2.4995190310000006,2.6949649250000003,2.8036796170000002,2.9929388180000003,3.123757653,3.3229518549999995,3.5713741659999996,3.7228833949999998,3.779698912,3.7216639660000004,3.782649998967432,3.7065105060618553,3.5968484746812446,3.717102977185945,3.7949944970509715,3.868219748723184,4.021501417762847,4.20003031602504,4.162062199323418,4.539265814810078,4.825939624041121,4.977891806428711,5.264292903274425,5.433426684521323,5.091610360515422,4.829664068662367,4.904986786934158,4.721070817253592,4.810174447206822,4.606790199546181,-0.04489880949219138,0.014577498159611624,0.026516437449170538,,
Chile,0.14978288746695953,0.1639738379011797,0.17118175812831082,0.18037987722954787,0.1920756333917099,0.2027598741140772,0.22460235000000003,0.237928776,0.22645754299999998,0.21678174200000003,0.188943918,0.200308063,0.20521131599999998,0.22448565599999998,0.22656825399999997,0.22930841400000002,0.23685230100000002,0.21014561300000004,0.20411760499999998,0.20421798200000002,0.19870029800000003,0.21257949599999998,0.22206702500000003,0.244660512,0.27061342,0.28568001100000007,0.3185386816,0.34505869699999997,0.37615154459999994,0.403971136,0.44408233120000007,0.4715384671999999,0.5071786380400001,0.5184665858,0.5243779502,0.5125284596,0.4876003058,0.5088753972000001,0.4914642834,0.5210726886065975,0.5406409032773262,0.6008325747531726,0.7732638008811531,0.8030958164191225,0.7842713065399469,0.6945230157817803,0.7583281694033801,0.7582582102,0.7316960020000001,0.7110282558513108,0.7179297443000001,0.7608600115313223,0.7281306612254382,0.7603790889080001,0.7605161814159489,0.6930262018919959,-0.09123210712965057,-0.003071037281727751,0.0039890216695597815,,
Colombia,0.1657583719031627,0.18891895551589769,0.19058172384239472,0.2127342940432315,0.2043724205492644,0.23152137433492165,0.239464978,0.271538428,0.261104545,0.28933726400000004,0.29101534399999995,0.306879236,0.30785979300000005,0.314292868,0.333320124,0.31830043748317405,0.3260939800446219,0.33456470201311145,0.34606153952562957,0.3441774825407504,0.35731852128598746,0.3539198462999063,0.3726312385886936,0.3920928531537159,0.40269924375229693,0.4089148142845928,0.41956107046490637,0.46133641476450443,0.4904708886824669,0.5063312760788233,0.5332319245188737,0.5506773473164128,0.562494356944006,0.547617460419727,0.48578911725742063,0.4758130337046301,0.4463208159995606,0.4389505804509852,0.4563744026432804,0.4563440664470883,0.4739631752595729,0.4605178207027145,0.45440498688597214,0.4915666246802418,0.48379698920136643,0.5080752731954356,0.5225767247771542,0.5680868064866561,0.5615124058522508,0.5915192997480364,0.6332225093964671,0.6496914651725718,0.6327627311093863,0.6508079167091539,0.680282439759765,0.5526123086209032,-0.1898917174463095,0.0346717937701142,0.0031808068265473466,,
Ecuador,0.028514295000000002,0.029771098,0.032152123000000005,0.038419712,0.040654983,0.046359521,0.05123692900000001,0.052673584999999995,0.05862300700000001,0.066766628,0.06533122599999999,0.073835781,0.09213996799999999,0.094221836,0.100344649,0.12870422399999998,0.143858598,0.157112792,0.143935699,0.14466558800000004,0.177881456,0.18069561100000003,0.182270612,0.215239781,0.22393908799999998,0.22901965500000004,0.256366554,0.25576709400000003,0.256824458,0.279201144,0.274757074,0.30859305500000006,0.351954004,0.354275106,0.30958788099999995,0.28201805700000004,0.29290992000000005,0.29088219000000004,0.2973274760000001,0.31423597131731124,0.34250892730715266,0.36301428401395014,0.36901068133398185,0.3801603173970709,0.3866153855375365,0.4468562217958217,0.45826379513874377,0.47438501334189964,0.5026530452636613,0.5294460978108455,0.5135762921960868,0.48254749384777523,0.4711450637092809,0.5101211560921731,0.49446117877871315,0.3976592412034218,-0.19796991641708894,0.024908999726522385,0.0022889052764968336,,
Peru,0.1607473939494805,0.20146347736836717,0.20305542480164207,0.20385429410389316,0.20090942928206956,0.21097441036371223,0.20883252100000005,0.178748002,0.21169188300000005,0.251104389,0.2542220400000001,0.25642682999999994,0.25557543000000005,0.25233718800000005,0.263129943,0.283507845,0.289392201,0.28218391200000004,0.24891101899999998,0.2570311350000001,0.25179433500000004,0.268287098,0.28918013200000003,0.28474741800000003,0.251788484,0.25115337700000007,0.232838039,0.24368300900000003,0.253931209,0.276140411,0.313071212,0.324438456,0.334701326,0.32328655800000006,0.3318632800000001,0.32315807799999996,0.304767383,0.30188566147032936,0.28519662547520963,0.31658674426906913,0.3137481791426159,0.2975379501962331,0.31336432511580464,0.3486022478096017,0.35779131468666797,0.3810608155662037,0.4208917200121929,0.418541709141457,0.4356595190932515,0.4312913144965408,0.46035029734406235,0.4912731624424701,0.5068747031518164,0.5231506334448063,0.5359021904161465,0.4037810705569543,-0.24859825022262694,0.04122736579257369,0.0023241421981051655,,
