Million tonnes,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,53.83500000000001,56.711000000000006,60.566,64.477,67.13499999999999,71.614,73.523,77.39500000000001,84.39632602852168,85.8108865647931,84.48206573720657,86.51812196902235,87.44321502449577,90.24626746808741,93.67269485830818,92.07083157865642,86.98266214727896,78.6746003373971,73.81165877914292,74.50884400527006,74.64595977853122,76.44200619674979,79.00780716156106,83.13489555784065,86.43208354218118,80.58866399456932,76.3241987828252,78.32032638454453,79.3502909914603,81.01673181439477,84.66961655326685,86.75483320490018,89.42848639504382,91.24625702077006,92.82589971439727,92.33252454736207,95.00292262948936,98.64670774423988,102.54353590178874,107.4491519916321,104.41506326673027,105.22292348047078,108.14960338953611,104.14221510110318,101.62991590696193,105.89013626989394,106.01425950359739,107.47678983145724,106.91145882530866,106.6586210564514,106.77617938973286,106.18038212701259,105.44858269480068,109.17328175171096,110.39029263229689,98.12675991721812,-0.11352120116425479,0.00830270396628574,0.024490439369913623,,
Mexico,14.84295232936078,15.513424702058506,16.602149512459373,18.072368364030336,19.07612892741062,20.519525460455036,21.762932827735646,24.533180931744315,26.213543878656555,29.69908450704225,32.810530877573136,36.19717876489708,37.361472372697726,42.020654209658815,45.01186453165823,50.15330154731639,54.7561360008041,56.60623244862987,55.19048508303884,58.46487321070154,60.89693239054307,61.4989015971403,64.58779593250586,64.4457766741423,68.94301430217838,71.96206053852998,74.84419886588918,75.61210201509394,75.42098771729366,81.51150298289893,75.76698494306324,77.61449594718171,80.32008952828215,84.54571022333822,83.6928697207949,87.71825282478814,86.17694551698503,82.28634001025354,84.6908921960535,88.23104232038418,90.45233911619228,89.31780201214097,92.70463434063343,92.46188573920324,89.3262092274484,89.36853190422613,90.99744767961366,92.9110269701955,90.25500276727456,85.94728203423858,84.88935487420352,85.2655907605008,81.80557694064598,79.6159887043911,73.73226826625354,56.14395437273319,-0.24062344877133934,-0.019002571297420223,0.01401238675069462,,
US,533.2297766396982,559.6812391511409,580.8702319777233,619.6422872305621,650.6494817994405,679.746878522382,703.354719406973,758.224463811897,803.5269473022727,771.3108894353692,751.859150520119,809.1646645828206,855.2347581238565,874.1986451335804,853.6143265095301,785.9966767229694,731.8279412317719,691.8878060999925,688.0243546940562,709.4112734198246,706.3435421677837,740.3280146426649,755.3389719440013,787.0958744783657,786.4241763940703,769.7349301578363,752.3351017267377,768.7061059243897,774.4401154028373,794.4417773536643,791.7470358517369,820.939887468105,831.550607018756,846.7514106409529,870.4239355753108,878.2729651441739,877.9852513086878,877.7663413062381,891.4771885766446,925.1785663690555,926.8244886396415,914.6077542611349,908.4814362089869,847.9084192396639,801.3939167663561,813.3060423425874,796.5190600189039,777.9648814170404,790.7592670211776,795.9171565038772,812.7533745887353,818.4835813811311,826.1490036277756,845.1743950031318,844.9195794660432,739.6628083702536,-0.1269679509598728,0.00530289515669069,0.18460476202264972,,
Total North America,601.907728969059,631.9056638531994,658.0383814901827,702.1916555945925,736.8606107268512,771.880403982837,798.6406522347087,860.1526447436413,914.1368172094509,886.8208605072045,869.1517471348986,931.87996531674,980.0394455210501,1006.4655668113267,992.2988858994966,928.2208098489422,873.5667393798549,827.1686388860195,817.026498556238,842.3849906357962,841.886434336858,878.268922436555,898.9345750380683,934.6765467103486,941.7992742384299,922.2856546909356,903.5034993754521,922.6385343240281,929.2113941115912,956.9700121509579,952.1836373480669,985.3092166201868,1001.2991829420819,1022.5433778850612,1046.942705010503,1058.323742516324,1059.1651194551623,1058.6993890607316,1078.7116166744868,1120.8587606810718,1121.691891022564,1109.1484797537466,1109.3356739391565,1044.5125200799703,992.3500419007664,1008.5647105167075,993.5307672021149,978.3526982186931,987.9257286137608,988.5230595945673,1004.4189088526716,1009.9295542686446,1013.4031632632223,1033.9636654592339,1029.0421403645937,893.933522660205,-0.13366902445258233,0.0036373770449384946,0.22310758814325796,,
Argentina,23.402238665574295,24.12900013008194,24.6925407273966,25.207733583909096,26.13274097601617,23.575343701927526,25.089000000000006,24.960000000000004,25.112,25.180999999999997,23.802,24.564,25.828,25.067999999999994,27.007000000000005,25.040000000000003,23.439999999999998,22.296999999999997,22.673000000000005,21.561999999999998,20.073999999999998,21.027000000000005,22.449,22.679000000000002,20.825000000000003,19.386999999999997,20.188999999999997,21.218,20.796,21.977,21.887999999999998,21.86,23.209,23.924999999999997,24.338,22.381000000000004,20.641000000000002,19.667,20.058,21.479000000000003,22.506874999999997,23.681611261717332,26.413242211024226,26.67682743112731,25.423005482471705,27.665203990149006,28.611684719604764,30.48286815997937,32.41393530087337,32.13119553760653,32.72339238983801,31.62274749708598,31.30923886631262,29.74963834392809,26.838418505056126,24.307159013383014,-0.09678932810264274,0.005432693403502498,0.006066571489513241,,
Brazil,14.843000000000002,16.166,16.692999999999998,20.048000000000002,21.965999999999998,24.894000000000002,27.433000000000003,31.513,38.842,41.89600000000001,43.232,46.80800000000001,47.935,52.19200000000001,54.846999999999994,52.87400000000001,50.32500000000001,50.922000000000004,48.24699999999999,48.842000000000006,49.55399999999999,54.68599999999999,56.27,57.253000000000014,57.638000000000005,56.81500000000001,57.45599999999999,62.286,64.67499999999998,69.014,71.98700000000002,76.64900000000002,82.24100000000001,85.736,86.77499999999999,85.759,87.94248601604394,86.0582160137154,83.52280996209184,86.23593414613907,88.43434812806645,90.1342627801144,93.85899797281533,98.23010647385384,97.3591906589721,106.06133849911856,112.78925271063578,115.75550348660042,122.78549120476673,126.82776850983198,118.54806443706744,112.16233097530679,113.71331898255244,109.54917889785969,111.54938271292849,106.84601328222402,-0.04478104949803896,0.013699008328283524,0.02666658730414418,,
Chile,3.4948824040743296,3.8226610579250035,3.9814976769166477,4.190323569515784,4.4530511131716946,4.697617050582867,5.2059999999999995,5.5200000000000005,5.251000000000001,5.0249999999999995,4.378,4.648999999999999,4.756,5.214000000000002,5.256,5.314,5.492,4.844999999999999,4.708,4.713,4.589,4.9110000000000005,5.127,5.648,6.245,6.594000000000001,7.356603583615081,7.96801614613307,8.684025086677766,9.32847047271459,10.257192733408623,10.893741911879813,11.69918525578497,11.96666951773757,12.085940195915791,11.816489030709779,11.223544145931784,11.740143428837861,11.320730072816765,12.015805102960243,12.461148836164606,13.9304695103902,17.901995335238173,18.605695754961562,18.18845834596792,16.01518582833942,17.55713877684977,17.470375432137264,16.836151430783755,16.3371742050889,16.47293079842184,17.450798845714544,16.670224650837792,17.436355092980794,17.438065787543927,15.881205930874858,-0.0917676965553893,-0.004204310083139706,0.003963625328089093,,
Colombia,3.8399588770346056,4.39794834633735,4.433244654118869,4.933632739589283,4.735831671412527,5.341652029357171,5.531,6.297,6.024,6.675000000000001,6.716000000000001,7.086999999999999,7.096,7.223999999999998,7.672999999999999,7.286519393785845,7.468405636624405,7.655207380418128,7.924868908203191,7.875359298644503,8.17549406792179,8.0851157803755,8.505432569726425,8.95795032714165,9.189225857184123,9.332203456336687,9.57490958390796,10.545783880575662,11.235908348440057,11.590662677953224,12.223581771798033,12.623774652635495,12.885887132173952,12.52101450489629,11.086680596726968,10.86418939577148,10.172728907614031,10.010699065475874,10.42134369322607,10.432865585637359,10.855565152551964,10.550782149987887,10.385213132873359,11.307473127152136,11.063808806962802,11.652751551699248,11.956793895537816,13.042901366237588,12.870992747839855,13.557506906920928,14.529071713423027,14.896975977003429,14.491181133438936,14.906627483629727,15.577909722506831,12.654075863858417,-0.18991044941955448,0.03480960717148851,0.00315819943497119,,
Ecuador,0.661,0.6910000000000001,0.7460000000000001,0.891,0.946,1.081,1.194,1.228,1.363,1.557,1.52,1.709,2.1310000000000002,2.173,2.3139999999999996,2.9639999999999995,3.3280000000000007,3.644,3.338,3.345,4.1209999999999996,4.186,4.2170000000000005,5.025,5.228,5.327,5.977,5.945,5.975,6.502000000000001,6.388,7.191,8.215,8.268,7.226000000000001,6.510999999999999,6.771,6.723,6.879,7.23140954212724,7.87697076391896,8.341572590926933,8.480195129279682,8.733508323182571,8.898310881755712,10.27268234810474,10.535787646961325,10.912621661242914,11.559054854985675,12.176431401489864,11.785230388251385,11.050229444481744,10.759390009326795,11.667145834093304,11.28741512230597,9.058276441225619,-0.19968150775370508,0.024067756508602933,0.002260761184481206,,
Peru,3.7532895516502993,4.676830153717493,4.714523543941534,4.739376685091761,4.678403808674882,4.917615041517483,4.856000000000001,4.15,4.9190000000000005,5.8420000000000005,5.898,5.9510000000000005,5.941,5.871,6.127,6.596,6.728,6.546,5.768000000000001,5.962999999999999,5.849000000000001,6.231,6.701,6.595999999999999,5.8340000000000005,5.816999999999999,5.390000000000001,5.633,5.883000000000001,6.401999999999999,7.262999999999998,7.523,7.779999999999999,7.490000000000001,7.69,7.497999999999999,7.069,6.994977038443112,6.593564211736528,7.340458094060676,7.25686689571468,6.875501315175443,7.23023125391364,8.042287489582298,8.250537729758587,8.780822094551423,9.679558492344682,9.603670893414337,9.973025680462447,9.864430950577907,10.525205929455886,11.223528153809786,11.599520063342593,11.966890735089251,12.24931956043059,9.197165143484241,-0.2512207529795579,0.04031047387909492,0.0022954249738970627,,
