Thousand barrels daily,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
Canada,2195.748871292676,2222.129822548497,2360.312656501331,2495.4729348254764,2563.3487831376187,2519.506904810264,2655.490889856481,2749.7536124590397,2715.5536105011606,2704.7030584106915,2849.1171130894877,3021.4665436500786,3250.3146947653086,3485.9785448804123,3757.5191524894285,3862.9518896787367,3868.2223339271823,4216.24404532939,4596.4413058619975,4690.4119916901,4469.163621054126,-0.04717034900728434,0.05659643235764533,0.05827932651410096,,
Mexico,3011.965097562842,3127.036422427397,3177.0990143068493,3370.895968945206,3382.8983053961747,3333.3486549452055,3255.5786794602736,3075.7098209561655,2791.5759754371575,2601.481209032877,2577.0194210630148,2552.615388326027,2547.9117551885242,2522.1271052575344,2428.7675268219177,2266.8314187561646,2153.526155136612,1948.2631730383569,1833.2951139205472,1700.6982343452055,1705.364460215847,0.0027437118334152633,-0.0416135679307853,0.022238499332235387,,
US,5821.604,5801.400999999998,5744.078,5649.3,5440.967999999999,5183.822,5085.864,5073.900000000001,4999.671000000001,5356.696,5484.399,5667.232,6520.585999999999,7494.120999999999,8789.389,9446.493,8851.521000000002,9371.356,10964.088,12248.023000000003,11314.567,-0.07621278960694333,0.08621775983198088,0.14754558133701537,,
Total North America,11029.317968855517,11150.567244975893,11281.48967080818,11515.668903770682,11387.215088533792,11036.67755975547,10996.933569316754,10899.363433415205,10506.80058593832,10662.880267443568,10910.535534152503,11241.313931976107,12318.812449953832,13502.226650137945,14975.675679311345,15576.276308434903,14873.269489063798,15535.863218367747,17393.824419782544,18639.13322603531,17489.095081269974,-0.0617001944682144,0.05743849884243657,0.22806340718335172,,
Argentina,775.8685274862071,812.9533641586619,801.6631150317162,782.8142119757869,733.4490604091802,705.0196186962337,697.9176594776951,689.1160809965604,679.4401901584803,603.684576243463,589.3335173706865,553.4322938162741,549.3891995039112,539.9403734619144,532.1296333821361,532.4388147004189,510.5439662140369,479.633023494201,489.48882794858645,508.6454511069011,480.40417754675667,-0.055522512781125744,-0.016984176943072637,0.006264624501571024,,
Brazil,1235,1297.0000000000002,1453.9999999999998,1499,1481,1633.5758605061599,1722.7294129223853,1747.992318544372,1812.224568515111,1950.3604431398385,2054.6642446939077,2105.3955715889183,2061.2219866566065,2023.8717654513614,2254.5974464963697,2437.440349260688,2509.9712150795253,2621.7199654254073,2586.62325228368,2787.7577346119483,2939.9503765324253,0.054593209456797354,0.03636804809098426,0.038337895511817106,,
Colombia,686.9999999999999,603.9999999999999,578,541.0000000000001,528.29,526.1618191780822,527.4087260273973,531.0939232876711,587.6582704918034,670.6032356164384,785.8645999999999,915.2647150684932,944.1192267759562,1009.8716958065755,990.3790511333896,1005.5744356164383,885.8984335519126,854.0399496931506,865.4809831504359,885.8297257178084,781.3526766939892,-0.11794258647073397,0.028225713917510165,0.010189089420041231,,
Ecuador,400,406.99999999999994,391.99999999999994,418.00000000000006,526.0000000000001,532,535.6796174520548,511.088074520548,504.71857923497265,486.0657534246576,486.0870101369863,499.60800101369864,503.61553559289615,526.353560520548,556.5539028712328,543.0948606027396,548.3918326502734,531.3125729041095,517.2396472958904,531.0029676136987,479.3708239071038,-0.09723513210976442,0.008881579245134219,0.0062511492387978835,,
Peru,95.33172131147542,93.13241917808217,92.77352328767122,87.32223561643836,84.88313934426229,92.84589315068493,95.85148219178082,94.67900547945207,97.62672404371585,117.26427945205481,122.78345479452057,116.6096,111.734087431694,117.60007671232879,121.38155622113317,103.66582010189984,90.86065435623183,87.97816383037659,91.6722010555401,95.38690852300232,77.35865027322404,-0.18900138948764444,-0.020437156054825434,0.0010087816021602687,,
Trinidad & Tobago,119.10651912568308,113.42047945205479,130.6426301369863,134.7709397260274,122.89577595628417,144.4253397260274,143.4501808219178,121.26452054794524,114.27872404371584,106.75613424657534,98.18234520547946,91.91894520547945,81.73482513661202,81.15689589041095,81.26186027397262,78.62978630136986,71.48644262295082,71.8238202063088,63.494622946,58.85134987895691,56.62599060986347,-0.03781322388816,-0.05781462432863804,0.0007384210728803568,,
