Thousand barrels daily,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
Canada,507.6530310746694,505.8283032562374,497.8514446443792,507.99785715391045,516.532662799662,521.3891227129401,552.8933199784376,540.4360482339741,491.4816870583775,497.6946301847381,482.9626871575672,493.3555223893917,489.9229825926201,514.4324197066601,513.0107501549679,525.183687989093,595.4165132816847,596.7893060272297,647.4386532555145,682.0050405735657,666.3195219346254,-0.02299912420844974,0.03200657195663714,0.05692182164848198,,
Mexico,443.9805109043716,441.09162038082195,415.54931276986304,423.8036198904109,447.282023931694,432.2721497753425,433.5470512657534,402.8205634301371,373.75173699180334,377.01359248219177,382.34705881643845,387.697991569863,363.1862253251366,352.6256261397261,355.4333521205479,319.7094285260273,302.27334252732237,275.8869868356164,235.0760289424658,217.44459063835617,204.54199692076503,-0.059337386502523515,-0.053546764975476724,0.017473453328432507,,
US,1911.054644808743,1868.2082191780821,1880.2602739726028,1719.1479452054793,1809.275956284153,1716.9616438356165,1738.9945205479453,1782.7917808219177,1783.6830601092897,1910.0109589041094,2074.104109589041,2216.1095890410957,2408.1475409836066,2605.8,3014.5753424657537,3342.2630136986304,3509.243169398907,3783.024657534246,4369.4767123287675,4824.339726027396,5161.150273224043,0.0698148485231147,0.09708481108246536,0.44090269860395426,,
Total North America,2862.6881867877837,2815.1281428151415,2793.661031386845,2650.9494222498006,2773.0906430155087,2670.622916323899,2725.4348917921366,2726.0483924860287,2648.91648415947,2784.7191815710394,2939.413855563046,3097.1631030003505,3261.256748901363,3472.858045846386,3883.0194447412696,4187.156130213751,4406.933025207914,4655.700950397093,5251.991394526748,5723.789357239318,6032.011792079434,0.05384936719417932,0.07470736135683453,0.5152979735808688,,
Argentina,72.50914971825532,108.35833817287588,105.95878194424164,130.10837566747546,140.45191448280463,137.45879607230086,150.601003125085,124.81359978667169,122.89057848982247,126.01027777543347,122.5065738633819,113.80410481117553,107.26688521355919,104.43215428854543,105.4637780930048,113.92135118133922,99.08697960652665,110.42972758563634,101.83335653608796,111.7775658445907,120.02271787490716,0.07376392541755705,-0.01191372245568556,0.010253206630965008,,
Brazil,41.199999999999996,42.099999999999994,43.7,58.800000000000004,61.8,72,83.4,71.74223750702477,74.46524748245851,69.06593510722165,70.38756527986288,67.6508910798338,70.36166035582754,72.10333994460618,86.7777149142137,87.53656869329937,81.37735536730503,99.18219593967382,92.26495747563487,88.45863209762216,85.61003859709267,-0.032202549745352194,0.025056095000142165,0.0073134272491291044,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,3,3,2,2,2.0000000000000004,2,2,2,2.0000000000000004,2,2,1,1.0000000000000002,1,0,0,0,0,0,0,0,,-1,0,,
Peru,4.529508196721312,4.652602739726027,1.6934246575342466,4.5819178082191785,8.442076502732242,19.59013698630137,21.83178082191781,21.860273972602744,24.498360655737706,38.183561643835624,42.42794520547945,41.89698630136987,45.49890710382513,53.7227397260274,53.84390953229147,49.28648948714127,49.8415888131671,48.41069520529036,46.97429365678865,48.594776463299056,54.001997109670235,0.11127164357788444,0.024404117274875237,0.004613240265291338,,
Trinidad & Tobago,19.105734972677595,20.633715068493146,23.582498630136985,28.783052054794517,29.198939890710385,27.094342465753428,30.824739726027396,33.90313972602739,34.752901639344266,43.5587095890411,47.18525205479452,43.95234246575342,35.21750546448087,34.44583561643836,32.85355890410959,30.1166602739726,25.174475409836067,26.86641369863014,23.821915068493155,23.36987945205479,19.63145479452055,-0.15996764832287313,-0.060367247001753666,0.0016770605268617246,,
Venezuela,175.15300000000002,178.025,178.789,145.60999999999999,162.18399999999997,162.767,176.79499999999996,175.23499999999996,164.59,158.61399999999998,146.846,131.843,123.879,115.99999999999999,114.00000000000003,117,105,103.99999999999997,88.44776790101895,79.58606158272562,51.72470643951206,-0.3500783251380408,-0.06663921609394885,0.004418697663579582,,
Other S. & Cent. America,9.547814207650273,11.326849315068493,11.532328767123289,10.076712328767124,11.403710382513662,14.219172602739727,11.386208219178084,19.408726027397257,14.32503825136612,15.12978904109589,19.212457534246575,18.926786301369866,16.064215846994536,16.646569863013696,14.423227397260273,12.923515068493153,12.486868852459017,14.631035616438357,13.92529863013699,38.72312947945205,35.329382937758304,-0.08764132928601742,0.09853464387858324,0.003018090823296195,,
