Gigajoule per capita,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,hhh,iii
Canada,250.88260759274533,262.2734724874404,269.63206254668563,282.2760107993234,294.21531684487843,309.9316961386291,314.4982825714038,332.93662945045844,356.0196886148046,361.61084036900536,351.56563922899824,363.4036109134685,379.8984356582973,382.52495248528487,389.453942574552,392.7588292350134,385.9915764349783,370.6335581631534,364.53827091122736,383.5299220284383,391.3322112370678,389.9141356791799,397.05598526289907,407.69679129041293,406.51890431981025,385.553319727371,381.96874893189784,387.57098648456537,392.77256309665006,403.35147119253816,408.9844614310442,415.7358996951334,414.011040635713,404.56969577695145,413.5479440937669,420.8056582951432,408.532159458213,418.2820229433898,416.5067657032537,418.5302274827021,417.2585471021605,410.0032312935638,419.83231658252413,410.5587335252784,389.52107337366795,388.7510827088288,398.8706052585392,395.5207480303738,400.66783657335566,397.99324802474644,395.93380770253657,387.73990358995337,387.76083578970156,389.4495473242814,386.28396891738896,361.1142761493642,-0.06771273441417158,-0.0008341716592361603,,
Mexico,23.80237452495806,24.419547155563652,24.11758352140219,25.458318709572872,27.103449790893308,28.058536457996972,28.63767294564653,30.727147154623328,32.18316445226376,34.446817591375236,35.80380245508952,37.07768407206951,38.09180475857361,41.83966921307623,45.11999010236806,47.98690838237685,51.74364830539373,52.695388603891,50.940657370951406,52.12243788465671,53.50021627505862,50.876328461271086,51.50809527046105,50.85597131827966,52.66479817571751,54.3718260610565,55.44701329139369,55.39465382478799,54.70274042296871,56.869751361778945,55.05135207527107,55.88081482014828,55.960873619038914,57.574022876166325,57.444636628363064,59.29950519712159,57.758357381432646,58.787814825133104,58.47576149824153,60.78058812481046,63.773599539821774,64.84077090940947,64.21673411767121,64.59210935940378,63.139575870928816,64.05938207330858,66.20678853548058,65.70352398885886,65.12037899139234,63.950790698830374,63.10002033032111,63.1343009248319,63.30018336840994,62.147305816168696,59.20603384979628,50.22670279293522,-0.15398029377183875,-0.006411786804517816,,
US,259.5160380608736,271.12775568517685,277.7461442992603,291.6203898369853,303.9046630894044,311.9087133386683,315.5969159911284,328.3763447065181,339.2420389617949,327.85493291374337,316.26813989958856,330.6235880736156,336.0803999160097,340.16609165597055,340.58519978653186,324.37030170470064,311.82650341968184,296.1435808654903,292.25334936525996,304.3784847649179,300.8292171496613,300.74523375843904,308.0347497659844,319.1042816910638,323.6405208113506,321.2657230895817,317.7487466442776,319.4443639088697,322.91270888638167,325.5034427496433,328.8355637089867,335.8643267543137,334.2049989525467,332.16766377201725,333.9557387271753,337.6955619544935,326.3752039823624,328.0139185026361,326.147794828167,329.67158360965334,326.8558935251869,321.1865232631362,322.56918079670595,311.6413833591065,293.4183877977325,300.6755088366732,295.4239582542603,285.3726602946544,290.9017682208614,291.7976337769235,286.98152459954173,284.6912484469579,283.7929633406921,292.38621484951256,288.3806946164989,265.23835439061963,-0.08276225013942096,-0.0017303084488001774,,
Total North America,219.399775361527,228.46754320875866,233.2219096761023,244.02729028217584,253.5560137678073,259.9976323801481,262.2933604711617,272.597100706025,281.6791173601158,273.3263251801707,263.5620920294785,274.31748532133844,278.9207732934685,282.0445398709775,282.7918049955107,271.3373865864422,262.0210784940475,249.31760697585406,245.15647587630693,254.8541976764313,252.72405910428293,251.4882473107784,256.8098491906374,264.742577022817,267.7851726044704,264.5190936785143,261.6552424807772,262.85052047125816,265.1066298697243,267.87245541392446,269.8744065224142,275.17265520772213,273.7320625554263,271.8497320856781,273.55296010150204,276.9193554238247,267.6797502356569,269.553277237659,267.8358842041663,270.7097859702218,269.1862622996378,264.8146725687995,266.0953495914876,257.84990106703344,243.3541191563465,248.2128224824373,245.7368644058101,238.3691551454582,242.116610354617,242.00724954661248,238.19619753606335,235.85226853888645,235.10034975695092,240.47463027090635,236.61601766733986,216.8064334872062,-0.08622388156928062,-0.0028039629727928395,,
Argentina,53.34000811849472,54.24839447943113,55.00366971181871,56.024178371655786,57.042464565784435,53.23358303080825,55.558444102300584,55.35913756473455,56.88052970212464,58.15623728561783,55.93602203929882,57.78176516476062,59.444614367740634,58.59908711255018,61.92828836650001,60.53114571136972,57.818228152146666,57.90470609173603,59.371091356301655,58.540332407530606,56.886371199220974,59.17221551180399,60.86818719274075,61.03789230740113,58.020494671851694,56.25627140373239,56.46649227692516,59.80564720941639,60.67037549148806,63.33907146356034,64.9565318045513,67.67061720676196,68.05839286375645,69.91293316659467,69.78266773319115,69.23007673615184,66.71046114200344,63.43375983653228,67.0477179313901,70.33792820270013,73.8667679450363,76.91137084951784,79.74797692984885,79.82762177324032,76.84391074059653,79.07201379464122,80.74897749240426,82.86587771116244,85.18690901681713,84.15844643474772,84.89578361841983,83.48779748187329,82.87398446691148,80.91693400099629,75.49482763602298,69.66584077240466,-0.0797316965857029,-0.0017696408781540107,,
Brazil,11.628023146274826,12.34128140252735,12.44553870008594,13.860830939923149,14.74804947553957,16.672928221187675,17.790387856374316,20.00692962374598,23.293700944567174,24.85182938570873,25.64207494959572,27.500298580568717,28.699824109841803,30.8894015512052,32.659606039741576,32.54436873206627,30.988925795821352,31.773104535437106,31.663091621302875,33.24149497103069,34.64045432590067,36.17720819775166,36.52265041073053,37.195238608515254,37.24350925566468,35.971754518267204,36.70149410841062,37.76596037517988,38.80261591790547,40.11706200054544,41.449698219775804,43.076183217595364,44.83049320980951,45.76205033047373,45.89611634075107,46.00947809185962,44.42515632000903,44.87306346718974,45.1013254452491,46.73598788068488,47.5060824663285,48.17258755584032,50.56970851311662,52.253522106312204,51.325541920287364,55.967293070380926,58.01143946293536,58.53638310039404,60.20444746847385,61.05435352897617,59.666303555204195,57.65038143844569,57.910417420217726,57.84598412091804,58.85530143174331,56.492437306658346,-0.042769554916087915,0.013783467230167545,,
Chile,28.96001877133889,30.495517668509265,30.558067798984222,29.978978149465856,31.76130887831802,32.98190008580861,35.081370321751116,35.644209458439626,33.73627560643677,32.84848932327134,29.125310154253416,30.154041284848876,30.797239200251,32.11736609564382,32.7014271235483,33.28046990415392,33.66894505448963,30.38505943804571,30.78457862832031,31.755822772998854,31.7306535126429,32.65036964580836,33.72148286665174,37.0498670891751,40.21524068368523,41.676892357798344,45.93135477617874,49.97863471658298,51.99754133521143,53.797185950420825,57.11512329161863,59.74778532191586,67.4269037584774,66.85247670275402,68.87198141029484,71.96444424745883,71.63654885531035,73.34738312201029,72.16574457506673,75.05537688036796,77.18331210106179,81.55136357428201,82.4344403288798,80.83725867481324,78.3314425623092,77.86121705524724,83.80945791118057,84.85295357045962,84.85970827624165,82.35100723388068,83.2118003454464,86.15448137503299,85.53170932329132,87.768292218705,88.88333339925056,84.05424489103864,-0.05691443740408475,0.012717747507993149,,
Colombia,16.968780353374264,17.957913796898357,18.580082802340065,19.040270808436105,18.86128441295446,20.062063156067364,19.248601834710616,21.12921473718675,20.633193621632163,22.616551936414144,22.576919702009118,23.00056235481469,23.002669589613866,24.06146146253455,24.997902216532097,24.869851590719918,24.90865862622844,25.48597184513401,26.215013749443237,26.34707806447771,26.82381745633204,27.135856844631622,28.91504095820529,28.36535451421931,29.26242375927808,26.832320237453253,27.327679050085255,28.031962222757596,30.27421664245933,31.89725800730723,31.803076960611875,32.04279683375252,32.475307773291206,32.058328866457224,29.170076750664855,27.974129257589468,27.09665370319159,26.58702141166584,27.111917328518455,27.207537993624605,26.916097658182192,29.720252563849357,29.432429527378186,31.469833581023696,30.543548920292718,31.800408237053837,32.47344830257872,34.45604255549323,34.391348872994165,35.76369300020604,35.749513955699584,37.05142910401923,37.14437525643926,37.270916406270416,37.918701112592295,34.73400011292832,-0.08649037396029557,0.021864696866940925,,
Ecuador,5.912359505566384,6.041589629114073,6.347489295438697,7.283204744001444,7.513522989574186,8.719448213366286,9.307682161967314,9.451320244558687,9.836429452564236,11.164251431407038,10.986715670162022,11.778124553931288,13.648462772049783,13.88380103970309,14.09230192313177,17.421401801286688,18.846335192728453,20.185418310661074,19.213578169592676,20.75757698087277,23.97616792225984,24.479213140172146,24.59128060873973,27.75263551839481,27.944219050087717,28.17992145582841,30.430371193975525,29.59093529185113,29.948722250503124,31.844391046073444,29.506402635308575,32.84394731033962,35.85824448014999,35.316612136510145,31.518537923868056,29.168968651684086,29.046956017448107,28.144863179769036,28.12856638893517,29.850588864103607,31.1037268869928,32.344495892737505,33.38009763317322,34.910092065181665,33.638073758199425,36.809627949274464,38.377571010293224,39.91895196735132,40.64517529108767,42.03707963252877,41.18423293654166,40.25335070886137,40.94616464999315,42.50808965512905,42.83859352595179,36.56765855563454,-0.14871745501765077,0.024472743970850308,,
Peru,17.220426499377275,20.3718908455909,20.161416204368123,19.967333863144248,19.55996197068539,19.635141409996262,19.958274517909878,17.389671067702793,19.43619709483823,21.923271865465015,21.979263838721483,21.745768304306303,21.31213071606463,20.66291848131421,20.960953973300334,21.84165258497851,22.3738112995887,21.818561988709693,18.83110831292987,19.390334376031657,18.785948434094372,19.650376055621287,20.64566951738377,19.70993060143063,17.71280838474978,17.158195029747276,16.66469924607889,15.956585504080627,17.039343758056766,18.19769154060317,19.482554382108884,19.776822612262954,19.587276119664956,19.312497315659364,19.55186985959013,19.835440808189162,19.33433392507239,19.575108534271987,19.100221354093566,20.167361871131266,20.908195079878357,20.89017719413803,22.719576677288558,24.311322624697517,24.724515334804412,28.009989948612674,30.67934752554523,31.41091744069531,31.734404583145256,32.19963379045317,33.33845136260832,35.1214786964212,35.41414614123146,36.70408303453409,36.474812977575475,30.238975041073854,-0.17322797763957343,0.03964849369356371,,
Trinidad & Tobago,132.77040394386918,140.11755735183928,148.39094990170096,152.0548473288526,155.7348733175997,170.14746234176934,170.04848846930113,231.40000061974763,226.28079156339166,214.79196852116303,170.59342350737043,189.16738984532302,194.13449254722337,192.79851930597215,167.93783804522369,159.09954431602696,165.37679437886067,191.10582856183692,183.50213123785778,178.21493866674513,181.78532439656294,186.91013975199897,174.79926364467423,190.56942324461238,186.13746374266398,205.15049532355926,203.2064054733189,213.76700727554007,224.0754421484314,236.33587292717968,255.34192160320535,288.54519287645843,287.94479443904356,291.8452189757587,323.7954013519249,337.58793210294596,362.96150495529736,392.15233242477404,437.49072091142887,478.6673640842852,510.7157848033228,593.7328927965738,609.4937037324812,597.7866176554282,589.9278677184683,633.9150293981619,618.7955829187765,605.2577884182285,612.4379969128088,605.4310656562803,584.0098280259227,515.4289977697338,544.3591997910685,513.1038755063627,509.52757047227095,445.6788674048315,-0.12769947822576344,-0.014544817887667483,,
Venezuela,71.03198788646745,69.34376067004875,70.72392750963843,73.8146907762081,72.27254097952157,70.67705015107121,69.6482808565598,71.46703735616695,79.46592635813398,79.80940464225114,80.61361470456313,85.62072669325192,92.72532720905397,92.11472133957015,98.7299391479751,107.5568959544151,108.60973191959833,107.84565203977452,104.5923415841493,103.83722955511482,103.8695976013012,108.72468275203249,105.69136850767262,107.27400767535026,105.5309224175419,109.45723455204984,107.42128735682647,113.67594271914516,109.99411269086411,116.86835393868212,117.8891071343903,112.4454951500886,116.50595085328627,121.24657370164486,118.9666024797954,120.09416803104529,122.61238848949289,121.84707004436866,111.74618563659212,119.19983359325194,120.71757253135598,125.40036633051366,130.61164060528188,126.27663657237909,124.23167350436863,118.15921062271417,119.13762126040294,122.79967480650306,122.68855558285479,115.66321114404832,114.08542505069784,100.15885245559194,99.48473145317716,85.61784599910676,68.36259724308174,50.69447124171635,-0.2604733612199672,-0.05798325692777273,,
Central America,11.773549034059979,11.627531466566955,11.950840286320064,11.926232775128321,12.388812726462268,12.562008537509461,12.784155779500963,13.558431387704562,13.84103161562782,13.861428283915924,14.803131496120741,14.997118765136468,14.760924805176838,15.054864542035828,15.018280637307942,14.245380401440842,14.07833626828641,13.685590375808076,13.391474978116747,13.224371476321142,13.232125093817446,13.392951686258666,13.946206672137906,13.535299550113631,14.074868502768807,14.248142156851745,14.750592174761506,15.810808081922364,16.602420581430774,17.23179901217,18.198439031991864,18.09050557223629,18.691676440090916,20.32863007246447,20.596066159826357,21.093798842868903,21.40445427969708,21.311340097125115,21.865358633711615,22.095252012764774,21.77494499693041,22.61993084220696,23.30150058168333,23.481856954143066,22.645447340313545,23.194513461437,24.00250033671726,24.39893389829406,24.210327586150168,24.64419349331193,26.451244002413475,27.136000284068558,27.509301346771863,27.520298639104386,28.64735074519821,25.593484310078274,-0.10904303213459676,0.02378875746279352,,
Other Caribbean,35.770406893856475,36.31131113273737,37.086101392804515,37.20449661429594,37.46621920432718,42.14653209283889,42.80746987410355,44.87728725384301,47.534814825920016,46.45140104041232,44.447191006464955,44.579843952466106,46.05952320883165,46.59380873363552,47.37567208350998,52.30709577013971,52.17759957152736,44.93208210881257,42.7110134782236,44.62267512760415,41.30235194867236,40.1419809515733,41.163930257598615,41.020117109394015,42.05241851081582,40.97677648151598,39.50773543325937,36.94961402957983,36.55126473885521,37.801010087030726,37.44232388555432,38.3656743276232,40.12510890206768,41.179287567644444,39.67704107178702,44.582113383863856,45.002585616613956,45.31387382908242,45.842945680051045,45.73037438458592,45.44360551231831,46.24137089510036,44.45899683548128,42.50474490189671,39.63406710665085,38.857905650701454,39.423369875781525,38.73898455713805,37.53555439281511,36.91531175246677,37.728711396852916,38.93530418393181,37.755619107962545,38.78315949067136,39.852120732021476,37.06301846968884,-0.07252731566167914,0.0005488098195809421,,
Other South America,11.271119751159265,12.65241090534952,13.238909588867191,13.434167636594532,14.156385532968752,14.563908707170851,15.819343946704516,17.27094494651724,17.604064048175303,16.067991833853448,17.42482965998195,17.357619890364223,18.13992836082148,20.147304408195577,20.62162131317394,21.410797694090007,19.77206552479439,18.77219611690948,17.579089414993113,17.424231780753235,20.083761842558744,25.856811725084746,29.959762014028367,31.22407690028583,33.61518457559394,35.68971019984024,36.99664174611362,36.80435805986005,39.11767580410639,42.9822887043518,47.35062371528384,48.69854818425006,51.962959111619334,53.16261034310114,52.31707516854811,50.54387707537709,46.05645290285292,46.927027568168384,48.424817271037774,47.065152456206654,46.779481279543944,46.08320408161699,49.02145691114424,49.75588260910615,50.5229258763124,52.249436383843786,53.38859619821412,53.95531004079138,54.854253465182076,53.038062941499646,53.31809525158832,56.890724054920774,55.674480654418744,56.078281066173155,52.43697477265821,45.541113096072756,-0.13388054855903486,0.0037253977989171183,,
Total S. & Cent. America,23.309780078794727,24.04507984786037,24.40528308253799,25.24553250685035,25.742898278176245,26.785552891911436,27.576894499078186,29.14269510977193,31.286589238195244,32.13998965958444,31.86491959399334,33.216250585917415,34.43706021025693,35.47429618518797,36.971861923454874,37.80744601538008,36.961666433531775,36.491145089757374,35.962772451882536,36.757625776643295,37.0917458914948,38.49785070174074,39.17393559158836,39.71836601637001,39.67268971337969,39.06386643960311,39.45970552170831,40.56731768690915,41.38370291628167,43.25399649456848,44.417838012760825,45.48138316677778,47.195098724454596,48.19561809540522,47.74939902400699,48.18112333220995,47.2543580124408,47.24841162616376,47.33324341531468,49.0198642868981,49.88285483804047,51.49262503636572,53.250766115388785,53.81409359600558,52.55114011358716,54.86607899947896,56.52408852887699,57.43456031242892,58.286454571407035,58.09540975642868,57.70306160928077,56.297208148989114,56.205671057810456,55.37769333005181,54.4258647035663,49.88114406501277,-0.08600704725437203,0.0035114208545654613,,
Austria,91.96488902904738,95.58842690187022,95.96787731152713,102.09410954197259,105.37688860134419,119.90066501865502,119.23321882092013,122.86040267021855,131.59387666667575,131.65126635766413,130.46846343341838,135.3202918279144,135.3583291873867,141.45598245894803,149.89136191004292,149.33015294637775,144.85754528717163,140.06840439160277,139.68468620546196,138.4939816930129,145.26892544801916,146.5243061018193,154.2390333445664,151.52906432397558,151.85264710778483,153.36328653380934,159.961845244126,155.9238915059475,157.36474654718538,155.40616090829465,162.02828199096064,161.95923136896104,164.96039978409405,167.37393460911738,170.79457125898526,170.99582848361317,176.67721146802626,176.21595870439333,177.69109608975268,179.75747404737848,181.99700699453552,179.25047070292334,174.45097828871306,177.35440353667184,170.7106018702205,175.7339156384549,163.69669557218742,170.702632911122,168.51582660288642,160.38418687838563,159.50695398204397,163.46098939994718,166.0487293608288,160.79544822319332,167.21981428080863,153.63471041744089,-0.08375126411875644,-0.0020639207784719504,,
Belgium,157.39316762224865,150.92575540382472,157.768554277849,175.14135986956168,191.53157942097275,201.65289794124465,197.19068849751582,208.99126096673987,211.1847048925937,203.3923116060853,190.67213587673075,201.75784752967803,201.60436961646624,210.0018467694367,215.7101942287261,206.16652948418374,195.78017938838903,187.05255931609267,180.9333230959108,188.87726044781283,196.84417720016089,202.7826277832011,208.57678026042586,212.36644171322754,213.53368818342008,222.56284650470923,229.54950876836003,228.1644774287064,223.61676063809975,234.41899892573218,236.59560948976014,250.77972170396635,252.9137026307911,257.555237133526,255.1883768379422,259.14527281200014,255.9885819462156,253.64698533708858,262.06273492515027,261.5062026712832,256.8450218837958,255.70026041218858,255.4791613678895,257.54727474519234,238.77850700639752,252.63977536762783,234.1959945451344,222.9558801916648,227.6095571609599,210.2401041953999,211.94884489304602,227.1133965007337,228.2433717099873,225.30975289506497,231.15650840909805,189.03469081696986,-0.18445643651505284,-0.0032388801366455278,,
Bulgaria,52.34872986461196,55.711459386134194,64.28023343697498,71.44435293663865,79.08813656591501,88.42767645786252,91.52774781269154,93.64920370882346,96.74621287434985,99.15521967947758,109.05837725639496,114.97620465460696,120.71411510175251,124.68149145392573,129.02084849027023,135.8124449882625,133.34255325910544,136.22369626237918,136.74864421595063,135.71032797857575,134.64607743004652,137.41766241611228,138.64652073967747,142.17903729495117,141.58612385152264,131.60793934693314,107.19574919454448,101.72909625371751,109.55922353766691,106.7257728527305,116.09219476383545,116.77602844864278,111.75946633351141,108.17890071372099,95.30486593742918,97.1758014634667,101.33964531485205,99.69658198487187,104.2725816542581,101.72165487548553,110.83674031710846,113.79623441067186,111.15525703468633,110.08229331072688,96.86183046354954,101.47073409544177,108.66937779054076,103.69708755220185,96.47285338353772,103.63086438075575,110.84582755814918,105.72786511676249,108.90770471951532,109.47941280813059,106.48182656533913,99.29484194966473,-0.07004276916187202,0.009513850987377337,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,75.19862312425545,63.344440219890636,60.65430186783232,63.74829013842784,64.83608415131607,67.69699496118817,73.04978342464341,73.320762526738,78.25199725194607,81.41003134964498,77.55417302823463,81.86365146827228,82.37615653891248,86.42218160991371,89.68054394049008,88.85283065280655,87.96572341453029,88.82803632260745,88.38579371087867,87.26085802150999,88.73661773571348,78.07916576277032,72.6375085788442,79.53283492356577,79.77478308547236,76.25752099333523,79.68217691355731,80.34813984637738,83.34547813744952,81.93192957926753,79.57837242235402,-0.03137951732824429,-0.006281510816596891,,
Cyprus,29.001228974890363,32.83555465195544,35.23436794458321,38.660483379142676,45.078881939414735,46.96306985779426,55.366188834842006,61.54962245343169,65.29473551617448,57.240921220197976,47.262310447200704,47.48574044445527,52.994783034645046,53.70959654097346,53.96126527551067,53.98710549045241,51.48555073494203,61.484266664353584,64.47485145718912,65.07665737442937,69.39858375941816,71.47813598938701,85.99992673324266,87.2289402505988,87.77568927478187,90.51249778246215,89.697203880371,102.50689848990146,104.16444580152671,102.06198632427989,106.18585301926254,105.53537907046505,104.42873236907955,108.73411759527244,112.27315617208161,115.48962670997619,114.75344537080042,111.23124912996127,116.26640511613768,111.26338282807188,122.58317176285844,118.48959716685691,118.40446749794714,119.32039301103316,114.70372265793442,110.10529323594214,107.76869010911568,100.03390455460918,88.7565921031402,88.1578578905519,90.2138885323552,97.34193592003629,99.17296094205875,97.95566030335134,97.25271680144367,84.09010193316037,-0.13770689072360243,-0.01636851194621336,,
Czech Republic,171.85782135531463,172.98199410796977,170.37207620165205,177.88289114241388,185.52644166636074,193.0839609858432,202.34601945829354,202.58895459777887,202.68011633800316,203.55628720106128,210.55775574083717,215.0757877875247,220.67695658584373,222.41907399045772,223.63031826472877,215.81242214286792,213.88995769919188,211.41178671377787,211.97479375319918,219.327449036224,219.9022546777007,222.34868818441237,227.33799510664372,228.2577411993602,221.15879410306337,190.0054564319835,172.83103443516612,167.601992152697,166.13160496237748,161.6763183683971,168.54723478534325,174.4924524728475,167.5153521694349,162.85210592414904,156.35415450210078,165.5393110404813,169.56566487277036,170.28866507435998,180.21198365018324,184.66206383293994,181.50366597943727,184.2255949655478,181.13490846060375,176.43587632953196,168.11601473901126,174.3000805640496,169.76956139986717,168.47973452476018,165.03904464931136,161.28588165078304,158.01030629139106,155.61690882586117,162.023048588022,161.15786343443057,158.88333339449352,143.57872724770849,-0.09879511850568323,-0.005632490145142666,,
Denmark,125.68817511581335,141.89508650195845,141.65227778755107,146.9743112150691,167.56585565783118,177.3887740991666,166.6084696979438,174.81370369724706,168.23467953640713,152.32129730295856,149.49413018388694,163.9717022660906,166.81507060261734,168.8178837358722,168.18227885887677,163.6689062041064,146.96924041070017,140.52297897332392,133.66662835643436,135.99610496759715,153.30313215036423,156.67578586588124,150.95601895693846,149.14249137423127,137.3106155082234,141.2795139266428,162.41806591876554,151.57756351293804,160.07766889253472,171.04858282411507,167.27218549240794,198.2079418277003,178.87986368263532,171.65619620802926,165.70307617421057,158.5365955010532,158.42445680602665,157.48716760269946,169.13128454198323,159.3086193528094,153.11695891824922,168.07718917145235,158.4956160319818,151.7078063962125,141.86761251724863,148.19168606340435,139.0909445622543,127.9580271688924,133.0219240337567,127.91541882231014,122.86690812246775,123.45469689840903,122.98416050199452,121.22004227060201,117.2616469864889,101.92874564528796,-0.13313300284414908,-0.018868378770509064,,
Estonia,,,,,,,,,,,,,,,,,,,,,280.102471672676,276.2818211544731,277.71812779846,270.7315646792824,277.974126729525,276.8157366403892,252.66873554776353,185.99991559240436,150.240234331949,154.31514765182658,146.4566917250629,156.5902366172665,155.30206768921693,145.8990265154478,135.14251695987423,138.88448009343077,145.30600921927976,145.59898746495003,159.4756534696359,166.67573311055108,165.46915095982266,163.62029383844228,186.13097796242636,178.43571790989975,159.0080851963002,192.76392220018178,199.48852946517732,203.1196633836675,210.67191165640295,205.8263523352176,192.38425489488878,193.35554204777503,213.55891719268368,220.0671159961137,163.5156260629791,140.4874652394235,-0.14317901549041778,0.002799261315991286,,
