Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,4.924317048,5.239094893,5.480213969999999,5.836056241,6.185952650000002,6.624581111000002,6.831992434000001,7.348641542,7.980292754463382,8.225162567505997,8.106845591441505,8.487141247192751,8.978662850058441,9.143002777216772,9.409648503918115,9.58994716616596,9.521701580158693,9.234905136047418,9.17595175579262,9.758875143602502,10.07477225118154,10.167207604559,10.495338770519771,10.928771149429721,11.04897934040357,10.618648512333793,10.65265501080565,10.938962426644835,11.212856991470895,11.64101951859651,11.92768540779757,12.246673300757296,12.313672866760738,12.146022963051903,12.53154112492876,12.871762961276332,12.615502498385094,13.041305664654967,13.114984197775271,13.315744267173633,13.42083451091913,13.340272676579296,13.825411951754202,13.687058436004193,13.144814367527621,13.27490325437119,13.776654058839108,13.812387823859906,14.142186316985734,14.19416571927239,14.26417584007513,14.107118423398864,14.243266306463376,14.438669830347813,14.451284239959259,13.629231705370659,-0.05946121177281882,0.009520630500661653,0.024485106432361074,,
Mexico,1.0502527126139394,1.11157158395628,1.1324702682883336,1.2329965534507907,1.3536893345652081,1.4448340709047367,1.5199836106514335,1.6804659571661091,1.8126945313902842,1.9967721993175416,2.1341911591414457,2.2707185356239696,2.3948282607254856,2.6984441104196915,2.9835100744898955,3.2516585100936144,3.591403634225357,3.744463175417879,3.703859844625661,3.8754403908582997,4.065132934332889,3.9479575542806633,4.079445317576232,4.108589081440382,4.337943074399802,4.564141535239785,4.741419433168912,4.823497015466334,4.848054439191388,5.127171824194082,5.0461880501676735,5.205132772689018,5.29451466165788,5.53034836206219,5.599980234015291,5.864711872572019,5.793056507913252,5.97782507656936,6.027741140515466,6.3524791563457494,6.760333110165115,6.974283369335573,7.010573164643428,7.1577921677160745,7.10092206283649,7.308724580574095,7.6598253843894595,7.705325322019177,7.7380695634300585,7.6968061758160555,7.689258115517373,7.786566663862342,7.898427616019865,7.842417120135475,7.553241088379667,6.475867065205929,-0.14497983530800707,0.006194316998775262,0.011633986255506004,,
US,51.83409304140232,54.739544291153095,56.63385005077836,60.017154795415465,63.10862170236031,65.34903630668695,66.71216342202504,70.03275900217189,72.99769383562614,71.1821903183642,69.28841942437676,73.09638776911551,74.99152151224237,76.61333209202282,77.42840806211947,74.43531612729652,72.23026421484413,69.2448402397371,68.9806270224727,72.52025868348385,72.34937317689288,73.00985638499698,75.48477176675881,78.9375466993865,80.82139088479587,80.9976133764538,80.87956610687276,82.09420130311372,83.80622314135253,85.36041473281156,87.19526824691876,90.12415680653334,90.80805476636266,91.40433951827299,93.02275253642654,95.13252541194396,92.88899144401057,94.23161283386139,94.52270808392484,96.38102472687652,96.4203669683253,95.63617059301814,96.967013392838,94.57880372623224,89.87627189254917,92.91218067794286,92.04939367531732,89.61953891171852,92.04147626113361,92.98815048719501,92.08614718868742,91.9598260308126,92.25676680971178,95.63843822999064,94.89596933838058,87.79459738921919,-0.0773610085812475,0.005449521340915364,0.1577242289023701,,
Total North America,57.80866280201626,61.09021076810937,63.2465342890667,67.08620758986625,70.64826368692552,73.41845148859169,75.06413946667648,79.06186650133799,82.79068112147979,81.40412508518776,79.5294561749597,83.85424755193223,86.3650126230263,88.45477897965927,89.8215666405275,87.27692180355609,85.34336942922818,82.2242085512024,81.86043862289098,86.15457421794466,86.48927836240732,87.12502154383664,90.0595558548548,93.97490693025661,96.20831329959924,96.18040342402738,96.27364055084732,97.85666074522489,99.86713457201482,102.12860607560215,104.169141704884,107.57596287997964,108.41624229478128,109.08071084338708,111.1542738953706,113.86900024579231,111.29755045030892,113.25074357508572,113.66543342221557,116.0492481503959,116.60153458940955,115.95072663893299,117.80299850923564,115.4236543299525,110.12200832291327,113.49580851288815,113.4858731185459,111.1372520575976,113.9217321415494,114.87912238228346,114.03958114427992,113.8535111180738,114.39846073219502,117.91952518047393,116.90049466671951,107.89969615979578,-0.07951725479374738,0.005991294670726788,0.19384332159023715,,
Argentina,1.1819955908629527,1.2202650671205524,1.255671735381386,1.2979831789943246,1.3415026062243314,1.2712479865165307,1.3478236304401834,1.3647783401550622,1.4252255704680437,1.4807918514187728,1.4468285604635445,1.51761962966935,1.5848764631702374,1.5857522989152915,1.7012348584173866,1.688609043333888,1.6384826679448024,1.6673399547937975,1.7373197844515755,1.7408195432149816,1.7188947478850813,1.8165257137971118,1.8981385662433643,1.9330052881716555,1.8652508115184583,1.8350035147108126,1.8678552109613922,2.0052426830916286,2.0609789044945255,2.1790331103282123,2.2623170023862555,2.3851440182216015,2.426787923919038,2.521301639519761,2.544779756847847,2.552568036403001,2.4866754006051535,2.390294635683931,2.5537044961765836,2.7074454222404873,2.8728945918119324,3.0218382236675705,3.1647428801211324,3.1995037732633342,3.110855593914671,3.2337093872142115,3.3365878822279593,3.460080302614597,3.594549709228521,3.588306433129126,3.6569211960094203,3.6324254137403873,3.6412461065024684,3.5895682467582954,3.380709340549763,3.1486018040671078,-0.07120111473797797,0.008353472417386154,0.005656507421128372,,
Brazil,0.9694693715107079,1.0576046463942477,1.0956531425761065,1.252840021172478,1.367831548724425,1.5858166402278018,1.7342590984950117,1.9978797479863435,2.3820021418598647,2.6021404440630893,2.749246066989519,3.019283713942201,3.2265889758800155,3.556023676501739,3.849862496510346,3.9279104302804306,3.8293116939683793,4.019244408463384,4.0987496896140865,4.400627743160595,4.6859556936395945,4.996394971920588,5.145734871744383,5.342259319220718,5.449779581633223,5.359907432130135,5.565708435462714,5.825753708111737,6.086154841132525,6.395972192804415,6.715675504651572,7.0909722021381985,7.4960640013217255,7.769721293158214,7.908757909587957,8.042012272889218,7.871962264963295,8.056398664321037,8.199837882598704,8.599724572511496,8.842169741867234,9.064508287543214,9.614841183119152,10.034262765850134,9.951329940155503,10.953562479849145,11.458102838270968,11.665557271552089,12.103255521645147,12.37960930903482,12.200074040960553,11.885378816915642,12.035743559790486,12.116958958539502,12.421383057769436,12.007999086872854,-0.035921338992279894,0.022418932634649114,0.02157253923314824,,
Chile,0.26033918746695955,0.27912083790117975,0.2845595081283108,0.2838664772295479,0.30571225339170993,0.3226663481140772,0.3488041020000001,0.360137508,0.34633076900000004,0.342570424,0.308504314,0.32436328299999995,0.336391376,0.356154772,0.3680505400000001,0.380041334,0.38995439499999995,0.356839373,0.36658137700000004,0.38355117800000005,0.388930172,0.40636104800000006,0.426337909,0.47600602200000003,0.5251610959999999,0.5532447838000001,0.6198553452000001,0.6856977721999999,0.7251022820817954,0.7621095500000001,0.8213648203999999,0.871562871928,0.9969895048799999,1.0012987469999999,1.0442921485999999,1.1041036912,1.1115207153324675,1.1504106493548387,1.1438017213384613,1.2020097591885404,1.2490353881209095,1.33373234643514,1.3626578679588892,1.3506495314397418,1.322719152092585,1.3285094297028848,1.4443373329067946,1.476471854336329,1.4911132974327708,1.4624689845852628,1.49526246380825,1.5687931544806346,1.5798078774947473,1.6438269145006343,1.6845200454992657,1.6067985126742763,-0.04874485935330475,0.024473795193295622,0.0028866361251079172,,
Colombia,0.3177445185617786,0.3462238011991303,0.36858254123208356,0.38830164694708663,0.3950015623379314,0.4309344005643689,0.4235459075447413,0.4757544634556191,0.4750692141395932,0.5323572199345712,0.5433249062425399,0.5660001844846402,0.5788516910053,0.6191896849331201,0.6577697010319999,0.6690116416749741,0.6849036220512219,0.7162022952609114,0.7527427021490296,0.7727922065371505,0.8034053604551875,0.8296104135295064,0.9020167602632936,0.9026572598933158,0.949785031379497,0.8882187320903926,0.9225367528515066,0.9649321257863045,1.062360770787467,1.1406133473436235,1.1583137957301537,1.1880311359705829,1.225092112804006,1.229895570539727,1.1376174747950982,1.1086137633837465,1.0908016992229181,1.0867541512906138,1.1247073081308416,1.1447830898654634,1.1479104924958843,1.2839416887058523,1.2873012396428578,1.392696603972864,1.3668254635347408,1.4381002897814068,1.482826854058231,1.5875870035510327,1.599042686393509,1.679738618307935,1.6988407481006524,1.784954375554723,1.8167255992699038,1.850913066823114,1.9088062932913767,1.7673660986021185,-0.07662855278987402,0.033962718495089916,0.0031750980513573085,,
Ecuador,0.031004295,0.032621098,0.035292122999999995,0.041699712,0.044294983,0.052921601,0.058149009,0.060766101,0.065066407,0.07595342799999999,0.076844726,0.084658733,0.10077633200000001,0.105271936,0.10969552099999999,0.13918268,0.15449562200000003,0.16974717600000003,0.16570931099999997,0.18356886400000008,0.217370336,0.22747262299999998,0.23416707600000003,0.27074294499999996,0.279215004,0.28830683200000007,0.31868133200000004,0.31710033899999995,0.328281721,0.35691190300000003,0.33800189100000005,0.38437826599999997,0.428558267,0.430807892,0.3921570843694,0.36989527925515003,0.3751315610002964,0.36992102413308303,0.37606987522168595,0.40586024792600955,0.4300351202395336,0.45474352631994,0.4772203683379331,0.5074440216355437,0.4969827605900268,0.5525535214441452,0.5850232790602439,0.617709814719039,0.6384329934650267,0.6705684320687205,0.6676796904203384,0.6638226759285151,0.6872959504847505,0.7262234640724106,0.7442630302823066,0.6451653939565734,-0.13551712123266324,0.041210435764974296,0.0011590487034773944,,
Peru,0.20167533734566,0.24539537642567444,0.2497368012165689,0.25429380070806873,0.2560955698480403,0.2642848603637122,0.27614997100000005,0.247315102,0.284076483,0.329223089,0.33902454000000004,0.34442183000000004,0.34649950499999993,0.344728788,0.358713043,0.383268845,0.40240190100000006,0.4020379870000001,0.355361619,0.374616335,0.37145213499999996,0.397534673,0.42718543200000003,0.4169332680000001,0.38284805899999996,0.378705952,0.375328739,0.36647205900000007,0.39885925899999997,0.4340405110000001,0.47340986199999996,0.48955200600000004,0.49381397600000015,0.4955214080000001,0.50987943,0.524844653,0.5181464024805196,0.530504311683398,0.5228154036522829,0.5571077621519129,0.5826306912432013,0.5870569084694125,0.6437149019764506,0.6943878007411728,0.7118846378733555,0.8130650250315452,0.8978100593026787,0.9268353446299342,0.9448597177769028,0.9688989590185058,1.0158472501342326,1.0861681145387547,1.113573000094578,1.1741366387737147,1.185813021264574,0.9970348282521304,-0.16149454294508236,0.05235110005912191,0.001791187090678369,,
Trinidad & Tobago,0.12105235363259116,0.12879858083384296,0.13729620375040044,0.14153143545491734,0.1459522315152814,0.16085009455702803,0.162524353,0.224026671,0.222209095,0.214035686,0.172458692,0.19391624799999999,0.20174650600000002,0.20312480800000002,0.179465763,0.172582117,0.182242416,0.21404215900000007,0.20883845400000006,0.20585304599999998,0.21274263799999998,0.22118609500000005,0.20880331400000005,0.22947417099999998,0.22575831199999996,0.250513578,0.24976261861850002,0.26436245139255127,0.27866134023300004,0.29530805429108004,0.3202498380747401,0.36285914166621164,0.3627637939364958,0.3682208209364958,0.40925375024453436,0.4277775864556369,0.46155164966179,0.5008608804962454,0.5615473396959574,0.6175359464155976,0.6621414828501538,0.7733679669779628,0.7974920366487651,0.7857600217905604,0.7792481089545471,0.8419304428049924,0.8268222819844109,0.8139591474738715,0.8290622159248445,0.8248011416929798,0.8002873556584191,0.7100359164546677,0.7534257940628261,0.7131328034376385,0.7107751654541334,0.623723563823255,-0.12487178602653692,-0.009155167408039011,0.001120528154097342,,
Venezuela,0.6884619865842386,0.6950042209415455,0.7326815715026292,0.7899855626150871,0.7984855345122447,0.8054636516334676,0.8180853638236701,0.8645864919555515,0.9896455222796305,1.0229134680671195,1.0632541578955972,1.1620624830334207,1.2948514265955877,1.3232027326092781,1.4583665882383101,1.632995049427838,1.6940813480946006,1.7274252807427313,1.7198252604878899,1.752430083544495,1.7989708459605047,1.9322550618691212,1.9270425024050035,2.005900578420223,2.022655680711834,2.14893721778682,2.158771921007014,2.336915245581714,2.3117352670126214,2.5096956606789886,2.585436264916634,2.5171654985065817,2.660732963557983,2.823658955171195,2.824247513380934,2.9053720352884937,3.0219626771470214,3.0584110498711605,2.855296518820402,3.098789678791332,3.1908605964685774,3.367023662043895,3.558853869168118,3.4897592824561414,3.482339282317693,3.3604410968757743,3.4416324724926195,3.605500007649994,3.6537935174865552,3.474866729493943,3.431898019596558,2.9898668442061362,2.9250978268574124,2.4732527346641797,1.9494161329795903,1.4415450946445858,-0.2625451167023549,-0.056366506538387484,0.002589756035588712,,
