Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,0,0,0,0,0,0,0,0,0,0,0,0.00707,0.01069,0.011320000000000002,0.01345,0.013,0.01898,0.021390000000000003,0.02085,0.023370000000000005,0.01678,0.01866,0.023129999999999998,0.02486,0.034780000000000005,0.039559191919191924,0.03985919191919192,0.045260526319999994,0.04878052632000001,0.057940526320000005,0.0720070790761281,0.07596409537285308,0.08237166888359386,0.09503995349388324,0.09637153753921829,0.09754781536174116,0.1051145393962877,0.10894490021184429,0.1054047371750316,0.11096410374953014,0.11101697886324939,0.11700678587958666,0.1425351175572926,0.14559976384974876,0.18036199114321502,0.21841182713267676,0.2561047391476273,0.2931201735097967,0.2955578997627867,0.30634926123410267,0.43780513255249076,0.4916028922747448,0.4600044817908551,0.5128060974003541,0.5131182027694835,0.5357989175991988,0.04134872480911911,0.11021538163073252,0.01689599945209216,,
Mexico,0,0,0,0,0,0,0,0,0.0016100000000000003,0.0046300000000000004,0.00518,0.005789999999999999,0.00592,0.005979999999999998,0.010190000000000001,0.00915,0.009640000000000001,0.012960000000000003,0.01353,0.014240000000000001,0.01641,0.03394,0.044180000000000004,0.046329999999999996,0.04675,0.05125999999999999,0.058355124753775446,0.06369522980958635,0.06504760669730796,0.062285254000069123,0.06426443480664894,0.06196555154300723,0.05901246224556797,0.06160586031724091,0.06084001313197636,0.0671166140415799,0.06565820647244551,0.06333575023190978,0.07150717519879125,0.07419478397970074,0.08256201812103568,0.07613995681050634,0.08476602615369119,0.08117968911522172,0.08098558966098239,0.08581297158536526,0.08818330137419829,0.10181718847159624,0.11131208723133922,0.13289665418839852,0.15802475025293333,0.17159922143771317,0.1872336770993912,0.23958572094478764,0.29598285023484516,0.3558815231059715,0.19908693674685551,0.13837639015774905,0.011222445253064485,,
US,0.13332232095652646,0.14062006895272863,0.1407357074264804,0.15546045096175942,0.1622706037653718,0.1623590253395494,0.16584413973581333,0.18672978440292398,0.19989691771854276,0.20404264805821332,0.19754301961701326,0.22564753541853655,0.23536121862459236,0.24678786657309668,0.2575603724229939,0.2665611631812324,0.2737760327329065,0.2640504894535597,0.29810294113669267,0.35607182700809914,0.36409451999645986,0.3872007725117736,0.4267961297377268,0.42404126916216306,0.5124077698564593,0.6667066414699628,0.7099071719752886,0.7607704572416552,0.7970948355603844,0.8072332006077124,0.7811502377443547,0.7662395677298266,0.7979136527033065,0.803775689740817,0.8315287875754858,0.8607224991090157,0.8788055028281507,0.9868727894667025,1.0457926382507199,1.1366892866443163,1.2227812710097874,1.4437402421982644,1.6484443525362777,2.0639108989555672,2.344715796433994,2.698662406815857,3.0328255953032555,3.267010522586886,3.6966917859250454,3.9786660846536974,4.185933789836303,4.742929263304842,5.173964729639057,5.439859926153449,5.709858287981747,6.149877871917506,0.07412034022303415,0.09308393624438827,0.19393158466975458,,
Total North America,0.13332232095652646,0.14062006895272863,0.1407357074264804,0.15546045096175942,0.1622706037653718,0.1623590253395494,0.16584413973581333,0.18672978440292398,0.20150691771854276,0.2086726480582133,0.20272301961701325,0.23850753541853653,0.2519712186245924,0.2640878665730967,0.2812003724229939,0.2887111631812324,0.3023960327329065,0.29840048945355974,0.33248294113669263,0.3936818270080991,0.39728451999645986,0.43980077251177363,0.4941061297377268,0.49523126916216303,0.5939377698564593,0.7575258333891547,0.8081214886482561,0.8697262133712415,0.9109229685776923,0.9274589809277816,0.9174217516271317,0.9041692146456869,0.9392977838324683,0.9604215035519412,0.9887403382466804,1.0253869285123367,1.0495782486968839,1.1591534399104566,1.2227045506245426,1.3218481743735473,1.4163602679940723,1.6368869848883574,1.8757454962472615,2.2906903519205377,2.6060633772381916,3.002887205533899,3.377113635825081,3.661947884568279,4.103561772919171,4.417912000076199,4.781763672641728,5.4061313770173,5.821202888529304,6.1922517444985905,6.5189593409860755,7.041558312622676,0.07721473857177097,0.09602214704290524,0.22205002937491122,,
Argentina,0,0,0,0,0,0.00047540991253644326,0.0004986461370262391,0.0006435315192743763,0.0004904243440233237,0.0005006767142857143,0.0005492264150943396,0.0005020279154518952,0.0005385510781671159,0.000541366620879121,0.0008439376339285715,0.0008625156794425088,0.0007472249999999999,0.0009591246543778802,0.0013731478405315618,0.0009739279181184668,0.0010332161428571432,0.001070789208074534,0.0010815682330827068,0.001211160473515249,0.0011937690789473685,0.0010676328373015872,0.0009960040431266847,0.001018654945054945,0.001074384027777778,0.0011929003759398498,0.0011559245729813668,0.0036101549206349207,0.004602240499999999,0.004964392030075188,0.006852621428571428,0.007098083101045295,0.006544523836937176,0.009117819199657057,0.01071096957234691,0.009480260943564198,0.011096117441538723,0.015753614347661423,0.015657738822144173,0.01649388619477358,0.016675713425318536,0.04046048150727408,0.052178753810225166,0.06513159148829933,0.06981514691340332,0.07692054403328406,0.08166799301102017,0.08059369329961147,0.09344534946071675,0.0811790413845313,0.12191034814950856,0.13445365789344732,0.09987626323555454,0.22010052737115604,0.004239890853603452,,
Brazil,0,0,0,0,0,0.009260119429600002,0.012011962962600002,0.0159062612879,0.014415504667100003,0.012098848661,0.0122931839978,0.012488329216800001,0.0254528982691,0.04698309381472,0.06770596706306001,0.07757385498294,0.07405803702292,0.10268418795934,0.1419067520663,0.1726838919578,0.20799588003910235,0.26571113773179317,0.2737272356172892,0.28561384144193847,0.3064689564889933,0.28373072464892,0.29555846649785994,0.29936235146657203,0.3106139989922444,0.33202931139277486,0.343552683904143,0.3669724998994204,0.36313359255452704,0.35907962304442115,0.36841128991494726,0.32224275604658004,0.3081442226259445,0.34828606498109477,0.35178062610072586,0.38365823283522876,0.4154865288478253,0.40908942019330735,0.545528476607254,0.6892857120766455,0.7650151421041238,0.8942183895431413,0.8538257458922123,0.8747687666697853,1.0211468983564576,1.1868062008970923,1.4144132690362468,1.4619164648654448,1.5932157804535125,1.79593343636097,1.9860790498187904,2.0059163774395783,0.007228655768811931,0.10010122908562669,0.0632550027648889,,
Chile,0,0,0,0,0,0,0.0006600000000000001,0.0005700000000000001,0.00051,0.00046,0.00051,0.0007300000000000001,0.0008,0.0009099999999999999,0.00094,0.0010500000000000002,0.0011,0.0013700000000000003,0.0020800000000000007,0.00201,0.00195,0.0028000000000000004,0.00271,0.0032700000000000003,0.0032100000000000006,0.009630000000000001,0.01033,0.01743,0.0175,0.01786,0.018789999999999998,0.01738,0.01743,0.01161,0.0145,0.01375,0.01679025974025974,0.01764929032258064,0.016692692307692304,0.019841273885350313,0.017401329113924044,0.013837358490566033,0.02588759999999999,0.03446153427130436,0.03277879589177777,0.0350849015591411,0.04339995893451222,0.05927035801632936,0.06864573880626504,0.06313958346449111,0.08233656663482126,0.10614324465671553,0.134737360056723,0.1598346040813701,0.18490203188420487,0.2094179569197148,0.1294942223260238,0.18887137032263368,0.0066038313426018975,,
Colombia,0,0,0,0,0,0,0,0,0,0,0.00189,0.00202,0.00192,0.00206,0.00216,0.00227,0.00212,0.00231,0.0023400000000000005,0.0025499999999999997,0.00267,0.00266,0.0026800000000000005,0.0027400000000000007,0.0027400000000000007,0.0027400000000000007,0.0026900000000000006,0.0034,0.0038900000000000007,0.00444,0.00477,0.00496,0.00483,0.00532,0.00457,0.004978350136986301,0.004954306412337662,0.004892557499999999,0.00491762596153846,0.005135164591222406,0.006057285062106256,0.01078781275596706,0.01149849087808652,0.014642554253131707,0.024683727389368033,0.03324088373864597,0.038959080705976645,0.04109844486800138,0.04017913609898313,0.044680794057512546,0.04706360734843766,0.04743434789482219,0.04836836598077718,0.054033873435399477,0.05825383105989866,0.05455471397926664,-0.0660587227687559,0.0896609189556008,0.0017203402008218465,,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00003158007707006369,0.0009961333517905058,0.0014007737341211316,0.0021011972714999995,0.002005474678881987,0.0020752475380677766,0.0023512151315143795,0.0027086881209261123,0.002884859562358164,0.003394022190250938,0.004736925672711997,0.0052766007088973855,0.006020254237191608,0.005716864217520147,0.005628186681571855,0.007181416913157367,0.007876542419860005,0.09379832798231824,0.13217620559858378,0.0002483805995850976,,
Peru,0,0,0,0,0,0,0.00227,0.00227,0.0023,0.00266,0.00266,0.0024500000000000004,0.00242,0.00215,0.0016300000000000004,0.00085,0.0007599999999999999,0.0015100000000000003,0.00145,0.0014200000000000003,0.00169,0.0015400000000000001,0.00136,0.00136,0.00145,0.00136,0.00133,0.00133,0.00109,0.00119,0.0014200000000000003,0.0013740000000000004,0.001546,0.001265,0.001396,0.001588,0.0016313376623376626,0.0024701050517783453,0.0025680012539964357,0.0019200624688312747,0.0036625117990676664,0.006633842373126274,0.007368001352707769,0.008317116589564421,0.011023014719045427,0.014479685613682179,0.015018649698506751,0.02042517229600195,0.025328366851019617,0.03018145510815505,0.030695748493652825,0.03242769942058715,0.03359378310973811,0.040211808591439975,0.0422407898798388,0.045302239924485205,0.06954589251734133,0.14378175422000194,0.0014285706741856885,,
