Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0.00002052632,0.00002052632,0.00002052632,0.00003842105,0.00005894737,0.00006947368,0.00010105263000000001,0.00013263157894736837,0.00016421052631578948,0.00019451811346548193,0.00022443463497453308,0.00022351214574898781,0.00013899765336909147,0.00017889073950699526,0.000218282025819265,0.0002768092105263158,0.00033260869565217375,0.001029444444444444,0.0023935582822085877,0.005336341463414631,0.008169272727272721,0.013816084337349387,0.01942275449101795,0.026365178571428546,0.03650563905325441,0.032163645454545454,0.033972886762360446,0.03759169461100147,0.039295231630591634,0.04246078861989977,0.4330089372375654,0.005170267149633799,,
Mexico,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0.00001,0.00002,0.00003,0.00004,0.00005,0.00005,0.00006,0.00006,0.00007000000000000001,0.00007000000000000001,0.00007000000000000001,0.00007948051948051946,0.00007896774193548387,0.00007846153846153845,0.00008770700636942676,0.00008715189873417721,0.0000962264150943396,0.00008606249999999997,0.00018055900621118,0.00025499999999999986,0.0002909815950920244,0.0003824999999999997,0.0006398181818181814,0.000976987951807228,0.002024730538922154,0.0018414415193302915,0.0013017599122840087,0.010668495008534798,0.02845263157894728,0.06566678506778219,0.10545632847946447,0.601543250912657,0.742129991609775,0.013875408496991657,,
US,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00003,0.000053010101010101016,0.00010737373737373739,0.00014173737373737375,0.00010603030303030303,0.00009185858585858587,0.0025313232323232325,0.0037079494949494958,0.004782528729674543,0.004088444774882213,0.004751618920299379,0.005018727933602809,0.005144715734785028,0.005413412174271023,0.0053269572753424956,0.005246593462241867,0.0051834206961663114,0.005185126541232548,0.005706215031845409,0.00593835048011322,0.005989109660773238,0.006803456240773934,0.007252012464746781,0.00793321482698471,0.010474862893092091,0.015519165978016072,0.019606292612308347,0.028281875607897723,0.04421050802313595,0.08379776391501281,0.14783574750189615,0.267669025585193,0.3590606060606058,0.5017331898870355,0.7025181818181819,0.8438091440723018,0.9625188550809198,1.1898786064728921,0.23283566422105695,0.47605104502501594,0.1565581882537999,,
Total North America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00003,0.000053010101010101016,0.00010737373737373739,0.00014173737373737375,0.00010603030303030303,0.00009185858585858587,0.0025313232323232325,0.003717949494949496,0.004802528729674543,0.004138971094882213,0.00481214524029938,0.005089254253602809,0.005233136784785028,0.005532359544271024,0.005456430955342496,0.005417646092241867,0.00538605227511368,0.005419337067548337,0.00598021366479141,0.006241752857023237,0.006291083344983764,0.0070301609005124525,0.007518055102987954,0.008247723267898317,0.010837734603618407,0.016032333679879426,0.02089073705675279,0.030966415485198334,0.049929349486550575,0.09260685482410372,0.16262881979105276,0.2891165106151331,0.38726722615136466,0.5395405888525739,0.7453503222812622,0.9062346624136095,1.0657773347597035,1.3346301665829483,0.24883837614472282,0.48173749839996627,0.17560386390042537,,
Argentina,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7000000000000001E-7,2.6E-7,3.600000000000001E-7,4.272077922077921E-7,4.6393548387096765E-7,6.374999999999998E-7,6.821656050955413E-7,7.84367088607595E-7,8.660377358490563E-7,0.0000010413562499999994,0.0000013655962732919249,7.185711111111105E-7,8.062067484662571E-7,0.000015057439024390233,0.00007578569214545447,0.0001389357883734938,0.0001460737724550897,0.00013372017857142846,0.00012921710059171583,0.00014775299999999998,0.000967478947368421,0.007128810564063909,0.011939942343298805,0.6703094356350967,1.5098902535236216,0.001570997016798854,,
Brazil,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000908727272727272,0.00004418190798636141,0.0001473362670425388,0.0005365692849078528,0.0007718858291963888,0.007486320611854701,0.03097073272728501,0.059321442376855216,0.07068614910364071,0.1883227164452126,0,0.009300524757822065,,
Chile,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000003156343636363635,0.00006227431807228912,0.0042025800330538895,0.012386627544626775,0.023088186159763296,0.035063534831489995,0.045799081105515796,0.056162608125380084,0.06763224280979249,0.20093167878811724,0,0.008898707266642013,,
Colombia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000018350136986301373,0.000026514204545454542,0.00004591233870967741,0.00006281826923076921,0.00007749134281476306,0.00009229628164556959,0,0,0,0,0,0,0,0,0,0,0,0,0.00010736681938421051,0.001169798557815977,0.0015933875408162168,0.3583826141074007,0,0.00020964984597531523,,
Ecuador,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1997843607594933E-7,1.4313679245283012E-7,1.736741249999999E-7,2.536093788819875E-7,7.440899999999996E-8,0,5.422170731707313E-7,0.0000030197563636363615,0.000033766977231325275,0.00015100912726167653,0.000328384694024464,0.0003508572252770411,0.00033732,0.0003407097416342108,0.001483818764328585,0.0014783144956205148,-0.006431634092564198,1.6913832119792978,0.00019450911869886664,,
Peru,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005535818181818177,0.0018148012048192757,0.001825922155688621,0.0020969683023214264,0.0021892469509910456,0.002584803087,0.00666937325263158,0.006801671446128635,0.0069099102040816335,0.013137832749497758,0,0.0009091709159762181,,
