Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0.002052632,0.002052632,0.002052632,0.003842105,0.005894737,0.006947368,0.010105263,0.013263157894736838,0.016421052631578947,0.019578947368421057,0.02273684210526316,0.022789473684210526,0.014263157894736839,0.018473684210526316,0.022684210526315786,0.028947368421052642,0.035,0.109,0.255,0.5720000000000001,0.881,1.499,2.12,2.895,4.032322222222223,3.573738383838384,3.7969696969696978,4.216972727272728,4.424325252525254,0.04630435564062063,0.441310098229704,0.005170267149633802,,
Mexico,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0.001,0.002,0.003,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.009000000000000001,0.009000000000000001,0.01,0.009000000000000001,0.019,0.027,0.031,0.041,0.069,0.106,0.221,0.2021975001617577,0.1437891667816978,1.1853883342816443,3.179999999999991,7.366388894782,11.873529631189705,0.6074481625301147,0.7522218348312584,0.013875408496991662,,
US,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.003,0.005301010101010101,0.010737373737373738,0.014173737373737375,0.010603030303030303,0.009185858585858585,0.25313232323232326,0.3707949494949495,0.4782528729674542,0.4088444774882213,0.4751618920299379,0.501872793360281,0.5144715734785028,0.5413412174271023,0.5326957275342495,0.5246593462241868,0.5183420696166311,0.5185126541232549,0.5743510554929366,0.6015975976585289,0.6106543183533498,0.6981324377787633,0.7489006336143736,0.8244321290788035,1.09541049862401,1.6330625636997316,2.0759603942444147,3.0130364209721123,4.738904127970131,9.037013755540604,16.039695480597896,29.216161616161617,39.426262626262634,55.42020202020203,78.05757575757576,94.3080808080808,107.97373737373739,133.97070707070708,0.23738114598180649,0.4846015411447311,0.15655818825379997,,
Total North America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.003,0.005301010101010101,0.010737373737373738,0.014173737373737375,0.010603030303030303,0.009185858585858585,0.25313232323232326,0.3717949494949495,0.4802528729674542,0.4138971094882213,0.4812145240299379,0.5089254253602811,0.5233136784785029,0.5532359544271023,0.5456430955342495,0.5417646092241868,0.538605227511368,0.5419337067548338,0.6019300028613577,0.6323344397637921,0.6414437920375604,0.7213955956735002,0.7763743178249,0.8571163396051192,1.1333578670450626,1.6870625636997314,2.211960394244415,3.2990364209721124,5.351904127970132,9.987013755540605,17.644695480597896,31.55716161616162,42.523460126424396,59.59631340920595,82.81670247569579,101.28505050505049,119.55709899579213,150.26856195442204,0.2534428601206762,0.4903209351132207,0.17560386390042543,,
Argentina,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000017,0.000026,0.00003600000000000001,0.000043,0.000047,0.000065,0.00007,0.00008100000000000002,0.00009,0.0001089,0.0001437,0.00007608399999999999,0.00008588999999999999,0.0016140000000000002,0.008172966799999999,0.015074078999999995,0.015944,0.014682999999999998,0.014273,0.016416999999999998,0.10813,0.7996979130000001,1.3443409347923747,0.6764678891052793,1.5244295927598888,0.0015709970167988546,,
Brazil,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098,0.0047935926312,0.0160818016968,0.058917411676156446,0.08526059159097375,0.8318134013171892,3.4614348342259724,6.654579082808069,7.958688662863959,0.19270407836573966,0,0.009300524757822068,,
Chile,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003403900000000001,0.006756560000000003,0.45871298400000005,1.3601002794100001,2.5502637000000004,3.89594831461,5.118720829440002,6.300226398623749,7.61484351488932,0.20535953012326402,0,0.008898707266642016,,
Colombia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018350136986301372,0.00266875,0.00465125,0.006404999999999998,0.007951726027397259,0.00953125,0,0,0,0,0,0,0,0,0,0,0,0,0.01199982099,0.13122602388000001,0.1794025494025612,0.3633909891696565,0,0.0002096498459753153,,
Ecuador,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001238993,0.000014874999999999999,0.000018161999999999997,0.000026687000000000004,0.0000078786,0,0.00005812,0.00032566,0.00366360668,0.01648269559,0.036057927187,0.038754817694,0.03748,0.03807932406500003,0.1664522795829998,0.16644625525139067,-0.0027683340953633673,1.7069739070221686,0.0001945091186988667,,
Peru,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597,0.19690000000000002,0.1993,0.23025534299999997,0.24181878086110264,0.287200343,0.7454005400000001,0.763,0.778,0.016873285635505386,0,0.0009091709159762183,,
