Thousand barrels daily,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,1108.1163013698629,1167.468794520548,1245.5570684931508,1322.1573497267761,1380.190328767123,1471.5797534246574,1512.1282465753425,1588.9092349726777,1754.8856441852647,1787.2618683475048,1775.007009565749,1814.3684548540143,1835.7518269943769,1904.8865397270465,1985.764225433073,1943.4865027644216,1875.5920074787928,1731.7502049968148,1648.7565084230337,1666.376767599129,1698.9857071191693,1756.0664482388024,1811.1994773638971,1906.4218829780648,1977.105182192652,1754.7788360421087,1677.2980867581225,1720.9437090863664,1751.9790702473651,1793.057893410162,1898.8680150310117,1936.4832161366842,2002.6137043523115,2037.1749219629025,2096.3387773789573,2067.16692329661,2142.993663975942,2236.1380065311696,2306.65798600256,2405.605141558933,2348.184522798532,2378.8805224643406,2455.3336028647923,2364.5993562695867,2310.0251887952954,2413.8242984270223,2444.649540779348,2481.524532059223,2476.933674577083,2477.9969110781667,2498.387960538982,2506.7552657796887,2485.9486104470493,2565.927431335698,2605.012142974399,2341.996251283422,-0.10096532271464409,0.0120903957998586,0.025714133945059794,,
Mexico,315.8710877276303,333.04848368185935,357.3059571082979,386.1447623572456,410.02190563825525,440.7359872363793,467.28485151159845,523.3531661427158,564.1778054586741,629.4570692649045,690.2488443283514,753.8270592153171,780.1563000638181,888.9484424227132,961.922471675151,1071.6892298101343,1195.702533489663,1254.638025334303,1227.6879883198028,1293.3178525833437,1356.8727348580414,1393.8297207438516,1448.3223554074712,1434.998000520991,1537.5411403553037,1610.7858039745324,1686.5303258285223,1708.3388500020721,1714.9274725656358,1824.3367854375992,1722.4216625654878,1744.858540900722,1783.8836461805604,1881.0340605233087,1874.442378468069,1954.570985082232,1927.7314920375718,1850.4894234273568,1903.174119351298,1977.7855579968323,2020.2041209479853,2010.970558140604,2091.6418280711114,2083.293209474974,2024.414417256176,2042.976351332246,2068.1354603237487,2086.4588482310382,2037.627506644235,1965.0496314214906,1944.9831604020005,1956.1964775688673,1889.6016295361724,1842.2936196782887,1704.5757064750287,1318.6924409595156,-0.22638083134101394,-0.017049410871767923,0.014478688443924097,,
US,11512.436000000002,12084.373000000001,12560.345,13392.866000000002,14136.795000000002,14697.185999999996,15212.493000000002,16366.984,17307.679000000004,16652.71,16321.959000000003,17461.066,18431.418999999998,18846.622,18512.540000000005,17055.861,16057.694657534246,15295.719767123286,15231.13461643835,15725.614234972676,15726.417315068496,16280.626931506846,16665.05001369863,17283.313005464483,17325.152328767123,16988.497131506847,16713.838252054793,17032.8602978142,17236.733520547947,17718.159369863017,17724.589123287667,18308.910284153008,18620.30434246575,18917.14495890411,19519.339246575342,19701.07908196721,19648.70510684932,19761.30927671233,20033.507967123285,20731.152521857923,20802.15712054794,20687.418328767126,20680.380526027395,19497.966571038254,18771.398224657532,19177.53941095891,18895.507369863015,18482.354292349726,18966.515808219177,19100.464975342475,19531.63651232877,19691.89609016393,19951.923920547943,20511.592342465756,20542.85797260274,18120.471256830602,-0.11791868098405711,0.009058683386833577,0.1989551540872043,,
Total North America,12936.423389097494,13584.890278202409,14163.208025601449,15101.168112084024,15927.00723440538,16609.50174066103,17191.906098086944,18479.246401115393,19626.74244964394,19069.428937612407,18787.214853894104,20029.26151406933,21047.327127058194,21640.456982149757,21460.226697108228,20071.036732574557,19128.989198502702,18282.107997454405,18107.579113181186,18685.30885515515,18782.275757045707,19430.5231004895,19924.571846469997,20624.73288896354,20839.79865131508,20354.061771523488,20077.666664641438,20462.14285690264,20703.64006336095,21335.55404871078,21345.878800884166,21990.25204119041,22406.801692998622,22835.353941390324,23490.12040242237,23722.81699034605,23719.430262862836,23847.93670667086,24243.34007247714,25114.54322141369,25170.54576429446,25077.26940937207,25227.3559569633,23945.859136782816,23105.837830709002,23634.34006071818,23408.29237096611,23050.337672639987,23481.076989440495,23543.511517842133,23975.00763326975,24154.847833512486,24327.474160531165,24919.813393479744,24852.445822052166,21781.15994907354,-0.12358082962818095,0.007313701983453269,0.23914797647618818,,
Argentina,455.9048223893995,471.1452654250101,484.09300064811384,493.49122048528244,516.6782543890826,473.10091169444166,505.33380821917814,501.60724043715845,507.44317808219176,505.9257534246575,481.832602739726,494.38183060109293,520.3655890410959,509.2955068493151,546.8477808219178,503.7024863387978,475.94093150684927,454.56052054794526,463.000684931507,441.89319672131137,412.3772328767123,439.3469863013699,466.9987123287671,469.17021857923487,434.1435616438356,406.84504109589045,425.5481643835616,446.8314207650273,440.7791780821918,461.3934246575343,458.9797808219178,460.44341530054646,486.97109589041094,499.50301369863007,504.4642191780822,467.26338797814213,445.5322465753424,422.879698630137,432.23610958904106,461.3293169398907,481.56995205479456,507.18493617406523,566.687612787522,571.3216192519126,551.290288458224,596.5917661881304,629.4298377960988,669.081006588684,713.4871870120353,708.6500237051962,726.9777971943279,710.9230553858463,710.8822909795047,680.1166266459009,603.0148490531327,525.4196469214646,-0.12867875849742305,0.009008364470692865,0.005768886765254491,,
Brazil,305.6738082191781,334.60257534246574,344.54016438356166,412.4323770491804,456.56490410958907,516.0549424537345,569.0849019488644,655.9512868597757,803.0538936069753,863.0910172597752,891.2442937356957,960.9904354841627,993.1170216378321,1095.290227793149,1163.718997613927,1127.8850812612027,1085.6621175139574,1132.0789223285599,1108.3432594893782,1147.7135972204321,1195.8312777850322,1356.9235742042026,1400.0807191538254,1427.5871466160916,1456.7303322615753,1427.4605689244988,1449.065844583219,1530.5228208516833,1599.9746876903698,1709.6713638568392,1785.4480660187403,1877.214946236871,1997.7411324855254,2068.2332267377565,2119.90447060667,2039.9157575125312,2062.7803913107164,2044.6489547274516,1984.086282874248,2064.7522095616905,2123.340600151624,2152.2427552813556,2308.348624160084,2481.275520354474,2497.9325122055106,2713.5441948158705,2831.920379163656,2884.242262317035,3099.794985213042,3213.588463487612,3138.2021184681184,2957.415401739538,3029.5711410481013,3025.50400594218,3142.140135340162,3018.6046996939053,-0.03931569895843712,0.023209314445618245,0.03314301017031074,,
Chile,70.51694045444381,77.4531444323939,81.56863081759099,86.06351001755527,92.45494402367194,97.83772129096221,108.04353424657535,114.29131147540983,109.55873972602738,105.07109589041094,92.02065753424657,97.1053005464481,100.0235616438356,108.82997260273973,109.88660273972603,111.30177595628416,115.53317808219177,103.84602739726029,100.35991780821918,100.21095628415301,97.67638356164383,104.42158904109588,109.38887671232877,120.1387704918033,132.9309589041096,140.1815890410959,156.36120923546113,169.05438556462857,184.8142670423022,198.17370804079664,217.73869862475115,231.1498468499595,249.52508718076297,255.7716394241689,259.4806883381658,253.1262686378599,242.31397618785095,251.97382034780426,243.93935134479918,257.4065502555506,266.1302081396914,293.4898000473497,377.1026561762483,389.93318237733615,383.49173846953664,342.6394997484001,371.00992071820224,375.60493071434115,362.47615477732603,353.08636752040326,355.47313519703283,377.02296364867357,363.7414539105296,378.95514498737964,379.22625249082137,346.64201515633226,-0.08592294737104933,-0.0011178825918356505,0.0038059835509261348,,
Colombia,81.43229129021513,92.39368029818084,93.3693149631617,103.89654224386314,100.49194879341259,116.06589275958822,119.9529589041096,134.95265027322404,131.22712328767122,144.79786301369865,144.8206301369863,152.09262295081967,153.11501369863015,156.63687671232876,165.69027397260274,157.05881967213114,161.4944794520548,165.90605479452057,171.87026027397263,171.38659016393441,178.5949589041096,177.61073972602742,187.0365068493151,196.38637158469948,202.6720547945205,205.80561643835617,211.11534246575343,230.95505464480877,245.5923287671233,253.68547945205478,266.22158904109585,274.49842076502733,281.4819960273973,275.18405561643834,245.53862,238.9628032786885,225.42008219178075,221.28661643835616,229.4299501369863,228.21385546448087,237.37452260273977,234.57150000000001,232.1155515068493,249.50025650273224,250.97984366575045,266.17697702778435,275.1492125914381,295.8435552442284,294.2422991031426,309.75431190339793,330.40348664763735,337.46866202765074,331.76630717826833,343.7285378536444,358.35343655060205,294.3304391242171,-0.17865880691043534,0.036256512422838894,0.0032316244450010744,,
Ecuador,13.394794520547944,13.969342465753426,15.110301369863015,18.00893442622951,18.951095890410958,21.513561643835615,23.87684931506849,24.656830601092892,27.43871232876712,31.346931506849316,30.72605479452055,34.70180327868852,43.55808219178083,44.83956164383562,47.77531506849314,61.92532786885246,69.01030136986301,75.16183561643835,68.86498630136987,69.1429781420765,85.16257534246576,86.52123287671232,87.6417808219178,103.01959016393442,108.27660273972603,111.39386301369866,124.30350684931506,123.49644808743169,124.78306849315068,135.32671232876712,134.19739726027396,149.43035519125684,170.01838356164382,171.58931506849316,150.90778082191778,138.7756830601093,144.07386301369866,143.29591780821917,147.51271232876712,154.5646054514455,169.15414442267354,179.65388277883616,182.7494543378703,188.0743924667927,190.6666160469362,220.41987397260274,226.11709589041095,232.97557923497266,247.41898630136984,260.3718301369863,254.2131698630137,239.75854918032786,237.1506219178082,255.28866575342465,249.31477260273968,203.0656775956284,-0.18550483200129098,0.027181846284656697,0.002229575743546485,,
Peru,74.43827028213533,94.67592185234543,95.4485054904897,95.2709889353352,93.61003886324795,98.03667264009869,97.99632876712329,84.19579234972679,99.88830136986303,118.08816438356163,120.06720547945204,120.61759562841529,120.0768493150685,118.24052054794521,123.11767123287669,132.4470218579235,135.85410958904106,133.106301369863,118.01936986301371,121.26937158469944,118.67841095890411,126.79449315068493,136.98476712328764,134.83483606557374,119.4744931506849,119.33109589041095,111.01838356164384,116.202868852459,121.13465753424656,131.6004383561644,148.88561643835612,153.98994535519128,159.25150684931506,154.63065753424655,159.23531506849315,154.98909836065576,147.28901369863019,146.98583561597474,139.8285479455411,153.005191255815,154.3548861065746,148.53761160208055,157.38983201408922,175.0207630481074,182.1878499189449,195.51847902624996,216.40863013836682,219.9168032762382,231.0553110588876,229.1903493746485,244.4642540589018,260.1707772806442,269.6879273917607,277.93150646702816,284.71891115465843,219.40170173233307,-0.22940945214153774,0.0456580623635614,0.0024089384186791866,,
