Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0.00001,0.00001,0.00001,0.00001,0.00001,0.000019191919191919194,0.000019191919191919194,0.0005899999999999999,0.0005899999999999999,0.0005899999999999999,0.0005899999999999999,0.00062,0.00062,0.00062,0.0016200000000000003,0.0026400000000000004,0.003268636363636364,0.003997741935483871,0.006767307692307691,0.009209235668789808,0.015028860759493666,0.02355622641509433,0.028469532374999988,0.036002649915302075,0.06272670875420873,0.0818896542108198,0.09505193791574273,0.10488834214876026,0.10272607502738218,0.11742584812193783,0.24558677435064916,0.28004538031199544,0.2836225363636364,0.296555745348219,0.291140685213462,0.3206489179162233,0.09834469800092238,0.16591003392294046,0.022688642596504206,,
Mexico,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0.00001,0.00001,0.00001,0.00005,0.00007000000000000001,0.00006,0.00012,0.00015,0.00017,0.00018999999999999998,0.00017883116883116886,0.00020729032258064514,0.00018634615384615377,0.00019490445859872608,0.00018398734177215182,0.0004330188679245269,0.002371499999999992,0.0024232919254658304,0.005632220679012327,0.011630920245398732,0.015377632469512143,0.03420069530303018,0.03856838644578299,0.058874735928143504,0.0796428269345235,0.09395553210059136,0.09557803499999973,0.11710862573099379,0.14910785209252128,0.17502872185762133,0.170632524421245,0.3876568541007803,0.012384773166108328,,
US,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0.000026949494949494956,0.00006555555555555556,0.00005820202020202021,0.00004231313131313132,0.00003576767676767677,0.0000087979797979798,0.02133376767676768,0.028167676767676765,0.02980758585858586,0.029166898989898993,0.0303618888888889,0.03481928282828284,0.03196215151515152,0.03266736363636364,0.03321247474747475,0.03056258585858586,0.045333313131313134,0.05649758585858587,0.06761194037780402,0.10323915542521994,0.11083153962703962,0.13922617081644467,0.17421135385500572,0.2584421549456832,0.33275497670454535,0.5314357425183509,0.7048620897867561,0.897427876185164,1.1324845803769394,1.3189911575757567,1.5625825109529015,1.6810777321720183,1.7544455173160158,2.075779211403979,2.3118426818181814,2.464299158958001,2.6642512183862386,3.02791736730571,0.13339325818659442,0.14221300854087948,0.21425094899742164,,
Total North America,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0.000026949494949494956,0.00006555555555555556,0.00006820202020202021,0.00005231313131313132,0.00004576767676767677,0.0000187979797979798,0.02134376767676768,0.028196868686868683,0.029836777777777778,0.029766898989898993,0.0309618888888889,0.03545928282828284,0.03262215151515152,0.03334736363636364,0.03395247474747475,0.03133258585858586,0.047123313131313134,0.05932758585858588,0.07105940791027156,0.10744418768328445,0.11778519347319347,0.14863031094383322,0.18942420195627155,0.282431400228702,0.3635960090795453,0.5698616843591189,0.7732210192199772,0.9909484506413825,1.2429141507621941,1.4580801950275473,1.7038769724260667,1.8573783162220996,2.0796751186011884,2.449780123816566,2.6910432531818174,2.8779635300372135,3.104499755692222,3.5235950070795545,0.13189498304003555,0.149129034402806,0.2493243647600342,,
Argentina,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00009618,0.00014592000000000004,0.00032541000000000004,0.00034781,0.00034758,0.0004904047402597403,0.0007245783870967743,0.000764548846153846,0.0007060024203821652,0.0006945005534810123,0.0006701207547169809,0.0005889830624999997,0.00039866552385093147,0.0003478533256666665,0.00023796292936196302,0.00024807037499999983,0.003429629448360542,0.0041785118089156595,0.005675576227544906,0.005403586270178565,0.004955380295857983,0.005504102999999998,0.012640332105263151,0.0445359399370094,0.08411170454806173,0.8834651579442985,0.6245438794739171,0.005951619656400453,,
Brazil,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00002,0.00004,0.00005,0.00002,0.00001,0.0003467337662337662,0.0006021290322580644,0.0005982692307692306,0.0005944585987261146,0.0008996012658227846,0.0022805660377358482,0.006337851310408756,0.011242173913043474,0.011692222222222215,0.020430268343558267,0.025233515670731684,0.04682727272727269,0.06060885534387484,0.11186637756343623,0.1969483589614111,0.30318327902246844,0.38135932423519675,0.4337249477006408,0.4990770699521459,0.5063739853067797,0.011848630665841853,0.4555497552513015,0.03583027333276309,,
Chile,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00006954545454545455,0.00006909677419354838,0.00006865384615384615,0.00004872611464968152,0.00006778481012658226,0.0000673584905660377,0.00010709999999999995,0.0003622882248447203,0.0007462454111111106,0.0030536734030674833,0.0031495202999999986,0.0037868654454545417,0.005023889252891561,0.013221400451496996,0.019258401519642837,0.022197126463136083,0.03263003421074999,0.032102215885368414,0.04363785962701534,0.049963985645076286,0.14184042134477193,0.502097684811355,0.003535377634719431,,
Colombia,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005066541401273885,0.00047914177215189856,0.000606047364583016,0.00047708244767249725,0.0005123900314676988,0.0005450182436166636,0.0003620366715478499,0.00038503704394755796,0.0005086527777872697,0.0005311201685421655,0.0006434272799784426,0.0006227231899660709,0.00046069604899881615,0.000027642772980000002,0.0004960168372684211,0.0005644947197378124,0.0002577763218076735,-0.5445980167238955,0.003517347503904533,0.00001823987080119769,,
Ecuador,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009200415937499996,0.00002549171012422359,0.000030263935178888875,0.000032241230061349676,0.000031203323780487785,0.000022239412363636345,0.0005226238024785538,0.0007305746934319754,0.0008998432433876778,0.0007600999282716561,0.0006606000000000001,0.0007180958483931579,0.000762419563523147,0.000759618838595919,-0.00639567302330768,0.38078755262908115,0.00005374950413204693,,
Peru,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000004000000000000001,0.000005999999999999999,0.000005,0.000005999999999999999,0.000008000000000000001,0.00001192207792207792,0.000011845161290322579,0.000011769230769230767,0.000011694267515923564,0.000011620253164556957,0.00001154716981132075,0.000011474999999999994,0.000011403726708074528,0.000011333333333333325,0.000011263803680981586,0.000011195121951219504,0.000011127272727272718,0.000011060240963855412,0.0023591317365269445,0.0054130501260575255,0.009543167918547733,0.009660890412,0.013442867817307014,0.014753297828758704,0.016022465306122453,0.08305873466220759,1.0485810202672057,0.0011337259180786649,,
