Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.0019191919191919194,0.0019191919191919194,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.062,0.062,0.062,0.162,0.264,0.329,0.405,0.69,0.945,1.552,2.448,2.9772060000000002,3.7885141414141414,6.641651515151516,8.72419191919192,10.188573737373739,11.31148787878788,11.145443434343434,12.817069696969696,26.96639090909091,30.93311717171717,31.513615151515154,33.14446565656566,32.6596696969697,36.10247467347183,0.10239430975102803,0.17266393938887648,0.022688642596504202,,
Mexico,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.005,0.007,0.006,0.012,0.015,0.017,0.019,0.018000000000000002,0.021,0.019,0.02,0.019,0.04499999999999987,0.2479999999999993,0.2549999999999993,0.5963527777777761,1.2391111111111075,1.6483213888888844,3.6883102777777674,4.184543888888877,6.426196666666649,8.745094722222197,10.378094722222194,10.619781666666636,13.088611111111073,16.726666680048,19.706818407682547,0.17494866236462459,0.3956952986969047,0.012384773166108325,,
US,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0.0026949494949494953,0.006555555555555556,0.005820202020202021,0.004231313131313132,0.003576767676767677,0.0008797979797979799,2.133376767676768,2.8167676767676766,2.980758585858586,2.9166898989898993,3.0361888888888897,3.4819282828282834,3.196215151515152,3.2667363636363635,3.3212474747474747,3.056258585858586,4.533331313131312,5.649758585858587,6.805384848484849,10.458868686868689,11.300470707070708,14.286607070707072,17.990453535353534,26.857714141414146,34.79790606060607,55.92232323232324,74.63245656565657,95.6083292929293,121.39050404040405,142.24414444444446,169.53509595959596,183.49018383838384,192.644997979798,229.28541616161618,256.8714090909091,275.42167070707075,298.871195959596,340.91900505050506,0.13757209445192808,0.1488296414346637,0.21425094899742167,,
Total North America,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0.0026949494949494953,0.006555555555555556,0.006820202020202021,0.005231313131313132,0.004576767676767677,0.00187979797979798,2.134376767676768,2.8196868686868686,2.983677777777778,2.9766898989898993,3.0961888888888898,3.5459282828282834,3.2622151515151523,3.334736363636363,3.3952474747474746,3.1332585858585857,4.712331313131313,5.932758585858587,7.152384848484848,10.884868686868689,12.009470707070708,15.251607070707072,19.561453535353532,29.350714141414144,38.02311206060607,59.96583737373738,81.87046085858586,105.57163232323234,133.2273991666667,157.2439426010101,184.86508328282827,202.73345020202018,228.35648361111112,270.5966280555555,299.0048059090909,321.65474747474747,348.25753233661374,396.7282981316594,0.13606829514464835,0.15578573058064493,0.24932436476003417,,
Argentina,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009618,0.014592000000000003,0.032541,0.034781,0.034758,0.049361,0.07340500000000001,0.077954,0.07244599999999997,0.071719665,0.06964000000000001,0.06159299999999999,0.04195107799999999,0.036831528599999996,0.025351606199999998,0.026590549999999998,0.3698619993329999,0.453354876,0.619491,0.5933349629999998,0.5473589999999999,0.6115669999999999,1.4127429999999996,4.995966423999997,9.470297616854376,0.8904095194442978,0.6339545676642524,0.005951619656400451,,
Brazil,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.005,0.002,0.001,0.0349,0.061,0.061,0.061,0.0929,0.237,0.6627818363826152,1.183,1.238,2.176558,2.7047689999999998,5.05,6.575862736655708,12.210251668688802,21.62570216046869,33.48887199659949,42.3732582483552,48.475141213601034,55.98562167983402,57.01361507360342,0.01557933024633873,0.4639814911159088,0.03583027333276309,,
Chile,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0.007,0.005,0.007,0.007,0.0112,0.03812314,0.07901422,0.32532599000000006,0.33759564000000003,0.40838744999999993,0.545075566,1.44312018,2.11464801,2.4518394590000008,3.6255593567499997,3.5878947166,4.895221293637153,5.62554066316346,0.14605040241486722,0.5107990643935192,0.0035353776347194304,,
Colombia,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05199,0.049479999999999996,0.06298139278999973,0.04989097491999974,0.0539181667099997,0.05770781402999971,0.038569919909999716,0.041271944579999706,0.05485471132999971,0.0576248025999997,0.07023029788,0.06837744831,0.050887341360000005,0.00307141922,0.055437175930000006,0.063324063,0.02902352888,-0.5429189434549544,0.009330541576575424,0.000018239870801197686,,
Ecuador,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000962135,0.002682461,0.0032044166660000002,0.00343485,0.00334467,0.002398368,0.056702974648000004,0.07974246653799999,0.098806316921,0.083958750247,0.0734,0.08025777129100001,0.08552693725000009,0.08552693725000009,-0.002732240437158473,0.3887862046070729,0.000053749504132046936,,
Peru,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0006,0.0005,0.0006,0.0008,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.2575,0.5943741314886701,1.0541146262971035,1.0734322680000001,1.5024381678166665,1.655,1.804,0.08705198685883153,1.0604480787431,0.0011337259180786644,,
