Series Key,Series Name,Units,Frequency,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
INTL.44-2-ABW-QBTU.A,"Total energy consumption, Aruba, Annual",QBTU,A,,,,,--,--,--,--,--,--,0.001,0.001,0.006,0.007,0.008,0.009,0.009,0.01,0.01,0.012,0.008,0.013,0.013,0.013,0.015,0.016,0.016,0.018,0.019,0.02,0.02,0.021,0.02,0.019,0.018,0.015,0.018,0.018,0.018,0.018,0.018,0.019,0.018
Series Key,Series Name,Units,Frequency,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
INTL.44-2-AFG-QBTU.A,"Total energy consumption, Afghanistan, Annual",QBTU,A,,,,,0.027,0.03,0.032,0.039,0.039,0.038,0.039,0.063,0.111,0.109,0.108,0.047,0.031,0.031,0.03,0.025,0.025,0.024,0.023,0.023,0.02,0.016,0.015,0.018,0.016,0.021,0.026,0.034,0.059,0.095,0.119,0.161,0.148,0.125,0.114,0.126,0.118,0.125,0.128
Series Key,Series Name,Units,Frequency,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
INTL.44-2-AGO-QBTU.A,"Total energy consumption, Angola, Annual",QBTU,A,,,,,0.058,0.058,0.062,0.066,0.06,0.074,0.073,0.075,0.077,0.075,0.08,0.083,0.085,0.083,0.081,0.087,0.084,0.094,0.085,0.094,0.111,0.12,0.128,0.142,0.157,0.134,0.169,0.194,0.227,0.259,0.284,0.298,0.311,0.348,0.383,0.4,0.391,0.377,0.389
Series Key,Series Name,Units,Frequency,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
INTL.44-2-ALB-QBTU.A,"Total energy consumption, Albania, Annual",QBTU,A,,,,,0.163,0.162,0.163,0.169,0.17,0.17,0.166,0.167,0.169,0.16,0.115,0.096,0.084,0.074,0.07,0.078,0.085,0.078,0.084,0.075,0.098,0.093,0.101,0.114,0.12,0.119,0.112,0.097,0.106,0.115,0.127,0.106,0.104,0.127,0.116,0.116,0.13,0.124,0.139
Series Key,Series Name,Units,Frequency,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
INTL.44-2-ARE-QBTU.A,"Total energy consumption, United Arab Emirates, Annual",QBTU,A,,,,,0.275,0.441,0.42,0.518,0.589,0.801,0.907,1.069,1.171,1.268,1.227,1.488,1.613,1.51,1.489,1.605,1.67,1.768,1.838,1.864,2.09,2.269,2.372,2.443,2.584,2.667,2.819,3.101,3.579,3.513,3.639,4.043,3.999,4.177,4.162,4.718,4.732,4.696,4.63
Series Key,Series Name,Units,Frequency,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
