Title,Technology Broad Category,Technology Mid-Type,Technology Sub-Type,Status,Description,Rated Power (kW),Duration (hours),Latitude,Longitude,Image,Service / Use Cases,Street Address,City,State,Postal Code,Country,URL,Announced,Commissioned,Constructed,Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Ownership Model,Equity Owner 1,Equity Owner 1 Percent,Equity Owner 2,Equity Owner 2 Percent,Energy Storage Technology Provider,Power Electronics Provider,Integrator Company,O&M Contractor,Developer,EPC 1,EPC 2,EPC 3,Debt Provider,Projected Project Lifetime (Years),Performance,Capital Expenditure,Operating Expense,Funding Source 1,Funding Source Detail 1,Funding Amount 1,Funding Source 2,Funding Source Detail 2,Funding Amount 2,Funding Source 3,Funding Source Detail 3,Funding Amount 3,Research Institution,Research Description,Research Institution URL,Contact Name,Contact Email,Contact Phone,Contact Street Address,Contact City,Contact State/Province,Contact Zip,Contact Country,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support,qqqq,rrrr
Ponale (Riva del Garda Ledro) Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Ponale Hydroelectric Power Plant is a pumped storage plant, located in city of Riva del Garda in the Italian province of Trentino, on River Ponale between Lake Ledro and Lake Garda. The station was built in 1928-1929 and underwent overhaul in 1998. The station is known by the world record in high-rise concrete pumping during the reconstruction in 1994. The achieved record was 532m.",80000,0,45.8885171,10.84,,"Electric Supply Capacity, Electric Energy Time Shift, ",,Riva del Garda,Tretino,,Italy,http://www.enel.com,,11-04-1905,,,,Enel,Investor Owned,Transmission,,Utility-Owned,Enel,0,,,,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Urdiceto Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Spain is facing many challenges trying to integrate a large amount of renewable energy (wind and solar) into real-time dispatch of its power generation to meet electricity demand. To meet sustainable criteria for grid stability and reliability, the major utilities in Spain are looking into alternative storage projects, and especially pumped storage projects. Spain has one of the most dynamic markets for pumped storage in southern Europe with a total installed capacity of 5, 350 MW in operation against a total estimated potential of 13,000 MW. Spain is slated to construct additional projects in the coming decades. One government report on renewable energy plans for 2011-2020 estimates a target installed capacity of about 6,300 MW by 2015 and 8,800 MW by 2020. Iberdrola, Gas Natural Fenosa (GNF), and Endesa are the three main utilities that are expected to undertake these developments to fulfill the government objective.",7200,0,42.6334211,0.22,,"Electric Supply Capacity, Electric Energy Time Shift, ",,Bielsa,Aragon,,Spain,http://www.iberdrola.es/webibd/gc/prod/en/doc/INFORMEANUAL.pdf,,1929-01-01,,,,,,Transmission,,Third-Party-Owned,Iberdrola,0,,,,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Rocky River Pumped Storage Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The Connecticut Light &amp;amp; Power Company pioneered the use of pumped storage in the United States at this hydroelectric station. First operated in 1929, the Rocky River Plant had two reversible pumps that somewhat resemble large hydroelectric turbines. This permitted significant improvements in the system efficiency of the company&#039;s network of hydroelectric and thermal-electric power generating plants.  With Candlewood Lake and the Housatonic River differing in elevation by 200 feet, the Rocky River plant uses a single penstock, 1,000 feet long, to carry water downhill and lift it uphill. The Rocky River plant&#039;s pair of 8,100-horsepower pumps together are capable of lifting a million gallons every four minutes. At the time of their installation, they were largest of their kind in the world.   The Rocky River plant pumps water when the Housatonic River runs high. When the river runs low, water released from the lake to create electricity also raises the river level, helping generate additional power at two downriver plants. For every kilowatt-hour used to pump water, the three plants together can generate 1.3 kilowatt-hours.",29000,0,41.58258,-73.43,,"Electric Energy Time Shift, Electric Supply Capacity, ",200 Kent Road,New Milford,Connecticut,6776,United States,http://www.asce.org/project/rocky-river-pumped-storage-hydraulic-plant/,,1929-01-01,,,ISO-NE,FirstLight Power Resources,,Transmission,,Third-Party-Owned,FirstLight Power Resources,100,,,,,,,Connecticut Light &amp; Power Co.,,,,,0,Performance metrics not available.,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Etzelwerk Pumped Hydro Storage Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The dam has a triangular cross section and a volume of 28 000 cubic meters.Â On the right side of the wall, the tunnel is running with a valve chamber, and from there to a 2900 meter long pressure tunnel to the water castle.Â The headrace tunnel is divided after the surge pressure in two lines, each 2,200 meters length.Â Due to this, the engine water reaches the turbines in the old village center.",135000,0,47.1369626,8.78,,"On-Site Power, Electric Energy Time Shift, Electric Supply Capacity, ",,Sihlsee,Einsiedeln,,Switzerland,http://www.sbb.ch/sbb-konzern/sbb-als-geschaeftspartnerin/angebote-fuer-evus/energie/erzeugung/wasserkraftwerke/etzelwerk.html,,1937-01-01,01-01-1932,,,,,,,Customer-Owned,SBB CFF FFS,100,,,,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Skhodnenskaya Hydro Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"&lt;p&gt;Skhodnenskaya SHPP is a hydropower plant that is a part of the Moscow canal in the north-west of Moscow, one of the electric power plants on the canal.Â The power plant was built in 1939 according to the diversion scheme, using the elevation difference between the Khimki Reservoir and the Shodnya River.Â Pressure structures of the hydropower plant form the Khimki Reservoir with the area of 4 sq.km.Â &lt;/p&gt;&lt;p&gt;The main source of water for the pressure reservoir are five pump stations of the canal with the aggregate capacity of 101 MW and the consumption of 350 mln kWâ–ªh of electric power per year with the average daily consumption of about 72 sq. m./s. The power plant along with the pump stations is actually a pump storage complex â€” the emergency and peak backup power in the Moscow electric power system.&lt;/p&gt;",30000,0,55.850657,37.44,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Skhodnenskaya,Moscow,,Russia,http://www.russiagogreen.ru/en/res/detail.php?ID=1648,,1937-01-01,,,,,Investor Owned,Transmission,,Utility-Owned,Unknown,0,,,,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Å tÄ›chovice Pumped Hydro Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The Å tÄ›chovice Hydro Power Station was built between 1938 and 1947. The concrete dam with granite revetment is 22.5 m high and 120 m long. This waterworks includes a lock chamber, which overcomes the difference of 19.10 m between the lower and upper water levels and is unique in Europe, and also the reservoir of the pumped-storage power station Homole with a total capacity of 0.5 million m3, and two steel penstock shafts of 1.7 to 2 m diameter and length 590 m. The medium-head part of the power station with 2 Kaplan turbines with total installed capacity of 22.5 MW (2x11.25 MW) was commissioned in 1944. The pumped-storage power station was initially built between 1941 and 1947. After many years of intensive exploitation, it was shut down in 1991 and reconstructed between 1991 and 1996. Instead of two sets arranged in three stages of total capacity of 42 MW it is now equipped with a single set of a reversing Francis turbine and a motor generator, which give a total capacity of 220 MWh. The set is installed in an underground generator room built in a pit which is approximately 45 m high. The power station includes also two outdoor switching stations, 110 kV and 22 kV. Both parts of the power station are fully automatic and are controlled remotely from the Control Room of the Vltava Cascade.   The Å tÄ›chovice water reservoir was built between 1938 and 1944. The concrete dam with a granite revetment is 22.5 m high and 120 m long, with five spillways with crest gates. These spillways with the capacity of 2,400 m3/s are able to handle floods as catastrophic as the one in 1890.  The medium-head power station is equipped as a classic run-off-river hydroelectric power station, with two sets of Kaplan turbines. It further includes an outdoor 110 kV switching station, and outgoing and distribution transformers.",45000,4.88,49.846401,14.42,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Å tÄ›chovice,252 08 Å tÄ›chovice,,Czech Republic,http://www.cez.cz/en/contacts/information-centers/stechovice-information-centers.html,,01-01-1944,,,,ÄŒEZ Group,Investor Owned,,,Utility-Owned,ÄŒEZ Group,0,,,,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Provvidenza Hydro Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"&lt;p&gt;Providence is the first system of hydroelectric power stations built along the Vomano Valley , located upstream of the hydroelectric St. James.Â It is a central cave that receives its water from the overlying Campotosto with a gallery of adduction of 1,102 m and a penstock of 240 m, the water is then returned to Lake Providence with a gallery of 683 m.Â It is equipped with two groups turbine / alternator Francis horizontal axis and a vertical axis. The machines also allow the reverse pumping water from Lake Providence to the Campotosto with a flow rate maximum total of 32.5 mÂ³ / s to form the reserves to be used in the period of increased consumption of electricity .&lt;/p&gt;",156000,0,42.5575092,13.37,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Campotosto,Abruzzi,,Italy,http://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Provvidenza,,01-01-1949,,,,Enel,Investor Owned,Transmission,,Utility-Owned,Enel,0,,,,,,,,,,,,0,Annual Production: 70.46 GWh,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Alrance Pumped Storage Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Alrance is a pumped storage hydroelectric power station in the commune of Alrance, Aveyron, southern France. It lies at the head of the Lac de Villefranche-de-Panat and draws water through 10.8 km long penstocks from the Lac de Pareloup.",11000,0,44.1035517,2.69,,"Electric Energy Time Shift, Electric Supply Capacity, ",Lac de Villefranche-de-Panat,Villefranche-de-Panat,Aveyron,12430,France,http://www.hydrelect.info/articles.php?lng=fr&amp;pg=1163,,01-01-1951,,,,Ã‰lectricitÃ© de France (EDF),Investor Owned,Transmission,,Utility-Owned,Ã‰lectricitÃ© de France (EDF),100,,,,,,,Ã‰lectricitÃ© de France (EDF),,,,,0,"Annual Generation: 39,442 MWh",0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Bhira Pumped Storage Hydro Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Bhira, located about 150 km from Mumbai, was the third hydropower plant installed by The Tata Power Company Ltd. (TPCL) in 1927. Bhira power station with a 6 x 25 MW generating units (double overhang Pelton turbines), along with other hydro and thermal power stations forms a vital link in sustaining the industrial activity of Mumbai-Pune region of Maharashtra state. Realizing the crucial importance of peaking assistance to the grid, Tata Power had installed a pumped storage unit as an extension to the existing Bhira hydro power station. The Bhira pumped storage unit is the single largest such unit in India and is perhaps the only pumped storage unit operating in both pumping and generation mode in India at the time of its commissioning.",150000,0,18.4548333,73.39,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Bhira,Maharashitra,,India,http://www.tatapower.com/whatsnew/silver-shield.aspx,,01-01-1951,,,,,,Transmission,,Third-Party-Owned,TaTa Powers,0,,,,,,,TaTa Powers,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Waldshut Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The Waldshut power plant is the youngest child of the Schluchsee Group, which also includes the Witznau and HÃ¤usern pumped storage power plants. Waldshut is the lower level of the three-chain scheme and uses the Rhine as its lower basin.",150000,2.5,47.6184,8.19,,"Electric Energy Time Shift, Electric Supply Capacity, ",KraftwerkstraÃŸe 13,Waldshut-Tiengen,Baden-WÃ¼rttemberg,79761,Germany,http://www.schluchseewerk.de/de/standorte/schluchseegruppe/kraftwerk-waldshut.html,,01-01-1951,,,,,,Transmission,,Third-Party-Owned,RWE,50,EnBW,37,"Voith, Escher-Wyss",,,Schluchseewerk AG,Schluchseewerk AG,,,,,0,Annual Generation: 170 GWh,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
