"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Albania","ALB","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Andorra","AND","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",
"Arab League states","ARB","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","7061000000","15318000000","18193000000","20309000000","25645000000","26542000000","26726000000","27991000000","20861000000","23506000000","27508000000","25760000000","31372000000","28957000000","26312000000","50448000000","65952000000","60306000000","45494000000","53088000000","43584000000","40032000000","60840000000","70512000000","143232000000","142536000000","153672000000","179328000000","165792000000","210792000000","279336000000","283207000000","288472000000","306735000000","311147000000","317136000000","304427000000","268670000000","220527000000","152793000000","128469000000","","","","","","","","",
"United Arab Emirates","ARE","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Argentina","ARG","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","24057000000","20295000000","20823000000","22374000000","21450000000","20691000000","17655000000","24948000000","22440000000","27027000000","29502000000","24189000000","29700000000","19173000000","20031000000","33429000000","33099000000","51513000000","28281000000","21582000000","30162000000","27225000000","38478000000","76296000000","62007000000","61974000000","59037000000","56232000000","65109000000","57882000000","44517000000","26598000000","30690000000","55120000000","67332000000","57512000000","62976000000","55751000000","47449000000","39576000000","35618000000","","","","","","","","",
"Armenia","ARM","Electricity production from coal sources (kWh)","EG.ELC.COAL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
