"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Albania","ALB","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Andorra","AND","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","1.16864736343805","2.29708352846147","2.43310623845991","2.39157679533718","2.63117480048283","2.26907832656626","1.95608751935342","1.73222719719696","1.03418013666117","1.01231649402847","1.03664126062851","0.83621396992488","0.915870179919954","0.738702150756711","0.614335631481157","1.05708907081532","1.27087240893116","1.1287032545777","0.817177323588579","0.878220367539574","0.722370956946199","0.594013286364151","0.829170254927178","0.909064491204378","1.76742232536419","1.66950805258984","1.70021081454868","1.83769081026503","1.61003453058675","1.92316475573276","2.40139919478956","2.23476231614561","2.16698809536645","2.17809175070905","2.03740314217249","1.94130455630543","1.76274005201624","1.53361331831582","1.35993786399866","1.23553279590234","1.28616709146489","1.23565131597756","1.20975636697385","1.48465707581122","1.51919649198532","","","","",
"United Arab Emirates","ARE","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Argentina","ARG","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","3.08584490348798","2.43025369477594","2.36675293499869","2.4257602862254","2.2151790887094","2.07505957108817","1.65057230123716","2.26117126278639","1.80654074015037","2.06266055507984","2.30181003630372","1.83773755202327","2.09287724112271","1.29208735489036","1.34099193637468","2.0672203742628","1.95238186744557","3.0356390919879","1.71249826770406","1.30074891604257","1.72687093224922","1.49245718580555","1.91633103806678","3.63991504797929","2.8471237782586","2.75091123037626","2.6224791833799","2.44284710587472","2.61722196676899","2.00314925205264","1.51140209732009","0.960297443548483","1.01814625665544","1.67523586082963","2.06652700230351","1.86583574282533","2.17939766326863","1.59287523436729","1.43948031069809","2.40533916639391","2.83586121724364","2.9205099279642","2.54892937775924","2.21728366463494","2.02956738894983","","","","",
"Armenia","ARM","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"American Samoa","ASM","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","74.4230500256422","72.9985254575418","75.5753798525398","71.8578835901556","72.7075527509367","70.748035025851","75.7616188570158","75.6673432160933","76.7204635793305","76.139627688732","75.966464834653","71.0321425205015","71.9266682258964","74.8831721289842","67.7829978592877","68.8226260210114","68.3644884281076","72.4295949664796","70.7485371937432","69.8068245755326","73.2532498897453","71.1382670632436","71.0677789164185","73.1332391936844","73.2081360309944","74.6899548721377","74.0640005104727","76.540224903629","76.722779007043","77.2800206687426","78.7350846150356","80.350845811826","81.1382175131657","80.435688206033","81.1203034055357","80.1614536616417","82.1678183613031","82.9637621235604","84.000020510822","82.7488496122813","83.0275797659437","83.288966178405","77.1086032949538","77.4890518890591","77.6563999421593","79.5280866400697","79.6216167440821","77.0535725309595","75.8348315115212","74.8999375239324","71.3276416875453","67.9882791730831","68.554964397789","63.7153925350832","61.1643250733091","62.8716168006469","","","","",
"Austria","AUT","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","13.8647843543582","17.3759742669801","16.6647358665431","17.7020895187945","16.8425814234017","12.0446641039722","12.4665278191015","12.5497347480106","13.0179381036862","15.5863185902132","9.7237269772481","13.119636905184","11.5367329299914","10.315047224738","10.0434066756474","8.00961841238943","10.4466900155021","6.65720102871839","6.64861852058285","5.91337662014578","7.02163461538462","10.3228708043365","9.01621877589677","10.0709997140951","11.3049948395459","10.9277124959993","9.34352047661278","9.92191273546933","8.27223826040001","9.76502898992981","14.2121064589419","15.5158326856778","10.1944372134003","7.28037219442876","7.49937633129282","9.37511326978144","11.6007764960615","12.3139085929784","9.17903773922375","9.10441284464918","11.255302802552","13.1544041790165","12.8768161302013","16.3726182074806","14.7042680958223","13.159241397491","14.0481006967858","12.8568028560095","10.7719010057494","7.59243621448821","9.8684016839874","11.7789696813977","9.08746907291515","9.4562354763749","7.97033238119969","8.22660816346356","","","","",
"Azerbaijan","AZE","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Burundi","BDI","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
