"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","19965000000","22440000000","26862000000","28314000000","31350000000","14124000000","14124000000","17424000000","18315000000","19635000000","19635000000","20823000000","19074000000","19833000000","23133000000","23133000000","23133000000","23133000000","23430000000","23925000000","25476000000","27720000000","29370000000","29535000000","29700000000","30525000000","28875000000","34980000000","29502000000","30096000000","33561000000","37719000000","40953000000","56455000000","67373000000","74620000000","68870000000","74206000000","62354000000","51338000000","44077000000","","","","","","","","",
"Albania","ALB","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","23100000000","29700000000","37191000000","42900000000","52800000000","62700000000","72600000000","79200000000","89100000000","97350000000","100650000000","103125000000","105600000000","90387000000","70290000000","134013000000","110550000000","96987000000","101574000000","93984000000","116094000000","106458000000","109362000000","124443000000","138732000000","188958000000","165924000000","162393000000","174372000000","151602000000","117315000000","115896000000","166601000000","180378000000","166563000000","146048000000","72488000000","87331000000","104270000000","106106000000","45738000000","","","","","","","","",
"Andorra","AND","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",
"Arab League states","ARB","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","198672000000","209712000000","201240000000","239808000000","256272000000","299928000000","344784000000","363912000000","390072000000","390480000000","392208000000","393672000000","364248000000","377568000000","364392000000","362952000000","410112000000","410472000000","436248000000","435120000000","401232000000","386280000000","392688000000","409944000000","409032000000","449472000000","464208000000","466080000000","495792000000","481104000000","523104000000","455780000000","496120000000","518816000000","623071000000","611719000000","651928000000","547309000000","496756000000","427866000000","331221000000","","","","","","","","",
"United Arab Emirates","ARE","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Argentina","ARG","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","50952000000","49632000000","98802000000","165924000000","171633000000","165429000000","190278000000","255816000000","351780000000","499752000000","484605000000","580569000000","607827000000","656040000000","681318000000","693392000000","721133000000","497359000000","429605000000","591233000000","536453000000","640802000000","789071000000","904443000000","886226000000","756461000000","925325000000","873140000000","707321000000","949877000000","1221874000000","1183240000000","1115969000000","1004945000000","1054901000000","1062600000000","791306000000","698160000000","677128000000","470218000000","347204000000","","","","","","","","",
"Armenia","ARM","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","3295702759.13626","3212002371.60264","3198924186.0505","3452640985.7618","3428891000.79912","3549419558.84754","3844986552.32564","4438736176.39224","4498895829.93204","4831421775.78044","4891241396.49588","4577364943.2448","4708146798.76608","5309743334.16396","5608004433.8658","5642923189.28998","5749824277.99308","6065139331.65488","5856411490.24292","54299434467.2916","54064115607.0358","100452000000","141669000000","115962000000","63327000000","51876000000","45870000000","50721000000","39600000000","41613000000","31944000000","54714000000","65406000000","65934000000","54963000000","51100000000","48178000000","41331000000","40380000000","35784000000","27379000000","","","","","","","","",
"American Samoa","ASM","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","131934000000","152493000000","162261000000","217767000000","225720000000","273669000000","233112000000","251526000000","251031000000","276276000000","293304000000","382173000000","381909000000","376563000000","435600000000","484572000000","497145000000","433851000000","458106000000","507177000000","427086000000","464508000000","448668000000","400356000000","398838000000","450846000000","478566000000","448701000000","471834000000","477015000000","466884000000","522093000000","506507000000","546897000000","539715000000","524205000000","512154000000","548796000000","511749000000","539429000000","544050000000","545109000000","523721000000","534974000000","527337000000","476196000000","442098000000","372265000000","273907000000","270819000000","260648000000","228773000000","154286000000","","","","","","","",
"Austria","AUT","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","374847000000","369666000000","382272000000","375078000000","419496000000","517902000000","562353000000","573804000000","588588000000","538065000000","684420000000","535161000000","553575000000","618750000000","732171000000","774609000000","660627000000","808995000000","808500000000","910767000000","947925000000","1017951000000","1019568000000","1009998000000","952677000000","1020987000000","1026861000000","1189023000000","1181598000000","1164471000000","1039797000000","1037619000000","1149984000000","1211298000000","1178364000000","1223211000000","1129128000000","1191465000000","1226398000000","1339201000000","1380640000000","1329935000000","1321567000000","1089386000000","1206189000000","1126663000000","992307000000","957568000000","878192000000","931237000000","745988000000","477128000000","435072000000","","","","","","","",
"Azerbaijan","AZE","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","1891456215.57524","1843419232.32254","1835913453.6893","1981525559.17406","1967895065.17611","2037068321.06","2206698918.17112","2547461268.11998","2581987849.83288","2772829777.3615","2807161208.82992","2627022521.63228","2702080307.96464","3047346125.09344","3218522912.603","3238563341.55374","3299915576.1018","3480879898.9491","3361087671.96268","35735692843.0876","58020762143.7226","57651000000","79486000000","60357000000","51348000000","50754000000","56496000000","64383000000","49698000000","50622000000","42933000000","66660000000","81477000000","90915000000","93279000000","70504000000","61446000000","51336000000","46169000000","48244000000","29436000000","","","","","","","","",
"Burundi","BDI","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","5676000000","6237000000","5379000000","4752000000","3795000000","8976000000","9867000000","7854000000","8052000000","7590000000","8118000000","4422000000","5940000000","5643000000","7920000000","6039000000","3597000000","7392000000","7359000000","7722000000","9174000000","12573000000","10989000000","11088000000","11583000000","9471000000","11319000000","14157000000","11847000000","10065000000","8778000000","7557000000","11253000000","8382000000","11418000000","11154000000","7887000000","10065000000","12837000000","11253000000","15180000000","14553000000","11880000000","8151000000","10461000000","8928000000","10052000000","10114000000","9430000000","7793000000","6264000000","2753000000","4114000000","","","","","","","",
"Benin","BEN","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66000000","66000000","66000000","66000000","66000000","66000000","66000000","33000000","31000000","0","6000000","3000000","0","0","0","","","","","","","","",
"Burkina Faso","BFA","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","5775000000","5775000000","10923000000","8019000000","14388000000","16302000000","14421000000","16698000000","19371000000","19239000000","20625000000","17259000000","21846000000","29601000000","24387000000","14850000000","17061000000","22275000000","30360000000","29172000000","27654000000","26268000000","20064000000","27951000000","12276000000","24387000000","23727000000","28545000000","27489000000","29051000000","32769000000","31691000000","33011000000","35211000000","34099000000","31852000000","29119000000","28138000000","18555000000","13005000000","9592000000","","","","","","","","",
"Bulgaria","BGR","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","71610000000","69135000000","84810000000","68640000000","80949000000","97482000000","116457000000","95997000000","109263000000","122529000000","119394000000","100650000000","110583000000","107580000000","73788000000","76758000000","83754000000","85668000000","88803000000","61974000000","80553000000","68079000000","62434000000","47146000000","74222000000","93839000000","90882000000","102201000000","90849000000","88209000000","57321000000","72402000000","99957000000","104544000000","134447000000","118664000000","74724000000","64952000000","69400000000","70798000000","32087000000","","","","","","","","",
"Bahrain","BHR","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Bahamas, The","BHS","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94798000000","159278000000","112464000000","78111000000","114147000000","120219000000","170148000000","153615000000","150381000000","182556000000","168102000000","170973000000","173844000000","153048000000","196912000000","184309000000","163996000000","104026000000","109106000000","124780000000","112364000000","48257000000","","","","","","","","",
"Belarus","BLR","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","46581.9956717957","86139.7221549873","163441.003763127","311379.835460414","549632.58835058","976904.716425755","1677367.71501254","2658684.88161851","3650404.10970603","4945024.17186921","6237734.38818884","7772150.33394653","10348063.0160545","13394992.6818928","15374548.2506454","16708113.8901992","18044992.2425183","19126501.5012249","19218884.1201717","620000000","558000000","561000000","627000000","627000000","660000000","528000000","693000000","924000000","627000000","891000000","990000000","952000000","924000000","1089000000","1116000000","980000000","910000000","897000000","880000000","630000000","462000000","","","","","","","","",
"Belize","BLZ","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","29634000000","31317000000","32076000000","34122000000","35442000000","37158000000","39237000000","41547000000","42438000000","35079000000","38148000000","37785000000","37719000000","38412000000","37686000000","36762000000","35013000000","38379000000","38511000000","38940000000","42999000000","42175000000","49741000000","43603000000","41779000000","47304000000","51733000000","50813000000","58589000000","64133000000","70467000000","72804000000","68511000000","71032000000","62494000000","60452000000","60294000000","53043000000","45920000000","30548000000","25817000000","","","","","","","","",
"Brazil","BRA","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","1425567000000","1672473000000","1910370000000","2167407000000","2385471000000","2736129000000","3084840000000","3390618000000","3847140000000","4253931000000","4315245000000","4657356000000","4998675000000","5497569000000","5886375000000","6019827000000","6124800000000","6570069000000","6754770000000","6821364000000","7186806000000","7370319000000","7757145000000","8009265000000","8378865000000","8770377000000","9206076000000","9618477000000","9669000000000","10050771000000","8840231000000","9441036000000","10091541000000","10586301000000","10461167000000","9766540000000","9724390000000","8499788000000","7819760000000","5646046000000","4711663000000","","","","","","","","",
"Barbados","BRB","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei","BRN","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Bhutan","BTN","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Sub-Saharan Africa (IFC classification)","CAA","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","3524136000000","3458895000000","3464043000000","3457839000000","3773286000000","3896904000000","4323000000000","4419492000000","4494600000000","4971054000000","5218521000000","5361213000000","5994087000000","6423582000000","6952011000000","6681510000000","7018737000000","7264851000000","7763382000000","8055993000000","8287884000000","8778495000000","8507235000000","8776416000000","9442059000000","10020285000000","10250955000000","10434798000000","10145355000000","9614550000000","9792321000000","10172712000000","10440474000000","10677348000000","10884522000000","11085459000000","11736351000000","11573034000000","10952370000000","11410179000000","11830797000000","10999527000000","11568282000000","11135685000000","11247789000000","11272045000000","9914856000000","9587657000000","8633327000000","8444896000000","7028272000000","5261731000000","4180143000000","","","","","","","",
"East Asia and the Pacific (IFC classification)","CEA","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","4424000000","4228000000","5278000000","4529000000","4935000000","6797000000","6972000000","7273000000","7658000000","6335000000","13013000000","77098000000","97027000000","98539000000","117607000000","124481000000","114352000000","135485000000","137907000000","145460000000","164269000000","158809000000","140014000000","130942000000","133196000000","145208000000","128730000000","139818000000","162316000000","152187000000","206731000000","236040000000","205548000000","222950000000","240184000000","278376000000","280679000000","278838000000","306222000000","301287000000","272860000000","277627000000","279818000000","234010000000","298837000000","332906000000","311297000000","270333000000","288540000000","306320000000","371140000000","261702000000","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","677160000000","712932000000","698577000000","743259000000","727650000000","815199000000","912879000000","983136000000","967923000000","897699000000","1020030000000","886875000000","807477000000","920799000000","916410000000","1104675000000","856251000000","1180047000000","1052106000000","1041447000000","1082565000000","1170873000000","1198989000000","1168860000000","995577000000","1057617000000","1085766000000","1144143000000","1181103000000","982476000000","983235000000","1058541000000","1079100000000","1180542000000","1289277000000","1160577000000","948585000000","1123419000000","1104543000000","1320132000000","1215522000000","1363164000000","1162062000000","1149027000000","1113684000000","968006000000","866852000000","916500000000","828828000000","821629000000","721226000000","452710000000","424600000000","","","","","","","",
"Channel Islands","CHI","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","158697000000","189090000000","184635000000","210012000000","210804000000","217767000000","229977000000","239283000000","245784000000","259743000000","268950000000","294162000000","317229000000","329175000000","365310000000","390390000000","423159000000","414414000000","347919000000","303114000000","442550000000","564136000000","596516000000","574076000000","617448000000","570010000000","639399000000","545776000000","463352000000","629611000000","710152000000","755762000000","736451000000","735815000000","817847000000","825848000000","601380000000","556439000000","505920000000","434772000000","294126000000","211464000000","","","","","","","",
"China","CHN","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","990000000000","1122000000000","1254000000000","1419000000000","1485000000000","1504800000000","1570800000000","1471800000000","1653300000000","1920930000000","2163150000000","2455200000000","2849880000000","2863740000000","3048210000000","3119490000000","3300330000000","3601950000000","3907060000000","4181760000000","4127970000000","4371510000000","5010027000000","5524200000000","6289041000000","6202878000000","6467439000000","6864000000000","6725631000000","7339662000000","9155256000000","9503142000000","9361473000000","11666952000000","12307527000000","12202008000000","12616864000000","13459301000000","12312800000000","10110408000000","7688395000000","","","","","","","","",
"Cote d'Ivoire","CIV","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","4587000000","7458000000","5544000000","9141000000","12639000000","11352000000","7326000000","5511000000","24090000000","44616000000","57090000000","57024000000","32208000000","12309000000","44814000000","39435000000","34716000000","40953000000","52602000000","43626000000","41382000000","34584000000","36267000000","38742000000","58872000000","58806000000","62007000000","45441000000","57882000000","58212000000","59400000000","57057000000","60456000000","57684000000","44547000000","42280000000","46722000000","43654000000","42536000000","22652000000","19514000000","","","","","","","","",
"Latin America and the Caribbean (IFC classification)","CLA","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","34518000000","35409000000","35244000000","39270000000","42735000000","41448000000","40425000000","41547000000","43164000000","45045000000","59730000000","67254000000","68937000000","71874000000","78804000000","80223000000","80883000000","84876000000","87912000000","87648000000","88143000000","89166000000","92466000000","88704000000","90849000000","94644000000","102036000000","102828000000","110022000000","113586000000","114642000000","105006000000","116424000000","129360000000","117637000000","108630000000","100022000000","97336000000","80320000000","59640000000","48367000000","","","","","","","","",
"China and India","CNI","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","113421000000","113421000000","124344000000","112002000000","122298000000","132264000000","134145000000","132000000000","130977000000","140019000000","137577000000","136059000000","147807000000","154935000000","165891000000","173547000000","172986000000","173184000000","228195000000","185625000000","173547000000","199782000000","182424000000","174702000000","203247000000","201003000000","165792000000","155397000000","174900000000","197898000000","196171000000","201346000000","205936000000","231166000000","229172000000","212059000000","204747000000","172076000000","155958000000","109930000000","86317000000","","","","","","","","",
"Congo","COG","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","1782000000","2178000000","1650000000","1815000000","1914000000","2079000000","1584000000","363000000","2541000000","3300000000","3399000000","5742000000","7656000000","8283000000","9603000000","8844000000","9174000000","9537000000","13101000000","16170000000","15840000000","13992000000","11847000000","10626000000","11616000000","15048000000","14883000000","11286000000","3135000000","9749000000","11057000000","13068000000","11286000000","11363000000","11005000000","10416000000","8710000000","8625000000","6600000000","6020000000","8701000000","","","","","","","","",
"Colombia","COL","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","219879000000","240834000000","261987000000","292017000000","293733000000","303501000000","344949000000","398310000000","437580000000","471405000000","471603000000","498894000000","503646000000","562683000000","605319000000","700260000000","763389000000","804441000000","879747000000","907401000000","914958000000","735273000000","919281000000","1057947000000","1061280000000","1171203000000","1038642000000","1015806000000","1113453000000","1058442000000","1049334000000","1120944000000","1193742000000","1322541000000","1233893000000","1196776000000","1155570000000","1067269000000","821000000000","565614000000","537658000000","","","","","","","","",
"Comoros","COM","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cape Verde","CPV","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","33924000000","36234000000","37323000000","41184000000","42735000000","47817000000","44121000000","48774000000","53559000000","69960000000","75405000000","78771000000","91938000000","99132000000","90948000000","95403000000","99000000000","100518000000","109824000000","111606000000","120648000000","118272000000","129756000000","130119000000","117305000000","125726000000","158704000000","141211000000","169501000000","187472000000","182074000000","196633000000","197736000000","218109000000","203546000000","184828000000","175997000000","169901000000","144500000000","101682000000","78485000000","","","","","","","","",
"South Asia (IFC classification)","CSA","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechoslovakia","CSK","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","2394000000","2679000000","1881000000","2318000000","2489000000","2090000000","2071000000","2185000000","2185000000","2280000000","2375000000","2565000000","2850000000","2850000000","2850000000","2850000000","2375000000","1919000000","2413000000","1672000000","1824000000","1653000000","1368000000","1691000000","1824000000","1938000000","2090000000","2166000000","2204000000","2185000000","1140000000","1786000000","2223000000","2546000000","2888000000","3154000000","3040000000","3002000000","2520000000","2128000000","1111000000","","","","","","","","",
"Cuba","CUB","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","3630000000","2442000000","2046000000","2950000000","2066000000","1762000000","2409000000","2739000000","3432000000","3201000000","1980000000","1406000000","2066000000","2310000000","1782000000","1947000000","1452000000","2409000000","2706000000","3141000000","3621000000","2793000000","2832000000","1689000000","2556000000","3279000000","4488000000","3345000000","3555000000","3069000000","2589000000","3660000000","4416000000","3030000000","2264000000","2722000000","3146000000","3174000000","3020000000","1358000000","1089000000","","","","","","","","",
"Curacao","CUW","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Electricity production from hydroelectric sources (kWh)","EG.ELC.HYRO.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
