"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Albania","ALB","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Andorra","AND","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",
"Arab League states","ARB","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","113457000000","142669000000","183060000000","214296000000","245197000000","335578000000","389785000000","503363000000","675932000000","980355000000","1076588000000","1175357000000","1332317000000","1511552000000","1700690000000","1892606000000","2057600000000","2151676000000","2349493000000","2725050000000","2690085000000","3035390000000","3498029000000","3754828000000","3924417000000","4172108000000","4352453000000","4521839000000","4944406000000","5443235000000","6148086000000","6680968000000","7194420000000","7690152000000","8617016000000","9218069000000","9685816000000","10115158000000","9347936000000","7413522000000","6062540000000","","","","","","","","",
"United Arab Emirates","ARE","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","6699000000","15411000000","23760000000","31086000000","45144000000","64053000000","93885000000","119592000000","158598000000","200376000000","229218000000","283272000000","322212000000","349503000000","381315000000","407088000000","433950000000","471504000000","496089000000","542718000000","551364000000","593901000000","690492000000","754215000000","798798000000","847308000000","898458000000","1061676000000","1183644000000","1277397000000","1384779000000","1502165000000","1587471000000","1689128000000","1841422000000","1831480000000","1941862000000","1950193000000","1780181000000","1345804000000","1071983000000","","","","","","","","",
"Argentina","ARG","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","178761000000","193644000000","215919000000","214929000000","240933000000","255981000000","265254000000","219549000000","244728000000","288552000000","287463000000","337722000000","346566000000","364518000000","410025000000","438009000000","413556000000","695475000000","802560000000","655809000000","693066000000","687060000000","710919000000","667359000000","873741000000","1069068000000","1056632000000","1125036000000","1503843000000","1604168000000","1419201000000","1329005000000","1570632000000","1811586000000","1715292000000","1354206000000","1448746000000","1501913000000","1239615000000","879344000000","733018000000","","","","","","","","",
"Armenia","ARM","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","1056745500.13223","1123642005.68404","1163651646.46455","1328179398.85717","1499030632.91054","1594917233.2299","1648208254.24881","1726648389.35363","1809260505.27063","1837181745.44992","2053524809.94608","2377760125.33014","2622762284.46328","2924275820.05216","3224892896.95412","3548969608.10896","3740246308.55184","3903043206.09512","4096147303.09208","56728547422.2628","86707232761.2467","67980000000","48048000000","49764000000","96129000000","72303000000","99429000000","101145000000","80487000000","88836000000","92070000000","52107000000","50193000000","60423000000","56668000000","41328000000","38714000000","34730000000","23080000000","20132000000","26290000000","","","","","","","","",
"American Samoa","ASM","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
