"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","4521000000","5214000000","5610000000","12243000000","11715000000","5181000000","5181000000","1881000000","2475000000","2640000000","2640000000","2937000000","6765000000","2277000000","3465000000","3465000000","3597000000","3762000000","3597000000","3828000000","5346000000","3531000000","1980000000","1980000000","1980000000","3399000000","8943000000","8514000000","14553000000","17589000000","20493000000","20526000000","24882000000","17320000000","17362000000","15172000000","16791000000","19531000000","28968000000","24369000000","18084000000","","","","","","","","",
"Albania","ALB","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","17325000000","18150000000","18975000000","19800000000","20625000000","21450000000","22275000000","23100000000","23925000000","25245000000","23100000000","21120000000","19140000000","32274000000","33561000000","34485000000","34485000000","34485000000","34485000000","11550000000","7722000000","4323000000","5544000000","4389000000","6930000000","6600000000","5148000000","4851000000","3729000000","4752000000","4521000000","5742000000","2657000000","3727000000","2170000000","2604000000","1872000000","0","206000000","14000000","11000000","","","","","","","","",
"Andorra","AND","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","7810000000","8250000000","8525000000","8800000000","8965000000","9020000000","8943000000","9075000000","9218000000","9350000000","9350000000","9625000000","9713000000","8998000000","8360000000","7007000000","7612000000","7700000000","8107000000","8690000000","8811000000","9383000000","9999000000","10681000000","11099000000","11292000000","11513000000","12231000000","12245000000","12331000000","12045000000","12043000000","12787000000","13020000000","11232000000","7573000000","5138000000","1242000000","","","","","","","","","","","",
"Arab League states","ARB","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","301807000000","316370000000","363935000000","395437000000","471231000000","534697000000","636108000000","755586000000","972549000000","967862000000","1205530000000","1545083000000","1762353000000","1977717000000","2170059000000","2328390000000","2523160000000","2717530000000","2730311000000","2475646000000","2538391000000","2815008000000","2839054000000","2972721000000","3052434000000","3167680000000","3449485000000","3929235000000","4058971000000","4187586000000","4112790000000","4405546000000","4524946000000","4757389000000","4786999000000","5001787000000","5511799000000","5721160000000","4971783000000","3162084000000","2309604000000","","","","","","","","",
"United Arab Emirates","ARE","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","0","0","0","0","0","0","3630000000","4620000000","6105000000","7722000000","8910000000","10923000000","12441000000","13497000000","14685000000","15774000000","16731000000","18216000000","19107000000","20922000000","21219000000","22836000000","26598000000","29073000000","25608000000","29568000000","38742000000","40260000000","41514000000","40755000000","39897000000","42733000000","44829000000","40633000000","40216000000","38024000000","36894000000","33787000000","31279000000","22388000000","18524000000","","","","","","","","",
"Argentina","ARG","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","523941000000","569085000000","542388000000","483021000000","449196000000","468270000000","540408000000","505428000000","531300000000","414579000000","384417000000","308451000000","317691000000","287859000000","188265000000","260370000000","332970000000","285714000000","237963000000","163317000000","251790000000","253077000000","235719000000","150381000000","153252000000","154308000000","67650000000","126357000000","127116000000","95172000000","33137000000","25080000000","33343000000","133282000000","178160000000","225064000000","283088000000","329539000000","276456000000","233092000000","215501000000","","","","","","","","",
"Armenia","ARM","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","6233508014.79654","7380382464.32976","8607934428.39528","9231414039.10516","9928014356.17404","11009067289.0611","11670674431.9183","12276077813.9863","12851425709.0012","14418604676.7659","15038391756.2093","14507053681.5219","13995208737.009","13037426237.4494","12028420600.6694","11382141756.2093","10670470759.2038","9742271446.18636","9780484851.15378","230892237801.656","174338532675.709","128700000000","18018000000","20988000000","14025000000","4191000000","627000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"American Samoa","ASM","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Electricity production from oil sources (kWh)","EG.ELC.PETR.KH","39105000000","42966000000","25773000000","26466000000","38544000000","39336000000","45012000000","51183000000","60258000000","73260000000","75603000000","59004000000","59928000000","55374000000","170379000000","159159000000","167079000000","166320000000","175824000000","176484000000","170577000000","181863000000","195558000000","191070000000","183348000000","154011000000","124443000000","92367000000","80652000000","99792000000","123756000000","122368000000","80436000000","82503000000","79170000000","92954000000","95125000000","74375000000","69833000000","66497000000","68302000000","75202000000","93848000000","61463000000","48632000000","72670000000","76202000000","66023000000","81766000000","80941000000","67885000000","51412000000","39270000000","","","","","","","",
